Title_val,CurrentYear_Funding_val,CurrentYear_Text_val,@SOURCE_FILENAME,@RECORDID,@ROWID,PriorYear_Funding_val,PriorYear_Text_val,@PARENTROWID,@PARENT
"ASW Research Prog - Cong","5.000","This effort provides research into sensor development and understanding environmental acoustic clutter and noise (scattering and propagation processes) in shallow and deep water, particularly in the Western Pacific.  Additional efforts focus on turbulent and surface wave processes important for ASW signature development.  Oceanographic institutions conduct extensive at-sea experimentation.","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","62fca00a0fb6e4c8d281083bbb6ffb8ca739df73547013a85dca72d492147c1e","0-1d065753d52fef525eda9aa0307f0a27b0d6ccca0b1d18006a16648f7fecda8e","3.980","This effort provided research into sensor development and understanding environmental acoustic clutter and noise (scattering and propagation processes) in shallow and deep water, particularly in the Western Pacific.  Oceanographic institutions conducted research on extensive at-sea experimentation and deployment of long-term sensors on ocean moorings.","1-5131c53d5614aaf9d54cb01edeb7f6dda54667150b7d7489427285f2715a749d","root.record.ProgramElement.ProjectList.Project"
"Alternative Energy Research","40.000","The Alternative Energy Research program addressed critical energy technology needs to meet the Department of Navy's energy security and energy efficiency goals.  A key element of the program was the focus on sustainability in the Asia-Pacific region through alternative energy research, technology development and education.   Technology areas pursued include:  renewable power generation (solar, wind and ocean energy); alternative fuels (biofuels and hydrogen); fuel cells for unmanned vehicles and non-tactical ground vehicles; energy storage for grid management and stabilization; energy efficiency technologies and energy efficient structures; and waste-to-energy.  The program incorporated and integrated energy research, STEM (science, technology, engineering and mathematics) education and technology evaluation.","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","25245c410096a1bcbcd549bd2b88b444eb981676c52493536f870c48861ddf0d","0-72812cbb753eae72a7c8b9cdd0c562fdd099264e96d4189307985ecd3e94a7a6","39.797","The Alternative Energy Research program addressed critical energy needs primarily for the Asia-Pacific region.  Technology areas pursued include renewable power generation (solar, wind, and ocean energy); alternative fuels, including biofuels and hydrogen; fuels cells and batteries for vehicle power and energy storage; advanced power management and models for micro-grids; energy efficient structures and platforms; and waste-to-energy.  The program incorporated and integrated energy research, education, and technology evaluations.","1-c2773c4b67a6ebd7b7a059373da74de246be006d79f5ce5216b81fc26579c07c","root.record.ProgramElement.ProjectList.Project"
"CARGO UAS - Cong","","","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","7fdbc6d5956ea788e2bae09812a90d40351a006e16e76b92d7ee3b77ec05f714","0-4db4ec8d45d1f89a33686d684dc386e9af8fe1454e5ff5e4ea2a64e1a604ec1f","36.000","The Cargo UAS will address the immediate Marine Corps need as described in the Joint Urgent Operational Needs Statement (CC-0375).","0-15f2f9cb03c335ec9a08e66285295a32cd462f7567464886522abca4c556f37f","root.record.ProgramElement.ProjectList.Project"
"SMALL BUSINESS INSERTION","","","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","34858097d6e8c0cb2e7dad9f52e09eff120322fc08ed9d4c34ab3c6ab294db66","0-a3935b3c2b646b70e5096e07f3516c9ea214384505a3504c1a235e7741d792c2","3.980","Provide the DESRON Commander, performing the Anti-Submarine Warfare Commander (ASWC) role, the ability to enhance the execution of Surface ASW by enabling net-centric ASW information exchange between assigned units. Currently the ASWC's two primary sensors, Periscope Detection Radar (PDR), SPS-74, and Surface Ship Sonar, AN/SQQ-89A(V)15, only provide data to the installed ship. Sharing this sensor information will dramatically improve the successful execution of the DESRON Commanders ASW mission. This funding will be used to provide engineering services that support integration, testing, evaluation, and certification of the interfaces between the Undersea Warfare - Decision Support System (USW-DSS) Build 2 and above surface ASW sensors. This will be accomplished by executing a formal test plan that includes: formal External Interface Testing (EIT); formal lab-based software certification; and multiple at-sea testing events as part of Development Testing in preparation for Operational Testing Certification.","1-ec55b525cc670982b68ec559974664c284645f645b1858ee0a648d2d2dde35f5","root.record.ProgramElement.ProjectList.Project"
"Adv Sub Sys Dev (Cong)","5.380","N/A","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","bc489b764df23e8b3fce85710f7e5bfa261997cc0c0e13e27a3b67d85271e086","0-7c31ec3668de405d977088fbdd7811335ba854b8c6b83c3c5a72ea76939ade23","","","4-48d939a38082540621930ce9aef34008d774454fb992fec2018643deadfbf46b","root.record.ProgramElement.ProjectList.Project"
"MIW Modules Prog - Cong","","","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","fc6689f1b8cdb5c8cee5849ece5d26422ad8866c52572e595fb34991a3d543a4","0-ac355061481f92b920d11d3c6ec4753fa94415e5fcc17c14f520c29abf26b758","11.939","Due to the oil spill in the Gulf of Mexico in 2010, LCS Mission Module testing planned for Panama City Florida had to be moved to the east coast of Florida.  Provided funding to cover additional costs associated with the testing disruption, including moving the testing range and delays in performing the actual work as well as increased costs associated with Mine Countermeasures Developmental Testing (DT).  Established a next generation LCS test bed, which  supports development, demonstration, testing and evaluation of critical technologies to enable rapid introduction of advance warfighting capabilities and workload reduction initiatives required by the LCS mission packages.  Deliverables include: a next generation LCS test bed based on Service-Oriented Architecture (SOA); demonstration of the ease of inserting a SOA-based C2 product such as MCM Supervision of Unmanned Vehicle Mission Management by Interactive Teams (SUMMIT) or USW-DSS with documented metrics in Demonstration Report ; and a prototype of SOA-based Unmanned System Control System for future LCS unmanned systems (surface and underwater vehicles).","3-80358414e9cbe3a7f8629114b3870db7267d77ddfe81c426b52bd75d2b1b0f98","root.record.ProgramElement.ProjectList.Project"
"LCS MM SBIR (Cong)","10.000","Continue development of a next generation LCS test bed, which  supports development, demonstration, testing and evaluation of critical technologies to enable rapid introduction of advance warfighting capabilities and workload reduction initiatives required by the LCS mission packages.  Deliverables include: a next generation LCS test bed based on Service-Oriented Architecture (SOA); demonstration of the ease of inserting a SOA-based C2 product such as MCM Supervision of Unmanned Vehicle Mission Management by Interactive Teams (SUMMIT) or USW-DSS with documented metrics in Demonstration Report ; and a prototype of SOA-based Unmanned System Control System for future LCS unmanned systems (surface and underwater vehicles).","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","fc6689f1b8cdb5c8cee5849ece5d26422ad8866c52572e595fb34991a3d543a4","1-b2679e7cba5f51f66770ecc5e3139ae8f609bce051a4a111c8f5f45d0c895dc4","","","3-80358414e9cbe3a7f8629114b3870db7267d77ddfe81c426b52bd75d2b1b0f98","root.record.ProgramElement.ProjectList.Project"
"AUTOMATED TEST AND RE-TEST","","","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","da83d6c49a3a2e0c8291c91bb3ee798ee85c4c4b8f9e863ca83d74913a55d955","0-841bdf2b98a1ae7726bb415fbaab38c1898136165ab5bc50eab3928e74031d6f","9.949","ATRT proposals and objectives were prioritized by an Executive Steering Committee (ESC) for the implementation of ATRT by the contractor and to transfer an automated test capability through training to the respective government programs. The projects and tasking selected to receive ATRT start-up dollars are the following:    Combat Systems Integration Testing (CSIT), formally known as Warfare Systems Integration and Interoperability Testing (WSI2T)- NAVSEA) Use ATRT to develop a self-throttling test capability for use in CSIT for Ship Self Defense System (SSDS).   AEGIS (Part I) - (PEO IWS) Apply ATRT to at-sea testing analysis to extend coverage of AEGIS 3.2 requirements (combat system level) and update scenario manager to assist with land-based testing for Advanced Capability Build (ACB) 08 and ACB 12 baselines.   Integrated Common Processor (ICP) / Acoustic Rapid COTS Insertion (A-RCI) - (PEO LMW/SUB) ICP and A-RCI use common software components from submarine and surface USW systems.  PMS 485 and 401 have developed plan for combined project.    LCS Mission Module (MM)-Seaframe (Part I) - (PEO LMW) Apply ATRT to automate message-based interface testing between LCS MM and Seaframe Combat Management System (CMS).  Focus on MM messaging and minimal required CMS messaging.   Development of specifications, standards, and FY12 proposal content. This information will be a product of the future ATRT work group with collaboration from other ATRT users within the community.","3-c4dfab9a5f5d64ea45496670718903b3becb207e5cc40aa3c2b0a3b8b3be4089","root.record.ProgramElement.ProjectList.Project"
"New Amphibious Vehicle (Cong)","25.000","Perform Hull Survivability Demonstrator and Technology Integration Demonstration efforts.  Provide concept design and analysis and test support. Provide engineering and technical services in support of vehicle integration architecture prototyping.","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","7337107fc2656d38638dd014d2f81460dc493a72c4541ea19f932bb33f1ca75b","0-de7446d0d1e7e51d0acf44d041c1cc8092eb5ab8c22635779e32ec570f2d4289","","","2-3df0cc0a2615f432ea6ec7756f2e758769b2afcf6846d2ff5ed22538e447087e","root.record.ProgramElement.ProjectList.Project"
"Alt and Renew Energy Prog - Cong","","","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","40ad54721ede14246859f8cc29942565635c7d3c368fb86819b25ea6f6e1ed4b","0-a3d308bb748f67ab95deb9f471b9e7f4ebb5ae24ca7f57e456c835be402b002b","3.980","N/A","5-5033f01926f2e83432800889bd96fe9293849c6833e6f029544d99b3ec7fe0f2","root.record.ProgramElement.ProjectList.Project"
"Directed Energy Development and Test","","","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","2c94a1062fa42fe84fae8d0c7858e2fd3a2b5bee1bba739703b0d2a79769da05","0-2a572422d444205d49c400a33c85460f29c8db346c73bd726fd06c20280ca3e1","7.959","Engineering and testing of the active stabilization of the LaWS Beam Director, Tracking Mount, and initial Predictive Avoidance Safety System (PASS) on a moving platform during the Fleet's Trident Warrior 11 Sea Trial Initiative (June 2011); system engineering of the Beam Director and Beam Combiner required for shipboard test/demonstration during the Fleet's Trident Warrior 12 Sea Trial Initiative (June 2012); and development/engineering of the LaWS prototype including continued development and integration of the PASS capability, tracking capability/algorithm development and integration, and laser/optics engineering/development/test.  This effort will increase the capability developed as a result of the FY 2010 Laser Weapon System (LaWS) prototype development and test/demonstration.","0-4029b2256b5e6b787306b44c8dbe7e2e11454b264a9cc5b22712677b6feaf806","root.record.ProgramElement.ProjectList.Project"
"Joint Counter Radio-Controlled IED Elec Warfare - Cong","","","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","3571b27905445535c3ee95e5e21d07292c6235981afc6e5662c4af5fc1433c44","0-fee33e3cfb050c627bb6f27ecfb74cf46a14d12bc8ebd768a37babd33822099a","11.800","Technology development and risk mitigation for multi functional electronic warfare capabilities: Design, develop, and evaluate a system concept for the Network Enabled Electronic Warfare System (NEEWS).  The purpose of NEEWS is to collect and analyze information derived from current tactical sensors and electronic warfare systems; distribute it to tactical EWOs, EOD engineer, intelligence, and maneuver units to provide enhanced real time situation awareness for CREW and other electronic warfare systems.","1-cbcd5461de2a35038a60d77d8ccb0a081b57543b95c8f54bf7924f23fda1a80e","root.record.ProgramElement.ProjectList.Project"
"Rapid Innovation Program","","","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","af7a7a51a7071d4a84d0588c8a2982d8e353e6fb50c1e137c127407d4527d738","0-fb14d589fd94d46e51ed1e93194c0d2d30f71805395f30c7e87c57c3c0fc6a67","104.466","TBD.  The Department of the Navy is still in the process of identifying requirements and determining management control processes to execute Rapid Innovation Program funds in accordance with Congressional intent and Defense Department Guidance.","0-837f8e0aa5c4c083c15b2af601d377020dc8f067b5b27f20639bb11931b86484","root.record.ProgramElement.ProjectList.Project"
"Surf ASW SBIR (Cong)","7.500","Provide the DESRON Commander, performing the Anti-Submarine Warfare Commander (ASWC) role, the ability to enhance the execution of Surface ASW by enabling net-centric ASW information exchange between assigned units. Currently the ASWC's two primary sensors, Periscope Detection Radar (PDR), SPS-74, and Surface Ship Sonar, AN/SQQ-89A(V)15, only provide data to the installed ship. Sharing this sensor information will dramatically improve the successful execution of the DESRON Commanders ASW mission. This funding will be used to provide engineering services that support integration, testing, evaluation, and certification of the interfaces between the Undersea Warfare - Decision Support System (USW-DSS) Build 2 and above surface ASW sensors. This will be accomplished by executing a formal test plan that includes: formal External Interface Testing (EIT); formal lab-based software certification; and multiple at-sea testing events as part of Development Testing in preparation for Operational Testing Certification.","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","499282899e22e5a514215973937cf0ba9b0f8017875ab3f24d883a36501dd1e1","0-a83716dc76210e5a5b8fe12030b20307e7e5cdb0b232e9037fb1719a2a0567d6","","","1-6596b84bce18786fbb84bdcff278133168331b34856d56722a6021d546a254af","root.record.ProgramElement.ProjectList.Project"
"Small Business Technology Insertion","7.500","Continue array electronics upgrades.","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","277542c7d3f3da19442d6a561a91248fdcc4e57468380cb5762fa5448c4c919a","0-6a764e73d56bde17786a4e5e6ac1f2cb0122c8643c0e3d0fb2bf17ec0305acb2","7.959","FY11 Congressional Add used to develop array and array electronics upgrades.","1-a67381a02f6780fa72c641d103afcefd2233506098ce4446465b875590ae2c88","root.record.ProgramElement.ProjectList.Project"
"CANES (Cong)","12.000","Complete development of statutory and regulatory acquisition documentation to achieve CANES MS C.  Revise Cost Analysis Requirement Description (CARD) and life Cycle Cost Estimate (LCCE) in support of Navy's Service Cost Position (SCP) for MS C.  Conduct OA in support of MS C. Preparation begins for Initial Operational Test and Evaluation (IOT&E) on Unit level platforms to complete operational testing.  Continue hosted system integration testing and Application Integration (AI) as they migrate to CANES baseline.  Prepare Enterprise Engineering and Certification (E2C) lab for testing on platform set 1 and 2 baselines.  Commence Source Selection activities associated with Full Deployment contract and development of platform set 3 and 4 baselines.  Achieve MS C.  Systems engineering efforts following down select to complete functional baselines, updates and corrections to technical data packages.","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","840646fca2e77cf2d241f07291d068ee524cb652a6ffd5826f76bb0a9e70df85","0-42126d0c9b02db2aad0940e59e7db0039c2745945a4c42e5107438f8b8448639","","","1-6bb6e1d329ecef84d684d81a9c1398eb55f2ba5c8c0825ec21bb1ad21e4a81a3","root.record.ProgramElement.ProjectList.Project"
"Cyber Security Research (Cong)","12.000","Computer Network Defense (CND) will accelerate and improve the cyber security, situational awareness, and efficiency of OCONUS Naval Enterprise Network (ONE-Net) and Information Technology for the 21st Century (IT-21) networks. Efforts will focus on enabling development of Navy high speed tactical network sensors. Conduct systems engineering and architect Theater Network Operations and Security (TNSOC) modifications required to support ONE-Net environment security enhancements and network efficiencies. Establish lab environment that can support thedevelopment of Ozone Widget framework tools. Begin to develop the architecture and integrate tools that support the automation of certification and accreditation processes in line with Defense Information Systems Agency (DISA) imperatives for continuous network monitoring and risk scoring. Determine optimal technical and governance solution for interception of outbound encrypted traffic, allowing for inspection and control. Update the CND development lab hardware to ensure Charleston Network Operations Center (CHASNOC), SSC Pacific Afloat, and End-to-End (E2C) labs contain the most current CND cyber security technologies. This will also promote comprehensive implementation of Host Based Security Systems (HBSS) and other DoD mandated tools and capabilities.","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","ea71cc7ad14894a1eb0f999a758e6fd0bbcabf036324766c86f9d57b83bfc525","0-aac4cbb908699b7846c6169c08219e3d1dda6ca7a72cde9cf1795180c299bdd2","","","2-67d07937b68d31d05d92c145f9fc4d913e62137e7732a0bab2874f3592ce2e09","root.record.ProgramElement.ProjectList.Project"
"Advanced Signal Recognition - Cong","","","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","4d167b222d4a0621fe78ea1143826aa28fb58121f11cd41610aeb734f4285fed","0-21dcafeda4ee137fe016655772fad3933cacc735d91d6a0291f8c74acd26293b","49.945","FY11 funded sensor improvements on the EP-3E with applications for the follow-on FoS sensors and platforms.  The funds are responsible for the development, integration and test of FoS Signal Intelligence sensors, data links, data relays, and ground systems for incorporation on the FoS platforms and the development of TCPED operations.","0-36e9ff73ddefa903b2643b4cb9ccde5e15d48de654786859de64c80ddab09d9e","root.record.ProgramElement.ProjectList.Project"
"Combat Dragon II Demonstration (Cong)","20.000","N/A","2013-BASE_RDTE-2013-NAVY_BA1_3-MasterJustificationBook_Navy_PB_2013.zzz_unzipped-MasterJustificationBook_Navy_PB_2013.xml","4d167b222d4a0621fe78ea1143826aa28fb58121f11cd41610aeb734f4285fed","1-c550770aae53a8f51b4401c1dde54c1a6b54a5b6cd9795cb98bb027613761e5f","","","0-36e9ff73ddefa903b2643b4cb9ccde5e15d48de654786859de64c80ddab09d9e","root.record.ProgramElement.ProjectList.Project"
"Weather Satellite Follow-on (WSF)","","","2014-BASE_RDTE-2014-AIRFORCE_V2-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","aae04a73d333fd22ab525cf07c7884fb186a5d8b10337ff46ae04d0232e46d25","0-576c577a52edf1e2062788957bd4b79a930d137ac38461b369da5201afbfc6b4","123.681","- WSF System Program Office (SPO) developed a plan to use Congressionally-added funds to stimulate the industrial base and buy down risk for future sensors and unique technologies for the weather mission.   - The Executive Agent for Space completed a space-based environmental monitoring concept study to inform the Analysis of Alternatives (AoA).  To support this, the SPO developed analytical tools to evaluate future architectures and conducted analysis to identify collection capability gaps in the Meteorological and Oceanographic Initial Capabilities Document (METOC ICD).   - The SPO authored a technology investment strategy and issued a Broad Agency Announcement (BAA) to execute funds for sensor, spacecraft, space weather, and ground systems technology development.  Using the strategy, the SPO started development of models and prototypes; demos necessary to define the materiel solution; materiel/non-materiel solutions; implementation of alternatives for exploitation of non-traditional weather data source to provide experimental satellite data to DoD users to mitigate risk of forecasting gaps.","0-1bd1c346a0b3627994c2a2c0883253c2e64ce3b439dc647ae20e899b91f1ccbf","root.record.ProgramElement.ProjectList.Project"
"Responsive Launch Capability","","","2014-BASE_RDTE-2014-AIRFORCE_V2-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","990e947722e3c727a6b57a5d441a750561c14edc3ba63fe39aa7e2a4b93e9065","0-9d67573900abc1a7a49f787ec0fa94bbc5ab7a9ae9cdc61eb1f787a35db67bc6","25.000","Continued the ORS-3 Enabler Mission and selected launch vehicle improvements leading to a launch in 4QFY13.  Continued developing the ORS-4 Super Strypi ultra-low cost, rail launched new small launch capability.  Continued development and qualification testing of autonomous flight safety assemblies, on-board metric tracking, and space based range.","1-dde9877bdac5470a041609d13e8a5dc20da603220b3bb0903436b7a981bec91e","root.record.ProgramElement.ProjectList.Project"
"Space Situational Awareness.","0.000","N/A","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","bc7c6af85bb0815893d984c917d0f78389daa3151459ec0370e974d340e4a755","0-e1db418cef1326b8e5959d673433756708faaa5ce49710324612037228da6e50","30.000","Conducted research supporting space situational awareness.","0-424295a128e2d60e5bcc39911e535a977abf4b59f496c27cab8c8e03313e7da2","root.record.ProgramElement.ProjectList.Project"
"Cyber Security Research","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","5abc020470eb41f2b663b3ca9f7b1b803e0fe20112965cf92815dec017927987","0-ddd8111727fcba9cfc2c0e306a17d8568ae8dee98b95e01246b0d33c041ddb87","12.000","Conducted Congressionally directed cyber security research program.","0-9dd393d72e3e52330ecf3d4d76bdb719c75f4e1bb212339aee6500c824c78573","root.record.ProgramElement.ProjectList.Project"
"Silicon Carbide Composites Research","0.000","N/A","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","40e1dd729b611651c8a2d93e4c9f3fa0e52feba8ff3287d4bffe9f5a7efb5939","0-feeb5f00e06b55af13b496f4177d1b5e90f5f08ccc62fa124d9a32bf7b988f6c","12.500","Conducted Congressionally-directed effort.","2-9c5238ff5d9492544caa94f5bb7b178f1214f5fcf398e2075296fab79b66d22a","root.record.ProgramElement.ProjectList.Project"
"Advanced Materials Research","0.000","N/A","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","40e1dd729b611651c8a2d93e4c9f3fa0e52feba8ff3287d4bffe9f5a7efb5939","1-c520c3c324e2e5847cf2a357339309653100174e1aa7b2af92f90d24f1769ed1","8.500","Conducted Congressionally-directed effort.","2-9c5238ff5d9492544caa94f5bb7b178f1214f5fcf398e2075296fab79b66d22a","root.record.ProgramElement.ProjectList.Project"
"Program Increase","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","2c3aa166872d2226f5a95302a600eb43477575d9aa63e63f144023229e935142","0-dbdc864b01f18f0bc4ea9511bc6425bfc29d9c0e688d44aabcb87ebd0112e5b5","10.000","Conducted Congressionally-directed effort for Program Increase.","0-95a96ef4a07c1047f0d8fcab721c7b9a9f2871205f5c0cd33436bf86ec32db28","root.record.ProgramElement.ProjectList.Project"
"Blue Devil 1","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","2c3aa166872d2226f5a95302a600eb43477575d9aa63e63f144023229e935142","0-18d861390fc5d929a5a8bbae49aa5bceca454a96a57f97d88299980e76397171","58.600","Supported Blue Devil 1 operations in theater.","1-5aabbd3d95cca4a82f8e4faf2cff263413a5c28c9337e20b55176c298e847ee6","root.record.ProgramElement.ProjectList.Project"
"Space Situational Awareness.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","1c48cba69224180eff2a57ca24a9c00a6eb366ec6d9df49fe1f66ade02caefb4","0-ff8b858209d131d8b13c1ab8cbe7ac31ecb2f8f40ec452ac60aa366f356266d4","20.000","Conducted Congressionally-directed effort.","0-a7c24984060fed713eced071ea537932fefb5fab6dc922671013ddf457804d29","root.record.ProgramElement.ProjectList.Project"
"Nanotechnology Research","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","f10ce9a5894ace4990c378c38ab7fa4a0f63a120dd91ad6c8a21e8d68f337332","0-7a7bc121ed293f2682f433e9191e66a345ca524c3cee1c5752a29b8256c8b54f","8.000","Conducted Congressionally-directed effort.","0-db6776593047a47ad32c06fc674ec74aa125183ec90ba818cf6745d5d30a2d15","root.record.ProgramElement.ProjectList.Project"
"Space Situational Awareness.","0.000","N/A","2014-BASE_RDTE-2014-AIRFORCE_V2-RDTE_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_MasterJustificationBook_Air_Force_PB_2014.xml","5e97a47c9c76d773cf18e63f57f1bcb6a6ebe345d838b9c48e4a6ee0f4d8544c","0-d7d97f246bde540c4d8d33c70dd9e5d6918d14da24301942b1ad6b0512932638","30.000","Conducted research supporting space situational awareness.","0-9379fab7fde8be61442dc36259990f7c7c4f0d93cb228d54932eea046e7e476b","root.record.ProgramElement.ProjectList.Project"
"Cyber Security Research","","","2014-BASE_RDTE-2014-AIRFORCE_V2-RDTE_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_MasterJustificationBook_Air_Force_PB_2014.xml","ccd3c9d5f9f5f11cd39b6cc862c68920318ea4909563a339c95f9748118b325d","0-2baf66a5ab0cab0524afab392cc43a7e1ac04c7238f91200bbd9fc0f7223cfcd","12.000","Conducted Congressionally directed cyber security research program.","0-7e13aea1bffb8b86c0ec16803b15315057dbfefff9bdf5e2d16d4b9b8db89f08","root.record.ProgramElement.ProjectList.Project"
"Silicon Carbide Composites Research","0.000","N/A","2014-BASE_RDTE-2014-AIRFORCE_V2-RDTE_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_MasterJustificationBook_Air_Force_PB_2014.xml","4d62cc4151cfa959da3c5eb42e9dcbff40ef88e6d7cc80072ea6c4169aadd21e","0-ef7e2da3bc8db342807ff824251e27d156179d1bcec4ee721267ea90f71b94a8","12.500","Conducted Congressionally-directed effort.","2-216491aea3ec60f9b8c1bb367de23cb7476e42f96ffb09cbee79f3588eb3925e","root.record.ProgramElement.ProjectList.Project"
"Advanced Materials Research","0.000","N/A","2014-BASE_RDTE-2014-AIRFORCE_V2-RDTE_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_MasterJustificationBook_Air_Force_PB_2014.xml","4d62cc4151cfa959da3c5eb42e9dcbff40ef88e6d7cc80072ea6c4169aadd21e","1-cf7527cd437e5818e2e81a264705a4da8279607019679e6a44ec948d5be744f0","8.500","Conducted Congressionally-directed effort.","2-216491aea3ec60f9b8c1bb367de23cb7476e42f96ffb09cbee79f3588eb3925e","root.record.ProgramElement.ProjectList.Project"
"Program Increase","","","2014-BASE_RDTE-2014-AIRFORCE_V2-RDTE_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_MasterJustificationBook_Air_Force_PB_2014.xml","b896273322b43d258e58588132e43055f64c61ef016ae4346d5424fb1e2c350c","0-6824906342a23cbcde43a49c13f59800b1a33cfa1fc8e0af6af99eee2010b34d","10.000","Conducted Congressionally-directed effort for Program Increase.","0-a3375eda1311e3660442485ad649f3e170735d47ca903884e37d2dfec9b4fdb4","root.record.ProgramElement.ProjectList.Project"
"Blue Devil 1","","","2014-BASE_RDTE-2014-AIRFORCE_V2-RDTE_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_MasterJustificationBook_Air_Force_PB_2014.xml","b896273322b43d258e58588132e43055f64c61ef016ae4346d5424fb1e2c350c","0-358bd0436f8328f032aa99d8147e01067cf0ff7ec677b571ae973fcbf1ddb090","58.600","Supported Blue Devil 1 operations in theater.","1-fcb7ab92088867075890f9cdeb6c3e1ebfff5b667a98563f8b5090eff995b192","root.record.ProgramElement.ProjectList.Project"
