Title_val,Description_val,Accomplishment_PriorYear_Funding_val,Accomplishment_PriorYear_Text_val,Accomplishment_PriorYear_Articles_val,PlannedProgram_CurrentYear_Funding_val,PlannedProgram_CurrentYear_Text_val,PlannedProgram_CurrentYear_Articles_val,PlannedProgram_BudgetYearOne_Funding_val,PlannedProgram_BudgetYearOneBase_Funding_val,PlannedProgram_BudgetYearOneBase_Text_val,PlannedProgram_BudgetYearOneOCO_Funding_val,PlannedProgram_BudgetYearOneOCO_Text_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Major Thrust 1.","Develop satellite threat warning technologies and tools for space defense.  Exploit on-board inherent satellite resources, satellite-as-a-sensor, and self-aware satellite technologies.","5.079","Completed laboratory testing of potential defensive subsystems.  Developed performance goals using engineering models.  Transitioned dual usage sensor technology to multiple satellite systems.","","5.915","Develop technologies for on-orbit threat detection, assessment, and response, including development of algorithms for pursuit-evasion, space-based tasking, and co-orbital threat detection.  Reduce size, weight, and power requirements for next-generation proximity detection sensors.","","4.230","4.230","Continue technology development of advanced on-orbit threat detection, assessment, and response, including data processing and handling for course of action determination, space-based tasking, and co-orbital threat detection.  Reduce size, weight, and power for next-generation proximity detection sensors.","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bfe00fe680fd763fcb8369c1ee244226cc990d73dea4bef8cc7ccf5d9f4e041d","0-1557f62388277eef1dd804da748fa561917e7b6afc61b2d45750b320279f5fca","2-1edcb8837a3e2706ceaf524d7464c772f218afe92cdf3cb449089d6250174c26","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 1.","Develop technologies for advanced space platform subsystems such as cryocoolers, compact, high efficiency solar power cells and arrays, and innovative power generation concepts.","4.682","Completed cryocooler component and system models with experimental data, and began to analyze cryocoolers as a single unit.  Began to develop full-scale design equations for cryocoolers, increasing efficiency by 20% and decreasing manufacturing time by 200%.  Demonstrated integrated, monolithic thin-film tandem solar cell.  Demonstrated subcomponents of ultra high efficiency solar cell.","","7.575","Begin effort to increase cryocooler efficiency from 12% to 30% through in-house modeling, energy analysis of single and multi-stage coolers, and distributed cooling.  Begin to research effective low and zero vibration cryocooler technologies, including solid state coolers.  Model spacecraft thermal radiation signature phenomenology to understand the physics of IR sensing of resident space objects.  Continue development of materials and concepts for 40% or greater solar cells.  Demonstrate cell interconnect and module technologies to enable flexible arrays.","","4.977","4.977","Continue to increase cryocooler efficiency from 12% to 30% through modeling, energy analysis of single and multi-stage coolers, and cross gimbal/distributed cooling.  Continue to research effective low and zero vibration cryocooler technologies, including solid state coolers.  Continue to investigate approaches and concepts for development of greater than 40% solar cells.  Continue development of novel flexible array technologies to enable greater launch volume stowage efficiency.","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bfe00fe680fd763fcb8369c1ee244226cc990d73dea4bef8cc7ccf5d9f4e041d","0-2cf70bd955d086d4ccbd0efa7afc7bd22f20690e373f3255d68f00aa65656967","3-6eeae6d531e88fbbea605653bd14b8b38083a7627a4784c6d86dd52eddb70f3e","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 2.","Develop revolutionary and enabling technologies, including lighter weight, lower cost, high performance structures for space platforms; guidance, navigation, and controls hardware and software for next generation of space superiority systems.","17.232","Developed integrated thermal management subsystems for satellites.  Developed nano-reinforced structures for space applications.  Developed advanced guidance, navigation, and control algorithms for rapid integration and test of satellite hardware.  Developed autonomous guidance, navigation, and control algorithms for proximity operations.","","15.683","Complete integrated thermal management subsystem for satellites applications.  Develop novel technologies for high-efficiency deployable structures for RF frequencies and electro-optical payloads for SSA.  Develop automated guidance, navigation, and control subsystem design tools for spacecraft.  Investigate non-cooperative control techniques for orbital debris removal applications.  Initiate development of advanced estimation-based algorithms for search, detect and track of space objects.  Initiate development of next-generation electronics to enable more rapid spacecraft build and reduce spacecraft cost.  Develop technologies for integrated satellite bus checkout and sensor calibration using autonomous flight architecture.","","11.714","11.714","Produce experimental flight hardware for thermal management of high power systems.  Develop capabilities for characterizing novel, structural materials in a relevant environment.  Complete efforts for automated guidance, navigation, and control subsystem design tools for spacecraft.  Demonstrate and transition advanced estimation-based algorithms for search, detect, and track of space objects.  Continue development of next-generation electronics to enable rapid spacecraft build and reduce spacecraft cost.  Demonstrate autonomous flight architecture enabling rapid software configuration and checkout.","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bfe00fe680fd763fcb8369c1ee244226cc990d73dea4bef8cc7ccf5d9f4e041d","1-42d08d4168ff36530a24cae034c4a447fd6cec2107cc91d05021c4e1a39e94a5","3-6eeae6d531e88fbbea605653bd14b8b38083a7627a4784c6d86dd52eddb70f3e","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 3.","Develop flight experiments to improve the capabilities of existing operational space systems and to enable new transformational space capabilities.","14.666","Performed ground-based experiments in support of radiation belt remediation technologies.  Completed DSX and payload integration and functional/environmental testing for radiation belt remediation payload.  Completed development of ground support equipment and software.","","21.197","Complete assembly, integration, and test of the DSX satellite to launch ready.  Continue operations concept planning and development and design and build DSX mission planning tools for on-orbit operations.","","24.919","24.919","Begin launch readiness preparations, electrical trailblazer, insertion of flight batteries and communications security equipment, and regression testing with satellite operations center in preparation for integration on the launch vehicle.","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bfe00fe680fd763fcb8369c1ee244226cc990d73dea4bef8cc7ccf5d9f4e041d","2-8c199fb309678e8260071739dbd924686c80a0f544345ff28719fc158687a742","3-6eeae6d531e88fbbea605653bd14b8b38083a7627a4784c6d86dd52eddb70f3e","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 1","Develop advanced seeker technologies for air-delivered munitions to provide high confidence target discrimination and classification, precise target location, and robust terminal tracking.","1.893","Completed model verification and demonstration of optical seeker technologies to improve targeting of obscure targets.  Continued development and evaluation of test components for laser ranging, multi-mode, and synthetic aperture and high resolution radar seeker technologies for guidance in adverse weather.  Continued developing theory for seeker/sensor fusion, autonomous target recognition using differential geometry and topology, and application of neurophysiology of insects to guide small vehicles to moving targets.  Investigated guidance technologies that optimize delivery of selectable effects munitions through countermeasures.  Began development of seeker technology for adverse weather capability for small weapons, hypersonic environments, and discriminating tunnels and surface aimpoints for boosted/high speed penetrators.","","2.024","Continue laboratory development and evaluation of test components for laser ranging, improved multi-mode, adverse weather synthetic aperture and high resolution radar modes seekers.  Begin technology development of very low-cost, adverse weather capable, radar seeker for small weapons.  Develop theory for seeker sensor fusion and autonomous target recognition, and study multi-weapon and conformal apertures for enhanced resolution and beam forming on small cooperative weapons.  Continue applying the neurophysiology of insects to guide small vehicles to moving targets, investigate guidance technologies that optimize delivery of selectable effects munitions through countermeasures and develop dual mode seeker for hypersonic environments and discriminating tunnels and surface aimpoints for boosted/high-speed penetrators.","","4.487","4.487","Develop technologies that simplify, increase the flexibility, and reduce the cost of passive and active electro-optical, infrared, and radar munition seekers, with focus on combat operations in adverse weather and in high-speed engagements.  Increase emphasis on seeker technologies that provide enhanced mission capability for fifth-generation aircraft, specifically as it applies to success in denied or anti-access environments.  Continue developing algorithms and processing technologies to acquire and track targets with and without an operator in the loop.  Continue pursuing revolutionary bio-inspired seeker technologies to increase immunity to countermeasures, to exploit multi-discriminant signatures, and to reduce the size and cost of detectors.","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","52c5a9a501665140ca8d9183f1a83b911cd87e84ff0cb97408e8bdb58a6e3d86","0-5b114e6edbf05f232bc0d4a9d8728a5bc86c971728509a3e5b0653ebad259a8d","0-8282224d437d3176cfe8a3d90db5206b836342ad74bd67eb310183be62c92d3a","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 2","Develop advanced weapon aerodynamic, control, navigation, and networking technologies for air-delivered munitions to provide precise, agile flight, networked effects, and immunity to countermeasures.","8.773","Continued developing and evaluating advanced weapon airframe and control concepts to achieve high levels of agility and maneuverability, developing multi-functional structures, and evaluating navigation systems within Global Positioning System (GPS) jamming environments.  Continued development of algorithms to use wide field-of-view optical imager data, enabling navigation under GPS-denied conditions.  Determined feasibility of highly compact, high throughput avionics processors and mature technologies allowing weapons to communicate and exploit information in a secure, low probability of detection mode with launch platforms, other weapons, and/or ground elements.  Began developing robust control methodologies for terminal guidance and control and actuation technologies for future weapon concepts.","","9.338","Continue developing advanced weapon airframe and control concepts to achieve high levels of agility and maneuverability, developing multi-functional structures, and evaluating navigation mode with other systems.  Continue developing nonlinear, robust control methodologies for future weapons, such as high-speed terminal guidance on long-range strike weapons and control and actuation technologies for boosted penetrators systems within GPS jamming environments.  Continue development of algorithms to use wide field-of-view optical imager data, enabling navigation under GPS-denied conditions.  Develop highly compact, high throughput avionics processors, and continue maturing technologies allowing weapons to communicate and exploit information in a secure, low probability of detection.","","15.356","15.356","Continue developing technologies that achieve precision navigation under GPS-degraded and GPS denied conditions.  Identify and pursue additional weapon navigation and control networking technologies that provide enhanced mission capability in denied or anti-access environments.  These technologies facilitate agile and maneuverable weapons, foster autonomy, trust, and networking, and enable precise munition control and actuation, especially for boosted penetrating munitions or during high-speed engagements.","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","52c5a9a501665140ca8d9183f1a83b911cd87e84ff0cb97408e8bdb58a6e3d86","1-1a130018d7e432ce40df26b9c1959135ba296d8aac5728982e2e6fde7ef203fb","0-8282224d437d3176cfe8a3d90db5206b836342ad74bd67eb310183be62c92d3a","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 3","Develop guidance subsystem integration and evaluation technologies to provide open and closed loop ground testing, flight test risk reduction, and digital simulation of advanced concepts.","8.889","Continued investigating precision guided munition integration technology issues and functionality in various flight environments and refining the set of interoperable simulations to evaluate emerging munitions guidance technologies.  Continued evaluating multi-weapon search and attack technologies on a time critical moving target.  Simulated highly innovative concepts and approaches in guidance and control technology, and develop capability to test and refine development programs and future weapon concepts in a realistic operational environment.  Began development of seeker scene projection technologies and dynamic simulation technologies for terminally guided weapons.","","9.458","Investigate precision guided munition integration technology issues and functionality in various flight environments and refine the set of interoperable simulations to evaluate emerging munitions technologies.  Simulate highly innovative concepts and approaches in guidance and control technology.  Develop capability to test and refine development programs and future weapon concepts in a realistic operational environment.  Continue multi-weapon search and attack technologies on a time critical moving target.  Begin build-up of test technologies for evaluating higher speed weapon guidance subsystem.","","13.112","13.112","Develop precision guided munition integration technology issues and functionality.  Expand efforts to develop the capability to simulate, test, and refine innovative seeker concepts and navigation and control approaches in a realistic operational environment.  Increase emphasis on guidance integration and evaluation technologies that provide enhanced mission capability for fifth-generation aircraft.  Continue pursuing multiweapon search and attack technologies on a time critical moving target.  Continue the build-up of test technologies for evaluating higher speed weapon guidance subsystems.","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","52c5a9a501665140ca8d9183f1a83b911cd87e84ff0cb97408e8bdb58a6e3d86","2-de9605df40eddb5ea03858f3e1c5fc049190d3b4d8092d7d7fc3db0093bb953d","0-8282224d437d3176cfe8a3d90db5206b836342ad74bd67eb310183be62c92d3a","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 1.","Investigate and develop energetic materials technology that can maximize weapon lethality, while applying appropriate safety and security features.","5.743","Completed the materials properties database to develop system level models for predicting initiation.  Tested and modeled explosive fills that reduce pre-detonation during high G loading.  Developed low-density energetic materials for micro-munitions applications.  Investigated high-density case materials to tailor or improve warhead performance.","","5.586","Test and model explosive fills that reduce pre-detonation during high G loading.  Develop low-density energetic materials for micro-munitions applications.  Investigate high-density case materials to tailor or improve warhead performance.","","6.267","6.267","Develop, model, and test explosive fills that reduce pre-detonation during high G loading.  Continue developing low density energetic materials for small munition applications.  Exploit new nanoenergetic materials to enhance and tailor explosive effects.  Increase emphasis on developing energetic materials that enable increased capability and capacity for fifth-generation aircraft.","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","52c5a9a501665140ca8d9183f1a83b911cd87e84ff0cb97408e8bdb58a6e3d86","0-5ecd1d6ade8844227b479c23b17655621182f11fdc7b1f2566c76df3f0099cbc","1-2ef2cc5b6076adce64f5c3d8df0c025945c949ead4a1e5d5b90b7299e2f3e8be","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 2.","Investigate and develop fuzes for air-delivered weapon applications to develop novel energetic initiation concepts, penetration fuzing, point burst fuzes, and develop predictive models.","6.226","Continued investigating novel methods to initiate explosives, including new modeling and testing techniques. Continued to investigate and characterize the mechanical environment that a fuze must survive during hard target penetration events.  Continued to explore ground profiling imaging fuze technology.  Continued development of a hardened chip fuze that uses integrated logic.","","6.068","Continue investigating novel methods to initiate explosives, including new modeling and testing techniques. Continue to investigate and characterize the mechanical environment that a fuze must survive during hard target penetration events.  Continue to explore ground profiling imaging fuze technology.  Continue development of a hardened chip fuze that uses integrated logic.","","9.252","9.252","Expand effort to investigate novel methods to initiate explosives, including new modeling and testing techniques.  Increase emphasis on fuze technologies that enable increased capacity and capability of fifth-generation aircraft, specifically as it facilitates success in denied or anti-access environments.  Continue to investigate and characterize the mechanical environment that a fuze must survive during hard target penetration events.  Continue to explore ground profiling imaging fuze technology, and develop a hardened chip fuze that uses integrated logic.","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","52c5a9a501665140ca8d9183f1a83b911cd87e84ff0cb97408e8bdb58a6e3d86","1-607a15f362f1b13a04d899d72a52353267139e96530dc9e9656967714184834f","1-2ef2cc5b6076adce64f5c3d8df0c025945c949ead4a1e5d5b90b7299e2f3e8be","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 3.","Investigate and develop advanced warhead kill mechanisms, such as adaptable warheads, directional control, fragmenting warheads, and application of reactive metals.","6.958","Developed compact lethality warhead technologies for use in urban terrain.  Continued investigating directional warhead concepts employing reactive fragments to improve standoff kills for non-direct hit encounters.  Continued developing numerical algorithms for material-to-material interface dynamics, loading, and vibration during high-speed penetration.  Continued investigating techniques to control, direct, and focus the energy release from explosives in real-time by means of applying small amounts of electromagnetic energy.  Investigated novel warhead designs that provide warfighting capability to deliver selectable effects on targets.","","6.787","Develop compact lethality warhead technologies for use in urban terrain.  Continue investigating directional warhead concepts employing reactive fragments to improve standoff kills for non-direct hit encounters.  Continue developing numerical algorithms for material-to-material interface dynamics, loading, and vibration during high-speed penetration.  Continue investigating techniques to control, direct, and focus the energy release from explosives in real-time by means of applying small amounts of electromagnetic energy.  Investigate novel warhead designs that provide warfighting capability to deliver selectable effects on targets.","","6.824","6.824","Continue developing novel warhead technologies, especially those that enable small, agile munitions or that provide the capability to deliver selectable effects on targets.  Continue investigating directional warhead concepts to improve standoff kills for non-direct hit encounters by employing reactive fragments or by utilizing a forward focusing fragment capability.  Continue developing tools to better predict material-to-material interface dynamics, loading, and vibration during high-speed penetration.","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","52c5a9a501665140ca8d9183f1a83b911cd87e84ff0cb97408e8bdb58a6e3d86","2-38a7517a28abab940703a0e678e36b79f39e005dcfdaa05ec0138faf9db1d725","1-2ef2cc5b6076adce64f5c3d8df0c025945c949ead4a1e5d5b90b7299e2f3e8be","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 4.","Using a system approach, investigate and develop ordnance concepts by making technology trades between fuzes, warheads, and explosives and by improving weapon carriage, release, and dispensing.","21.883","Continued investigation of precision guided munition integration issues and functionality in various flight environments.  Continued building and using interoperable simulations to evaluate emerging technologies.  Continued developing and enhancing new models and improvements for micromunitions, penetrators, and counter-chemical, biological, radiological, and nuclear effects.","","21.395","Continue investigation of precision guided munition integration issues and functionality in various flight environments.  Continue building and using interoperable simulations to evaluate emerging technologies.  Continue developing and enhancing new models and improvements for micromunitions, penetrators, and counter-chemical, biological, radiological, and nuclear effects.","","21.877","21.877","Continue investigation of precision guided munition integration issues and functionality in various flight environments.  Continue building and using interoperable simulations to evaluate emerging technologies.  Continue developing and enhancing new models and improvements for small munitions, penetrators, and counter chemical, biological, radiological, and nuclear effects.  Increase emphasis on advanced ordnance concepts that increase the capacity and capability of fifth-generation aircraft.","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","52c5a9a501665140ca8d9183f1a83b911cd87e84ff0cb97408e8bdb58a6e3d86","3-5fec67bb06c6f31f7ff8234c2c9d4a0a7792a8565f2110f837b8c61ab005ae43","1-2ef2cc5b6076adce64f5c3d8df0c025945c949ead4a1e5d5b90b7299e2f3e8be","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 1.","Investigate regulated, broad-spectrum, variable-energy lasers, laser arrays, and novel bright incoherent light sources.","11.026","Extended studies on infrared semiconductor diode lasers to increase available power, efficiency, and wavelength range, at various temperatures. Studied efficient nonlinear optical techniques capable of efficiently converting the wavelength of existing lasers to mid- and long-wave infrared, while capable of handling very high average power.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","079feb913803963c56c4e238fb1e2500b0e7d372a84b6bcb24f20551a77c92f0","0-eb5f50f7d0b32bb3f6a8ff322267624bccbe50c6167759c855d9f087b3170021","0-e3e27469d409800759b1871d0e492190ab24d3754b5722fee5b6a2d190e9d3dc","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 2.","Explore high-energy, electro-energetic device concepts and manipulation of atomic and molecular properties, atomic collision processes.","14.240","Continued to explore frequency comb techniques and ultracold atoms and molecules for precision measurement applications. Explored techniques in micro- and nano-fabrication that better lend themselves to affordable, high-volume fabrication of ultra-high-frequency, compact high-power electromagnetic radiation sources. Continued examination of materials science innovations that promise to advance the state-of-the-art in low work-function field-emission (cold) high current density cathodes. Continued innovations in 3-D modeling of high power microwave (HPM) sources with emphasis on speeding execution times.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","079feb913803963c56c4e238fb1e2500b0e7d372a84b6bcb24f20551a77c92f0","1-124141c346cb0274ceb2242cf4060bc5b1e867c442b0e2fc9359f2e51d3e0e5c","0-e3e27469d409800759b1871d0e492190ab24d3754b5722fee5b6a2d190e9d3dc","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 3.","Advance technologies for space sensors, imaging, identification and tracking methods, and effective space situational awareness.","6.010","Continued to develop new sensing modalities that reduce limits on optical resolution and precision tracking of space objects. Investigated new methods of uniquely identifying unresolved space objects and incorporated this investigation in the identification of uncorrelated space objects. Continued study of the physics of signatures in the scattering and reflection of light during active imaging. Expanded research into fundamental processes and energy sources affecting satellite drag leading to improved understanding of precursors to atmospheric density variations.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","079feb913803963c56c4e238fb1e2500b0e7d372a84b6bcb24f20551a77c92f0","2-a932920f42acdf6707671944b59faca85b07e177c0f1435401d43fe70d40068c","0-e3e27469d409800759b1871d0e492190ab24d3754b5722fee5b6a2d190e9d3dc","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 4.","Research space environment to improve solar plasma theories and modeling in the areas of solar phenomena, space weather, magneto/ionosphere effects, and adaptive optics.","6.271","Investigated proxy indicators of ionospheric and atmospheric processes that could be sensed using inexpensive but effective techniques. Investigated methods to exploit grid-free calculations of plasma processes in the magnetosphere and ionosphere as well as in the solar atmosphere and solar wind. Continued the study of energy flow between solar and terrestrial environments. Continued to study plasma instabilities and plasma processes in the equatorial and polar ionospheres.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","079feb913803963c56c4e238fb1e2500b0e7d372a84b6bcb24f20551a77c92f0","3-36af86904a89b9063b3173e01778c134f01e8d10cf78a664f26b324f02f0dada","0-e3e27469d409800759b1871d0e492190ab24d3754b5722fee5b6a2d190e9d3dc","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 5.","Research physical mathematics and applied analysis to develop accurate models of physical phenomena to enhance the fidelity of simulation. Conduct research in electromagnetics.","10.406","Increased basic research support for designing small, highly directive sources which can provide both secure communication and sophisticated waveforms which optimally propagate through various dispersive media. These sources included semiconductor lasers which are optically pumped and, in addition, might be combined to form partially coherent beams which are predicted to be less disturbed by atmospheric turbulence than are standard fully coherent laser beams. Continued support of circuit upset research with emphasis on digital circuits.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","079feb913803963c56c4e238fb1e2500b0e7d372a84b6bcb24f20551a77c92f0","4-bc8fa35217231e73005c3ea14de018bea0b4b5a55bf0670743ff56655f6e03e0","0-e3e27469d409800759b1871d0e492190ab24d3754b5722fee5b6a2d190e9d3dc","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 1.","Explore the integration of advanced materials, nano-materials, and devices into turbine engines, air vehicles, space systems, and other weapon systems.","9.413","Expanded research in the area of multifunctional materials and microsystems for autonomic sensing and self-diagnosis of exogenous threats. Continued research in the area of multifunctional materials and microsystems for reconfigurable structures allowing shape change and property tuning. Continued research in the areas of prognostics, autonomics, self-healing, thermal management, energy harvesting/storage, electromagnetic energy radiation/transmission, and micro-/nano-mechanics to enable safer and more durable aerospace structures with improved performance characteristics. Further developed the fundamental knowledge required to design and manufacture multi-functional aerospace material systems and devices and to predict their performance and structural integrity.","","0.000","N/A","","0.000","0.000","N/A","","","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","079feb913803963c56c4e238fb1e2500b0e7d372a84b6bcb24f20551a77c92f0","0-643da864aa95085147348cb9c3978e4081234901dd4673017746a990f937f816","1-e01a4706838aa5c63c26c1ad66cb91cb46dfc7410030110aa7a93c1f53fb8ef7","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 2.","Analyze structural fatigue and mechanics, adaptive structures, and material properties to improve the design, robustness, and performance of air and space systems.","10.236","Continued to seek new and revolutionary flight structure concepts that will permit broader operational capabilities, a faster reconfigurable ability, and more affordable accelerated fabrication. Investigated new structures of novel materials developed under the advanced materials programs. Expanded the understanding of structural health monitoring sensors and techniques, and tested the developed new science under laboratory conditions. Enhanced the understanding of dynamic and mechanical behavior of flight structures under extreme environments such as intense vibration, nonlinear structural dynamics, unsteady aero-thermo-elastic effects, and directed energy effects to increase operational survivability and mission success.","","0.000","N/A","","0.000","0.000","N/A","","","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","079feb913803963c56c4e238fb1e2500b0e7d372a84b6bcb24f20551a77c92f0","1-4d6ef90622c29a94752c28381f1dd9bb88699c20bdba2952a15b36ae111d5528","1-e01a4706838aa5c63c26c1ad66cb91cb46dfc7410030110aa7a93c1f53fb8ef7","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 1.","Research and characterize molecular dynamics, reaction mechanics/interactions, and theoretical chemistry to model, predict, control, and exploit atomic and molecular energetics.","16.985","Studied a fundamental understanding of basic chemical and physical processes on the nanoscale. Developed methods that can describe material behavior from the atomic level through mesoscopic and macroscopic scales and simulated chemical processes to model bulk scale properties. Developed theoretical methods to predict energy and density of novel energetic materials. Explored methods to use catalysis to improve energy utilization and storage. Created new selective and sensitive sensors for detecting trace species. Performed experiments and simulations to understand chemical processes in space for situational awareness. Investigated processes needed to assess scalability of hybrid laser concepts.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","079feb913803963c56c4e238fb1e2500b0e7d372a84b6bcb24f20551a77c92f0","0-663de78b660dbe98f5212cbc9253ea2e20cea3d9608b16f32094c2f905dc70fd","2-498d16bc5c74e881f9759791b69f283d47835c3f906d326fe92c4f1e589ac868","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 2.","Enhance fundamental understanding of polymer chemical structures, reactivity, molecular engineering, processing controls, and materials technologies.","13.010","Explored organic transistors with flexibility, mechanical robustness and higher performance or equivalent of a-Si transistors. Explored rewritable color 3-D hologram displays using photorefractive polymers. Assessed feasibility of controlling chirality of molecular structures to achieve negative index behavior in the optical or infrared range.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","079feb913803963c56c4e238fb1e2500b0e7d372a84b6bcb24f20551a77c92f0","1-ee5e6808d39daea0d7d27ecf8e02edaccff13703860bd9a7fd36dbc55bb0151d","2-498d16bc5c74e881f9759791b69f283d47835c3f906d326fe92c4f1e589ac868","root.record.ProgramElement.ProjectList.Project"
"Major Thrust 3.","Characterize, model, and exploit the fundamental chemistry and physics that govern surface and interfacial degradation from completely frictionless to total deterioration.","10.091","Applied knowledge of chemical and morphological effects on degradation of simple surfaces towards development of theoretical and predictive models for degradation of complex and hybrid surfaces and materials across multiple length scales. Investigated fundamental chemistry and physics of surface wear driving towards a comprehensive understanding of the role of the chemical environment. Developed real-time nano-tribological instrumentation capable of in-situ friction, adhesion, and wear experimentation.","","0.000","N/A","","0.000","0.000","N/A","0.000","N/A","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","079feb913803963c56c4e238fb1e2500b0e7d372a84b6bcb24f20551a77c92f0","2-87917587983767341aa4dd7a8cf5512468fbb15611eeb4e4f1c86559870d1030","2-498d16bc5c74e881f9759791b69f283d47835c3f906d326fe92c4f1e589ac868","root.record.ProgramElement.ProjectList.Project"
