Title_val,Description_val,Accomplishment_PriorYear_Funding_val,Accomplishment_PriorYear_Text_val,PlannedProgram_CurrentYear_Funding_val,PlannedProgram_CurrentYear_Text_val,PlannedProgram_BudgetYearOne_Funding_val,PlannedProgram_BudgetYearOneBase_Funding_val,PlannedProgram_BudgetYearOneBase_Text_val,PlannedProgram_BudgetYearOneOCO_Funding_val,PlannedProgram_BudgetYearOneOCO_Text_val,PlannedProgram_AppChangeSummary_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"High Power Aircraft Subsystem Technologies","Develop and demonstrate integrated architecture, controls and components for power generation, conditioning, and distribution; energy storage components; and thermal management and subsystem technologies for integration into high power aircraft.","6.723","Continue development and demonstration of system and component electrical power, electro-mechanical, and thermal technologies for high-power aircraft. Continue development of actuation technology for applications with power, volume, and thermal limitations. Continue the development of hybrid-cycle power and thermal management system. Continue development of advanced power generation and distribution system. Continue development and demonstration of integrated, adaptive megawatt-class tactical aircraft power and thermal capability.","13.934","Continue development and demonstration of system and component electrical power, electro-mechanical, and thermal technologies for high-power aircraft. Continue development of actuation technology for applications with power, volume, and thermal limitations. Continue the development of hybrid-cycle power and thermal management system. Continue development of advanced power generation and distribution system. Continue development and demonstration of integrated, adaptive megawatt-class tactical aircraft power and thermal capability. Initiate development and demonstration of megawatt class architecture, controls and integration.  Initiate development and demonstration of robust electrical power systems for megawatt applications.  Initiate development and demonstration of thermal management systems for megawatt applications.  Initiate development and demonstration of solid state electrical distribution technology for megawatt applications.","23.954","23.954","Continue development and demonstration of system and component electrical power, electro-mechanical, and thermal technologies for high-power aircraft. Continue development of actuation technology for applications with power, volume, and thermal limitations. Continue the development of hybrid-cycle power and thermal management system. Continue development of advanced power generation and distribution system. Continue development and demonstration of integrated, adaptive megawatt- class tactical aircraft power and thermal capability. Continue development and demonstration of megawatt class architecture, controls and integration. Continue development and demonstration of robust electrical power systems for megawatt applications. Continue development and demonstration of thermal management systems for megawatt applications. Continue development and demonstration of solid state electrical distribution technology for megawatt applications.","","","FY 2019 increased compared to FY 2018 by $10.020 million. Justification for the increase is due to increased emphasis in high power aircraft subsystems.","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","a434e353f7ff42662b11f47fc3ffec28265e062091271866a44939091ae06508","0-b513b3992cbe6d73156fbc949e888f69bccbe50e9558892235cd24cc53c3dc85","1-2e6736846a7e1cf4cf2b6b8a6c5f7d50d4bbc8abc5e0eddbb1e8f1aa7ee95018","root.record.ProjectList.Project"
"Missile/Remotely Piloted Aircraft Engine Performance","Design, fabricate, and test component technologies for limited-life engines to improve the performance, durability, and affordability of missile and remotely piloted aircraft engines.","10.650","Initiate follow-on conceptual design and fabrication effort for improved capability supersonic, long endurance turbine engines at simulated altitude conditions. Conduct ground test of subsonic small turbine engine for missile application. Increase effort in efficient limited-life medium scale propulsion development for future Intelligence, Surveillance, and Reconnaissance (ISR) and strike capability.","10.653","Complete supersonic turbojet engine altitude testing.  Complete Preliminary Design Review (PDR) of medium-scale efficient core demonstrator.  Initiate detailed design of medium-scale efficient core demonstrator.  Continue risk reduction testing of components for 200lb thrust and 650lb thrust engines.  Complete PDR of 200lb thrust engine and Critical Design Review (CDR) of 650lb thrust engine.   Complete PDR of durability test utilizing small scale cruise missile engine to validate advanced design and life prediction tools for medium and large engine applications.  Continue the development of derivative supersonic turbojet engines for missile and high speed accelerators.  Initiate design of advanced turbine based accelerator with reusable hypersonics applications.  Continue the assessment of Air Force Research Laboratory (AFRL) vehicle and propulsion system integration efforts.","10.746","10.746","Complete detailed design of and CDR of a medium-scale efficient core demonstrator.  Initiate risk reduction component testing of a medium-scale efficient core demonstrator.  Continue risk reduction testing of components for 200lb thrust and 650lb thrust engines.  Complete CDR of 200lb thrust engine.  Completion of testing of 650lb engine.  Complete CDR of durability test utilizing small scale cruise missile engine to validate advanced design and life prediction tools for medium and large engine applications.  Continue the development of derivative supersonic turbojet engines for missile and high speed accelerators.  Continue design of advanced turbine based accelerator with reusable hypersonics applications.  Continue the assessment of AFRL vehicle and propulsion system integration efforts.","","","FY 2019 increased compared to FY 2018 by $0.093 million. Justification for this increase is described in the plans above.","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","a434e353f7ff42662b11f47fc3ffec28265e062091271866a44939091ae06508","0-9a3a980fcf7bacf9b37651911b1f82e06a7bb06eb9ab7f80a6669bf80f4dbbbd","2-51197335d7609adc94a85a1c91edadf8f6a8063551f03d6e4c693977ecabbb00","root.record.ProjectList.Project"
"Adaptive Turbine Engine Technologies","Design, fabricate, and demonstrate performance, durability, and operability technologies to mature adaptive turbine engine technologies.","7.246","Support successful technology transition to Adaptive Engine Transition Program. This work includes completing fabrication, instrumentation and assembly of core experimental adaptive turbine engine. Initiating and completing ground testing of first core experimental adaptive turbine engine. Completing the assessment of the acquired and processed data from the ground testing of core experimental adaptive turbine engines and comparison to analytical prediction tools to validate reduced specific fuel consumption, improved thrust-to-weight, and reduced cost.","7.249","Complete ground testing of experimental adaptive turbine engine core. Initiate and complete the assessment of the acquired and processed data from the ground testing of experimental adaptive turbine engine core and comparison to analytical prediction tools to validate reduced specific fuel consumption, improved thrust-to-weight, and reduced cost. Continue to provide subject matter expert support to Adaptive Engine Transition Program (AETP) to ensure knowledge transition and successful incorporation of test results into AETP design. Initiate and complete design for integrated power and thermal management engine demonstrator to facilitate investigation and mapping of off-design operations for integrated propulsion, power and thermal management.  Initiate hardware fabrication for an adaptive engine for utilization as an integrated power and thermal management engine demonstrator.","7.312","7.312","Continue to provide subject matter expert support to AETP.  Complete fabrication of components for integrated power and thermal management engine demonstrator.  Continue hardware fabrication for an adaptive engine for utilization as an integrated power and thermal management engine demonstrator.","","","FY 2019 increased compared to FY 2018 by $0.063 million. Justification for this increase is described in the plans above.","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","a434e353f7ff42662b11f47fc3ffec28265e062091271866a44939091ae06508","1-ed65fc10df9b897423ee585db2d0463f2f158caf8a85a42dbc44c52f99b09c6d","2-51197335d7609adc94a85a1c91edadf8f6a8063551f03d6e4c693977ecabbb00","root.record.ProjectList.Project"
"Liquid Rocket Propulsion Technologies","Develop liquid rocket propulsion technology for current and future space launch vehicles.","19.837","Complete fabrication of the full-scale preburner and initiate testing. Complete critical design review (CDR) for the full-scale Turbopump and begin fabrication. Continue development of hydrocarbon engine components for integration and demonstration in an advanced hydrocarbon engine concept applicable to future expendable and reusable launch vehicles.","20.923","Complete development of hydrocarbon engine components and initiate preparation for integrated testing. Complete testing of the full-scale preburner. Continue fabrication of the Turbopump. Initiate study for next generation liquid propulsion technology demonstration effort focused on modularity and cost reduction.","19.314","19.314","Complete preparation for integrated testing. Complete fabrication of the Turbopump. Continue study for next generation liquid propulsion technology demonstration effort focused on modularity and cost reduction. Initiate integrated testing of hydrocarbon engines components","","","FY 2019 decreased compared to FY 2018 by $1.609 million. Justification for the decrease is due to a decreased emphasis in liquid rocket propulsion technology.","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","a434e353f7ff42662b11f47fc3ffec28265e062091271866a44939091ae06508","0-0e508bee918342640e28c846c351d30943a56506b77d43156008d284d499e1f1","3-706a89185d9409feafc583fe29df0850e8df22e0d2062843ea2e8bf6c802a7e7","root.record.ProjectList.Project"
"On-Orbit Propulsion Technologies","Develop solar electric, electric, and monopropellant propulsion technologies for existing and future satellites, upper stages, orbit transfer vehicles, and satellite maneuvering.","0.464","Initiate maturation of advanced thruster technologies with emphasis on longer lifetime and improved quantification of thrust profiles through experimental, theoretical and modeling and simulation approaches. Initiate development of experimental capability for longer-lifetime thruster testing, non-invasive diagnostic techniques to study plume composition, and improved fidelity thrust stands for thruster characterization. Initiate integration of system level and detailed modeling and simulation tools to improve selection of new candidate propellants and possible multimode propulsion alternatives. Initiate effort to extend and refine theoretical models for advanced propellant chemistry to assist with advanced chemical thruster design.","1.649","Continue to develop and transition experimental, modeling and simulation, and theoretical efforts geared towards advanced thruster development with additional emphasis on understanding thrust scale-up. Initiate the extension of the capability to study next generation of hypergolic fuels, including propellant characterization, drop-in testing, and lab-scale thruster demonstration. Continue analysis and development of multimode propulsion opportunities to combine high efficiency and high thrust capabilities on a common propellant.","1.756","1.756","Continue to develop and transition experimental, modeling and simulation, and theoretical efforts geared towards advanced thruster development with additional emphasis on understanding thrust scale-up. Continue to extend capability to study next generation of hypergolic fuels, including propellant characterization, drop-in testing, and lab-scale thruster demonstration. Continue analysis and development of multi mode propulsion opportunities to combine high efficiency and high thrust capabilities on a common propellant. Initiate thrust scale-up effort for advanced non-toxic mono-propellant thrusters.","","","FY 2019 increased compared to FY 2018 by $0.107 million. Justification for the increase is described in the plans above.","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","a434e353f7ff42662b11f47fc3ffec28265e062091271866a44939091ae06508","1-284b0c47b1051cfaf463a1eca3e5fd8f886c81c6c407c4848c7c4aa07e1beb8d","3-706a89185d9409feafc583fe29df0850e8df22e0d2062843ea2e8bf6c802a7e7","root.record.ProjectList.Project"
"Ballistic Missile Technologies","Develop and demonstrate missile propulsion and post-boost control systems technologies for ballistic missiles.","4.792","Continue technology demonstration effort on advanced missile case, insulation, and nozzle technologies and validation of physics- based modeling, simulation, and analysis tools. Initiate technology demonstration effort of post-boost technologies.","2.664","Continue technology demonstration effort on advanced missile case, insulation, and nozzle technologies and validation of physics-based modeling, simulation, and analysis tools for ballistic and tactical missile solid rocket motors. Continue technology maturation and demonstration efforts for post-boost technologies and tactical missile technologies.","4.682","4.682","Complete technology demonstration effort on advanced missile case, insulation, and nozzle technologies and validation of physics-based modeling, simulation, and analysis tools for ballistic and tactical missile solid rocket motors. Continue technology maturation and demonstration efforts for post-boost technologies and tactical missile technologies.","","","FY 2019 increased compared to FY 2018 by $2.018 million. Justification for the increase is an increased emphasis in ballistic missile technologies.","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","a434e353f7ff42662b11f47fc3ffec28265e062091271866a44939091ae06508","2-a21cd2539c057be7397dd37b01de64a3a4b380ea175312baf24a1dab543a5144","3-706a89185d9409feafc583fe29df0850e8df22e0d2062843ea2e8bf6c802a7e7","root.record.ProjectList.Project"
"Strategic System Motor Surveillance","Develop and demonstrate aging and surveillance technologies for strategic systems to reduce lifetime prediction uncertainty for individual motors, enabling motor replacement for cause.","1.220","Continue to apply next generation of chemical and aging mechanism modeling, simulation, and analysis tools, sensor schemes and tools, and non-destructive analysis tools. Continue advanced sensor analysis development efforts to further improve data acquisition and reduce uncertainty in ballistic missile life predictions. Continue to improve the fidelity and precision of non-destructive evaluation tools to increase the capability to determine flaw size, orientation, and location. Support transition of previous tools, models, data management system to user. Continue long-term validation of tools through long-term aging of sub-scale motors. Continue sub-scale motors dissection to validate the sensor and analytical analysis of each motor.","3.563","Continue to apply next generation of chemical and aging mechanism modeling, simulation, and analysis tools, sensor schemes and tools, and non-destructive analysis tools. Continue advanced sensor analysis development efforts to further improve data acquisition and reduce uncertainty in ballistic missile life predictions. Continue to improve the fidelity and precision of non-destructive evaluation tools to increase the capability to determine flaw size, orientation, and location. Continue the support of transition of previous tools, models, data management system to user. Continue long-term validation of tools through long-term aging of sub-scale motors. Continue sub-scale motors dissection to validate the sensor and analytical analysis of each motor. Initiate maturation and demonstration of advanced sensor, non-destructive evaluation, modeling and supporting technology development efforts to detect and explain phenomena to further improve data acquisition and reduce uncertainty in ballistic and tactical missile solid rocket motor life predictions.","3.512","3.512","Continue to apply next generation of chemical and aging mechanism modeling, simulation, and analysis tools, sensor schemes and tools, and non-destructive analysis tools. Continue advanced sensor analysis development efforts to further improve data acquisition and reduce uncertainty in ballistic missile life predictions. Continue to improve the fidelity and precision of non- destructive evaluation tools to increase the capability to determine flaw size, orientation, and location. Continue to support the transition of previous tools, models, data management system to user. Continue long-term validation of tools through long-term aging of sub-scale motors. Continue sub-scale motors dissection to validate the sensor and analytical analysis of each motor. Continue maturation and demonstration of advanced sensor, non-destructive evaluation, modeling and supporting technology development efforts to detect and explain phenomena to further improve data acquisition and reduce uncertainty in ballistic and tactical missile solid rocket motor life predictions.","","","FY 2019 decreased compared to FY 2018 by $0.051 million. Justification for the decrease is described in the plans above.","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","a434e353f7ff42662b11f47fc3ffec28265e062091271866a44939091ae06508","3-406067d4d1b7995fe134fd21b75520dd093b77a284c7e628fee71cc4b4af9b73","3-706a89185d9409feafc583fe29df0850e8df22e0d2062843ea2e8bf6c802a7e7","root.record.ProjectList.Project"
"Scramjet Technologies","Develop and demonstrate technologies for a hydrocarbon-fueled scramjet with robust operation up to Mach 7.","22.622","Continue development and demonstration of tactically compliant subsystems, including scramjet engine start system, fuel system, and engine controls. Complete additional component development and testing for insensitive munition compliant scramjet cold start system in both X-51 heritage, two-dimensional, engine lines and axisymmetric, three-dimensional, scramjet flow lines. Initiate direct-connect test of tactically compliant cold start system in flight weight hardware.  Continue development of scramjet technologies to enhance operability including robust operation during maneuvers. Continue accelerated development and demonstration of tactically-relevant long range high speed strike scramjet engine technologies including ground and flight demonstrations needed for potential follow-on acquisition program. Initiate fabrication of scramjet engine for air breathing weapon concept.","28.797","Initiate the design and analyze flight weight, medium scale high-speed propulsion systems in preparation for future ground test. Continue development and demonstration of tactically compliant subsystems, including scramjet engine start system, fuel system, and engine controls. Initiate direct-connect test of tactically compliant cold start system in flight weight hardware.  Continue development of scramjet technologies to enhance operability including robust operation during maneuvers.  Complete direct connect testing of medium scale engine components at the Aerodynamic and Propulsion Test Unit (APTU) in support of reusable air platform technology development.","20.194","20.194","Initiate scramjet combustor maturation efforts for flight-compliant designs based on results from direct connect testing of medium scale engine components at APTU.  Continue development and demonstration of tactically compliant subsystems, including scramjet engine start system, fuel system, and engine controls. Continue development of scramjet technologies to enhance operability including robust operation during maneuvers.  Continued accelerated development and demonstration of tactically-relevant long range high speed strike scramjet engine technologies including ground and flight demonstrations needed for potential follow-on acquisition program.","","","FY 2019 decreased compared to FY 2018 by $8.603 million. Justification for the decrease is due to realignment for hypersonics and laser technology.","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","a434e353f7ff42662b11f47fc3ffec28265e062091271866a44939091ae06508","0-29661ffdeaac93516c96834dca09b25ff08831b1486ca7ba79e73cc0f346c07b","4-74e3584e410d21ed524c0ecbcc6decbf191f89285c0b914516fb78a30336b570","root.record.ProjectList.Project"
"Core Engine Technologies","Design, fabricate, and demonstrate performance predictions in core engines, using innovative engine cycles and advanced materials for turbofan and for turbojet engines.","6.241","Finish assembly, instrumentation and test of core engine.  Begin design of medium-scale efficient core demonstrator.","5.463","Complete Preliminary Design Review (PDR) of medium-scale efficient core demonstrator.  Initiate detailed design of medium-scale efficient core demonstrator.  Initiate design of large-scale adaptive core concepts.  Complete green run and baseline testing of a small cruise missile size engines for use as future sustainment demonstrator.  Initiate detailed design of bladed disks and bearing systems components for small cruise missile size engine.  Initiate development of small cruise missile engine demonstrator test plans to improve life prediction capability.","9.268","9.268","Complete design and Critical Design Review (CDR) of medium-scale efficient core demonstrator.  Initiate risk reduction component tests for medium-scale engine advanced fan and core.  Initiate build of medium-scale engine.  Complete design and CDR of large-scale adaptive core concepts.  Complete development of small cruise missile engine demonstrator test plans to improve life prediction capability for bladed disks and bearing systems.  Complete design and CDR of bladed disks and bearing systems components for small cruise missile size engine.","","","FY 2019 increased compared to FY 2018 by $3.805 million. Justification for the increase is due to an increased emphasis engine technologies.","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","a434e353f7ff42662b11f47fc3ffec28265e062091271866a44939091ae06508","0-2bc1e193a3671891a45f201afa8520ea6ecb1950551b13ae528daf05fb1c7163","5-101b86b6d051eedde69e2c64628ff760c79c7ec4fd667b3d18d6c03cb035828c","root.record.ProjectList.Project"
"High Pressure Ratio Core Engine Technologies","Design, fabricate, and demonstrate high overall pressure ratio engine cores to provide increased durability and affordability with lower fuel consumption for turbofan and for turboshaft engines.","2.264","Complete data reduction of test data for potential follow-on transition to ground engine demonstration or for fielded systems.  Initiate design and fabrication of components for small efficient engine core concept with advanced technologies such as high pressure ratio/high temperature capability compressors, high heat release combustors, high cooling effectiveness turbine.","1.982","Continue risk reduction testing of components for 200lb thrust and 650lb thrust engines.  Complete Preliminary Design Review (PDR) of 200lb thrust engine and Critical Design Review (CDR) of 650lb thrust engine.   Complete fabrication of advanced concept additive manufacturing heat exchanger for small core engines.  Complete design and CDR of recouperator for demonstration of increased core efficiency in small core engines.","3.362","3.362","Complete risk reduction testing of components for 200lb thrust and 650lb thrust engines.  Complete CDR of 200lb thrust engine.   Initiate assembly of advanced concept additive manufacturing heat exchanger for small core engines.  Initiate fabrication of recouperator for demonstration of increased core efficiency in small core engines.","","","FY 2019 increased compared to FY 2018 by $1.380 million. Justification for the increase is due to an increased emphasis in engine technology.","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","a434e353f7ff42662b11f47fc3ffec28265e062091271866a44939091ae06508","1-cc231ffbeadcc0811304aaf1327515871e25243d35260227a051bc4ee5ead949","5-101b86b6d051eedde69e2c64628ff760c79c7ec4fd667b3d18d6c03cb035828c","root.record.ProjectList.Project"
"Adaptive Turbine Engine Core Technologies","Design, fabricate, and demonstrate adaptive turbine engine cores to provide increased durability and affordability with lower fuel consumption for turbofan and for turboshaft engines.","6.076","Complete testing of first adaptive core demonstrator.  Finish manufacturing and begin assembly of final core demonstrator. Begin preliminary design for advanced air dominance adaptive core demonstrator.","5.320","Complete final ground testing of final Adaptive Engine Technology Demonstrator core demonstrator.  Complete data reduction to validate predictions and provided technical information/lessons learned to Adaptive Engine Technology Program to ensure successful design.  Continue design and initiate long lead procurement for advanced air dominance adaptive core demonstrator and risk reduction rigs.  Complete the selection of technologies to be incorporated into adaptive engine demonstrator design.  Initiate the evaluation of application of high temperature Polymer Matrix Composite (PMC) and Ceramic Matrix Composites (CMCs) to reduce system weight and improve cycle efficiency.  Initiate analyses of adaptive engine technologies operational mission impact.","9.022","9.022","Complete Preliminary Design Review and procurement of long lead hardware for advanced air dominance adaptive core demonstrator and risk reduction rigs.  Initiate detailed design advanced air dominance adaptive core demonstrator.  Initiate component tests of advanced variable turbine and innovative compression rear block designed to accept flow variations caused by variable turbine operation.  Complete the evaluation of application of high temperature PMC and CMCs to reduce system weight and improve cycle efficiency.  Complete analyses of adaptive engine technologies operational mission impact.","","","FY 2019 increased compared to FY 2018 by $3.702 million. Justification for the increase is due to an increased emphasis in engine technology.","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","a434e353f7ff42662b11f47fc3ffec28265e062091271866a44939091ae06508","2-15e3a990dbcc64184ea37c221a5625051cbe002c92fdb645095e304bb1a6cfc1","5-101b86b6d051eedde69e2c64628ff760c79c7ec4fd667b3d18d6c03cb035828c","root.record.ProjectList.Project"
"High Energy Laser Sources and Devices","Improve the fundamental understanding of high energy laser sources and devices, to include solid state, fiber, and gas laser technologies.","6.228","Continue innovative laser technologies in diode-pumped alkali, short-pulse, fiber, and solid state laser technologies.  Continue overseas efforts to leverage international technology advancements.","6.717","Investigate innovative laser technologies in diode-pumped alkali lasers, short-pulse, fiber, and solid state laser technologies. Continue overseas efforts to leverage international technology advancements.","6.711","6.711","Continue investigations into innovative laser technologies in diode-pumped alkali lasers, short-pulse, fiber, and solid state laser technologies.  Continue overseas efforts to leverage international technology advancements.","","","Fiscal year (FY) 2019 decreased compared to FY 2018 by $0.006 million. Justification for this increase is described in plans above.","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","10b0779f950e93babc7306ac20dd35bcb93092bbf5f2f7e47ef75301cea86e7a","0-277dd3999e90a85714e7b3867c68cf7616496c50bee8e27da0e463c04eec0758","0-1a7e401ea631927c27549a22e2708f086f494afc71e07bd975329a9e9058e469","root.record.ProjectList.Project"
"High Energy Laser Beam Control","Improve the fundamental understanding of beam control technologies as they relate to High Energy Laser applications.  Conduct research in atmospheric characterization, metrology, control systems, algorithms and beam control component technology.","5.796","Continue research on innovative beam control architectures.  Continue overseas efforts to leverage international technology advancements.","6.500","Continue research on innovative beam control architectures. Continue overseas efforts to leverage international technology advancements.","6.545","6.545","Continue research on innovative beam control architectures. Continue overseas involvement to leverage research developments and technology advancements.","","","FY 2019 increased compared to FY 2018 by $0.045 million.  Justification for this increase is described in plans above.","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","10b0779f950e93babc7306ac20dd35bcb93092bbf5f2f7e47ef75301cea86e7a","1-3dc5badacd435bd8675361e24bf34dfba65006b1cf53caab17e2cf57daf2a378","0-1a7e401ea631927c27549a22e2708f086f494afc71e07bd975329a9e9058e469","root.record.ProjectList.Project"
"High Energy Laser Education","Fund educational grants to stimulate student interest in high energy lasers.","1.200","Provide scholarships and internships to support college students studying HEL degrees.  Provide grants to Service Academies to stimulate HEL studies among military cadets.  Fund publication of journals and support continuing education for professionals in the HEL field.","1.200","Provide scholarships and internships to support college students studying in fields related to high energy lasers. Provide grants to Service Academies to stimulate studies related to high energy lasers among military cadets. Fund publication of journals and support continuing education for professionals in the high energy laser field.","1.250","1.250","Continue to provide scholarships and internships to support college students studying in fields related to high energy lasers. Provide grants to Service Academies to stimulate studies related to high energy lasers among military cadets. Fund publication of journals and support continuing education for professionals in the high energy laser field.","","","Fiscal year (FY) 2019 increased compared to FY 2018 by $0.050 million.  Justification for this increase is described in plans above.","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","10b0779f950e93babc7306ac20dd35bcb93092bbf5f2f7e47ef75301cea86e7a","2-55d7e42ab9bb48bce73f53ee61a9d379fbc3b77f7b84739eec8f334b19d47f09","0-1a7e401ea631927c27549a22e2708f086f494afc71e07bd975329a9e9058e469","root.record.ProjectList.Project"
"Radio Frequency Electronic Warfare","Develop Electronic Warfare focused knowledge databases, engineering models, mission simulations, analysis tools and assessment environments which enable the development of multi-domain electronic warfare technologies.  The primary focus is on emulating complex battlespace radio frequency environments, electronic attack effects against emerging, networked weapon systems, and assessing flexible, software-defined electronic warfare systems with non-deterministic performance (for example, utilizing cognitive algorithms).  This effort is being renamed from Disruptive Electronic Warfare and Countermeasure Technologies to better align project and thrusts with functional areas.","13.055","Continue to develop capability to use RF electronic attack (EA) techniques to deliver cyber effects. Continue supporting the cyber efforts in Project 634335, Cyber Concepts, to model cyber effects on an integrated air defense system and simulate their utility. Continue to develop, integrate and demonstrate required navigation and timing technologies required for distributed EA concepts. Continue to develop and evaluate countermeasures to adversary use of satellite navigation. Continue to integrate RF/IR sensors to improve situational awareness and self protection.","13.943","Conduct sense, learn, and adapt demonstrations illustrating advancements in electromagnetic spectrum awareness, reasoning, and collaborative effects. Demonstrate advanced counter satellite position, navigation and timing techniques in an operational environment. Begin the development and demonstration efforts to prove the concepts for full spectrum” countermeasures capabilities.","9.600","9.600","Continue expansion of simulations to accommodate advanced electronic warfare systems, and to emulate the radio frequency threats and signal environments for which they're designed.  Develop higher fidelity threat system and signal propagation models.  Continue developing the tools, methods and demonstrations to assess both the performance of future electronic warfare systems as well as their effectiveness.  Continue the development and demonstration efforts to prove the concepts for full spectrum” countermeasures capabilities.  In select situations, develop threat seeker surrogates with which to test emerging electronic warfare technologies.  Expand software-in-the-loop and hardware-in-the-loop environments to achieve closed-loop system performance.  Previous to FY 2019, Position, navigation and timing technology development was performed in Project 633720, Electronic Warfare Capabilities, Position, Navigation and Timing for Contested/Denied Environments Effort.","","","FY 2019 decreased compared to FY 2018 by $4.343 million.  Justification for the decrease is due to realignment of Electronic Combat Technology Science and Technology (S&T) Advanced Technology Development to Aerospace Sensors S&T Applied Research.","2019-BASE_RDTE-2019-AIRFORCE_V1-U_RDTE_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_RDTE_JustificationBook_Air_Force_PB_2019.xml","9d6c56a9b58e5fba105a5bb8a659df25b530f83d98d2cb6850e792a99c58cafa","0-2372d7070a67bb2e7b4c14d9c182d7347ab1938209a26c9309efccc5997fc523","0-eb27fa1d05bbc44b98feb02d027d5fca545b8bb0477dbc649b2346e2b7764c28","root.record.ProjectList.Project"
