ProjectNumber_val,ProjectTitle_val,ProjectFunding_PriorYear_val,ProjectFunding_CurrentYear_val,ProjectFunding_BudgetYearOne_val,ProjectFunding_BudgetYearOneBase_val,ProjectFunding_BudgetYearOneOCO_val,ProjectFunding_BudgetYearTwo_val,ProjectFunding_BudgetYearThree_val,ProjectFunding_BudgetYearFour_val,ProjectFunding_BudgetYearFive_val,ProjectFunding_CostToComplete_val,ProjectFunding_TotalCost_val,ProjectFunding_AllPriorYears_val,R2aExhibit_ProjectArticles_PriorYear_val,R2aExhibit_ProjectArticles_CurrentYear_val,R2aExhibit_ProjectArticles_BudgetYearOne_val,R2aExhibit_ProjectArticles_BudgetYearOneBase_val,R2aExhibit_ProjectArticles_BudgetYearOneOCO_val,R2aExhibit_ProjectArticles_BudgetYearTwo_val,R2aExhibit_ProjectArticles_BudgetYearThree_val,R2aExhibit_ProjectArticles_BudgetYearFour_val,R2aExhibit_ProjectArticles_BudgetYearFive_val,R2aExhibit_ProjectArticles_AllPriorYears_val,R2aExhibit_ProjectNote_val,R2aExhibit_ProjectMissionDescription_val,R2aExhibit_AcquisitionStrategy_val,R2aExhibit_PerformanceMetrics_val,R2aExhibit_CongressionalAddDetailList_CongressionalAddDetail,R2aExhibit_OtherProgramFundingSummaryRemarks_val,@SOURCE_FILENAME,@RECORDID,@ROWID,R3Exhibit_CostCategoryGroupList_CostCategoryGroup,R4aExhibit_ScheduleDetailList_ScheduleDetail,@PARENTROWID,@PARENT
"622068","Advanced Guidance Technology","19.555","20.820","32.955","32.955","0.000","34.081","34.227","35.884","35.565","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","In FY 2013, changes in funding are due to higher AF priorities.","This project investigates, develops, and evaluates conventional munitions advanced guidance technologies to establish technical feasibility and military utility of advanced munition seekers, weapon aerodynamics, navigation and control, and guidance subsystem integration/simulation.  Project payoffs include adverse-weather, networked, and autonomous precision munition guidance capability; increased number of kills per sortie, increased aerospace vehicle survivability, improved reliability and affordability, and improved survivability and effectiveness of conventional weapons.","Not Applicable.","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","36b29155d141c63bfe63829e4af2ac48d5ee6e4d922de192f84ef59563bde57a","0-a1c1c99b0373e8d843bb94eeecd410150b48613079f8835f990dd7b7a28edc0a","","","53-b8c208f0f0cd400d90f13779b7a775eeb91217313944eb83f86b09c268e40897","root"
"622502","Ordnance Technology","40.810","39.836","44.220","44.220","0.000","50.081","49.728","48.764","52.166","Continuing","Continuing","","0","0","0","0","0","0","0","0","0","","","This project investigates, develops, and evaluates conventional ordnance technologies to establish technical feasibility and military utility for advanced explosives, fuzes, warheads, submunitions, and weapon airframes, carriage, and dispensing.  The project also assesses the lethality and effectiveness of current and planned conventional weapons technology programs and assesses target vulnerability.  The payoffs include improved storage capability and transportation safety of fully assembled weapons, improved warhead and fuze effectiveness, improved submunition dispensing, low-cost airframe/subsystem components and structures, and reduced aerospace vehicle and weapon drag.","Not Applicable.","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2013-BASE_RDTE-2013-AIRFORCE_V1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","36b29155d141c63bfe63829e4af2ac48d5ee6e4d922de192f84ef59563bde57a","1-fbddc3034a4ab64825e88cd753c7a7a5f1c07ac01906d536b8c80cc740a79079","","","53-b8c208f0f0cd400d90f13779b7a775eeb91217313944eb83f86b09c268e40897","root"
"613001","Physics and Electronics","104.444","112.422","107.174","107.174","","112.149","114.116","114.233","116.953","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","Basic research in the Physics and Electronics Project seeks to enable revolutionary advances and expand the fundamental knowledge supporting technologies critical to the future of the Air Force. Research stresses high-risk, far-term, game-changing capability breakthroughs essential for future leaps in warfighter system performance, functionality, reliability, and survivability while simultaneously reducing component and system power, size, mass, and life cycle costs. Major thrust areas being investigated in this project are complex electronics and fundamental quantum processes; plasma physics and high energy density non-equilibrium processes; and lasers and optics, electromagnetics, communication, and signal processing. Although the major thrust descriptions that follow are specific sub-areas of focus within this project, there is interest in exploring novel ideas that may bridge these major thrusts as well as those in the other projects within this program element.","","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","c754bddad474aa0aac3b28f5f8bd00c97c425c7c3bdedc05a6fd208c057e669f","0-bb0e89e11858c7d89844464a68b46503574ec5ea8a32c322e4fd43b37a2d8809","","","54-78139d5d1e6a31a2367bafb77bdff8371ec642124d170226a29442b4c47cbdf8","root"
"613002","Aerospace, Chemical and Material Sciences","133.781","108.982","116.611","116.611","","116.607","119.012","121.988","124.432","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","Basic research in the Aerospace, Chemical, and Materials Sciences Project seeks to enable revolutionary advances and expand the fundamental knowledge supporting technologies critical to the future of the Air Force. Research stresses high-risk, far-term, game-changing capability breakthroughs essential for future leaps in warfighter system performance, functionality, reliability, and survivability while simultaneously reducing component and system power, size, mass, and life cycle costs. Major thrust areas being investigated in this project are aero-structure interactions and control; energy, power, and propulsion; and complex materials and structures. Although the major thrust descriptions that follow are specific sub-areas of focus within this project, there is interest in exploring novel ideas that may bridge these major thrusts as well as those in the other projects within this program element.","","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","c754bddad474aa0aac3b28f5f8bd00c97c425c7c3bdedc05a6fd208c057e669f","1-9179b548cd27c5a240ad2cb1c70dfedfa4a0ae634efa0c2be72a80cce8acc3f0","","","54-78139d5d1e6a31a2367bafb77bdff8371ec642124d170226a29442b4c47cbdf8","root"
"613003","Mathematics, Information and Life Sciences","99.413","119.236","119.873","119.873","","119.966","121.900","124.693","126.808","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","Basic research in the Mathematics, Information, and Life Sciences Project seeks to enable revolutionary advances and expand the fundamental knowledge supporting technologies critical to the future of the Air Force. Research stresses high-risk, far-term, game-changing capability breakthroughs essential for future leaps in warfighter system performance, functionality, reliability, and survivability while simultaneously reducing component and system power, size, mass, and life cycle costs. Major thrust areas being investigated in this project are information and complex networks, decision making, dynamical systems, optimization and control, and natural materials and systems. Although the major thrust descriptions that follow are specific sub-areas of focus within this project, there is interest in exploring novel ideas that may bridge these major thrusts as well as those in the other projects within this program element.","","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","c754bddad474aa0aac3b28f5f8bd00c97c425c7c3bdedc05a6fd208c057e669f","2-ac996da81321b590cc99f0ab9f361bc86a6f4f4702fa544b011e563084057dc8","","","54-78139d5d1e6a31a2367bafb77bdff8371ec642124d170226a29442b4c47cbdf8","root"
"613004","Education and Outreach","10.195","21.147","29.493","29.493","","31.111","32.737","34.708","34.689","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","The major thrust areas in the Science and Technology (S&T) Education and Outreach Project are to facilitate interactions between the international and domestic research communities and Air Force researchers, and to support and develop scientists and engineers with an awareness of Air Force basic research priorities. These professional interactions and collaborations benefit the Air Force by increasing awareness of Air Force basic research priorities in the research community as a whole, and attracting talented scientists and engineers to address Air Force needs. International interactions facilitate future interoperability of coalition systems and foster relationships with future coalition partners. This project also seeks to enhance interactions with Historically Black Colleges and Universities, Hispanic serving institutions, and other minority institutions.","","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","c754bddad474aa0aac3b28f5f8bd00c97c425c7c3bdedc05a6fd208c057e669f","3-17a2604231c11884276e2e756d5cbdaa61016f32f57cfe0e3e71e302a8aeb420","","","54-78139d5d1e6a31a2367bafb77bdff8371ec642124d170226a29442b4c47cbdf8","root"
"615094","University Research Initiatives","131.957","141.153","138.333","138.333","","140.738","142.280","143.941","146.532","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","This program supports defense-related basic research in a wide range of scientific and engineering disciplines relevant to maintaining U.S. military technology superiority. Research topics include, but are not limited to, transformational and high priority technologies such as nanotechnology, sensor networks, intelligence information fusion, smart materials and structures, efficient energy and power conversion, and high-energy materials for propulsion and control. The program also enhances and promotes the education of U.S. scientists and engineers in disciplines critical to maintaining, advancing, and enabling future U.S. defense technologies. For example, the National Defense Science and Engineering Graduate (NDSEG) program awards fellowships to train U.S citizens in science and engineering disciplines of military importance under a joint tri-Service and Office of the Assistant Secretary of Defense for Research and Engineering competition. Finally, this program assists universities in establishing superior instrumentation capabilities needed to improve the quality of defense-related research and education. A fundamental component of this program is the recognition that future technologies and technology exploitations require highly coordinated and concerted multi- and inter-disciplinary efforts. Efforts in this program have been coordinated through the Department of Defense (DoD) Science and Technology (S&T) Executive Committee process to harmonize efforts and eliminate duplication.  This program is in Budget Activity 1, Basic Research, because it funds basic scientific study and experimentation.","","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","fbbf7ae42cd7dc8f11963e3fe0a399fbbec14893201728b5f5bd7cceee557f71","0-dafeb5df83bf6367b5b4ab5311294c9cea5f355eb3fb59f09bd1d9f93ffa60c2","","","55-54eb648e99dc134a7dfaa1fcdb146c6486e813667bb889a7c81882dbb159781a","root"
"624866","Lasers & Imaging Technology","113.429","78.211","79.798","79.798","","83.247","82.323","83.499","85.144","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","This project explores the technical feasibility of moderate to high power lasers, including beam control, for applications such as aircraft protection, force protection, and precision engagement.  This project investigates the effects of laser weapons on a wide range of systems and components as well as producing, modifying, validating and applying DE and non-DE concept development and assessment tools to determine which technology solutions to pursue.  Research supporting ground-based optical space situational awareness is conducted.","","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","bc7c6af85bb0815893d984c917d0f78389daa3151459ec0370e974d340e4a755","0-a9bad1d93450d264a36721f49e6dfe3c80802752de66910184882ae6aced7e6d","","","56-8c74e97866688c435d626f58a51f5be80beee6cc531aaa043f24fee9ce8de618","root"
"624867","Advanced Weapons & Survivability Technology","26.340","27.985","33.047","33.047","","44.906","40.211","37.816","38.533","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","This project explores high power electromagnetic (HPEM) applications and other unconventional/innovative weapon concepts to support applications such as non-lethal counterpersonnel and disruption, degradation, and damage of electronic infrastructure.  This research will allow most effects to be covert with no collateral structural or human damage.  This project also investigates the effects of potential HPEM weapons and mitigation of HPEM effects.  HPEM includes but is not limited to high power microwaves and millimeter waves.","","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","bc7c6af85bb0815893d984c917d0f78389daa3151459ec0370e974d340e4a755","1-ee918fe44eee40dd0b91a2f001939e6060cb0eac54a95ae634521becd070be6c","","","56-8c74e97866688c435d626f58a51f5be80beee6cc531aaa043f24fee9ce8de618","root"
"625315","Connectivity and Protection Tech","64.025","40.834","57.471","57.471","","63.486","64.805","62.705","61.619","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","The Air Force requires technologies that enable assured, worldwide communications among all elements of the force.  These communication technologies will provide en-route and deployed reachback communications for distributed collaborative military operations. This project provides the technologies for secure, self-configuring, self-healing, seamless networks; advanced communications processors; anti-jam and low probability of intercept communications techniques; agile, dynamic policy based network management capabilities; and modular, programmable, low-cost software radios.  This project also develops both the technology base for the next generation of ultra-wide bandwidth, multi-channeled air- and space-based communications networks on and between platforms.  In addition, the Air Force requires technologies to deliver a full range of options in cyberspace on par with air and space dominance in each of the areas of cyber attack, cyber defense, and cyber support to achieve the strategic capability of cyber dominance.  This project provides the technologies required to successfully deter any adversary from attacking computer systems anytime, anywhere by ensuring the Air Force's ability to: access, maintain presence on, and deliver effects to adversary systems;  detect, defend, and respond to attacks on friendly computer systems as well as provide forensic analysis concerning those attack attempts; and provide cyber situational awareness to Air Force commanders.","","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","5abc020470eb41f2b663b3ca9f7b1b803e0fe20112965cf92815dec017927987","0-fffe35679eb31952929f538495b0154dc6fe8a3e16de0e4302445005b710be59","","","57-c81612807a8d15ade5dc09b12cc65800bdc9999f94839946fe29484321bb88b6","root"
"625316","Info Mgt and Computational Tech","31.789","27.030","25.862","25.862","","29.602","30.224","30.019","30.779","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","The Air Force requires the capability to maximize the value, sharing, management, and use of its information and information assets in achieving its mission objectives as the importance of information grows in the current net-centric environment.  Technology development in this project must be capable of taking advantage of future net-centric environments including new structured and ad hoc processes in response to rapidly changing warfare challenges.  Advances in robust information management focus on quality of service and flow of information within the enterprise, information transformation and brokering, secure information sharing across and among domains, and collaboration of workflow within the enterprise.  Technologies addressed in this project include the ability to globally share, discover, and access information across organizational, functional, and coalition boundaries and between and among domains, the timely delivery of information to tactical assets, the tailoring and prioritization of  information based on mission needs and importance, and the scaling, robustness, and collaboration features required of the Air Force net-centric information management environment.  In addition, the Air Force requires the development of superior, intelligent, on-demand computing to enable information superiority.  Technology development in this project focuses on producing: computer architectures with greater capacity and sophistication for addressing constrained, dynamic mission objectives; game-changing computing power to the warfighter; disruptive computing power at the tactical edge and for federated grid services; and interactive and real-time computing improving the usability of high-performance computing to the Air Force.  It includes technologies in computational sciences and engineering, computer architectures, and software intensive systems.","","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","5abc020470eb41f2b663b3ca9f7b1b803e0fe20112965cf92815dec017927987","1-5d0cc3b17fdfff6c5e54c2bcd1f33f50e2e175843e51cfcbabc94f5d1633d344","","","57-c81612807a8d15ade5dc09b12cc65800bdc9999f94839946fe29484321bb88b6","root"
"625317","Information Decision Making Tech","18.709","15.787","15.775","15.775","","14.666","15.046","14.295","14.611","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","The Air Force requires advances in technologies enabling the effective execution of military objectives that will vastly improve the ability to support the commander and staff's ability to command all viable options to achieve desired effects across the full spectrum of operations (air, space, and cyberspace) at all levels of war (strategic, operational, and tactical) and during all phases of conflict.  Technology development in this project includes anticipatory decision support and course of action development, planning, scheduling and assessment, and the real-time effective portrayal of complex data sets.","","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","5abc020470eb41f2b663b3ca9f7b1b803e0fe20112965cf92815dec017927987","2-c90813e86d80e8aee881d0fa71ec0471a4a41ba6974b0a4f5e8aa268cd3ed7a9","","","57-c81612807a8d15ade5dc09b12cc65800bdc9999f94839946fe29484321bb88b6","root"
"625318","Operational Awareness Tech","25.457","20.711","20.604","20.604","","21.324","20.855","24.474","27.026","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","The Air Force requires technologies that improve and automate the capability to generate, process, manage, fuse, exploit, interpret, and disseminate timely and accurate information.  This project provides not only a network-centric, collaborative intelligence analysis capability that enables the fusion of multi-intelligence and sensor sources to provide timely situational awareness, understanding, and anticipation of the threats in the battlespace, but also the advanced, novel exploitation technologies needed to intercept, collect, locate, and process both covert and overt raw data from intelligence and sensor sources.  It leads the research, discovery, and development of technology that enables the fusion of multi-intelligence sources to provide accurate object tracking and identification (ID), situational awareness, understanding, and anticipation of the threats in the battlespace (air, ground, space, and cyber).  It also leads in the development of advanced exploitation technologies to maximize the intelligence gained from our adversaries in the areas of spectral detection and geolocation, signal recognition and analysis, and the data tagging, tracking, and tracing via the insertion of secure, imperceptible signal embedding for future fusion and understanding of the information.","","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","5abc020470eb41f2b663b3ca9f7b1b803e0fe20112965cf92815dec017927987","3-e151a793db1bca2708ce2e8a5753dca9f2e09e6552f89d78481ce4f23d1ef9b3","","","57-c81612807a8d15ade5dc09b12cc65800bdc9999f94839946fe29484321bb88b6","root"
"62OMMS","Research Site Support","0.000","0.000","18.449","18.449","","18.748","19.127","19.575","19.896","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","The Air Force Research Laboratory Information Directorate leads the discovery, development and implementation of information science and technology to drive transformation within the Air Force and across the DoD. The focus of the work is to provide the warfighter with the required technology-based capabilities to defend the Nation by unleashing the power of innovative information science and technology to anticipate, find, fix, track, target, engage, and assess anything, anytime, anywhere. Since the site is a single-purpose location not located on a military installation, the Information Directorate has unique requirements for supporting its S&T mission.  As the host unit, the directorate is responsible to provide the Rome Research Site infrastructure at Rome, NY and provide for the continued operations of all Rome Research Site properties, buildings, and services necessary for the research mission.  Operations include: logistics and communication services, utilities, maintenance of facilities and structures, safety and security of the workforce and visiting researchers, and ensures compliance with the laws, regulations and directives that pertain to site operations.  These services are host unit responsibilities and are necessary to provide a safe and effective environment for the Research Site's workforce and mission.","","","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","5abc020470eb41f2b663b3ca9f7b1b803e0fe20112965cf92815dec017927987","4-b91387fbbc03811383545e75bcfebb198f4110f68a9da2f5e2bcd7bca3e4f45f","","","57-c81612807a8d15ade5dc09b12cc65800bdc9999f94839946fe29484321bb88b6","root"
"625096","High Energy Laser Research","52.186","38.557","40.217","40.217","","41.575","42.316","42.636","43.405","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","Note:  In FY 2013, reductions due to higher Department of Defense priorities.","This program funds Department of Defense (DoD) high energy laser (HEL) applied research through the HEL Joint Technology Office (JTO). This program is part of an overall DoD HEL Science and Technology (S&T) program. HEL weapon systems have many potential advantages including speed-of-light delivery, precision target engagement, significant magazine depth, low-cost per kill, and reduced logistics requirements.  HELs have the potential to perform a wide variety of military missions including defeat of high-speed, maneuvering anti-ship and anti-aircraft missiles and the ultra-precision negation of targets in urban environments with minimal collateral damage. Efforts funded under this program are generally chosen for their potential to have an impact on multiple HEL systems and multiple Service missions while complimenting Service/Agency programs that are directed at specific Service needs. A broad range of technologies are addressed in key areas such as electrically powered lasers, laser beam control, and laser lethality mechanisms. Efforts in this program have been coordinated through the DoD S&T Executive Committee process to harmonize efforts and eliminate duplication. This program is in Budget Activity 2, Applied Research, since it develops and determines the technical feasibility and military utility of evolutionary and revolutionary technologies.","","N/A","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","f473cee70ba07917660a5b61e39c8434ae443ae50db9ebccf0d6241e4d605b26","0-4cef88333e30a9c6f014a3851f87266f5d9c321106612e7b1382ccfdeec538a0","","","58-3da3ff1914041fd37d19e2858efab101472f995db0a3f476a7ea3ec2535a837b","root"
"632100","Laser Hardened Materials","22.209","11.564","20.450","20.450","","19.531","16.170","17.735","17.480","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","This project develops and demonstrates advanced materials technologies that enhance protection for Air Force aircrews to ensure safety and to enable aircrews to perform required missions in threat environments.  Advanced materials technologies are also developed and demonstrated to enhance protection for Air Force sensors and systems to ensure safety, survivability, and operability in threat environments.","","Not Applicable.","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","40e1dd729b611651c8a2d93e4c9f3fa0e52feba8ff3287d4bffe9f5a7efb5939","0-4a38472252ab1ba408c8b9212ca9d394324f25916e80114578d3f9bca6ec6df9","","","59-115315d45b1bf4726dced0d116de4ed6a0699d9238d7162aa30a2272ee16198d","root"
"633153","Non-Destructive Inspection Development","3.788","8.413","6.766","6.766","","4.831","4.870","4.962","5.052","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","This project develops and demonstrates advanced nondestructive inspection/evaluation (NDI/E) technologies to monitor performance integrity and to detect failure causing conditions in weapon systems components and materials.  NDI/E capabilities greatly influence and/or limit many design, manufacturing, and maintenance practices.  This project provides technology to satisfy Air Force requirements to extend the lifetime of current systems through increased reliability and cost-effectiveness at field and depot maintenance levels.  Equally important is assuring manufacturing quality, integrity, and safety requirements.","","Not Applicable.","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","40e1dd729b611651c8a2d93e4c9f3fa0e52feba8ff3287d4bffe9f5a7efb5939","1-af4bc2e369ea1f062dda72e947d302366806ec1219fc69e314a4014cc44f9542","","","59-115315d45b1bf4726dced0d116de4ed6a0699d9238d7162aa30a2272ee16198d","root"
"633946","Materials Transition","30.980","27.020","12.356","12.356","","10.867","12.609","15.375","15.652","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","This project develops and demonstrates advanced materials and processing technologies for fielded and planned Air Force weapon, airframe, and propulsion applications.  Advanced materials and processes that have matured beyond applied research are characterized, critical data are collected, and critical evaluations in the proposed operating environment are performed.  This design and scale-up data improves the overall affordability of promising materials and processing technologies, providing needed initial incentives for their industrial development.","","Not Applicable.","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","40e1dd729b611651c8a2d93e4c9f3fa0e52feba8ff3287d4bffe9f5a7efb5939","2-5e67f603313cab6e2974ecec91253d0fe0d0f07d886b8ef01b20bfeead070282","","","59-115315d45b1bf4726dced0d116de4ed6a0699d9238d7162aa30a2272ee16198d","root"
"634918","Deployed Air Base Demonstrations","3.649","0.893","0.000","0.000","","0.000","0.000","0.000","0.000","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","This project develops and demonstrates advanced, rapidly deployable airbase technologies that enable agile combat support by reducing airbase manpower requirements, reducing airbase setup times and improving the protection and survivability of deployed Air Force Expeditionary (AFE) warfighters. Affordable, efficient technologies are developed and demonstrated  to provide deployable infrastructure, weapon system support, blast and munition force protection and firefighting capability for deployed AEF operations.","","Not Applicable.","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","40e1dd729b611651c8a2d93e4c9f3fa0e52feba8ff3287d4bffe9f5a7efb5939","3-b1edfd721e6bc9018a639fa2fa3fb529836b81527542dc93df48986199898a5d","","","59-115315d45b1bf4726dced0d116de4ed6a0699d9238d7162aa30a2272ee16198d","root"
"635351","Technology Sustainment","5.618","6.565","12.800","12.800","","15.800","18.500","20.800","23.000","Continuing","Continuing","","0","0","0","0","","0","0","0","0","","","This project develops and demonstrates sustainment technologies such as: materials, corrosion, maintenance/repair techniques, state awareness/non-destructive inspection, health management, life prediction, and logistics for transition into fielded and future Air Force systems to reduce life cycle sustainment costs and increase readiness. Technologies matured and demonstrated impact affordability and availability of fielded aerospace weapon systems by reducing sustainment costs, extending service life, and maintaining mission readiness and capability. This project develops and demonstrates maintenance, life cycle management, and system/fleet decision making technologies that can be implemented to address operational sustainment issues and could influence future system sustainability decisions via risk reduction to support inclusion into new systems. Studies are conducted to analyze processes and methodologies for application of technologies to address sustainment issues across the force, identifying cross cutting applications for fielded systems, and opportunities for building in sustainability into future applications. Efforts in this program have been coordinated through the Department of Defense (DoD) Science and Technology (S&T) process to harmonize efforts and eliminate duplication. This program is in Budget Activity 3, Advanced Technology Development, since it develops, demonstrates and transitions technologies for sustaining aerospace systems that have military utility and address warfighter needs.","","Not Applicable.","Please refer to the Performance Base Budget Overview Book for information on how Air Force resources are applied and how those resources are contributing to Air Force performance goals and most importantly, how they contribute to our mission.","","","2014-BASE_RDTE-2014-AIRFORCE_V1-RDTE_JustificationBook_Air_Force_PB_2014.zzz_unzipped-RDTE_JustificationBook_Air_Force_PB_2014.xml","a4b068877c080c487d880bf818c5c166e5e59a0bb2b4536184528583a4c4ce7b","0-203199613c82e8783a84e5b1786523816f860c8a1ca55e3a1c8d951aea4de145","","","60-b8f8b5d3d5b392794936068bc9d671689127b7dbc1622cf138b625ed82a68ce3","root"
