Name_val,Name_@footnote,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_Total_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_Total_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_Continuing_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"1.2.1) Installation Kit N/R - Organic","Funding increase in FY18 is due to ramp up of non-recurring engineering efforts for SLEP EPCs.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.745","9.244","9.244","8.7","75.359","5.283","25.235","11.852","6.3","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","37b21cdb8d0e55bb26f3b44ee9fe44e002611a5c01ef9fb1f439b05aaf9bace7","0-b84a71122bc05f5eaed2e90df4023db34b748b56b47947569be6d0e1b9b41d59","0-ce6090bc4cdbb419435e5a6b524656c94d6460f0328caf85cb5c2ca5a4162321","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","32.843","3.562","3.627","3.692","18.462","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","37b21cdb8d0e55bb26f3b44ee9fe44e002611a5c01ef9fb1f439b05aaf9bace7","0-2fc1726693b44d8e77b998c4481041d18178c83cfde3a3705dbe041a135ed9c4","0-247f9cd660f6ceb2dee650622c95bd7fa9844c655890bc65e4a34d6fc7023de5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.76","","","","0.000","3.76","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","fd52772ddd57e02cb597d7e36dc8285ea74e3bc75d54e124334ffe6b5417f01f","0-505b2fba8403f7905af0ba8e2012a04d172f2dce67b3751d15e528ec621dd0aa","0-e3ba1ffb26d9d4653045eee9b7e02254dd460b3b8ea3323f0b2b5bac828b450d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) NRE - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25","","","","6.832","","","","0.000","6.582","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","fd52772ddd57e02cb597d7e36dc8285ea74e3bc75d54e124334ffe6b5417f01f","0-2885cfadaa41ea54750f1d54243d4bfbcab1d7d0c4656afd24402067b7cb8d2d","0-bcece55397ac7fbb61787f3188bda2358f0afe820889dd9da578c0b887b12348","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) ARC-210 - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","","0.000","0.32","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","fd52772ddd57e02cb597d7e36dc8285ea74e3bc75d54e124334ffe6b5417f01f","0-09e57fa2f4672611b430f7b58f957a5c4fab8876b5ff924aa26404eff140f92a","0-9d6c57993a24ce24a68a8d5bfa44f7d87387c503ae042c9092d607a2bcfa743c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.2) ARC-220 - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28","","","","0.000","0.28","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","fd52772ddd57e02cb597d7e36dc8285ea74e3bc75d54e124334ffe6b5417f01f","1-5866459c4386dca209d26a7020811b925cba03d429a6a7fe0104f2e3f6f301cf","0-9d6c57993a24ce24a68a8d5bfa44f7d87387c503ae042c9092d607a2bcfa743c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.045","","","","0.000","","0.045","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","18cde02c917fa17ee689d77a476f4d3a1fce8d5838dd427ea13de4db3ea53514","0-94e9267aab339262cfabf66a5de98ed9a31e12f3a82481a7686bb76eac60de25","0-7272a9c829b8bc16102c4b3c941b84ab2c590c2b9d3e8b2f71a5cef1c6ced379","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.08","","","","0.000","2.08","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","18cde02c917fa17ee689d77a476f4d3a1fce8d5838dd427ea13de4db3ea53514","0-a29eaed4047571bcb0cb6c29a1291cf36204f553dcbbc3e343cb6c339b917851","0-104fd7015d4417cafdfa2c26088e5d159d940206e1180b5d36a9d6c9bf926540","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits (including Automatic Flight Control System) - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.768","1.583","1.583","1.199","46.501","1.079","0.266","","0.000","22.468","9.138","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","81541f0f6d0c05a5f6f89f37f6e3e7ec11305e8d3b5f0b5213b2e22c2417b545","0-957e95c7f786f228e672b9615dc4e0518981a26dac62500aaa82efcb5e7148fb","0-bd0b41a3ce628231e5541a6c3bee3fc7f1a0e61b5f977240890320ae57d09d68","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.2) Non-Recurring Engineering - Reserve (including AFCS) - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.053","2.053","1.414","15.569","1.517","0.926","1.697","7.962","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","81541f0f6d0c05a5f6f89f37f6e3e7ec11305e8d3b5f0b5213b2e22c2417b545","1-7f7002bf817c52c7c751be6783250368a06156bdb6ed621b48bb250bfa9d3c9f","0-bd0b41a3ce628231e5541a6c3bee3fc7f1a0e61b5f977240890320ae57d09d68","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.3) Installation Kits (OCO) - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.926","","","","0.000","3.926","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","81541f0f6d0c05a5f6f89f37f6e3e7ec11305e8d3b5f0b5213b2e22c2417b545","2-88c96ee1fad069331fb28d594aa272089cffb2e7a3c7f1fa3b4fd76e2ea0b643","0-bd0b41a3ce628231e5541a6c3bee3fc7f1a0e61b5f977240890320ae57d09d68","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","3","","","","","","","5.775","","","","0.000","5.775","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","81541f0f6d0c05a5f6f89f37f6e3e7ec11305e8d3b5f0b5213b2e22c2417b545","0-5c545c90de4267fbb7be167ca7fe4238cf7a6a863fc611a9aba8a6667b5ac658","0-0b642629af2a63edd6b4d8dc98e38e228a6db58da1a4aeecd24406d8a45794f6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) INSTALLATION KITS N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.588","","","","0.000","9.588","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","36304dd8ef7295ef91966ee8db9eb1437155e98c1685ca4a0499207bdfa4c8f9","0-173b0208dc0f6b0536f5ba649f22ce1977e4a1d5b060c6aec21b7222903d8168","0-d855b307169d5a9136bddb39f68408cd93099ac7547ffe9359d8d7762ec089e8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installations Kits N/R - Organic","Four ECP 4000 kits installed as validation/verification Non-Recurring Engineering.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.205","","","","0.000","4.205","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","36304dd8ef7295ef91966ee8db9eb1437155e98c1685ca4a0499207bdfa4c8f9","0-08d22f5ef68e5d7ebb7d5ce14e90d10a825eecff96435ec72896309fdee1dae7","0-d4a3b9e94b4d0a708124b74a7bf6ff2f7fef3ca6006efba26cce5fe7268b9185","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.3","","28.765","","","","0.000","28.465","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","36304dd8ef7295ef91966ee8db9eb1437155e98c1685ca4a0499207bdfa4c8f9","0-a13b48ee82e7e165e45af52d34d0b5588e7d6183b316c797096aaa9988da47d0","0-b43adca8e8851cb0127c239e4480c8abc04aba6819b7fb21c9cddfc50f37a831","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.073","","","","0.000","4.073","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","36304dd8ef7295ef91966ee8db9eb1437155e98c1685ca4a0499207bdfa4c8f9","0-fb68b94dd591a26291e4f4df7c9f4f34bbe95f3c98efff41706476ca09251f46","0-4b4607ec0ecb7b162ea45f07c264cb9dd9d4a212dc475ae5647ed74a98e89872","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.2) Special War Upgrades--Congressional - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.295","","","","0.000","","2.295","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","36304dd8ef7295ef91966ee8db9eb1437155e98c1685ca4a0499207bdfa4c8f9","1-8cefa94c9ab82dc2440180b6fc33fb40f7f9cc7009e691424b53d81c53124044","0-4b4607ec0ecb7b162ea45f07c264cb9dd9d4a212dc475ae5647ed74a98e89872","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.2) Obsolescence Components Kits - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1.51","1.51","1","30.11","","","","23.6","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","36304dd8ef7295ef91966ee8db9eb1437155e98c1685ca4a0499207bdfa4c8f9","0-741dc1d71e43738a31829e0fc9872bb693cb2f3fd532663e361919022286f524","0-8de5a5366760b044ce193a04f8801c9b50abf2d22f7b473b6bbc717dd1d2eff8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.3) SH-60B Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.804","","","","0.000","0.804","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","36304dd8ef7295ef91966ee8db9eb1437155e98c1685ca4a0499207bdfa4c8f9","1-76b51f72885feda2fb716421347f7bfdaa07e5c397280b73817c2c9b0f7a1205","0-8de5a5366760b044ce193a04f8801c9b50abf2d22f7b473b6bbc717dd1d2eff8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.4) HH-60H Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.694","","","","1.733","","","","0.000","","1.039","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","36304dd8ef7295ef91966ee8db9eb1437155e98c1685ca4a0499207bdfa4c8f9","2-98634098cbf8a12ab0e3c6f4917b6f054dcffee1c67281e021068c8bc5e1f95f","0-8de5a5366760b044ce193a04f8801c9b50abf2d22f7b473b6bbc717dd1d2eff8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.833","5.862","5.862","1.937","14.632","1.95","2.4","","0.65","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","82b84fa711180ebd17b8003e232a25f465521ada074baf6642fbc46dae36c4e3","0-b1f3d3861d7c8e9859e9cd032974f8936bbd3cf5d9299cc6ec913425234571d4","0-9d85d3f5473856a38bcfdab6b8cac28f9196bbfb25bc53d2dd683fff23320c9d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.076","0.316","0.316","0.128","0.52","","","","0.000","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","82b84fa711180ebd17b8003e232a25f465521ada074baf6642fbc46dae36c4e3","0-d0e9d934e15231b7a07ab3ea4e96d7af7deb95aa41d143c0637bfdca7f20c3a8","0-a0f698e33d446fd5cd512de01c36d835e211bc0d045a8b69387d1d57ce59c520","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.052","","","","0.000","1.052","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_JustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2015.xml","82b84fa711180ebd17b8003e232a25f465521ada074baf6642fbc46dae36c4e3","0-d4b4402a8f97675e33c1d387556740e3fece773a7b303d60a6e7ffc22e5d27e8","0-375f93804a33326c4f38a496f64f423a41facd073ee8fad758f885fc793f2eb8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","4","","","1.085","0.617","0.617","0.629","61.509","","","","0.000","56.66","2.518","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","dc33bc262f1713fc619d56f31a0637fffcc0afb40d6b52d9c2469d019a27645d","0-382af995f5a5e5c25e757d6ae845e889f8a53798b06969564689c530edeee571","0-77ca880499251af372b2242483da3f071cf6d116820276852753c42499f55615","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.85","0.3","0.3","0.305","8.927","","","","0.000","5.972","1.5","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","dc33bc262f1713fc619d56f31a0637fffcc0afb40d6b52d9c2469d019a27645d","0-3f28a2138954726e26517af95d7eb5ae93913c68e4782dc355425be923c0d209","0-f51e39d37889b13ace8e1057bbd5611b504bf7871943e11e90fb50502e15e142","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.465","","","","0.000","22.465","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","4eec9738b4059ee604ab053355ab0ba86650f24f27886fcf04485c6c929f66a4","0-19a97b9e237decf8c50ba2693e88ce6cf6fa9071a8f8e9d0480b1e29f9f00072","0-70cdd757cad95fa6001f09341e78f2265fff95dd512ccc04affb9f1729cf9073","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.48","","","","3.96","","","","0.000","2.6","0.88","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","4eec9738b4059ee604ab053355ab0ba86650f24f27886fcf04485c6c929f66a4","0-6e0df2139452cba78f1158133635edd4a61ec12c44a85b5fbf6a14d04a756856","0-d32556fbcf1a0f3be8af0f3e9274cb37f9cec55f33a7edf9509114a7bd50bad4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.45","","","","0.000","64.45","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","a1ec487a2e4c747234331b03f7b5e6eba0490322eb0407b0f46690386ffd944a","0-e74c135f483345e48f5cff45c57bb5100554e03142c80fd1ddb90990a04e916a","0-c4afeee89e00334330fa00ce42702f0467c21007b87f2c14f7ba92f3dcffeb5b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.226","","","","0.000","7.226","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","a1ec487a2e4c747234331b03f7b5e6eba0490322eb0407b0f46690386ffd944a","0-4eaa8d93c26e6517ec7d53fdffd277ff0fa4e0c004623c42ca749b5403143e08","0-85deff47016dfbe553be76a9fefe6935938b25d45d86cb1cec5f750b55802efa","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.079","","","","0.000","42.079","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","a1ec487a2e4c747234331b03f7b5e6eba0490322eb0407b0f46690386ffd944a","0-3af8e7c7ec84a14d5b1ffdbccf29b3dd0a639cc3a971e3794a7615ad8dcd8363","0-9b82c24d850a1a0a632d5c95557d191a362c55cb34f0a77a2f45c6db7a021684","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.79","","","","0.000","11.093","2.697","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","a1ec487a2e4c747234331b03f7b5e6eba0490322eb0407b0f46690386ffd944a","0-8d7574cb6516ab2ea6018919c04ccc28820be55d28a8a054cb466d59ead1ecf9","0-f05090cc48d30f85172fc86d4765f2b30d9fa8630678aea4df30388136e16a50","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.036","","","","0.000","5.036","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","a1ec487a2e4c747234331b03f7b5e6eba0490322eb0407b0f46690386ffd944a","0-81a8b3b2283c17d1bf109fa2ce5e6deb2d030409bc0ed5833a9fbdc5dd364542","0-85642dedfce6355f99467bccbaa8bfa55d048b42ef17478a689f08437720a9c2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.708","","","","0.000","9.708","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","a1ec487a2e4c747234331b03f7b5e6eba0490322eb0407b0f46690386ffd944a","0-19179d78afa784ac7872f11bb26aa822ce1b31bc2a66f407b1a3d1ae669cee47","0-ad6c44b0ab77b4f89aa9855d5146de6c72f3b26f67902ef7a306b40dba0bce18","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) Installation Kit N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","","","","0.792","","","","0.000","0.592","0.1","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","a1ec487a2e4c747234331b03f7b5e6eba0490322eb0407b0f46690386ffd944a","0-92e06aef5c0487ebb42021ebadf4abf5f12b031df5ef440de54db97c666a48fd","0-9314a8f8c812e95fb64c1aad0f7da98e9ebc68f0755f02681f246228a22791cb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"1.2.1) OCO Maritime Automatic Identification System - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.094","","","","0.000","0.094","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","8127d86d14a5e8a57c3d0ca4879bd3860fcb08b0cb4d8c48e294ffba30b5b78a","0-09b7713ba302362ef1eabc882dca22348b1e66b2dac9f1d0cf969ca30cab8a45","0-ff20e6818bc86b4589f3268f8d4f1ab827c795d2b739ad07a14b533de790d004","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
