Name_val,IdCode_val,Cost_PriorYear_TotalCost_val,Cost_AllPriorYears_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_Quantity_PriorYear_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_CurrentYear_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_Continuing_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_CurrentYear_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_FiscalYear_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_PCOLocation_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_AwardDate_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_FirstDeliveryDate_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_Quantity_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_UnitCost_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_FundingVehicle_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_SpecsAvailableNow_val,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"Joint Personal Dosimeter","","","","","","","","","","","1","1","1","","","","","","","","3.067","3.126","3.185","","true","","","","","","3.067","3.126","3.185","","","2016-BASE_PROCUREMENT-2016-DEFENSE_VOL1_ALL-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.xml","91a54d2d0bb735d4f7caf4fa04b27465b479e5b010b2ff2f94e4e865873747e9","4-8e3b157fba5c8a9b6380c0b0d1c0fa71713b4ea38b2497083685401f46069a3b","","","","","","","","","","","","","","","","","","","","4-df9652a147f7239547e4e94c3310c025410836ceae3c3ca7b9798f7a56587331","root.record.ItemExhibitList.P5Item"
"Man-portable Radiological Detection System","","","","","","","","","","","","1","","3","","","","","","","","2.655","","3.363","true","","","","","","","2.655","","1.121","","2016-BASE_PROCUREMENT-2016-DEFENSE_VOL1_ALL-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2016.xml","91a54d2d0bb735d4f7caf4fa04b27465b479e5b010b2ff2f94e4e865873747e9","5-029ef429d3d2c080d124e0f9a24f8d620275cad4ad7715b63ce5c35d05157280","","","","","","","","","","","","","","","","","","","","4-df9652a147f7239547e4e94c3310c025410836ceae3c3ca7b9798f7a56587331","root.record.ItemExhibitList.P5Item"
"8. Integrated Logistics Support (ILS)","","","","","","","","","","","","","","","","0.174","0.197","0.15","0.155","0.155","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-ARMY_WTCV-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","dfc00285f4b39e61733a7abe7ff8dde9786d9547e1a012ddc6ba7b18ad61ba64","0-3b53faf160454dc3eceb3efbfa232ba211a5e6f33be38118c475c0592a1dd1d7","","","","","","","","","","","","","","","","","","","","0-188635711c552219fc48d0111d0ce88cc126c246c152ebfce68234e14a03343e","root.record.ItemExhibitList.P5Item"
"Radiological Detection System","","","","","","","","","20","20","","142","","","","","","","0.3","0.3","","1.705","","","true","","","","0.015","0.015","","0.012","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.xml","7f33d51744d43f194a54490a9835688f199223ad2d1d11f1b298946f5c539352","0-b2e576647ba4599c13f773ee1ea6e9c8a18b01b9d7f96cf5dd74819717903aef","","","","","","","","","","","","","","","","","","","","4-aee9a733d2c53ff541de1f5eb28463a8d61d656906f022a17d6f0157d83ac679","root.record.ItemExhibitList.P5Item"
"Joint Personal Dosimeter","","","","","","","","","614","614","770","","","","","","","","1.227","1.227","1.54","","","","true","","","","0.002","0.002","0.002","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.xml","7f33d51744d43f194a54490a9835688f199223ad2d1d11f1b298946f5c539352","1-57445726d9c5f236346df6baf75ee5a758f78148cb4c52a6f75cf1440697f7ec","","","","","","","","","","","","","","","","","","","","4-aee9a733d2c53ff541de1f5eb28463a8d61d656906f022a17d6f0157d83ac679","root.record.ItemExhibitList.P5Item"
"DISCREET OCULUS","","","","","","","","","","","","","","","1","","","4.34","","","","","","","true","","","","","","","","","","4.34","2017-BASE_PROCUREMENT-2017-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.xml","7f33d51744d43f194a54490a9835688f199223ad2d1d11f1b298946f5c539352","2-a42e0d0c8b5990952b849054a8ea51613fc4d1c8f54dcaba69d8e09e995c65eb","","","","","","","","","","","","","","","","","","","","4-aee9a733d2c53ff541de1f5eb28463a8d61d656906f022a17d6f0157d83ac679","root.record.ItemExhibitList.P5Item"
"Harvester Particulate Airborne Collection System","","","","","","","","","","","","","","","1","","","1.573","","","","","","","true","","","","","","","","","","1.573","2017-BASE_PROCUREMENT-2017-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.xml","7f33d51744d43f194a54490a9835688f199223ad2d1d11f1b298946f5c539352","3-5d32d784e9119a582adcc84c2982ddcd5bf0103b15589c9fe96a7709bd11fc1c","","","","","","","","","","","","","","","","","","","","4-aee9a733d2c53ff541de1f5eb28463a8d61d656906f022a17d6f0157d83ac679","root.record.ItemExhibitList.P5Item"
"Modular Whole Air Collection System","","","","","","","","","","","","","","","1","","","0.96","","","","","","","true","","","","","","","","","","0.96","2017-BASE_PROCUREMENT-2017-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.xml","7f33d51744d43f194a54490a9835688f199223ad2d1d11f1b298946f5c539352","4-37dba89426abe1f864aff04aa131473761468febbabf08a005894ab8d2262594","","","","","","","","","","","","","","","","","","","","4-aee9a733d2c53ff541de1f5eb28463a8d61d656906f022a17d6f0157d83ac679","root.record.ItemExhibitList.P5Item"
"SOCOM Underwater Monitor","","","","","","","","","","","","","","","1","","","1.437","","","","","","","true","","","","","","","","","","1.437","2017-BASE_PROCUREMENT-2017-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.xml","7f33d51744d43f194a54490a9835688f199223ad2d1d11f1b298946f5c539352","5-fc54ae4bc8e77bab363f5f9eb4515e3676b0346801e70e458e9c7f27dc72091a","","","","","","","","","","","","","","","","","","","","4-aee9a733d2c53ff541de1f5eb28463a8d61d656906f022a17d6f0157d83ac679","root.record.ItemExhibitList.P5Item"
"Radiological Detection System","","","","","","","","","20","20","","142","","","","","","","0.3","0.3","","1.705","","","true","","","","0.015","0.015","","0.012","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.xml","11326a81f09beb11c9c8adebc19a2655aacf39241b692448f7855163b00ca641","0-255daa337cc40e4a0afab0e26f79b3de411cd489f56d6a5bb2b98141dbcb66d3","","","","","","","","","","","","","","","","","","","","4-32dfed162cbb9f26df0b4526d4815a0a5fc2a5464debc7c61df16bf63d733c27","root.record.ItemExhibitList.P5Item"
"Joint Personal Dosimeter","","","","","","","","","614","614","770","","","","","","","","1.227","1.227","1.54","","","","true","","","","0.002","0.002","0.002","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.xml","11326a81f09beb11c9c8adebc19a2655aacf39241b692448f7855163b00ca641","1-ab9dea814e4e6ff21e9f011682125f69b6f32296bb699bc2c9eae8449e5aa6b0","","","","","","","","","","","","","","","","","","","","4-32dfed162cbb9f26df0b4526d4815a0a5fc2a5464debc7c61df16bf63d733c27","root.record.ItemExhibitList.P5Item"
"DISCREET OCULUS","","","","","","","","","","","","","","","1","","","4.34","","","","","","","true","","","","","","","","","","4.34","2017-BASE_PROCUREMENT-2017-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.xml","11326a81f09beb11c9c8adebc19a2655aacf39241b692448f7855163b00ca641","2-a0b5abe19df0548dff6e7577dcf10babfabf278cd1aefe2dbaee92364894908f","","","","","","","","","","","","","","","","","","","","4-32dfed162cbb9f26df0b4526d4815a0a5fc2a5464debc7c61df16bf63d733c27","root.record.ItemExhibitList.P5Item"
"Harvester Particulate Airborne Collection System","","","","","","","","","","","","","","","1","","","1.573","","","","","","","true","","","","","","","","","","1.573","2017-BASE_PROCUREMENT-2017-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.xml","11326a81f09beb11c9c8adebc19a2655aacf39241b692448f7855163b00ca641","3-d07a6f1977d226c94381c0aa91f24454e6c09369eb72250503f64d6cda03fb57","","","","","","","","","","","","","","","","","","","","4-32dfed162cbb9f26df0b4526d4815a0a5fc2a5464debc7c61df16bf63d733c27","root.record.ItemExhibitList.P5Item"
"Modular Whole Air Collection System","","","","","","","","","","","","","","","1","","","0.96","","","","","","","true","","","","","","","","","","0.96","2017-BASE_PROCUREMENT-2017-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.xml","11326a81f09beb11c9c8adebc19a2655aacf39241b692448f7855163b00ca641","4-b93d03136dd17a98ea17b4f6928693b90f7b772312cd63bcfafa8d4b25e37951","","","","","","","","","","","","","","","","","","","","4-32dfed162cbb9f26df0b4526d4815a0a5fc2a5464debc7c61df16bf63d733c27","root.record.ItemExhibitList.P5Item"
"SOCOM Underwater Monitor","","","","","","","","","","","","","","","1","","","1.437","","","","","","","true","","","","","","","","","","1.437","2017-BASE_PROCUREMENT-2017-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2017.xml","11326a81f09beb11c9c8adebc19a2655aacf39241b692448f7855163b00ca641","5-d380a183229a9d4766c305818cf6228f64a906e4977c2bc3662625ad94243512","","","","","","","","","","","","","","","","","","","","4-32dfed162cbb9f26df0b4526d4815a0a5fc2a5464debc7c61df16bf63d733c27","root.record.ItemExhibitList.P5Item"
"Radiological Detection System","","","","","","","","","20","20","","142","","","","","","","0.3","0.3","","1.705","","","true","","","","0.015","0.015","","0.012","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.xml","9334ea981de2e020cfb2c25fa014920051f4e027943259e50c1a29fb4c2bdcd0","0-bd24cc21591f2c29bed4edc6779852b8b9ab19a82034410cc3039cf6ed44ee4b","","","","","","","","","","","","","","","","","","","","4-923a83d87eb92d568522af57ac17b0a57269eae65eb2c9d58c385aa5af5d0377","root.record.ItemExhibitList.P5Item"
"Joint Personal Dosimeter","","","","","","","","","614","614","770","","","","","","","","1.227","1.227","1.54","","","","true","","","","0.002","0.002","0.002","","","","","2017-BASE_PROCUREMENT-2017-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.xml","9334ea981de2e020cfb2c25fa014920051f4e027943259e50c1a29fb4c2bdcd0","1-3172379d502287b36ca49b5ad74c0ae1596854ad6dd4472ee64694ad8611267d","","","","","","","","","","","","","","","","","","","","4-923a83d87eb92d568522af57ac17b0a57269eae65eb2c9d58c385aa5af5d0377","root.record.ItemExhibitList.P5Item"
"DISCREET OCULUS","","","","","","","","","","","","","","","1","","","4.34","","","","","","","true","","","","","","","","","","4.34","2017-BASE_PROCUREMENT-2017-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.xml","9334ea981de2e020cfb2c25fa014920051f4e027943259e50c1a29fb4c2bdcd0","2-3c796e93aa7c9426225ba32a940115653b9eab1bfeffb5e1df35f6f6fcad4bba","","","","","","","","","","","","","","","","","","","","4-923a83d87eb92d568522af57ac17b0a57269eae65eb2c9d58c385aa5af5d0377","root.record.ItemExhibitList.P5Item"
"Harvester Particulate Airborne Collection System","","","","","","","","","","","","","","","1","","","1.573","","","","","","","true","","","","","","","","","","1.573","2017-BASE_PROCUREMENT-2017-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.xml","9334ea981de2e020cfb2c25fa014920051f4e027943259e50c1a29fb4c2bdcd0","3-a89b2dbca71b5abc54cb3a10f905ef5bb047884278a2fe5e2abe995bc4dda1e1","","","","","","","","","","","","","","","","","","","","4-923a83d87eb92d568522af57ac17b0a57269eae65eb2c9d58c385aa5af5d0377","root.record.ItemExhibitList.P5Item"
"Modular Whole Air Collection System","","","","","","","","","","","","","","","1","","","0.96","","","","","","","true","","","","","","","","","","0.96","2017-BASE_PROCUREMENT-2017-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.xml","9334ea981de2e020cfb2c25fa014920051f4e027943259e50c1a29fb4c2bdcd0","4-d0089bc3fa9c72aaccfd7cfd0865be655ec51f9f23df1afa19110eff409fc9e4","","","","","","","","","","","","","","","","","","","","4-923a83d87eb92d568522af57ac17b0a57269eae65eb2c9d58c385aa5af5d0377","root.record.ItemExhibitList.P5Item"
"SOCOM Underwater Monitor","","","","","","","","","","","","","","","1","","","1.437","","","","","","","true","","","","","","","","","","1.437","2017-BASE_PROCUREMENT-2017-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2017.xml","9334ea981de2e020cfb2c25fa014920051f4e027943259e50c1a29fb4c2bdcd0","5-9e58482ffc3754cb6374367693f36b5ed20f191b0f690589243e3e1498a1cb36","","","","","","","","","","","","","","","","","","","","4-923a83d87eb92d568522af57ac17b0a57269eae65eb2c9d58c385aa5af5d0377","root.record.ItemExhibitList.P5Item"
"Training Devices","","","","","","","","","","","","","","","","","81.332","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","1eeaa66dcf91e38bee3f9eefef9df9135d1c94689f17d17c9e86c0d11f8119d5","0-f51e6c2f817018b5222796e9bb72c4b96a4a287bf873677d2783f079623e003c","","","","","","","","","","","","","","","","","","","","0-3838e5622e69a688f08b77f08e4c68d9eeec4e092050a381d5ac63863f531d47","root.record.ItemExhibitList.P5Item"
"Interim Contractor Logistics Support","","","","","","","","","","","","","","","","11.84","18.802","21.492","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","1eeaa66dcf91e38bee3f9eefef9df9135d1c94689f17d17c9e86c0d11f8119d5","1-7431a764284ff073f814fa033bcb404b87aa0c2ab62d183d375695de8af25c58","","","","","","","","","","","","","","","","","","","","0-3838e5622e69a688f08b77f08e4c68d9eeec4e092050a381d5ac63863f531d47","root.record.ItemExhibitList.P5Item"
"Universal Mission Simulators Spares","","","","","","","","","","","","","","","","","7.325","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","1eeaa66dcf91e38bee3f9eefef9df9135d1c94689f17d17c9e86c0d11f8119d5","2-e08a8bd04f14391aee65167bf7b8edb6e87671551244da6d0a740d82178a9cf2","","","","","","","","","","","","","","","","","","","","0-3838e5622e69a688f08b77f08e4c68d9eeec4e092050a381d5ac63863f531d47","root.record.ItemExhibitList.P5Item"
"8. Integrated Logistics Support (ILS)","","","","","","","","","","","","","","","","0.15","0.394","0.155","0.11","0.11","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_WTCV-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","159da2ec6715c2dd724acaf515c0cde38cd2b8433610233535c248ea7d6bedbf","0-bc47dd70e9703c41844609db278fc68dcf785acb61fa7a0510fe4cae351f3551","","","","","","","","","","","","","","","","","","","","0-8a701091c8a540b7d532169e424dfb635be2b7b6188d853c87666ccd205943ad","root.record.ItemExhibitList.P5Item"
"EWTV Services","","","","","","","","","1","1","","","","","","","","","3.87","3.87","","","","","","","","","3870","3870","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","38c294167c355d339a8ccea624e0b0643e68457c11866b2b886992043516b63d","0-4707b304b2bfe279c397fd6e85c1c0a84738717a326f052c3e32be2c17efe81b","","","","","","","","","","","","","","","","","","","","0-6c310ff9606543df879b81b53f07983258840af6756d73cb4dabb1ba2461bad2","root.record.ItemExhibitList.P5Item"
"VROD/VMAX Services","","","","","","","","","1","1","","","","","","","","","0.747","0.747","","","","","","","","","747","747","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","38c294167c355d339a8ccea624e0b0643e68457c11866b2b886992043516b63d","1-2a342013098372ba9000f0fc15d64c29ed9c037c474f29d7fa4d363976db3b71","Other Government Agency","TBD","0","0","0","0","0","0","0","0","2018","TBD","2018-05","2018-05","1","747.000","TBD","","","0-6c310ff9606543df879b81b53f07983258840af6756d73cb4dabb1ba2461bad2","root.record.ItemExhibitList.P5Item"
"EWPMT Services","","","","","","","","","1","1","","","","","","","","","0.438","0.438","","","","","","","","","438","438","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","38c294167c355d339a8ccea624e0b0643e68457c11866b2b886992043516b63d","2-5abdf8c97f120d371d6b8e8c3de72c8b801c53618451e1520046a43067fe6d1e","MTEQ","TBD","0","0","0","0","0","0","0","0","2018","TBD","2018-01","2018-05","1","438.000","TBD","","","0-6c310ff9606543df879b81b53f07983258840af6756d73cb4dabb1ba2461bad2","root.record.ItemExhibitList.P5Item"
"Prophet Services","","","","","","","","","1","1","","","","","","","","","0.5","0.5","","","","","","","","","500","500","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","38c294167c355d339a8ccea624e0b0643e68457c11866b2b886992043516b63d","3-39e6e35f1c5b172708b573e3115c4b5b6c6efd84aaa0028e8a0cd54e9fca785d","General Dynamics","TBD","0","0","0","0","0","0","0","0","2018","TBD","2018-01","2018-05","1","500.000","TBD","","","0-6c310ff9606543df879b81b53f07983258840af6756d73cb4dabb1ba2461bad2","root.record.ItemExhibitList.P5Item"
"Joint Personal Dosimeter","","","","","","","","","446","446","","","","","764","","","1.527","0.892","0.892","","","","","","","","","0.002","0.002","","","","","0.002","2018-BASE_PROCUREMENT-2018-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.xml","71061dec7a6261454ba5ad4b798428de65e77b3ce2ffb8a0bea4d9d5d2b628b8","0-4f58401e64873e3ceb37e13ab37200322aa81ff860aafce3d038911d249cdf9b","","","","","","","","","","","","","","","","","","","","4-cf45a11e3ccde2f7809d94cf09b49068ccf303bed0ee0deb240aac68645069b2","root.record.ItemExhibitList.P5Item"
"DISCREET OCULUS","","","","","","","1","","","","","","","","","4.34","","","","","","","","","","","4.34","","","","","","","","","2018-BASE_PROCUREMENT-2018-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.xml","71061dec7a6261454ba5ad4b798428de65e77b3ce2ffb8a0bea4d9d5d2b628b8","1-12c55b328de4a11258d7d0a90af5e29553e5d831aa7c5d3708992a4402da63c0","","","","","","","","","","","","","","","","","","","","4-cf45a11e3ccde2f7809d94cf09b49068ccf303bed0ee0deb240aac68645069b2","root.record.ItemExhibitList.P5Item"
"Harvester Particulate Airborne Collection System","","","","","","","1","","","","","","","","","1.573","","","","","","","","","","","1.573","","","","","","","","","2018-BASE_PROCUREMENT-2018-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.xml","71061dec7a6261454ba5ad4b798428de65e77b3ce2ffb8a0bea4d9d5d2b628b8","2-3c9399b99131edb39cc9c638980a5ab1f62452fc42d3491d57ebadca5415c593","","","","","","","","","","","","","","","","","","","","4-cf45a11e3ccde2f7809d94cf09b49068ccf303bed0ee0deb240aac68645069b2","root.record.ItemExhibitList.P5Item"
"Modular Whole Air Collection System","","","","","","","1","","","","","","","","","0.96","","","","","","","","","","","0.96","","","","","","","","","2018-BASE_PROCUREMENT-2018-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.xml","71061dec7a6261454ba5ad4b798428de65e77b3ce2ffb8a0bea4d9d5d2b628b8","3-ebc11c4db631668fa8b550f07560a3ce247f0b60adf24a9e86b28b7acb2142c1","","","","","","","","","","","","","","","","","","","","4-cf45a11e3ccde2f7809d94cf09b49068ccf303bed0ee0deb240aac68645069b2","root.record.ItemExhibitList.P5Item"
"SOCOM Underwater Monitor","","","","","","","1","","","","","","","","","1.437","","","","","","","","","","","1.437","","","","","","","","","2018-BASE_PROCUREMENT-2018-DEFENSE_OSD-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.xml","71061dec7a6261454ba5ad4b798428de65e77b3ce2ffb8a0bea4d9d5d2b628b8","4-f3bce6979dd93208f77bbcec909d59a06325507dae6144239b9eef09b07871cb","","","","","","","","","","","","","","","","","","","","4-cf45a11e3ccde2f7809d94cf09b49068ccf303bed0ee0deb240aac68645069b2","root.record.ItemExhibitList.P5Item"
"Joint Personal Dosimeter","","","","","","","","","446","446","","","","","764","","","1.527","0.892","0.892","","","","","","","","","0.002","0.002","","","","","0.002","2018-BASE_PROCUREMENT-2018-DEFENSE_OSD-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Office_of_the_Secretary_Of_Defense_PB_2018.xml","9b8a0b7ad3f7346b4db0e6526619e63db39b739a90e948efdc2e370ef68f0802","0-37fcffdfff881d04883e101550aad9dc70961d7f9da6375fa2286334ec152aca","","","","","","","","","","","","","","","","","","","","4-17ef009534a25b4e41c1f9c7f86298f67343f4726e3a9033bef91f1e1aa03381","root.record.ItemExhibitList.P5Item"
