Name_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Army Active","","141.324","","114.517","82.511","","","","82.511","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","b8f546203ff86d0334c3f9ea20aa84d0440f42aac8df1fc5354bde7447b1e325","0-99c88dc42f6b815c63d1d2fcf848a910173ac22c17032cd041a9e01b45a303b1","0-0977a3646e181572a37068a44238623c92059c31728ce8b9e83c293195c33521","root.record.ItemExhibitList.P5Item"
"Army Active","","52.125","","62.746","77.381","","","","77.381","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","b91530f2d38ee276a40c9004cd0cfba4155a4d948779492c9edbaa8e4b07faae","0-05d7cbea4a2a4998d000abf8b6d2d2b7bf688b93fa056cce7ed8deb531235aec","0-68d4dfc62d3bfae0aa0ad73b6cfa98b6e1c809b123efcbcf6d33e6f7f87dcd1c","root.record.ItemExhibitList.P5Item"
"Army Active","11","66.78","1","6.421","119.992","15","","","119.992","15","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","9dfc62f4a1fb890ffbeac9a9e282fcf06bda6756c39d8a7db9ab1de1d714fae5","0-db5768618a3b10bdd80197c035c878fc70e2b58dff8d8ed44d771507b944c8e3","0-4074b600ad0dfd34e5f83b419e0c534767712839716b49e797cbe936c8274917","root.record.ItemExhibitList.P5Item"
"Army National Guard","39","236.764","38","243.994","151.991","19","","","151.991","19","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","9dfc62f4a1fb890ffbeac9a9e282fcf06bda6756c39d8a7db9ab1de1d714fae5","1-b084a87a00a80d7864a6bac304dca9613fb9015f17e050b3d678687cef073d79","0-4074b600ad0dfd34e5f83b419e0c534767712839716b49e797cbe936c8274917","root.record.ItemExhibitList.P5Item"
"Army Active","16","491.034","19","561.269","684.822","40","","","684.822","40","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","38900ff1ad59ca3ea695ae216d727ae3aa032f3b902a562606e181546f9b417d","0-142b90fca056f48730b27fd99b06c42bc8c24ca29351d74033220052569b7e54","0-38748f3477f63efe4613b251e321769ba3344a9d7c41ab757ab2eec53ffc37d7","root.record.ItemExhibitList.P5Item"
"Army Active","78","628.422","88","662.231","646.59","84","","","646.59","84","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","1c729cf57eff6b7031806a0763bf217f6c7807a8464f4648203bf472ddd2c2d3","0-f544ab31c34ead1bbb1e92e1ba1444ba887da0deb6a08371bec8ae726779b645","0-9fa55ccc43a9ba9064269cef1973eea1831e5a6068e71eac4716ee0a7441af56","root.record.ItemExhibitList.P5Item"
"Army Active","","","","74.953","12.85","","","","12.85","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","a067171d8964ffb89dea3415a97e6225d66438600b2ed3ba37690c54df7714e5","0-126de0817fcf4670a2856c1360d1877750fffffd837bb4c664b2ddceba530a7a","0-16fa9309841819a6f11db84516183e84fb9fb93e269dd5a058f310bf3e06d509","root.record.ItemExhibitList.P5Item"
"Army Active","","3.592","","3.674","3.864","","","","3.864","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","6794a92b077d2594e889c76b81a8405bafa29353ee52a8beeb7f9a282cd0379c","0-119d3ae97a2e0f3e87818b5fb5acf94351ac3b4c6d89cba3a695027df21a3245","0-e89f5b2a68fa9f9407425710ad919ac64f0eb91a46a7f2084d490fa6e0f51a86","root.record.ItemExhibitList.P5Item"
"Army Active","","1.208","","1.459","1.54","","","","1.54","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","29b27ae113a82ad8d35d7cf0eaac45f617c87b0db70689fb99a6e43ca2598698","0-a49fa1c508349160ab448deef03bba7590eb4c2e6b948ce55400af53a6588da7","0-9870a0b853b9462ea9a5060d156540cdf15e87ed5a7d5634b65248d4bde1ee5d","root.record.ItemExhibitList.P5Item"
"Army Active","","2.355","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","60f25497274ba40c82a9930ba24611853884a48c5634ea5c33ea850cf854bd00","0-d5f84087ba12a7da409e8a5e675661098e3a8054071475155903e4e8a03a1cc1","0-9060f9694678cf8630c6dd799a368573b95638330c9bf6a0ff52727a4da44c49","root.record.ItemExhibitList.P5Item"
"Army Active","2106","222.16","907","108.966","1.401","","29.1","161","30.501","161","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","bd0832a301e0ce87c3723608025fe79a84c6832b31c4cc9218dc957cca273389","0-282a2cc98dba923d52878b4e820aadc18dad82564c63e40cd6605ca9fef600d6","0-f893e13cd3c8770433ca7201b79a7911b069b02142e844486c9aae55de9cf248","root.record.ItemExhibitList.P5Item"
"Army Active","715","163.009","710","160.767","81.121","400","","","81.121","400","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","41fcf44fa1511023e21c22a82d18d16931e492112e9ac256466c637e0456df8e","0-10195f94c1702c15267129b4f596e181b5c17e9620d3de86643d580c7a9d0e02","0-e9e0d109c5a184d8005da9979702b1a47160033daad69d415d02ac766fe76564","root.record.ItemExhibitList.P5Item"
"Army Active","1200","136.96","802","78.562","84.643","1403","","","84.643","1403","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","405c8b65cf6cd163839857612f3862ce7006740a9a6477cda13c8577857a1010","0-af17eb6650fd44626aa2acfe21bf24f9d31fde2d674f9660af668f7a07648c19","0-caf30c9e111b1eed688a9d1288a3ec65942fb1662817fc3b7aaddfa81d17f3c3","root.record.ItemExhibitList.P5Item"
"Army Active","2592","264.179","3204","332.755","218.252","1608","20.553","186","238.805","1794","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","5edf453e2ffafadd7fe23cd3abe8f458ad712ebad38e48c2b46003e902bcf9e9","0-7b113884b8f3736ea4aa83fb3c805e20c15f8573eae5ececbeb0b141b5d5c8a7","0-2881a1621658ac2cc5f7361963303b158fa6fea6fc84d0638a6d09ea9cc5b0f3","root.record.ItemExhibitList.P5Item"
"Army Active","1340","7.994","1332","10.217","10.632","1270","","","10.632","1270","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","1a57be050d4b15bd971517a5bbf29dd101dea834713fb50c8cd240b3ffba6f0a","0-c453ac20e73e982be76f4a87ac02bd7fc95ae8ff45f81c509ea3642a7b52bc42","0-9509d08fc5140d0f62cefcbf73f9c023e6c2c5ea2b3a8088e46bc50054d92a58","root.record.ItemExhibitList.P5Item"
"Army National Guard","809","7.802","1038","7.958","8.135","1160","","","8.135","1160","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","1a57be050d4b15bd971517a5bbf29dd101dea834713fb50c8cd240b3ffba6f0a","1-fa76450396ed9f1bf3ffc8694f31caac6833ada8f6d9e36a32677883a558fc4d","0-9509d08fc5140d0f62cefcbf73f9c023e6c2c5ea2b3a8088e46bc50054d92a58","root.record.ItemExhibitList.P5Item"
"Army Active","","2.99","","11.056","12.051","","","","12.051","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","f3e4adbb781fccd5bf6c3ee44420c9cff1d265daf554bdbda9d86f814c15eb75","0-513d22524a712e33f3a188930dc6921a1160b9e897c9726bdb4db6a8a1e26a5d","0-de920e9b8bcc29b359e761a28f0482df0dec18459773e538a11c84b1cddd62be","root.record.ItemExhibitList.P5Item"
"Army National Guard","44","194.706","","13.128","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_MISSLE-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","f3e4adbb781fccd5bf6c3ee44420c9cff1d265daf554bdbda9d86f814c15eb75","1-a8ad37c67d7bd8d4982115d2060e6e73261fb1ab442d02221d09c4f8fd9954af","0-de920e9b8bcc29b359e761a28f0482df0dec18459773e538a11c84b1cddd62be","root.record.ItemExhibitList.P5Item"
"Army Active","22","27.043","27","42.214","37.938","29","15.731","12","53.669","41","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d8105a940807365df02ebc518c59dc9b0348f60a67f44d262e856a99879f870a","0-c2aa625894caf3d1072295e6450ba339a7e18f68391557c5709db342100da688","0-975f1d4d91c5df0a547eb47121e32e3a8bf9d0d76ed92707ddae7d19311117c1","root.record.ItemExhibitList.P5Item"
"Army Active","40","34.103","46","52.653","10.608","12","35.012","37","45.62","49","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d8105a940807365df02ebc518c59dc9b0348f60a67f44d262e856a99879f870a","0-360f178bd18d39a93f3e35d7e73df3736fbb4d636c0624ec200134a68d857b1d","1-715e7423b162ccc52fe700b93ede1a750fd12c31648830da0ccbc1e049ce8b1f","root.record.ItemExhibitList.P5Item"
"Army Active","131","165.094","43","70.955","62.867","76","","","62.867","76","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d8105a940807365df02ebc518c59dc9b0348f60a67f44d262e856a99879f870a","0-bedbe3359d956570c97c6c507a075abf7cf1b3d4049c35b7fcd77f687d138915","2-232e35b138555988fd57d8bb808689780ed660f99d6996e91a78bbc26abe944c","root.record.ItemExhibitList.P5Item"
"Army Active","","","","","7.097","27","","","7.097","27","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","01a678311d019469ee1795f214d219a2799bb944db606d2649fce14891c5c47a","0-c5813b54ed3ed8c8f7aa268ae41a40f4259fb490fefdfe00ae449a0aee9455b2","0-d9e188c393673d13f335a863e160ccdaf25d6b524e1ed67a482aadf2b0a3b7f3","root.record.ItemExhibitList.P5Item"
"Army Reserve","","","","0.596","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","01a678311d019469ee1795f214d219a2799bb944db606d2649fce14891c5c47a","1-fd92672e542f25404b48d167ce5cfd3ba3dec065865b66c72e7137198e474963","0-d9e188c393673d13f335a863e160ccdaf25d6b524e1ed67a482aadf2b0a3b7f3","root.record.ItemExhibitList.P5Item"
"Army Active","137","4.778","","0.005","0.498","9","","","0.498","9","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","36041fe6b4796b4d19a97838a8c7734001ecc7f4e02caa54f054760c2cd386fa","0-a99cd9ad1f1843ba516d039ce2b41a029b66265c6aae231b1ba749e24f88bb0c","0-74df8d4fbed5a2155c1776d24d6f3bb37480c42068c83d98bf3974fa8dcfe152","root.record.ItemExhibitList.P5Item"
"Army National Guard","369","16.282","171","6.171","2.5","56","","","2.5","56","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","36041fe6b4796b4d19a97838a8c7734001ecc7f4e02caa54f054760c2cd386fa","1-670331c700fd4133339f23612a1535adb11cae59c75a2bdab41d54be5411ad19","0-74df8d4fbed5a2155c1776d24d6f3bb37480c42068c83d98bf3974fa8dcfe152","root.record.ItemExhibitList.P5Item"
"Army Reserve","","","80","3.33","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","36041fe6b4796b4d19a97838a8c7734001ecc7f4e02caa54f054760c2cd386fa","2-d1db80f29fe9fb2bf19c16bfa8dc1822f86496b146f7f5efc28c3071069bb042","0-74df8d4fbed5a2155c1776d24d6f3bb37480c42068c83d98bf3974fa8dcfe152","root.record.ItemExhibitList.P5Item"
"Army Active","677","29.065","","","0.434","","","","0.434","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","36041fe6b4796b4d19a97838a8c7734001ecc7f4e02caa54f054760c2cd386fa","0-a53d78a8064d7fe2e2b11484e5be44d875e7a19b3eac4a53b21ee711a52f9a63","1-c1c38d1e3bb955980d538772f2fdab8e2d50011ee00e3b728aa77f5ab4a87944","root.record.ItemExhibitList.P5Item"
"Army National Guard","1024","52.915","680","35.084","1.5","34","","","1.5","34","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","36041fe6b4796b4d19a97838a8c7734001ecc7f4e02caa54f054760c2cd386fa","1-4996fadb2a64b6fb090e98bc14672c726fb8d7e58ab4e6f50d08fb39e741ed06","1-c1c38d1e3bb955980d538772f2fdab8e2d50011ee00e3b728aa77f5ab4a87944","root.record.ItemExhibitList.P5Item"
"Army Reserve","623","32.634","204","8.774","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","36041fe6b4796b4d19a97838a8c7734001ecc7f4e02caa54f054760c2cd386fa","2-1d8f12f89f8e3dbdc38fd196924ffc9e15ca8f62c06595797a6dcbf84bccd75a","1-c1c38d1e3bb955980d538772f2fdab8e2d50011ee00e3b728aa77f5ab4a87944","root.record.ItemExhibitList.P5Item"
"Army Active","30","7.045","38","9.801","","","7.155","31","7.155","31","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","36041fe6b4796b4d19a97838a8c7734001ecc7f4e02caa54f054760c2cd386fa","0-d6b3f665a1c651586fa65e6fddeacfe7e199e687fa68a938ba11a84011eac3e1","2-801865db645ea55e7327981c087c4a7bb7409b548ad38ef879f51da75362f3bf","root.record.ItemExhibitList.P5Item"
"Army National Guard","330","54.01","","","","","5.438","34","5.438","34","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","36041fe6b4796b4d19a97838a8c7734001ecc7f4e02caa54f054760c2cd386fa","1-15958587df814c7624f30d2665325d0441f73cd068c501082d7a9df600d46417","2-801865db645ea55e7327981c087c4a7bb7409b548ad38ef879f51da75362f3bf","root.record.ItemExhibitList.P5Item"
"Army Reserve","","","","","","","1.717","11","1.717","11","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","36041fe6b4796b4d19a97838a8c7734001ecc7f4e02caa54f054760c2cd386fa","2-d82a9f0ef906a7e234459620400f1f80ef9e4fb5dc6a9273aae35d61a89f752d","2-801865db645ea55e7327981c087c4a7bb7409b548ad38ef879f51da75362f3bf","root.record.ItemExhibitList.P5Item"
"Army Active","2154","423.673","79","22.865","120.982","403","6.969","36","127.951","439","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","36041fe6b4796b4d19a97838a8c7734001ecc7f4e02caa54f054760c2cd386fa","0-da3e063ed0aadf04f35b92e8f9a5b3502fae25d490d208469fd3b89e4bc04bee","3-ce4613581a4f180c3b46a7301893eb95ee1902a92afb9d36772ca1dcdce0a58b","root.record.ItemExhibitList.P5Item"
"Army National Guard","1623","353.836","1245","342","135.542","403","5.296","27","140.838","430","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","36041fe6b4796b4d19a97838a8c7734001ecc7f4e02caa54f054760c2cd386fa","1-cda3b83e58a03e1f51236cedba77294185cb61a49b6e099964beee5e531ef098","3-ce4613581a4f180c3b46a7301893eb95ee1902a92afb9d36772ca1dcdce0a58b","root.record.ItemExhibitList.P5Item"
"Army Reserve","517","114.287","27","6","84.659","343","1.672","10","86.331","353","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","36041fe6b4796b4d19a97838a8c7734001ecc7f4e02caa54f054760c2cd386fa","2-7035b311046192c19d12338328ca4dc77eff1d5b74c472ba3f32158d3a49d4da","3-ce4613581a4f180c3b46a7301893eb95ee1902a92afb9d36772ca1dcdce0a58b","root.record.ItemExhibitList.P5Item"
"Army Active","8759","989.067","","4.313","","","271","2128","271","2128","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","c3abc072fdf279e74cc9efecdf586ea1c9b8f57343f30f03910166b407db237b","0-988372016679d15c21a2903d680239a760e87cfd20583dc9a64b3111040dadd7","0-edbe0988d48a1baa83269d95257af7776cc5b668ab34db8040cfc5df6a847782","root.record.ItemExhibitList.P5Item"
"Army Active","","","424","19.954","40.556","713","","","40.556","713","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","70e85c5c70f7f5aa2e23003516c9f757ab753cd461eaafe9956b7da1e9e5c871","0-45b368a6c03e75bd7d2783d3e601046aead646dee3d33651f5e86cd47cee9163","0-1368d59a9efec1f4bc334481334f0c9908810db44bf80de7381a46359f85dc30","root.record.ItemExhibitList.P5Item"
"Army Active","","","160","19.954","28.607","237","","","28.607","237","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","70e85c5c70f7f5aa2e23003516c9f757ab753cd461eaafe9956b7da1e9e5c871","0-a7375ba5ca677a810b5b7491ce6488b47f312c35f68ad3ad7e8bada0d7a2ff11","1-81ea5e13d3d7badab1ef3642e1ead5c9a2a601da8a75b86413e3b68944addd17","root.record.ItemExhibitList.P5Item"
"Army Active","","10.931","","10.541","8.459","","","","8.459","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","640d730ecd44b4cf3764388e7c7b5cc31418a0c3e48a845b804bd6e319de7001","0-261484e2c330ad0d75afd588c45090f0c589bd2632894e68f2c9388f2d9816cb","0-22b55d7653b89f0f3f9f9bb608244457a4c1e0f9d39111054c7b3ebfa6ebf74d","root.record.ItemExhibitList.P5Item"
"Army Active","","7.607","","8.355","7.509","","","","7.509","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","640d730ecd44b4cf3764388e7c7b5cc31418a0c3e48a845b804bd6e319de7001","0-7127e4757fd65ff7829b6594af6b5d2e099c2d3bc22a526b9130060c9936b5f9","1-95e85ede936d5a30ac050b9978672689d5cc0790d7ea516459a2a5523e2fb719","root.record.ItemExhibitList.P5Item"
"Army Active","","21.197","","21.93","19.292","","","","19.292","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","3a8eb3f027e544c7b4381542d14b3258558e2d3a3e7d12dd3734391f0928ccc2","0-26957c6f85efad5257eedeb910c8279d427903a946d0d1e10b444267fe10901f","0-64cdc49caf2d15e55d64533d86c3053378896f464c9dd3086dd6412e1de8a751","root.record.ItemExhibitList.P5Item"
"Army Active","","","48","2.935","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","7b66c77b1b961beb1fb0fe29bc73a5e685951773c2d01f47f10f1c11bde94b3f","0-16e7804a10d4aefe283beab771f16982a8c5a82263707084a0e10eca134edfca","0-f4c5afef073244d733fb15badcb4902694ed00333f2d0b58e322c2b4c13a61ef","root.record.ItemExhibitList.P5Item"
"Army Reserve","","","220","13.624","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","7b66c77b1b961beb1fb0fe29bc73a5e685951773c2d01f47f10f1c11bde94b3f","1-4cdc48ea521b32d278c3a59e3a84c3943449956fd9cb7e6c301721238e53a567","0-f4c5afef073244d733fb15badcb4902694ed00333f2d0b58e322c2b4c13a61ef","root.record.ItemExhibitList.P5Item"
"Army Active","1796","75.48","652","27.719","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","7b66c77b1b961beb1fb0fe29bc73a5e685951773c2d01f47f10f1c11bde94b3f","0-9b0976a61cc9ab962ee06e9e05ee5b82cf5948282235c4cda3d185ae4862b554","1-d54b7c4ecf4e7465130935eb689ed827136572e943b172b07411d06d7d0e27a7","root.record.ItemExhibitList.P5Item"
"Army National Guard","1038","43.624","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","7b66c77b1b961beb1fb0fe29bc73a5e685951773c2d01f47f10f1c11bde94b3f","1-4c9cde5e927fa0cd231c57239fccd8a8768238bde66ba389c9b62fc4dc859f45","1-d54b7c4ecf4e7465130935eb689ed827136572e943b172b07411d06d7d0e27a7","root.record.ItemExhibitList.P5Item"
"Army Reserve","1157","48.625","640","27.209","14.361","327","","","14.361","327","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","7b66c77b1b961beb1fb0fe29bc73a5e685951773c2d01f47f10f1c11bde94b3f","2-f2145271999a762289ea54afec53580b81947db71d0da73fbd2130384b2efa2f","1-d54b7c4ecf4e7465130935eb689ed827136572e943b172b07411d06d7d0e27a7","root.record.ItemExhibitList.P5Item"
"Army Active","418","18.089","12","4.941","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","7b66c77b1b961beb1fb0fe29bc73a5e685951773c2d01f47f10f1c11bde94b3f","0-aa4fb7273c68c21fd8984bdcf76424e4ab5f648e3b985ad737a084b3d906259a","2-f60886ed2b1295f1f6c27a1408ba5f4caec8c04e1d219a70e60f79928eee3ea2","root.record.ItemExhibitList.P5Item"
"Army National Guard","1172","55.902","2386","24.489","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","7b66c77b1b961beb1fb0fe29bc73a5e685951773c2d01f47f10f1c11bde94b3f","1-858c3a54f04fdf2423a7232f491638e2968132b38a1cfd976d88a803a2cbc8bd","2-f60886ed2b1295f1f6c27a1408ba5f4caec8c04e1d219a70e60f79928eee3ea2","root.record.ItemExhibitList.P5Item"
"Army Reserve","1099","19.745","2640","23.124","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","7b66c77b1b961beb1fb0fe29bc73a5e685951773c2d01f47f10f1c11bde94b3f","2-798c8bec226b277bda61d471e5fc122fb74f0d5e62d11896f8a38d54cbf71bab","2-f60886ed2b1295f1f6c27a1408ba5f4caec8c04e1d219a70e60f79928eee3ea2","root.record.ItemExhibitList.P5Item"
"Army Active","","","","","","","0.812","2","0.812","2","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","7b66c77b1b961beb1fb0fe29bc73a5e685951773c2d01f47f10f1c11bde94b3f","0-2045995b340e15c6f68f9122a6781b6bae2f2a82890479bedb1df3e93c1d72a4","3-25a58ffb7c6c0035d03bef5cde2dcd1992bb75c0ece1dd047aa46bb91b818b46","root.record.ItemExhibitList.P5Item"
"Army Active","","","","","","","0.886","1","0.886","1","","","","","","","","2013-BASE_PROCUREMENT-2013-ARMY_OTHER_1-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","7b66c77b1b961beb1fb0fe29bc73a5e685951773c2d01f47f10f1c11bde94b3f","0-3b6c94fe63a6d5e48754c3c2b99ecd95cc7e7f115959b43cde189c375eb6be8c","4-c0e64899acfed1933aba0a3725a799be456640311f87fa18a4c8e4f660f8cf46","root.record.ItemExhibitList.P5Item"
