@projectCategoryName,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Number_val,Title_val,EndItemSupportedModel_val,CostElementList_Construction_PriorYear_TotalCost_val,CostElementList_Construction_CurrentYear_TotalCost_val,CostElementList_Construction_BudgetYearOneBase_TotalCost_val,CostElementList_Construction_BudgetYearOneOCO_TotalCost_val,CostElementList_Construction_BudgetYearOne_TotalCost_val,CostElementList_Equipment_PriorYear_TotalCost_val,CostElementList_Equipment_CurrentYear_TotalCost_val,CostElementList_Equipment_BudgetYearOneBase_TotalCost_val,CostElementList_Equipment_BudgetYearOneOCO_TotalCost_val,CostElementList_Equipment_BudgetYearOne_TotalCost_val,CostElementList_EquipmentInstallation_PriorYear_TotalCost_val,CostElementList_EquipmentInstallation_CurrentYear_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneBase_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneOCO_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOne_TotalCost_val,CostElementList_ContractorSupport_PriorYear_TotalCost_val,CostElementList_ContractorSupport_CurrentYear_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneBase_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_PriorYear_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneBase_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_CurrentYear_TotalCost_val,CostElementList_Other_BudgetYearOneBase_TotalCost_val,CostElementList_Other_BudgetYearOneOCO_TotalCost_val,CostElementList_Other_BudgetYearOne_TotalCost_val,CostElementList_Other_PriorYear_TotalCost_val,CostElementList_Other_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_PriorYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneBase_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOneBase_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_CurrentYear_TotalCost_val,MilestoneList_FinalDesignComplete_val,MilestoneList_InitialProjectAward_val,MilestoneList_FinalProjectAward_val,MilestoneList_EquipmentInstallationComplete_val,MilestoneList_ConstructionComplete_val,MilestoneList_ProveOutBegins_val,MilestoneList_ProveOutComplete_val,MilestoneList_ConceptDesignComplete_val,NarrativeExplanation_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Production Support","","6","","","","5185105","RDX Employee Change House","Research Development Explosives (RDX)","","4.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.25","","","","","","","","","","2017-08","","","2019-08","","","","Base procurement dollars in the amount of $6.000 million supports modernization of RDX change house facilities, restrooms, showers, and lockers. It will also provide ventilation and air conditioning for change house facilities.  This effort will improve the quality of work environment and support the projected increase of production at Holston Army Ammunition Plant.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","31-9a1b3fa41305eb569baa299473654e7902443ebdd0e94a3f0759f9d8b4ed2975","1-f4365351dc72662868abb66d4c859ea2463fa37333fd2f9aa896bcae843bf34a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","2","","","","5185106","Ansol Filtration Mod, Design","Research Development Explosives (RDX)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","2018-01","","","","","","","Base procurement dollars in the amount of $2.000 million supports design effort to improve filtration processes of Ammonium Nitrate Solution (ANSOL) at Holston Army Ammunition Plant.   Effort will evaluate several technologies that will improve the filtration of ANSOL.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","32-3c40e11b242abffef1bbbb11971bbd52c15bd7557b98bab204a8303d27643a36","1-f4365351dc72662868abb66d4c859ea2463fa37333fd2f9aa896bcae843bf34a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","3","3","","5185107","IMX Production Building - Design","Insensitive Mun Expl(IMX)","","","","","","","","","","","","","","","","","","","","","","","","","","3","","3","","","","","","","","","","","2019-06","2018-07","","","","","","","FY 2018 Base procurement dollars in the amount of $3.000 million supports design of a second IMX Production Building at Holston Army Ammunition Plant.  This production building will produce the additional required Dinitroanisole and Nitrotriazalone IMX base explosives to meet the projected requirements for IMX explosives.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","33-730beacc1acbcc5ce41293bbec8289b2403f6c632a6e22ebd8dc612568eddb70","1-f4365351dc72662868abb66d4c859ea2463fa37333fd2f9aa896bcae843bf34a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","6.5","6.5","","5173295","Modernize B235 Filter Press, Ph 2","Research & Development Explosives (RDX), High Melt Explosives (HMX)","","","3.25","","3.25","","","2.75","","2.75","","","","","","","","","","","","","","","","0.5","","0.5","","","","","","","","","","","","2017-11","","","2020-03","2020-04","2020-08","","FY 2018 Base procurement dollars in the amount of $6.500 million supports installation of a new belt filter press with associated pumps, piping, power & controls at the Holston Army Ammunition Plant (AAP) Industrial Waste Water Treatment Facility (IWWTF) Building 235.  Holston AAP is required to satisfy discharge regulations within the NPDES permit, which includes treated effluent limitations on Total Suspended Solids (TSS).  TSS levels will increase due to the increased biological activity within the IWWTF","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","34-42b45ba042dd8fbbd72ec98546ec8cf31ea8755b020c49214f841d59cc0ead25","1-f4365351dc72662868abb66d4c859ea2463fa37333fd2f9aa896bcae843bf34a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","5.4","","","","5173683","Magazine Vent Replacement","Research Development Explosives (RDX), High Melt Explosives (HMX)","","2.75","","","","","1.05","","","","","0.95","","","","","","","","","","","","","","","","","","0.65","","","","","","","","","","2017-09","","2019-02","2019-01","2019-02","2019-07","","Procurement dollars in the amount of $5.400 million supports purchase and installation of new magazine vents at Holston Army Ammunition Plant.  This project will enhance the safety for each magazine and meet the requirements in Army Technical Manual 38-410, Storage and Handling of Hazardous Materials.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","35-1dd218e85da0eb16f170039ce680b798b5e74de63e5c2d2aa5d2b4446299c7fb","1-f4365351dc72662868abb66d4c859ea2463fa37333fd2f9aa896bcae843bf34a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","40","40","","5185110","Area B Third Acid Train Design/Construct","Research Development Explosives (RDX)","","","40","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY 2018 Base procurement dollars in the amount of $40.000 million supports design and construction of a third acid train facility at Holston Army Ammunition Plant.  Additional capacities are required to meet future RDX production requirements.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","36-ba9b719f9c0a172e482eb1cbe8229e06f8cb105a8604499654e964adc7c1a586","1-f4365351dc72662868abb66d4c859ea2463fa37333fd2f9aa896bcae843bf34a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","12","","","","5175111","Additional Trailer Storage Capacity, Design/Construction","Research Development Explosives (RDX)","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Base procurement dollars in the amount of $12.000 million supports design and construction of additional trailer storage at Holston Army Ammunition Plant.  Additional capacities are required to meet future RDX production requirements.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","37-96727a1a14d21e521b8d88b6b8ecd030d9ffb68d8ddea070a57791ec68ecfeee","1-f4365351dc72662868abb66d4c859ea2463fa37333fd2f9aa896bcae843bf34a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","1.8","","","","5173579","Holston Landfill Expansion, Ph 3","Research Development Explosives (RDX), High Melt Explosives (HMX), IMX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","","","","","","","","","","2017-08","","","","","","","Procurement dollars in the amount of $1.800 million supports design of the landfill expansion at Holston Army Ammunition Plant.  The design will support future landfill expansion to maintain compliance with Tennessee Department of Environment and Conservation.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","38-175d7e8b6ee427414dbc3faff73af41cfee83532c25a1cdfd8fe9c384c386311","1-f4365351dc72662868abb66d4c859ea2463fa37333fd2f9aa896bcae843bf34a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","8.75","8.75","","5183751","Plant-Wide Building Deluge Upgrades","","","","8.35","","8.35","","","","","","","","","","","","","0.25","","0.25","","","","","","0.15","","0.15","","","","","","","","","","","","2018-06","","","2021-04","","","","FY 2018 Base procurement dollars in the amount of $8.750 million supports upgrades to deluge systems in production buildings at Holston Army Ammunition Plant.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","39-a80c6c6361e58b67087d0b2782a57cf1a3b50eae1723590a7cb26c1df292caaa","1-f4365351dc72662868abb66d4c859ea2463fa37333fd2f9aa896bcae843bf34a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","2.45","2.45","","5183160","Critical Roof Replacement, Ph 2","","","","2.25","","2.25","","","","","","","","","","","","","","","","","","","","","0.2","","0.2","","","","","","","","","","","","2018-06","","","2020-06","","","","FY 2018 Base procurement dollars in the amount of $2.450 million supports second phase of roof replacements to critical production buildings at Holston Army Ammunition Plant.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","40-4d8262f5a8f2022d9ddb7d0e9d03d7278c5ad16f81a26863507b84ccbe8443d2","1-f4365351dc72662868abb66d4c859ea2463fa37333fd2f9aa896bcae843bf34a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","7.35","7.35","","5183970","Boxway Upgrade for Spill Prevention & Containment","","","","1.95","","1.95","","","2.07","","2.07","","","2","","2","","","","","","","","","","","0.741","","0.741","","","","","","","","0.589","0.589","","","2018-06","","2020-06","2020-06","","","","FY 2018 Base procurement dollars in the amount of $7.350 million support upgrades and repairs the boxway network at Holston Army Ammunition Plant.  Project will improve spill containment and storm water exclusion and enhance compliance with the facility's National Pollutant Discharge Elimination System permit and associated Spill Prevention, Control and Countermeasure Plan.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","41-4cbcd158d0c58a6ba8a5a671ff37c0264f8c3abb1b90ec6d7a77cfd6bc8a0bff","1-f4365351dc72662868abb66d4c859ea2463fa37333fd2f9aa896bcae843bf34a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","10.464","11.047","11.234","11.234","","5188000","Layaway Of Industrial Facilities","","","","","","","","","","","","","","","","","","","","","","","","","","","11.234","","11.234","10.464","11.047","","","","","","","","","","","","","","","","","FY 2018 Base procurement dollars in the amount of $11.234 million supports the protection and preservation of industrial facilities at active and inactive Army ammunition installations and equipment that are no longer required for current production but must be retained for future peacetime or emergency production needs. Funds support the decontamination and demolition of excess production equipment and facilities buildings at Lake city and Radford AAP and the layaway of various load, assemble and pack production lines at Milan AAP. Funds will also support the disposal of excess equipment at McAlester AAP.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","0-907e8d5c23173819e9abe28df680215bdf7e6d36124549e2416b41a9ad02f1a1","2-e4cc2356db1c8b8462b333e08a4b241d0b9bda1119a94f774eb65bad08907a76","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","5.84","","","","5XX3745","General Road Improvements (Road I & Line 2)","40mm, Artillery, Mortar, Tank","","3.587","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.253","","","","","","","","","","2017-08","","","2019-02","","","","Base procurement dollars in the amount of $5.840 million supports improvements to Road I & Line 2 at Iowa Army Ammunition Plant.  Roads have deteriorated to a condition in which routine maintenance is no longer economically feasible.  Effort will rehabilitate approximately 3.5 miles of roadways.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","0-9f033d7959d883e0a0598ab4c43ce209044ec4012f9e06525f7f05cf35f6be4a","3-74d1c2054d0a04d412d6e86526fde5794533468e7b935d4820b3972fa17dec45","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","3.512","","","","5173366","Replace Water Main Services, L Shops","120mm Tank, 155mm Artillery","","3.135","","","","","","","","","","","","","","","0.377","","","","","","","","","","","","","","","","","","","","","","","2017-08","","","2019-08","","","","Base procurement dollars in the amount of $3.512 million supports replacing the Yard L and Shop Area domestic water supply system with new, like-sized polyvinyl chloride conduits at Iowa Army Ammunition Plant.  The existing water mains and distribution system has corroded resulting in excessive line breaks, affecting the rate of water flow available to fire protection systems, and can interrupt production throughout the installation.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","1-33c6b8c9b8f2f234f5ad06dacf0294c21abb7c42d43c621bb581c3472f3f2281","3-74d1c2054d0a04d412d6e86526fde5794533468e7b935d4820b3972fa17dec45","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","3.79","","","","5173794","Rail System Upgrade - Yards E and C, D, L, and Line 3","40mm, Artillery, Mortars","","0.382","","","","","2.906","","","","","0.361","","","","","0.094","","","","","","","","","","","","","0.047","","","","","","","","","","2017-06","","2019-06","2019-06","","","","Base procurement dollars in the amount of $3.790 million supports upgrades to rail tracks at Line 3 and Yards C, D, E, and L at Iowa Army Ammunition Plant.  Project will assure continued viability of the installation’s rail system for the transport of raw production materials and finished production.  Rail systems supports 40mm, as well as 60mm, 81m, and 120mm mortars production.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","2-c569afd10b2d8ab7bf7037b527b06b5e9cfb69b7d2248cc3b4d52c3f3f420254","3-74d1c2054d0a04d412d6e86526fde5794533468e7b935d4820b3972fa17dec45","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.889","","","","5173905","Insulate Ceiling & Interior Walls, Line 3A","Artillery, Mortars","","0.794","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.095","","","","","","","","","","","","","","","","","Base procurement dollars in the amount of $0.889 million supports door replacement and insulating between rafters on the underside roof of seven buildings in production Line 3A for the loading of 60mm, 81mm, and 120mm mortars at Iowa Army Ammunition Plant.  Effort will reduce energy consumption in the heating of production buildings on Line 3A.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","3-0666844b2a2f98c1235ac1a23c8e87b95a53b304a95b938c08e541f9e5ee9a28","3-74d1c2054d0a04d412d6e86526fde5794533468e7b935d4820b3972fa17dec45","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.505","","","","5173907","Air Compressor Replacement/System Rebuild","105/120mm Tank,105/155mm Artillery,Modular Artillery Charging Sys (MACS)","","","","","","","0.38","","","","","0.112","","","","","0.013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Base procurement dollars in the amount of $0.505 million supports replacement of various-sized air compressors at Iowa Army Ammunition Plant.  The compressed air systems are antiquated and inadequate for the task of producing ammunition.  Compressed air is critical to the operation of a load, assemble, and pack of 40mm, as well as 60mm, 81mm, and 120mm mortars.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","4-9c384077f67b6fb85be3de0d04f739704234ed903206452ba9fd0918280f1f08","3-74d1c2054d0a04d412d6e86526fde5794533468e7b935d4820b3972fa17dec45","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.359","","","","5175019","Energy Efficiency Improvements, Low Cost Energy Conservation Measures","Artillery, Mine Clearing Line Charge (MICLIC), Tank","","0.203","","","","","0.068","","","","","0.057","","","","","0.031","","","","","","","","","","","","","","","","","","","","","","","2017-08","","2018-06","2018-06","","","","Base procurement dollars in the amount of $0.359 million supports identification and implementation of cost effective measures to reduce energy and steam consumption at Iowa Army Ammunition Plant.  Effort supports the Army's energy goal for the National Technology Industrial Base.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","5-12e938c5cdc81bb6187bc5ff39645ff94665de14cebd5769b807f6c7405289b9","3-74d1c2054d0a04d412d6e86526fde5794533468e7b935d4820b3972fa17dec45","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.601","","","","5173631","Improve Restrooms/Break Rooms, Line 2 Pdn Area","Artillery","","0.325","","","","","0.15","","","","","0.126","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-08","","2018-08","2018-08","","","","Base procurement dollars in the amount of $0.601 million supports improvements to restrooms and break rooms for Line 2 Production Areas at Iowa Army Ammunition Plant.  Effort will improve the production workers' quality of work environment.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","6-c0f66a69ab4128ed4e1b3630fb6df55bbb8843f750326ced2137c062727c43df","3-74d1c2054d0a04d412d6e86526fde5794533468e7b935d4820b3972fa17dec45","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","9.6","9.6","","5185030","IAAAP Footprint Reduction - Melt Pour Operations Phase I, Design","","","","","","","","","","","","","","","","","","","","","","","","","","","9.6","","9.6","","","","","","","","","","","","2018-05","","","","","","","FY 2018 Base procurement dollars in the amount of $9.600 million support Phase I design for footprint reduction at Iowa Army Ammunition Plant.  Phase I will evaluate the transfer of Line 3A to the east side of the plant and reduce maintenance costs of the facility.  Effort will also evaluate modernization of primary melt pour facility.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","7-e56c98845ec83e870c4de2bf0272e092a1f0ee9894401bbf02885f91eccd8a7c","3-74d1c2054d0a04d412d6e86526fde5794533468e7b935d4820b3972fa17dec45","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","2.991","","","","5185087","Sewer Rehabilitation, Ph 1","","","2.607","","","","","","","","","","","","","","","0.071","","","","","","","","","","","","","0.313","","","","","","","","","","2017-09","","","2019-03","","","","Base procurement dollars in the amount of $2.991 million support sewer rehabilitation at Iowa Army Ammunition Plant.  Sewer infiltration and inflow (I&I) has reached levels that have exceeded compliance with state standards. This project will reduce the I&I rates so are system is compliance with the Iowa Department of Natural Resources (IDNR) standards.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","8-fb25c08a7772a9bc0e14c49c4de1fba9864a7db734bccce16ab129180e00ae18","3-74d1c2054d0a04d412d6e86526fde5794533468e7b935d4820b3972fa17dec45","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","2.423","2.423","","5185108","Gate 3 Upgrade","","","","1.85","","1.85","","","","","","","","","","","","","0.25","","0.25","","","","","","0.323","","0.323","","","","","","","","","","","","2018-03","","","2020-03","","","","FY 2018 Base procurement dollars in the amount of $2.423 million support Gate 3 upgrades at Iowa Army Ammunition Plant.  This project includes upgrades and modernization of Gate 3 to meet Army standards for access control points.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","9-fb1d8532ab9dcd9a62e4b9f004885dac66c6d17ce0fad1659a010addab82ca3b","3-74d1c2054d0a04d412d6e86526fde5794533468e7b935d4820b3972fa17dec45","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","2.385","2.385","","5185036","Roof Replacement, Production Areas, Ph 1","","","","2.112","","2.112","","","","","","","","","","","","","","","","","","","","","0.273","","0.273","","","","","","","","","","","","2018-02","","","2019-02","","","","FY 2018 Base procurement dollars in the amount of $2.385 million supports roof replacement in Line 1 production areas at Iowa Army Ammunition Plant.  Effort will improve safety and work environment within the production areas.  Existing roofs have exceeded their life expectancy.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","10-8f62bf48f38ea3d147b2309d2cde0e5428e83b0f05b4843af8fcdce7552db773","3-74d1c2054d0a04d412d6e86526fde5794533468e7b935d4820b3972fa17dec45","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","1.259","","","","5175086","Underground Electrical Upgrades","40mm","","0.931","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.328","","","","","","","","","","2017-08","","","2018-02","","","","Base procurement dollars in the amount of $1.259 million supports upgrades to underground electrical feeds at Iowa Army Ammunition Plant (AAP).  The current Line 1 underground electrical feed at Iowa AAP has reached the end of its useful life.  Project will bore and trench new electrical cable to feed Loops 1, 2, and 3 of the Line 1 electrical system.  This effort will correct deficiencies and reduce the risk of production shutdown.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","11-5c3c1021f496d87ab3bee739c7a55c0c164a869f1cfac62b36e357d38f4feaf8","3-74d1c2054d0a04d412d6e86526fde5794533468e7b935d4820b3972fa17dec45","root.record.FacilityList.ProductionSupportFacility"
"Production Support","4.391","9.8","20.07","20.07","","5XX3356","Small Caliber Modernization, Production Line Upgrades",".50 Cal (all types except SLAP-T), 5.56mm, 7.62mm (all types)","","","3.91","","3.91","2.088","6.936","8.5","","8.5","2.024","2.039","5.5","","5.5","0.279","0.645","1.26","","1.26","","","","","","0.9","","0.9","","0.18","","","","","","","","","2017-04","2017-03","2018-05","2019-12","2019-12","2020-01","2020-02","","FY 2018 Base procurement dollars in the amount of $20.070 million supports modernization improvements in small caliber ammunition manufacturing at Lake City Army Ammunition Plant.  Upgrades are required due to the age of the equipment and extensive production requirements in recent years.  Upgrades include replacement of 5.56mm Clip Carton Pack Machines, .50 Caliber Linker Machine Cartridge Feed and Link Feed system, 7.62mm Linker Machine Cartridge Feed and Link system, and Building 1 material handling upgrades.  Effort will improve product quality, equipment reliability, availability, and maintainability, while addressing personnel safety.","2018-BASE_PROCUREMENT-2018-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ac8b476f8f4e2fea8c6f899f79cc74d889b720e44677133cab99482e7a2f8d2c","0-3de13749aca878ff903fe4b10393e116dacdbc0d313f5db7007ecdb70e8e9866","4-dc94e0807a04e32ef29b39de04638111b8ad95cb6d45943785656da3ca7cce89","root.record.FacilityList.ProductionSupportFacility"
