Name_val,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_Continuing_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ManufacturerList_Manufacturer,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"Synchronus MetroCluster (Unclassified)","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.35","","","","","","","","","","","","","","1","","","","","","","","","","3.35","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","e9921f0d9b8db3d3cc22fa80c080135237742b6604602278f57a73866900b288","5-53341c66b505d11d297ac7e223090d77f2b56645b51ab1b4b0d642049d2dc789","","2-4eddda91c48a08df4cceb10df12fac6814669a15f6698da765fac79f1a14dd88","root.record.ItemExhibitList.P5Item"
"Reachback Server, Numerical Weather","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.196","","","","0.05","","","","","","","","","1","1","","","","","","","","","0.05","0.196","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","e9921f0d9b8db3d3cc22fa80c080135237742b6604602278f57a73866900b288","6-15c04ec4ecc3cddbdd077a27f1a7ee0472f4b5a941e532360debc1267b3a658c","","2-4eddda91c48a08df4cceb10df12fac6814669a15f6698da765fac79f1a14dd88","root.record.ItemExhibitList.P5Item"
"Software Quality Assurance (SQA) Toolset","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.222","","","","","","","","","","","","","","1","","","","","","","","","","0.222","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","e9921f0d9b8db3d3cc22fa80c080135237742b6604602278f57a73866900b288","7-aee86e84777edda09645399185a2ab8c711ca9a65e3fdbd234f2d4ee100fefb5","","2-4eddda91c48a08df4cceb10df12fac6814669a15f6698da765fac79f1a14dd88","root.record.ItemExhibitList.P5Item"
"Blue Coat (hardware Proxy Devices) (Red River Computer Company, Fort Belvoir VA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","e9921f0d9b8db3d3cc22fa80c080135237742b6604602278f57a73866900b288","8-b36e4d50989dad14b694deab1f8d3d3d760b20255b78b4e7e0e46d8ef70f515c","","","2-4eddda91c48a08df4cceb10df12fac6814669a15f6698da765fac79f1a14dd88","root.record.ItemExhibitList.P5Item"
"Virtual Server Farms Capability, Networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.326","","1.791","1.791","","1.749","1.758","","","","1.762","1.768","true","","1","","1","1","","","","","","","3.326","","1.791","1.791","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","e9921f0d9b8db3d3cc22fa80c080135237742b6604602278f57a73866900b288","9-8c2f59041c80ac6d6495e405bca5db04937310c19f2fb8d1d37ded71735c8842","","2-4eddda91c48a08df4cceb10df12fac6814669a15f6698da765fac79f1a14dd88","root.record.ItemExhibitList.P5Item"
"Network Telecom Equipment and Services (5th Signal Command Darmstadt, Germany)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","e9921f0d9b8db3d3cc22fa80c080135237742b6604602278f57a73866900b288","10-af0333cabe7c264752b46037aee40986c25de523e2ddbd73dc3e1bb6d09d63dc","","","2-4eddda91c48a08df4cceb10df12fac6814669a15f6698da765fac79f1a14dd88","root.record.ItemExhibitList.P5Item"
"Equipment Purchase Phase II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","e9921f0d9b8db3d3cc22fa80c080135237742b6604602278f57a73866900b288","11-882f5191dbd9c6265d773e755f460bb1236fc256fb65375413fa59cfadffb831","","","2-4eddda91c48a08df4cceb10df12fac6814669a15f6698da765fac79f1a14dd88","root.record.ItemExhibitList.P5Item"
"IT Installation Kleber Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","e9921f0d9b8db3d3cc22fa80c080135237742b6604602278f57a73866900b288","12-78414b3c6a71566959f9fb632c721f9f3ec76cf4e506ef6d20f3dc209e20addc","","","2-4eddda91c48a08df4cceb10df12fac6814669a15f6698da765fac79f1a14dd88","root.record.ItemExhibitList.P5Item"
"Virtual Desktop Infrastructure (VDI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.703","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","e9921f0d9b8db3d3cc22fa80c080135237742b6604602278f57a73866900b288","13-8a004dcef6f697e59952d91cf276dbe0fd33eb34b3e0e9ff5e40fa3354a0d1f7","","","2-4eddda91c48a08df4cceb10df12fac6814669a15f6698da765fac79f1a14dd88","root.record.ItemExhibitList.P5Item"
"DTRA DMZ and Server Access Architecture Site 1 and 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.779","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","e9921f0d9b8db3d3cc22fa80c080135237742b6604602278f57a73866900b288","14-7ee3828ce89c217a9897ec9ff60bd392937235d2ed5b491b2873a36bbd3ac794","","","2-4eddda91c48a08df4cceb10df12fac6814669a15f6698da765fac79f1a14dd88","root.record.ItemExhibitList.P5Item"
"WAN Acceleration and Deep Packet Inspection Infrastructure (Site 1 and Site 2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","e9921f0d9b8db3d3cc22fa80c080135237742b6604602278f57a73866900b288","15-18f4b0b488181cb6be3795a12d481a58e6242ba8950de1200e456c3543289641","","","2-4eddda91c48a08df4cceb10df12fac6814669a15f6698da765fac79f1a14dd88","root.record.ItemExhibitList.P5Item"
"Reachback Analyst Workstations and Peripherals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.213","","","","","","","","","1","","","","","","","","","","0.213","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","e9921f0d9b8db3d3cc22fa80c080135237742b6604602278f57a73866900b288","16-b7d6e727e2f69533bc401534e0e3b48e82bf7a64c11b7c21841d431861639114","","2-4eddda91c48a08df4cceb10df12fac6814669a15f6698da765fac79f1a14dd88","root.record.ItemExhibitList.P5Item"
"DTRA Server Infrastructure (Site 1 and Site 2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.538","","","","","","","","","1","","","","","","","","","","2.538","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","e9921f0d9b8db3d3cc22fa80c080135237742b6604602278f57a73866900b288","17-a11b20f0a427f7c23a513638ab1df65e3c0a3a02004f29086576b5b1fe3f63af","","","2-4eddda91c48a08df4cceb10df12fac6814669a15f6698da765fac79f1a14dd88","root.record.ItemExhibitList.P5Item"
"MicroStrategy Business Intelligence Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.176","","","","","","","","","1","","","","","","","","","","1.176","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","e9921f0d9b8db3d3cc22fa80c080135237742b6604602278f57a73866900b288","18-9c5ffae345158584e919f6cfecd3b88ec98001bd9df98ed245d03fff269e2550","","2-4eddda91c48a08df4cceb10df12fac6814669a15f6698da765fac79f1a14dd88","root.record.ItemExhibitList.P5Item"
"Stockpile Systems (Nuclear Planning & Execution System)","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.684","0.261","0.267","0.267","0.949","0.674","0.674","","","","0.687","0.701","true","","1","1","1","1","","","","","","","0.684","0.261","0.267","0.267","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","0-07f435cfb190c1771a84922121f30d89f31e3ff724df6de72dc5a657d5e7e76f","","0-4e89546361b4d2b1953adcaa8439ff77f1b112a0d14bb760214e8af6d8388310","root.record.ItemExhibitList.P5Item"
"IA Situational Awarness/Command & Control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","1-cbf9972ac0e4d273ce7c6e7c834aa62f90ce64c651107af83ee583e5cab45a13","","","0-4e89546361b4d2b1953adcaa8439ff77f1b112a0d14bb760214e8af6d8388310","root.record.ItemExhibitList.P5Item"
"NACT Radionuclide Recapitalization","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.934","1.982","1.857","1.857","","2.479","2.479","","","","2.521","2.571","true","","1","1","1","1","","","","","","","1.934","1.982","1.857","1.857","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","2-b48685f31e550cc42fc8af6bb11fa9795d4759c62abccbe75723b9a1930669c9","","0-4e89546361b4d2b1953adcaa8439ff77f1b112a0d14bb760214e8af6d8388310","root.record.ItemExhibitList.P5Item"
"Nimble Elder Tactical/Communication Vehicles","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.5","0.509","0.509","1","0.517","0.517","","","","0.526","0.537","true","","","1","1","1","","","","","","","","0.5","0.509","0.509","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","0-670a46e60c4eaec96bf262a5ead195fafd439962425537cc6e6c60ada75a5e1a","","1-d7db17777648d53014fab60f03e3854740a5114c60f355f790c7cc3bf02724ae","root.record.ItemExhibitList.P5Item"
"Reachback Computational Servers/Data Storage","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.564","0.95","1.05","1.05","0.59","1.069","1.088","","","","1.106","1.128","true","","1","1","1","1","","","","","","","0.564","0.95","1.05","1.05","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","0-e862af55dd22ae3e65ecacfaa7811b95e7b1f301cba25a562d684ae5d9a7c0a1","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
"Reachback Server, Metrological Data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.123","","","","","","","","","1","","","","","","","","","","0.123","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","1-0621fedde3f224a7402b1317c983849b5f25455676c27146aa7155e1b19dafe0","","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
"Albquerque Physcial Plant Modernization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.55","","","","","","","","","1","","","","","","","","","","1.55","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","2-12cd5fa9455c34dc7443cfbca1bb383362d7d7e862dce3d05fa8053acc5c0602","","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
"DTRA Storage Infrastructure Modernization (Site 1)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.117","","","","","","","","","1","","","","","","","","","","6.117","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","3-75bd7803e70b2ce590551598f85c2a05f535b10db8bb7179d6bae49da055050c","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
"DTRA VOIP System (Inlcuding access layer software for Site1 and Site 2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.11","3.946","","","5.218","","","","","","","","","1","1","1","","","","","","","","5.218","3.11","3.946","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","4-d468f4bafa3305642f026d2410379c15f9746430bcf785dd543c0e6d0c31d515","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
"Synchronus MetroCluster (Unclassified)","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.35","","","","","","","","","","","","","","1","","","","","","","","","","3.35","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","5-647da98d8e2615e94d074cc3e206080a3f42612d462f3e225b23c742074bf9e0","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
"Reachback Server, Numerical Weather","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.196","","","","0.05","","","","","","","","","1","1","","","","","","","","","0.05","0.196","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","6-899df8d83b60f95136a18c08ea4897c6b081a1668e06471c31450a0c808c814e","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
"Software Quality Assurance (SQA) Toolset","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.222","","","","","","","","","","","","","","1","","","","","","","","","","0.222","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","7-c8ba79695fc2857bf7a062cc588d299b2438c48b11f8a28fd5ded49a6095d21a","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
"Blue Coat (hardware Proxy Devices) (Red River Computer Company, Fort Belvoir VA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","8-ca82ab91aa188982377d7cb2b478d12f842f6d46eb5d5b2fad5259b3ffe9e62e","","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
"Virtual Server Farms Capability, Networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.326","","1.791","1.791","","1.749","1.758","","","","1.762","1.768","true","","1","","1","1","","","","","","","3.326","","1.791","1.791","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","9-ee0e2685c0de7faaf13f91e733a2d058d7f005a53a843260e484b95398c544b4","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
"Network Telecom Equipment and Services (5th Signal Command Darmstadt, Germany)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","10-423a81c93f893c8337454500675e5b98e223c45ceacd4bead9dbbe1462a43bc6","","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
"Equipment Purchase Phase II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","11-cca8a6ddff2cd8a973480566339b7a69005169ce5bce344428faf478edd8c26b","","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
"IT Installation Kleber Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","12-1744819ce6c0675b1c42d42d1d701d09f1b732de9e53d35eff2b4b4b82f1a125","","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
"Virtual Desktop Infrastructure (VDI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.703","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","13-b423ce6ea974fc1e9ba384eb05dc685f4372b2967384be60399f4079bd14bef4","","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
"DTRA DMZ and Server Access Architecture Site 1 and 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.779","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","14-38da02ad0315079fcb1b464ff8e99507499e6440c1eb038253b61f6575223cb7","","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
"WAN Acceleration and Deep Packet Inspection Infrastructure (Site 1 and Site 2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DTRA-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Threat_Reduction_Agency_PB_2016.xml","0db132a63da27fe0eb85ce19f7ed4c45a5acd1afebe79590ec994eda8356bc94","15-72bad16e10c73fc39d254616bc4ad677426b592b49ec260e78b498ffcbaa3dad","","","2-76a68838d560ee7f7c0719779f29ccaa828777e2f57d4f5511b7c98b621eb27f","root.record.ItemExhibitList.P5Item"
