Name_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ModsOutYearDelta_Quantity_BudgetYearTwo_val,ModsOutYearDelta_Quantity_BudgetYearThree_val,ModsOutYearDelta_Quantity_BudgetYearFour_val,ModsOutYearDelta_Quantity_BudgetYearFive_val,ModsOutYearDelta_Cost_BudgetYearTwo_val,ModsOutYearDelta_Cost_BudgetYearThree_val,ModsOutYearDelta_Cost_BudgetYearFour_val,ModsOutYearDelta_Cost_BudgetYearFive_val,@PARENTROWID,@PARENT
"Air National Guard","65","30","687","687","","","","","","0.366","0.363","2.714","2.714","0.000","0.000","0.000","0.000","0.000","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","ec120ce5f7a798071643fdf4a1b8ffb71495f597c2b54a57600a123117c27917","1-fc93db9f26bec3cebad9c55489eba27d63c383b1ea95abb2704711455818b881","","","","","","","","","2101-5dc66038e86ddb0c9c6a643da7c2df6a387fb30fbf46f10c7dcef4ba99b18b2b","root"
"Air Force Reserve","35","14","300","300","","","","","","0.102","0.15","1.168","1.168","0.000","0.000","0.000","0.000","0.000","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","ec120ce5f7a798071643fdf4a1b8ffb71495f597c2b54a57600a123117c27917","2-65e059b967414002ed4ffe2fd6dc1a2446ce9a945bddaa7629e011724bd72678","","","","","","","","","2101-5dc66038e86ddb0c9c6a643da7c2df6a387fb30fbf46f10c7dcef4ba99b18b2b","root"
"Air Force Active","1","12","26","1552","","","","","1526","1.265","39.87","8.552","108.142","0.000","0.000","0.000","0.000","99.59","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","1fa479ed711124a3d6aabb1eea2498410bf9bf8c9b1ad68a7428aa9d8ad51a47","0-af082770d0c8e7d11f2228adcb13adb247d3370f6627cb0e8a60d493379c5738","","","","","","","","","2103-4d623aa04f4b3e603eb31ef13dd3046b0dc53ea0fa3dbbbf7a9ec6100b73c90e","root"
"Air National Guard","2","6","4","4","","","","","","1.283","39.483","0.675","0.675","0.000","0.000","0.000","0.000","0.000","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","1fa479ed711124a3d6aabb1eea2498410bf9bf8c9b1ad68a7428aa9d8ad51a47","1-74ea87490a4b04e451433fbfe847dd16706a00151fb9cbe2648932df6b79a463","","","","","","","","","2103-4d623aa04f4b3e603eb31ef13dd3046b0dc53ea0fa3dbbbf7a9ec6100b73c90e","root"
"Air Force Active","5","20","24","32","","","","","8","0.877","4.16","8.044","9.778","0.000","0.000","0.000","0.000","1.734","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","4b8fa481ac9106de6f2ed6ea90a31705427de8e58e29aa83d2331db6a8c6dde5","0-e722adb2a6ef8024efd3b6804d3a1344ee8b54a66d282b35f360f73fd4143b09","","","","","","","","","2107-9e22d5bcd1a5509c61717569a767d01346c8f176071a2d60f3282dc7ceda2a96","root"
"Air National Guard","2","5","6","6","","","","","","0.351","1.708","1.874","1.874","0.000","0.000","0.000","0.000","0.000","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","4b8fa481ac9106de6f2ed6ea90a31705427de8e58e29aa83d2331db6a8c6dde5","1-3b6c6a631489e6be58724293c6bf15098b6a87e993a57b4ffc403c6141f5dc98","","","","","","","","","2107-9e22d5bcd1a5509c61717569a767d01346c8f176071a2d60f3282dc7ceda2a96","root"
"Air Force Reserve","1","3","2","2","","","","","","0.089","0.276","0.294","0.294","0.000","0.000","0.000","0.000","0.000","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","4b8fa481ac9106de6f2ed6ea90a31705427de8e58e29aa83d2331db6a8c6dde5","2-97f78566ab73ec0ff38d5dce59970405d550af7ba40f942127b5995ff24618c1","","","","","","","","","2107-9e22d5bcd1a5509c61717569a767d01346c8f176071a2d60f3282dc7ceda2a96","root"
"Air Force Active","","1","1","1","","","","","","7.3","1.511","1.999","1.999","0.000","0.000","0.000","0.000","0.000","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","6ac341752cfee2b120ef4715af7f012d28d53b072eff3ae4785b6be4f55ea4df","0-66d5cd1a5d060eb70c0eb4d7d5476106025ac26cab85eff713f000f7af7eb207","","","","","","","","","2109-d0de03cee2ef71271a804d3b5fbaf54bed02a284c0b7ed773d4ddeaa08bc945c","root"
"Air National Guard","","4","","","","","","","","0.000","1.917","3.679","3.679","0.000","0.000","0.000","0.000","0.000","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","6ac341752cfee2b120ef4715af7f012d28d53b072eff3ae4785b6be4f55ea4df","1-257b3c2e8fc70f94244b7540f715c8ae1346aae6918274135c148faf26a056a3","","","","","","","","","2109-d0de03cee2ef71271a804d3b5fbaf54bed02a284c0b7ed773d4ddeaa08bc945c","root"
"Air National Guard","1","1","1","1","","","","","","6.069","12.486","13.217","13.217","0.000","0.000","0.000","0.000","0.000","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","8b65ea1e5888616fb5b32edd97ba63f205ba48521e34842c0642aa7057e9e811","0-d932f22eae7f4f1446710e65fdf3b9c582ae06f47ef2ad67907efb0143b0ed1d","","","","","","","","","2112-2b42381cbdb51841d8b88a17b0e65832d68201215aa0b95901de17bb7428ebbb","root"
"Air Force Reserve","1","1","1","1","","","","","","0.304","0.241","0.319","0.319","0.000","0.000","0.000","0.000","0.000","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","8b65ea1e5888616fb5b32edd97ba63f205ba48521e34842c0642aa7057e9e811","1-ec624a9ead5369bad23df0fd92b044267493273eb1b61f892f18363bda833c0c","","","","","","","","","2112-2b42381cbdb51841d8b88a17b0e65832d68201215aa0b95901de17bb7428ebbb","root"
"Army Active","","2","","","","","","","","","24","","","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","ff728128df39bbeb78595bb4244cda12d2eb4ed49f8a262be800d1f3bb33b823","0-81e89064cd6d078c8f905e48036e2e1ed275cff238b512475f9390cb3c8580bc","","","","","","","","","2114-348856c6d89b203d71b6ddbc49073518e47893dfc060ebef1958379bc4dc7c4d","root"
"Army Active","2","2","1","1","3","","7","7","","16.417","18.052","13.617","13.617","54.672","1.784","103.698","109.075","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","5b9409ba26e370db2763eede09c9dde642351dd7d66a0dfa3ac312862b6fade3","0-f67644bc7050ea3705759339b5e08437a4eca716493486c35fa747495e81cce6","","","","","","","","","2115-717db164c05c105b37406d615fa1aeda8fabee6f646f4e6611d6049ec89a40ba","root"
"Army Active","38","32","26","26","39","27","2","12","","1191.005","1078.026","796.865","796.865","1122.356","748.79","165.047","235.829","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","54197165f46c5581d93852163ae08fb7f6b28fcfbf1909cee0b65f372bd3ccda","0-1b1afdc454d66959e911afab1434a975d095c1f0a50542d3a4c4d0524333a517","","","","","","","","","2116-76abdff98e6d78c882297b17a1e8574993176e0c748ac319e5f175e0199de33b","root"
"Army National Guard","","6","","","","","","","","","198","","","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","54197165f46c5581d93852163ae08fb7f6b28fcfbf1909cee0b65f372bd3ccda","1-be8239073184249424c4c08f8ca2d54c2d66a3a94000a20b1458bf85a93a0c5e","","","","","","","","","2116-76abdff98e6d78c882297b17a1e8574993176e0c748ac319e5f175e0199de33b","root"
"Army Reserve","6","","6","6","","","","","","198","","198","198","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","54197165f46c5581d93852163ae08fb7f6b28fcfbf1909cee0b65f372bd3ccda","2-71aed1421e143e13c906991ff0238e98a2f4496cef2c6cb294b90b78e19ba30e","","","","","","","","","2116-76abdff98e6d78c882297b17a1e8574993176e0c748ac319e5f175e0199de33b","root"
"Army Active","","","2","2","17","16","8","","","","","26.913","26.913","57.394","55.549","36.363","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","88c3f4d8763a6800343e9aa7e66335cb5ca6ce7b82ad7b5a387d58e25b3cf033","0-9a4a6da4f76761ebf84eabaa6934d3417fa3a6afab82e06e1070773c3296b0ca","","","","","","","","","2117-f6938a4a4a286c8c3bf4b7ee90513e2823841213bec964fa6f4dc21ed4ef3356","root"
"Army Active","","","","","","","","","","173.911","97.781","","","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","4827eb7a4b5e45dcd8de41dc457ea9ff288aab5ffb4bec0105215e57dfb2b62c","0-f873dcc50196548ef2c174daad44595e5d967bae155be4bf51e889ceb7961c45","","","","","","","","","2118-ebd243e01aa7ed4305f27c2e9f487f553a2e4aa641f96b3afa6498b69a41f9b8","root"
"Army Active","","","3","3","6","5","","","","15.094","10.262","14.182","14.182","17.67","11.201","11.296","13.062","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","72aad27954758a603f9247c691231a18aaaa5de20c13633596de3cc0b736e13e","0-60ac4a51f6d84412e7c18fd8c38877722233a646f0b52f4d513bc1ec8ea3a864","","","","","","","","","2119-4e5051298e7a8f1c7a5598fdda29ae11d94261c9ccb976836f6a487f01f33028","root"
"Army Active","","","3","3","2","3","1","","","4.289","10.467","131.892","131.892","108.593","131.928","81.977","42.137","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","3b9a2814275182ebd7eb205b7149bc31fede09c852cddaef6f9ccea1982b0799","0-b92a36b47a44317cb26913aa054d8d5f107e39b0811df2fc606ed0c89b5f3a30","","","","","","","","","2120-a69b2bc13d0e10db7cc97288d212226c9c505623a2757af7145f1bc3b18101f5","root"
"Army Active","","","","","","","","","","127.53","53.559","181.869","181.869","127.873","139.936","127.372","147.515","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","e0f75ef2b3dda103d55872cb41af885c75f04124ee1b2f23391bd35d7743e918","0-3f52f649ddcbf4c1e3a7dcda12bde4036ccf6caaf2a1023b100155938502e2fc","","","","","","","","","2121-4a2eb4d26084b38d28ec4c82ceef38157157dd090ee2c82ee73e2bd617b7b125","root"
"Army Active","","","","","","","","","","90.487","149.764","32.092","32.092","147.856","164.074","503.948","91.142","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","a50b513f05b195ea56a657e6f42c84d404d9214038d0a427fbae7a1f23d0d460","0-6148c4f5b6df75d06f3033983e6b12d6710fbcdff82685b6714a2ac8fba55986","","","","","","","","","2122-b6417ccc2b9bea84ba9c36dc2a824324dd1c15a27cac9b4ffbacb1791ed90e83","root"
"Army Active","14","9","10","10","14","14","13","2","","13.973","11.5","5.702","5.702","6.99","7.354","6.173","5.866","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","d8850dc56fa0f755f81e886964f8109757d77f25a2a0ef5500f7c5075d6c8e18","0-ee03d403acbbe3450ee0657d70b3b3b2eb1e618ce28da196ce1ae2ff713ea53e","","","","","","","","","2123-c1a44f9fb77c3bb140c4e2c0805002bf105bdef5900d42c4613893924afa3735","root"
"Army National Guard","5","","4","4","1","2","2","1","","7.374","","3.893","3.893","3.275","8.265","2.853","2.179","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","d8850dc56fa0f755f81e886964f8109757d77f25a2a0ef5500f7c5075d6c8e18","1-ddecc462cc4b4a5d3ee2df3321bc4bb5cca7f77145a1fd706118b23b36efe026","","","","","","","","","2123-c1a44f9fb77c3bb140c4e2c0805002bf105bdef5900d42c4613893924afa3735","root"
"Army Reserve","4","","3","3","5","2","5","7","","1.701","","5.434","5.434","6.221","2.102","7.572","8.664","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","d8850dc56fa0f755f81e886964f8109757d77f25a2a0ef5500f7c5075d6c8e18","2-f56edf2c91fcd155ba3c2ce3205c18ddaa1a71c437acc9a2157911beea9059aa","","","","","","","","","2123-c1a44f9fb77c3bb140c4e2c0805002bf105bdef5900d42c4613893924afa3735","root"
"Army Active","","","","","","","","","","29.033","27.86","15.03","15.03","13.918","41.519","103.351","101.82","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","2ba42bc770cac1c9abfde6bb31fe86d12db7a3a99003288290e3ff4734d93a0e","0-af4158d6321d2840b2b07b434b6c2e15c80a978f16380e5107a39450263f4f91","","","","","","","","","2124-e8661ded82d00957617564a9125a94eb86e2ac6f791a421227e85e0a94f287e7","root"
"Army National Guard","","","","","","","","","","44.528","46.235","61.485","61.485","37.099","50.29","45.717","89.632","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","2ba42bc770cac1c9abfde6bb31fe86d12db7a3a99003288290e3ff4734d93a0e","1-11b5852da21f789532bcc9285691ab73517128eb316bea2ac98f718f5b9d0cb1","","","","","","","","","2124-e8661ded82d00957617564a9125a94eb86e2ac6f791a421227e85e0a94f287e7","root"
"Army Active","","","","","","","","","","113.065","108.282","","","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","6474fb5df41313557ea2819f2fefb22e6dc9a3f8e071adbe60ba04f1a7fd2bd2","0-3fe43806e31c6299b4c05c4ad8bef1e31223a9e8d842a1a01a2562f4f4a770d9","","","","","","","","","2125-4eb9d8866c63c4d7401bc4640468b0dd8fe17bca76d75ad89b62e2f9af8f18bb","root"
"Army Active","","4","16","16","","","","24","","","84.7","185.09","185.09","4.962","4.969","4.97","42.967","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","d39ed3277b3add00db4b074e3e135d7a204427411f883247e24000af04ac0f9c","0-c8d3d9244a0d948a40f94528900b70d6ca888daa24ad49cb09def845cea8182e","","","","","","","","","2126-048db6737126e6b8077137995879aebc83e098259e51574b57cc38d3317f918c","root"
"Army Active","","","","","","","","","","116.722","92.326","101.27","101.27","98.811","100.613","153.865","132.97","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","ad8f77f467837f087943fdb12b37b07a85fa947ae708144020ce6dc3c22ecdd5","0-8866d40953bfa2d7ab7ea814498296c9330ed4dad4a13241e38d4293ec3e5804","","","","","","","","","2127-47367361987b45138440fc8bff3b2c9647583443ecac80d7482d25141c2f815a","root"
"Army National Guard","","","","","","","","","","12.49","","11.682","11.682","10.727","16.03","16.144","10.707","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","ad8f77f467837f087943fdb12b37b07a85fa947ae708144020ce6dc3c22ecdd5","1-3ff5bc4f15e0d8204b015db30cc047f1a88c3bfbcad09dc4df62f98d5407fb13","","","","","","","","","2127-47367361987b45138440fc8bff3b2c9647583443ecac80d7482d25141c2f815a","root"
"Army Reserve","","","","","","","","","","1.315","","1.23","1.23","1.129","1.687","1.699","1.127","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","ad8f77f467837f087943fdb12b37b07a85fa947ae708144020ce6dc3c22ecdd5","2-ee849e11ae38697cfe60388c9459f7a9df43f52dddcc10eee3ea318dd51a482d","","","","","","","","","2127-47367361987b45138440fc8bff3b2c9647583443ecac80d7482d25141c2f815a","root"
"Army Active","","","","","","","","","","81.517","92.779","115.795","115.795","70.246","64.256","84.298","119.624","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","31b74836d34e2fb7a4b110a007c88a34477e16b10430cdcd3bceb5db2495d2e5","0-24154d4b0fc0c49fa5734ebb8da13885144b0d53fcafab3e510db49248f3afe1","","","","","","","","","2128-44e85d68d72ea7946d55ee91c60efe2239a9f98029c28b977affc0de9f908943","root"
"Army National Guard","","","","","","","","","","7.298","","","","51.088","46.731","61.307","86.999","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","31b74836d34e2fb7a4b110a007c88a34477e16b10430cdcd3bceb5db2495d2e5","1-7b0cff93d75a6a943eab33cbf4908bda560da87157a866d847c2b1846bb5fc6a","","","","","","","","","2128-44e85d68d72ea7946d55ee91c60efe2239a9f98029c28b977affc0de9f908943","root"
"Army Reserve","","","","","","","","","","","","","","6.386","5.841","7.663","10.875","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","31b74836d34e2fb7a4b110a007c88a34477e16b10430cdcd3bceb5db2495d2e5","2-3cdb0454db50a7399d070ae83cf24e990e94cdaee7896c371473ea3f26bfdbda","","","","","","","","","2128-44e85d68d72ea7946d55ee91c60efe2239a9f98029c28b977affc0de9f908943","root"
"Army Active","5","4","2","2","10","7","7","2","","37.065","59.016","54.277","54.277","41.873","42.041","42.814","41.956","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","340432a5274cf0db320f8c4c54634f9f94d93106d25e259ff873f842d278d7cf","0-d68ba678f6f8aa9a9c6f0e54c19551363c777a5e172f525d24aba745222688d2","","","","","","","","","2129-3ecc95f369f24cbeb7fc01ce872b8956c65c09197e9722c60ccd3ba41e78d8f7","root"
"Army National Guard","","4","","","","","","","","","4.614","","","19.581","19.248","22.32","24.426","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","340432a5274cf0db320f8c4c54634f9f94d93106d25e259ff873f842d278d7cf","1-65a55dd52057dc98d75f977af2e98a4d7beb99b7c6e29b6e7a7853ff51ab6004","","","","","","","","","2129-3ecc95f369f24cbeb7fc01ce872b8956c65c09197e9722c60ccd3ba41e78d8f7","root"
"Army Reserve","","2","","","","1","1","2","","","1.983","","","2.447","5.775","6.219","10.538","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","340432a5274cf0db320f8c4c54634f9f94d93106d25e259ff873f842d278d7cf","2-8b0d385985fd7fa8774230c1ede3d1548082a2943fcdc95395a36070c4d44141","","","","","","","","","2129-3ecc95f369f24cbeb7fc01ce872b8956c65c09197e9722c60ccd3ba41e78d8f7","root"
"Army Active","","","","","","","","","","26.215","90.408","91.781","91.781","51.699","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","521a727378f2956cba69907c06e789b43c33c011a7ee2e22e41474a8de07ad12","0-1ee1df16365db81a5cb3e17b4b0101c69f71d1c6b83eba7d84b678a18aa96915","","","","","","","","","2130-70c554037cd2229cf9387a8257abcecf16f3eadf0913833f39baea1974f124eb","root"
"Army National Guard","","","","","","","","","","","31.494","33.599","33.599","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","521a727378f2956cba69907c06e789b43c33c011a7ee2e22e41474a8de07ad12","1-00a69ea780f44252d0a696b93902132b7aafbac81486c3f97d02206f1850ea5a","","","","","","","","","2130-70c554037cd2229cf9387a8257abcecf16f3eadf0913833f39baea1974f124eb","root"
"Army Active","","","","","","","","","","32.224","47.61","66.45","66.45","131.641","171.082","37.144","41.237","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","aef62563359ad75f962a2b931c8b2b5207da48d2a193234ccbbf512c04f004b8","0-988f137883c4e9d30034e4be41ad65b69254915c90b7e864d6df36f59f2452cb","","","","","","","","","2131-acd9c33c6376e0356000ae8c3773aea583561d6d2574a09f0cef10c619761907","root"
"Army Active","","","","","","","","","","","5.7","","","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","f0b7c71d6d34357d357bd32b4d435e838071e9a4d22f2eff47f85bb05b1bfbd1","0-12e2ecc8273015c549069d6a035445a7c3d61a01d0bf41bef5212b5a109fe093","","","","","","","","","2132-e023283122a08cb376e425260bc6517f3c48bb428b55a2d67109855656109045","root"
"Army Active","","","","","","","","","","125.2","103.021","107.364","107.364","131.641","53.736","38.678","33.654","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","9a1873cad4521949934e526dc24cae6111fdb0711ce69b1e93bdfd0bf8223cb3","0-2c823a66e49676bc8140dce91da896ec338c145909d97f54c3117425d01f5b2d","","","","","","","","","2133-11afa44cd322fb6c6526a760876d6c3c28b522b9ee12398a906835f25f3d116b","root"
"Army Active","581","700","690","690","691","695","702","134","","4.88","6.809","6.847","6.847","6.99","7.132","7.157","1.996","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","457559bb3384abf7fc3d4cd1cd4d45baddffc29ccf86b9e7bce275e18f6cd6d4","0-8fa3e3ce3561ff8facd74fd33adda0260416911dece460434a20bbc91ef5140b","","","","","","","","","2134-9f1b594f8fae8bad6587548ac88a343bdec141439bfe65aa664a5eca8bfe19ca","root"
"Army Active","","9354","2423","2423","419","413","376","209","","82.412","57.499","11.737","11.737","29.728","31.056","40.688","27.995","","2015-BASE_PROCUREMENT-2015-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","9909abb17a165b91bbc7e0b308fdce9fd872e727436a50ef5d650b77e0e5b835","0-cf9ad77695e8d5998a077e6f6ba5899b8ce3bf7e179332678395a954e650df95","","","","","","","","","2135-fe783ac6b88d23e67391d1d1bbc5799d18266db3973f21689447c534d349e469","root"
