FiscalYear_val,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ItemNameSuffix_val,OCO_val,@PARENTROWID,@PARENT
"2017","AFMC/AAC","2017-05","2018-07","130","0.038","true","2017-01","SS","FFP","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-AIRFORCE_AMMO-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2014.xml","7d938e4bebe0116d387e87da841f248e2a796a3e07f06980627bf00afbe6b4f4","5-803f2a8d0efaf52e71160d0a8e30413205ff6e23fc0bc9a4566c2e31cbd71daf","","","1-4d16e81f5c3caec77a7a04b2f4a20caa6da50ef9109d2edc220dcbbc230d76bc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2018","AFMC/AAC","2018-05","2019-07","112","0.039","true","2018-01","SS","FFP","2014-AMENDED_PROCUREMENT_AND_RDTE-2014-AIRFORCE_AMMO-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2014.xml","7d938e4bebe0116d387e87da841f248e2a796a3e07f06980627bf00afbe6b4f4","6-1afbd0101c49c0c11ccb650e085364078ce53dfd461d8dc3c5b225be8fc36eed","","","1-4d16e81f5c3caec77a7a04b2f4a20caa6da50ef9109d2edc220dcbbc230d76bc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2013","AFMC/AAC","2013-05","2014-07","100","0.035","true","2013-01","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","33b5cea1fb235d4089de81a288121044165990e1922943a27750f1b6724988c5","0-41322b8e60296d9b8c8b5a6774e03fdf4cf58cf06a2c4ef891a0d252e5f8eb47","","","1-173026f019d6d939ade1b6cab42d1ea49c06531aaefa6ee38a396c0dab3f1e13","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2015","AFMC/AAC","2015-05","2016-07","150","0.037","true","2015-01","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","33b5cea1fb235d4089de81a288121044165990e1922943a27750f1b6724988c5","1-9333bac89a9d9b94fcdd3e1cb36e7451c1a5416cec6fd965e17061f7abce5e88","","","1-173026f019d6d939ade1b6cab42d1ea49c06531aaefa6ee38a396c0dab3f1e13","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2016","AFMC/AAC","2016-05","2017-07","150","0.038","true","2016-01","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","33b5cea1fb235d4089de81a288121044165990e1922943a27750f1b6724988c5","2-33ffecccf3b5ee75ab67c2ac1240d479459b3f1575a24454762dee501b3f287d","","","1-173026f019d6d939ade1b6cab42d1ea49c06531aaefa6ee38a396c0dab3f1e13","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2017","AFMC/AAC","2017-05","2018-07","130","0.039","true","2017-01","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","33b5cea1fb235d4089de81a288121044165990e1922943a27750f1b6724988c5","3-8c9fc5ee12b07bce3345bae62e0dca6a2034c83061983c1d360cd16a6dfd579e","","","1-173026f019d6d939ade1b6cab42d1ea49c06531aaefa6ee38a396c0dab3f1e13","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2018","AFMC/AAC","2018-05","2019-07","112","0.039","true","2018-01","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","33b5cea1fb235d4089de81a288121044165990e1922943a27750f1b6724988c5","4-b17215fc01f038ef3d9a2a478b9fcf07f9de6e5f6b46b35ecae9b3223cdcc2e7","","","1-173026f019d6d939ade1b6cab42d1ea49c06531aaefa6ee38a396c0dab3f1e13","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2019","AFMC/AAC","2019-05","2020-07","112","0.040","true","2019-01","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","33b5cea1fb235d4089de81a288121044165990e1922943a27750f1b6724988c5","5-66cb9fb689cd203c717ab484f0ad72c7a8111576d266607e2285476ab05ae351","","","1-173026f019d6d939ade1b6cab42d1ea49c06531aaefa6ee38a396c0dab3f1e13","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2013","AFMC/AAC","2013-05","2014-07","100","0.035","true","2013-01","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","c0e2bedccbbf63fd4c05d9426033baf39171382e7134dc3349216570b33b556e","0-a8372335d9ef5cd7aee7d219b7c9bc75639386234e26a168c1ac39a39d2db4bc","","","1-7009390f1d3758f61371fb982a9c7ec1e73dd59ed3b21ae812c723e19f9d2ecf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2015","AFMC/AAC","2015-05","2016-07","150","0.037","true","2015-01","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","c0e2bedccbbf63fd4c05d9426033baf39171382e7134dc3349216570b33b556e","1-cb7c4d74c132cfdbb49bf8c883cbac038fbbdf592a208b1db8b6e92c0fd8aa3b","","","1-7009390f1d3758f61371fb982a9c7ec1e73dd59ed3b21ae812c723e19f9d2ecf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2016","AFMC/AAC","2016-05","2017-07","150","0.038","true","2016-01","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","c0e2bedccbbf63fd4c05d9426033baf39171382e7134dc3349216570b33b556e","2-886f9b55d8b2785ec846734810a96f40ad4234ff5c25a020bc0792ddde5aef0a","","","1-7009390f1d3758f61371fb982a9c7ec1e73dd59ed3b21ae812c723e19f9d2ecf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2017","AFMC/AAC","2017-05","2018-07","130","0.039","true","2017-01","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","c0e2bedccbbf63fd4c05d9426033baf39171382e7134dc3349216570b33b556e","3-cab96c0e1a31f94321b3f79c25ac19da3e0020e546900883582132b908071e24","","","1-7009390f1d3758f61371fb982a9c7ec1e73dd59ed3b21ae812c723e19f9d2ecf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2018","AFMC/AAC","2018-05","2019-07","112","0.039","true","2018-01","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","c0e2bedccbbf63fd4c05d9426033baf39171382e7134dc3349216570b33b556e","4-2dd2adcc245cb65718f4ebb19fc7f789f62428babfdcd7c9a90db60e85df3613","","","1-7009390f1d3758f61371fb982a9c7ec1e73dd59ed3b21ae812c723e19f9d2ecf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2019","AFMC/AAC","2019-05","2020-07","112","0.040","true","2019-01","SS","FFP","2015-BASE_PROCUREMENT-2015-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","c0e2bedccbbf63fd4c05d9426033baf39171382e7134dc3349216570b33b556e","5-27ea144e5ccb6c140c18a75a2a59999d19e09acc80ecad2fcc21b96a47890123","","","1-7009390f1d3758f61371fb982a9c7ec1e73dd59ed3b21ae812c723e19f9d2ecf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2016","AFMC/AAC","2016-05","2017-07","150","0.049","true","2015-01","SS","FFP","2016-BASE_PROCUREMENT-2016-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","bdee042a721677e3e5e70e5f3618256806e0932795811c6de8d026b41ec3c764","0-36a0378c3c3447624fdd594a3a7d5ec8fa6fb16a9343cf558b3e05e458ab9d2f","May 2016","","1-b722f8f023b9f0892caa3a424cc17a7e7b0f2021b0e5c9b0532f801d96c8376d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2016","AFMC/AAC","2016-05","2017-07","75","0.048","true","","SS","FFP","2016-BASE_PROCUREMENT-2016-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","bdee042a721677e3e5e70e5f3618256806e0932795811c6de8d026b41ec3c764","1-599eea88b956c6e8a3600912d6c35d70339c6984a39045318a59b1ef9f8ead3e","May 2016","true","1-b722f8f023b9f0892caa3a424cc17a7e7b0f2021b0e5c9b0532f801d96c8376d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2017","AFMC/AAC","2017-05","2018-07","108","0.040","true","2015-01","SS","FFP","2016-BASE_PROCUREMENT-2016-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","bdee042a721677e3e5e70e5f3618256806e0932795811c6de8d026b41ec3c764","2-7c193aa8e267e1b35981a03609d32c094e9670f565567fcb6aaddb58dcac0423","","","1-b722f8f023b9f0892caa3a424cc17a7e7b0f2021b0e5c9b0532f801d96c8376d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2018","AFMC/AAC","2018-05","2019-07","112","0.039","true","2015-01","SS","FFP","2016-BASE_PROCUREMENT-2016-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","bdee042a721677e3e5e70e5f3618256806e0932795811c6de8d026b41ec3c764","3-6505d87c47cda7ea61b39abf5f57c811438a34dc84ae2a1699f843a585bab5b3","","","1-b722f8f023b9f0892caa3a424cc17a7e7b0f2021b0e5c9b0532f801d96c8376d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2019","AFMC/AAC","2019-05","2020-07","112","0.040","true","2015-01","SS","FFP","2016-BASE_PROCUREMENT-2016-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","bdee042a721677e3e5e70e5f3618256806e0932795811c6de8d026b41ec3c764","4-dd1eaa81e851adf3962fdfe66112229c6efc948a82c4de1ce60f14f55edd0a81","","","1-b722f8f023b9f0892caa3a424cc17a7e7b0f2021b0e5c9b0532f801d96c8376d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2020","AFMC/AAC","2020-05","2021-07","114","0.040","true","","SS","FFP","2016-BASE_PROCUREMENT-2016-AIRFORCE_AMMUNITION-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","bdee042a721677e3e5e70e5f3618256806e0932795811c6de8d026b41ec3c764","5-26c7770ac400bfd3c3130d26e80f0cb54d4531e405d4e9ccc81c4e8f60bb93db","","","1-b722f8f023b9f0892caa3a424cc17a7e7b0f2021b0e5c9b0532f801d96c8376d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2016","AFMC/AAC","2016-05","2017-07","150","0.049","true","2015-01","SS","FFP","2016-BASE_PROCUREMENT-2016-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","0405e21ec303f808ccdc5e52c17f9e11b90ad768be9d21f077d3c4e2706d2147","0-dffb922925ef8eae2fd5bacf019b56c1b4ee55876255ba73d57b271537dd62ff","May 2016","","1-0c49780b3cf98f11f3b31a0bdef26f60f63718088800adf81db7df8c83387106","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2016","AFMC/AAC","2016-05","2017-07","75","0.048","true","","SS","FFP","2016-BASE_PROCUREMENT-2016-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","0405e21ec303f808ccdc5e52c17f9e11b90ad768be9d21f077d3c4e2706d2147","1-a6dd19d724167ae8d95ceee040e820d826b41a09168981e3460e3d754a96eefa","May 2016","true","1-0c49780b3cf98f11f3b31a0bdef26f60f63718088800adf81db7df8c83387106","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2017","AFMC/AAC","2017-05","2018-07","108","0.040","true","2015-01","SS","FFP","2016-BASE_PROCUREMENT-2016-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","0405e21ec303f808ccdc5e52c17f9e11b90ad768be9d21f077d3c4e2706d2147","2-78118807c7a3e690ea4348ba8b6ac065061eebdada6c0d71ddd9056a4a6a5116","","","1-0c49780b3cf98f11f3b31a0bdef26f60f63718088800adf81db7df8c83387106","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2018","AFMC/AAC","2018-05","2019-07","112","0.039","true","2015-01","SS","FFP","2016-BASE_PROCUREMENT-2016-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","0405e21ec303f808ccdc5e52c17f9e11b90ad768be9d21f077d3c4e2706d2147","3-3a87f1b388a4f429efa154df724066abc6c6c2722317bc9ead4923df9a507612","","","1-0c49780b3cf98f11f3b31a0bdef26f60f63718088800adf81db7df8c83387106","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2019","AFMC/AAC","2019-05","2020-07","112","0.040","true","2015-01","SS","FFP","2016-BASE_PROCUREMENT-2016-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","0405e21ec303f808ccdc5e52c17f9e11b90ad768be9d21f077d3c4e2706d2147","4-776887f8f9484981257ea95be1d973672262563c22c7eb3a812a2258ec945fc0","","","1-0c49780b3cf98f11f3b31a0bdef26f60f63718088800adf81db7df8c83387106","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2020","AFMC/AAC","2020-05","2021-07","114","0.040","true","","SS","FFP","2016-BASE_PROCUREMENT-2016-AIRFORCE_AMMUNITION-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","0405e21ec303f808ccdc5e52c17f9e11b90ad768be9d21f077d3c4e2706d2147","5-94ed0b93016b7655f8913b5ae115517daa14ca1ea324b16b1bbd573f57634198","","","1-0c49780b3cf98f11f3b31a0bdef26f60f63718088800adf81db7df8c83387106","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
