FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2013","Reference footnote (1)","WPAFB, OH","2013-06","2016-01","6","2.000","true","2012-10","SS","Various","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_AMMO-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","04277271467c34157fc353a716c1236673a9ef09c1f838c7ec2af5d1128b21cc","0-fbcde235b274390cc26b858a450e29c436df2f1350a94e861b129b57178fdcba","0-4cb009d1b12f0faab806c3847234816b3cd04bf04de856dad2232dccf58eb4c3","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2014","","WPAFB, OH","2014-03","2017-01","7","2.000","true","2012-10","SS","Various","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_AMMO-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","04277271467c34157fc353a716c1236673a9ef09c1f838c7ec2af5d1128b21cc","1-3669729a2c7ff19800cc7ed7ab602fd3df5760a6052d8d4c241648ce8b50e806","0-4cb009d1b12f0faab806c3847234816b3cd04bf04de856dad2232dccf58eb4c3","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2015","","WPAFB, OH","2015-03","2017-08","14","2.000","true","2012-10","SS","Various","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_AMMO-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","04277271467c34157fc353a716c1236673a9ef09c1f838c7ec2af5d1128b21cc","2-5596250279bfe5142f8bd2708d6bf4ecd8abbea4f739ce008e940baf44c04290","0-4cb009d1b12f0faab806c3847234816b3cd04bf04de856dad2232dccf58eb4c3","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","WPAFB, OH","2016-03","2018-12","2","2.000","true","2012-10","SS","Various","2015-AMENDED_PROCUREMENT_AND_RDTE-2015-AIRFORCE_AMMO-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PBAmended_2015.xml","04277271467c34157fc353a716c1236673a9ef09c1f838c7ec2af5d1128b21cc","3-13deaf8da557e59f7bcd5cd9b2dca03ab4a5dece3d7a3c01282ae63feae8d277","0-4cb009d1b12f0faab806c3847234816b3cd04bf04de856dad2232dccf58eb4c3","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","NAVAIR","2016-03","2017-05","48","2.109","true","2015-03","SS","FPIF","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","f44d2c667314c228d741f2c842043a3825974c3652ac39e3bfd27328ff6d2fa2","0-ee17cd34ec1a29527c5c3c87c7f2f684480e02252c45eb6d5613972589c66504","0-6120ded907cc88f673698afe455ca79088978f09682be4b5d50a332104ad3ca8","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","N/A","2015-12","2016-12","5","2.000","true","","SS","FFP","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","2a3f7563d0ca311b4f7fc69de771b398377fd3242ec19b62e816a6fb3042cf7f","0-1c76b1cbaf5ce3e48d0f78490e95d4754badfe7d3da4daced87a3397c6f2270a","0-be149a0fc4bfac5635f19743173a0a688d2b3ead5a27f273003c2ffc91997201","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","NAVAIR","2016-03","2017-05","48","2.109","true","2015-03","SS","FPIF","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","0485cf02b8635a606917d60c2337e492c40ded75ff14634776a8126fa7df23d7","0-3236c53c56da79ee55b90f351e4c650a4a4acfd842937c1eebbd08609fcd0822","0-01d6a974fcab51ddf89ad20e49dfc14a60120901badb9a86d090cc0823de1b84","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","N/A","2015-12","2016-12","5","2.000","true","","SS","FFP","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","06413109f09458e1d20d0d8c668a4bfde7b94137945d7743cd97c2331c8391ee","0-556c266406d90cf39739d1e0cf956d70346dee1c8ab13c3a32b265937aaf33e0","0-bf400b76606212b02054aa000172ca9aeb1b4cf7b229a5c9e4cd5c9b17f4d0f0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2015","","NAVAIR","2016-03","2016-05","47","1.961","true","2014-03","SS","FPIF","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","ee296b91c541d56100cb2ac046f671d1a95422b7bfedefe8ed6f428e04be3c20","0-65d9bfa330c0cbe4d7628150a17a902fe80e6554f64d391d4c97376040093b0f","0-fdf9dc75d420c85c1838cc7f8a0619c6341ea40ebb9383e521174bd28ab6cdc9","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","NAVAIR","2016-03","2017-05","43","2.355","true","2015-03","SS","FPIF","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","ee296b91c541d56100cb2ac046f671d1a95422b7bfedefe8ed6f428e04be3c20","1-68c895b8ed8b368c8a988dc1aca127c20dc23949519c19cc733ed9e914dc53b9","0-fdf9dc75d420c85c1838cc7f8a0619c6341ea40ebb9383e521174bd28ab6cdc9","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2017","","NAVAIR","2017-03","2018-05","43","2.070","true","2016-03","SS","FPIF","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","ee296b91c541d56100cb2ac046f671d1a95422b7bfedefe8ed6f428e04be3c20","2-55a576bf1eb39e7a5aaa805c16034fff4e4e30740542ede42d74a3f6f51e73ac","0-fdf9dc75d420c85c1838cc7f8a0619c6341ea40ebb9383e521174bd28ab6cdc9","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2015","","NAVAIR","2016-03","2016-05","47","1.961","true","2014-03","SS","FPIF","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","54ceb5c06156f9c55e6b849926ac030a11c42ee97375688e8ebb955b86c8ae13","0-f81e9b67cece4ed82cd3e44a6f0d90cdcec07822be4614640058942cd723ba90","0-3892de5f32126f548c89adaa937daa51c92a4999f252c94b502f24bb143735c8","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","NAVAIR","2016-03","2017-05","43","2.355","true","2015-03","SS","FPIF","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","54ceb5c06156f9c55e6b849926ac030a11c42ee97375688e8ebb955b86c8ae13","1-f30348bc9d6eae2b088bc5afb122708a0094be970773d272f2705ab469fa7012","0-3892de5f32126f548c89adaa937daa51c92a4999f252c94b502f24bb143735c8","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2017","","NAVAIR","2017-03","2018-05","43","2.070","true","2016-03","SS","FPIF","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","54ceb5c06156f9c55e6b849926ac030a11c42ee97375688e8ebb955b86c8ae13","2-eb2ef27b623e8dce432a67b2712d5ece91f167fd2375532e7f6878db79734293","0-3892de5f32126f548c89adaa937daa51c92a4999f252c94b502f24bb143735c8","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2015","","NAVAIR","2016-03","2016-05","47","1.961","true","2014-03","SS","FPIF","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","078d421d81190ecf8a486faab49d2e8ea4d456b0d51f6459cc6c7199455602cd","0-6514386f062c322e142b0fe2a0d356f86c851e2879a6b748e8f56db2bb049a54","0-0ee6a92bafdb4b873cb5383002f9edaa6b3ed58d292132a6903a6d5398334deb","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","NAVAIR","2016-03","2017-05","43","2.355","true","2015-03","SS","FPIF","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","078d421d81190ecf8a486faab49d2e8ea4d456b0d51f6459cc6c7199455602cd","1-bd60a1cdc2f6a1ee6764d10a734a0507fa3da4573be5488e659bebe2f3c17a5b","0-0ee6a92bafdb4b873cb5383002f9edaa6b3ed58d292132a6903a6d5398334deb","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2017","","NAVAIR","2017-03","2018-05","43","2.070","true","2016-03","SS","FPIF","2017-BASE_PROCUREMENT-2017-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","078d421d81190ecf8a486faab49d2e8ea4d456b0d51f6459cc6c7199455602cd","2-a4b9d09a9ae13b2d37d776169632a21f5ad80f4e6bd7da86bc7afc3eaaf425a2","0-0ee6a92bafdb4b873cb5383002f9edaa6b3ed58d292132a6903a6d5398334deb","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","NAVAIR","2016-07","2017-05","48","2.110","true","2015-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","0-39efda30a4e195e9bc069f5f11abb9a596114c55f181431278b3c1725f858b96","0-107503c0490ed20f61222716a3ea4f89ae5807badccca935a9ac769277deda16","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2017","","NAVAIR","2017-05","2018-05","46","1.935","true","2016-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","1-f4e9dfd1c97d9767c450f8a424319d7c6d5ebfaaad69803d08dfa7e7ad3d3a7b","0-107503c0490ed20f61222716a3ea4f89ae5807badccca935a9ac769277deda16","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2018","","NAVAIR","2018-03","2019-05","48","1.272","true","2017-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","2-ffbbc67165089a574ccc5e02ca201d998a1ca810cf0af93091a1aec9a5c58431","0-107503c0490ed20f61222716a3ea4f89ae5807badccca935a9ac769277deda16","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","NAVAIR","2016-07","2017-05","0","0.000","true","2015-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","0-cbf65e0ebc678e1e987f0f6e55ca26d2dd40b3083a52d49896825c49ecd35e55","1-4d056c8766085ca47a655ed54fc3c131fe2fb1392673086b329fc8397d0c4e27","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2017","","NAVAIR","2017-05","2018-05","0","0.000","true","2016-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","1-b527c90f48dd15d65c2e659bea5eb32fdd1c1c2ea1303911a716781b6f5faa0d","1-4d056c8766085ca47a655ed54fc3c131fe2fb1392673086b329fc8397d0c4e27","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2018","","NAVAIR","2018-03","2019-05","48","0.502","true","2017-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","2-1ad61d7efc10799eadeb314095c1d369af789a1f7384e7bf332dde35a4c25bc3","1-4d056c8766085ca47a655ed54fc3c131fe2fb1392673086b329fc8397d0c4e27","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","NAVAIR","2016-07","2017-05","0","0.000","true","2015-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","0-0faf88172812a201ee17641f46d2accc2102df033da22b87a2dee1f8e18a12be","2-f35a7cc493e1c0b7eed7ad3c4da3f29c6e160ee6d4e91a5ce3d2f84419ab68a0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2017","","NAVAIR","2017-05","2018-05","0","0.000","true","2016-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","1-c1f263dc2ee2e572bc142242b8df1ba05d298cc49ab7ffe550760bbac53ace5d","2-f35a7cc493e1c0b7eed7ad3c4da3f29c6e160ee6d4e91a5ce3d2f84419ab68a0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2018","","NAVAIR","2018-03","2019-05","48","0.502","true","2017-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","2-67046011ec4e337b4708d122f1e589b6ee5399b6b117486e896d0921e979d12d","2-f35a7cc493e1c0b7eed7ad3c4da3f29c6e160ee6d4e91a5ce3d2f84419ab68a0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","NAVAIR","2016-07","2017-05","0","0.000","true","2015-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","0-3ed2843ac072fa8a5bebf3e7aa49e67042220b672ed80d9b3ddce4e188a57d32","3-a668d4004239ebe65325994dcf44dbbdf3812562b0878489597b3cf9e26c635e","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2017","","NAVAIR","2017-05","2018-05","0","0.000","true","2016-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","1-e02dd1659d82c55557745bd1532ca9650b323e24b4431bd220dd2923303a9504","3-a668d4004239ebe65325994dcf44dbbdf3812562b0878489597b3cf9e26c635e","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2018","","NAVAIR","2018-03","2019-05","0","0.000","true","2017-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","2-4f80efa4213c968bfee82a04a103d35b6c326c13388fc033f0535abe204e1371","3-a668d4004239ebe65325994dcf44dbbdf3812562b0878489597b3cf9e26c635e","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","NAVAIR","2016-07","2017-05","0","0.000","true","2015-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","0-9bd1e0894892a3ee6b4abbf851658d43f515f3096f24c85b27894640e5d034ca","4-1df3be8a301bbcd3d0d23ce0ce2f84fbd55e684b73363d77f42396ab298ed973","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2017","","NAVAIR","2017-05","2018-05","0","0.000","true","2016-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","1-d94722b66082762e5e4a92ef5852886531ae2f0025a24c72dc0c9827f0e0107c","4-1df3be8a301bbcd3d0d23ce0ce2f84fbd55e684b73363d77f42396ab298ed973","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2018","","NAVAIR","2018-03","2019-05","0","0.000","true","2017-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","2-4e85ee7b282765eacbff09005cee0ab241f38804446a893b4b23298a2633e58a","4-1df3be8a301bbcd3d0d23ce0ce2f84fbd55e684b73363d77f42396ab298ed973","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","NAVAIR","2016-07","2017-05","0","0.000","true","2015-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","0-74075695ee3971729aa89b0b3da100fb8a48a60ea0b5b0f266fad900448ba80d","5-56fde0a975706dfc55cc27eee2f5f23c79b8edf35856dba78a6c71eb53246fb1","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2017","","NAVAIR","2017-05","2018-05","0","0.000","true","2016-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","1-87596930cb7961c83cf5b859876dbec34c2f993890b8c7162b51122c9769ff57","5-56fde0a975706dfc55cc27eee2f5f23c79b8edf35856dba78a6c71eb53246fb1","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2018","","NAVAIR","2018-03","2019-05","0","0.000","true","2017-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","2-e49cb8a86b779b4b2cb0ddd67555fa0b3d7f2a01abb294909d748e7fa951c06a","5-56fde0a975706dfc55cc27eee2f5f23c79b8edf35856dba78a6c71eb53246fb1","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","NAVAIR","2016-07","2017-05","0","0.000","true","2015-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","0-a21ed756b0a5f87d58bf9168bb4e52c724747f53c1b69df12420ef2da27d3645","6-9816dace6d1a2980fc4cdc34ba4718f8e61c6bd2e2fac51ec0aeffbaefa57fad","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2017","","NAVAIR","2017-05","2018-05","0","0.000","true","2016-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","1-61b6bf9a7f2a76e9694c885e40c4ee26ecf55cabab07d86220801dc5a4546b1d","6-9816dace6d1a2980fc4cdc34ba4718f8e61c6bd2e2fac51ec0aeffbaefa57fad","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2018","","NAVAIR","2018-03","2019-05","0","0.000","true","2017-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL1-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","a30f2c236c5384ee16ac505377b81d18639f300a5bc38116f7a4b25eef710752","2-b6f665c8422645b3d822789d532dcd6efcd380b23a39089579b680a14d86ee15","6-9816dace6d1a2980fc4cdc34ba4718f8e61c6bd2e2fac51ec0aeffbaefa57fad","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2016","","NAVAIR","2016-07","2017-05","48","2.110","true","2015-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.xml","ec7c8fc0c391f9422d637e8cf6c3d4a59f3faa8a33fbbc2a34a2ae7115414e56","0-3bc30971c01f214b52f4bc8310913de6d363c6ceeda80c0c35939386aefb607e","0-6d9c5cf6a3592b1c69532e95870ddd8ddbd66c15ae14907695ad125b975b7f70","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
"2017","","NAVAIR","2017-05","2018-05","46","1.935","true","2016-03","SS","FPIF","2018-BASE_PROCUREMENT-2018-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.xml","ec7c8fc0c391f9422d637e8cf6c3d4a59f3faa8a33fbbc2a34a2ae7115414e56","1-999d2a869bf374287149585972b85240c20c9de25f55c1d862060341ab99fabf","0-6d9c5cf6a3592b1c69532e95870ddd8ddbd66c15ae14907695ad125b975b7f70","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement"
