Name_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_PriorYear_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Army Active","5.296","3.54","5.008","5.008","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","7066d33efcf34e916d951c138cb81953d3950ca6cdfa210928d2453407fc6411","0-22028b7e239a034c48db366c84eda233efb31e3d7bdaada21ca6fa9bd9ff249b","0-be5219b633b4286e435d56eff1c9b90617932253b48fe2e2f13f1a6f915f807a","root.record.ItemExhibitList.P5Item"
"Army Active","29.795","28.913","16.082","16.082","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","a4783f6819dfbc50daa04895ea132c88343a7318548ca565a016eff342e8a88a","0-ada6ce965725e42eea4ecf9f183ac0d05668822ed11615f7f48c94a9955551b0","0-26e3049e9ee3637307ca0c0cd8a7936018cb383fd96baeb4c8debb0d29aeb1ca","root.record.ItemExhibitList.P5Item"
"Army Active","","47.6","50.694","50.694","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","84f7d0f853d09931a9ed2b241dce75548a9f152bc256c007f7eb41437915c7b2","0-261c8163466e240d314ea2a0ad7bc2a08069e54483e160a382cf0bca81b5cea7","0-b69770e021f3d9bcfe60981af4bd18ac61be8887bd055e7a54280b4684f35e4c","root.record.ItemExhibitList.P5Item"
"Army Active","76.157","43.075","31.028","31.028","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","84f7d0f853d09931a9ed2b241dce75548a9f152bc256c007f7eb41437915c7b2","0-e6beeaed58e7519ebac03bbe5a6747d8e6625b40f15156dd710ae3fc066894b9","1-e754f5b81a268f4619ac69a9518f9e7defae5e0941016660bfee69a54e22115e","root.record.ItemExhibitList.P5Item"
"Army Active","","6.416","4.315","4.315","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","84f7d0f853d09931a9ed2b241dce75548a9f152bc256c007f7eb41437915c7b2","0-f805a88868dc764c47eec63b49a07cc89bcc5d9bb2e94d3b35cf13c9b67b210d","2-d2bddfa5ebf4d906f898d7db968bdf10466e682daa0f0e91d4d1d9d530cf341d","root.record.ItemExhibitList.P5Item"
"Army Active","39","5.362","8.55","8.55","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","c2a7d2a058948fb09683b00ad863f0046ac3d07943ce23bf884b2a1f502c9b5f","0-bb77466e9b4920848757d292c26503d3527023e3a69e338858c18283d100f7d0","0-9e6959bc09745c7a59eea94df4c8f0a3c691566891642bdd69aa9f522f10ae90","root.record.ItemExhibitList.P5Item"
"Army Active","38.5","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","74929065ab012639102e3bc8755b85e1ca8c69323a5d78f2df80ea7dc5991dec","0-6c8d3af0b820b0ac94ed08f6b268f84ce0f88bdcb045c4346f1c1952ccba982b","0-91e0de833bcfc17d25ff143202b09c17d0bc48fa03e96200d7bfd843a099b026","root.record.ItemExhibitList.P5Item"
"Army Active","232.609","71.61","69.223","98.723","","","","","29.5","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","74929065ab012639102e3bc8755b85e1ca8c69323a5d78f2df80ea7dc5991dec","0-ba3a8ff57360cccc3df61c11484753438d883ecde53a2f15cf6dcc033757b30e","1-cab0633b9a47703e85db918396ce4d25cd407c8e3e98726141d67e8e852ef57c","root.record.ItemExhibitList.P5Item"
"Army Active","8.191","8.355","2.975","2.975","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","74929065ab012639102e3bc8755b85e1ca8c69323a5d78f2df80ea7dc5991dec","0-c1f477bc1230cc6f88ad69303be13a992c014ef5b18e1fc2294cc5bd9606734e","2-57ba4c621e60b68382a76ebdf329c354c247342c7bed44b2cd635b25698dcff9","root.record.ItemExhibitList.P5Item"
"Army Active","55.398","46.969","63.65","63.65","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","a1573a7f3ad6179a758167fce9772c650bb69ac711fb5de08271680aa46d5cd9","0-e7382df1b7998cb5f9d4a4ad4d1a9f2360f0a8b0a9aa3bc182c652f892cab149","0-f4731caf8f736b3e74e9d8e407746ba88b20a4c73ffcc6d9e6a7304e317165f6","root.record.ItemExhibitList.P5Item"
"Army National Guard","","8.927","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","a1573a7f3ad6179a758167fce9772c650bb69ac711fb5de08271680aa46d5cd9","1-21a5f7b101492e4aa13226dd38a8049997d97ed434d202d0888c7205fbe00969","0-f4731caf8f736b3e74e9d8e407746ba88b20a4c73ffcc6d9e6a7304e317165f6","root.record.ItemExhibitList.P5Item"
"Army Active","122.89","165.137","205.623","259.763","","","","","54.14","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","633c93f77acd328426ce1d6cae7562d5c8949ec3972d49e5c2ad3992ca62070a","0-4aba6b7119ab8977ff5c8f575d89b76548ed3f77840bb0199f376bc34987efad","0-7d93d8b069b9b153a0ae457d7089860165fef6a382ca48834c8b6beffdc9f283","root.record.ItemExhibitList.P5Item"
"Army National Guard","15.1","24.742","49.99","49.99","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","633c93f77acd328426ce1d6cae7562d5c8949ec3972d49e5c2ad3992ca62070a","1-6348fafbdb8aeea847a12ae62e3c3b29115664e0d0580d9d2c19d658a6b17dde","0-7d93d8b069b9b153a0ae457d7089860165fef6a382ca48834c8b6beffdc9f283","root.record.ItemExhibitList.P5Item"
"Army Reserve","","2.159","4.655","4.655","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","633c93f77acd328426ce1d6cae7562d5c8949ec3972d49e5c2ad3992ca62070a","2-f89d008e78cf273c65e9a256439aee5c85480de81d1bf32fcc116ce4be700ef6","0-7d93d8b069b9b153a0ae457d7089860165fef6a382ca48834c8b6beffdc9f283","root.record.ItemExhibitList.P5Item"
"Army Active","11.209","30.154","62.49","62.49","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","85a933e76e843e769f370df07d608b7b40d0ec23adff96ae88142154ddd1dba7","0-5806978c55cf48eba084ce4c1cd7d9cc08b004a8b5975daa132a4c23e2a3685c","0-ffb81f98c8950afea8d5c9bf3b68a5a0aa2f2bd9390d63cc459fb3eaa23f1dba","root.record.ItemExhibitList.P5Item"
"Army Active","17.792","25.194","52.49","52.49","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","85a933e76e843e769f370df07d608b7b40d0ec23adff96ae88142154ddd1dba7","0-9e96198e29d02071fe93d17eb9c4705f09934e68886ae86e7f05087a3a6b5eda","1-46f2f16fa2b11a9c026ab2519640e85b74fab5d033a7666f46205de2de8b19e0","root.record.ItemExhibitList.P5Item"
"Army Active","26.765","57.472","72.19","72.19","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","85a933e76e843e769f370df07d608b7b40d0ec23adff96ae88142154ddd1dba7","0-7edd14f7ec81a0703cb7f39b6c6698b60d1020fac219d4b79a275ffa77c99585","2-20e322dd6b7017e59932576e1000527fb2c1c200c97675bf8b6b07929c568648","root.record.ItemExhibitList.P5Item"
"Army Active","7.693","5.639","5.864","5.864","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","8590e53b0ebb15a0947acbe6db052252e7273d72ac7410f7f83fb27020dbdf46","0-eee74c406687c83fcdd6e880c2e00934f73098687bfdd029d7c2b799ad1295d3","0-42052a828a0a4afae8ece58bfe89093e5049fd68905812549a079d3534cbfc5c","root.record.ItemExhibitList.P5Item"
"Army Active","10.478","9.575","8.065","14.607","","","","","6.542","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","8590e53b0ebb15a0947acbe6db052252e7273d72ac7410f7f83fb27020dbdf46","0-d958e35780ea2ac917084a62ed8a6722646f7d52a9d49989c5dfee9a49b58c88","1-726d09a23e3288228ab6a2206e973fb2305395fe890e2c868adcc38700b33ffa","root.record.ItemExhibitList.P5Item"
"Army Active","1.927","3.901","3.978","3.978","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","0a9c17fb7c65bfbaca5e1bca6fb962fa61685aae8898ce0e76b1cbe89e2d647a","0-174290cc4b0f675b73d6913823ceb4102832327272741419eef79c6dbb3deba4","0-65188c718c7aa0deeb8a7baa97aaa3421e4b3f0d241436fdefcf5088263aec62","root.record.ItemExhibitList.P5Item"
"Army Active","11.51","13.57","6.855","10.715","","","","","3.86","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","9df78b94e2ed5dc1f718030e50d12fcf776b006ad42797346ee840e9eadcd294","0-b59fb8d2e14f5f59c3eb1f331c3f2a1abc67dbe43445829cc952fc37515c25a8","0-f081acb56f7c437ece0e0e902b937d9f5002f4fe73a778915fe29e896f65105b","root.record.ItemExhibitList.P5Item"
"Army National Guard","0.639","0.665","0.249","0.249","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","9df78b94e2ed5dc1f718030e50d12fcf776b006ad42797346ee840e9eadcd294","1-72294ae12329ae23998edcf2e8c8420dab5bfa51edf9681494919f7928a2bb32","0-f081acb56f7c437ece0e0e902b937d9f5002f4fe73a778915fe29e896f65105b","root.record.ItemExhibitList.P5Item"
"Army Reserve","","0.067","0.438","0.438","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","9df78b94e2ed5dc1f718030e50d12fcf776b006ad42797346ee840e9eadcd294","2-c99861a9bbb94597139781f41a8b03ea7ac81e6a18b503e5c993ac92e97a6a24","0-f081acb56f7c437ece0e0e902b937d9f5002f4fe73a778915fe29e896f65105b","root.record.ItemExhibitList.P5Item"
"Army Active","","","8.01","8.01","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","2aaf41b0f8274b03da3a60aaffbf33e2b2ca6d1dd432f006b65489c39dddbac4","0-9fbf6eab40f53c86c4f7aa38399927ae310434c0a7b433e78cd7b44159aa36a4","0-2b5ed4cc2cd811339f343e02c7a191e0b75e82b4b6a2d9e23d13bfc133156cfe","root.record.ItemExhibitList.P5Item"
"Army Active","","","8.125","8.125","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","625cfe2cbedc3c196a81e16ac441716301ceb577bb9308bc4e9a6f21a1bdc413","0-f59f280dd1372482c70c4399a63f97d03dca195743a80c5a55eba22e537dfd65","0-68da497420fa88213b1aae43f08cf1212db2c54e944d6b104fffd3603f7b4dde","root.record.ItemExhibitList.P5Item"
"Army Active","66.36","16.018","35.26","35.26","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","1c624bb6ab4098611b7dacbc0588ac16cb0d09628f4364a3e0c5b2882fae377c","0-de369f472cd67d2efe3fb5a93efa6db3811e193b095b4e724ab88a3e37acd2c6","0-dcd9c7d5d2428e20d9d26fa2e8e7fecb73fa36cf042ebb786dfdc87099762b0a","root.record.ItemExhibitList.P5Item"
"Army National Guard","32.175","8.81","28.212","28.212","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","1c624bb6ab4098611b7dacbc0588ac16cb0d09628f4364a3e0c5b2882fae377c","1-e4c6147df4357061457ea095b86255d648b05e8aa86c78c68c17407a92fed6b7","0-dcd9c7d5d2428e20d9d26fa2e8e7fecb73fa36cf042ebb786dfdc87099762b0a","root.record.ItemExhibitList.P5Item"
"Army Active","","7","8.224","8.224","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","94b66b688d7dda7f53ef1c15900accf697c6b083fbb8ade1502b9bb08f14b714","0-42d7aab1aba5f983b3589cb14e8638ba1e9b4c6deb95e78b2e1f0a45c0a78f28","0-4f4e451749a39451813e4bb264c7c2806fadb4b1cfc4a443174f4a714de3da75","root.record.ItemExhibitList.P5Item"
"Army Active","15.3","32.083","1.722","16.569","","","","","14.847","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","100aac9450b8eaea834927a2f80917d39b6a851353780337b3e32bcda6b60bfa","0-0fc92380e51d6da6344265224f137be5996eba4c7d1687206f9e4e1e91a3938b","0-45a90b76595f5ea8e6ac1c25e63d20bc0c338bf44badce963cdf49331d42c71f","root.record.ItemExhibitList.P5Item"
"Army Active","","13.999","44.998","50.722","","","","","5.724","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","315147a67e9f396c89e7d1c389e070e69c50df8963366140470f71c0c906c799","0-8c0dffc54d38e0232b537dcf6bb5f70e8c6436b76fe0e274895171a1ea3b745e","0-109102bbf8c145ba03ec03b472a66563c37eac71053e2d552e4240cb2b5211ad","root.record.ItemExhibitList.P5Item"
"Army Active","41.178","4.236","16.939","16.939","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","1b86d4fe58ddbd24e2c3567f154108442f2e92a7e49eef6e04fb717ed5f40bfa","0-e516068e368145ecf25f560c3124d37c2e8f9cde5017b05717c417ccac0506f6","0-e5d0cdaf080c133deee3b385161f435814eb5af5ac175bc34724433b5f47341d","root.record.ItemExhibitList.P5Item"
"Army National Guard","","","8.343","8.343","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","1b86d4fe58ddbd24e2c3567f154108442f2e92a7e49eef6e04fb717ed5f40bfa","1-8e1a4835e1ee07620bb6971ade45b51164664f35ad992d2b9c2a3ca18869f485","0-e5d0cdaf080c133deee3b385161f435814eb5af5ac175bc34724433b5f47341d","root.record.ItemExhibitList.P5Item"
"Army Reserve","","","0.966","0.966","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","1b86d4fe58ddbd24e2c3567f154108442f2e92a7e49eef6e04fb717ed5f40bfa","2-bee9f51afd841ee1a59e02660f1bc6e83c1987f1d5a1680aefaf65d6793ae464","0-e5d0cdaf080c133deee3b385161f435814eb5af5ac175bc34724433b5f47341d","root.record.ItemExhibitList.P5Item"
"Army Active","109.548","50.295","36.254","36.254","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","1b86d4fe58ddbd24e2c3567f154108442f2e92a7e49eef6e04fb717ed5f40bfa","0-9b9d3d20e2815c853fc1629147daad8c025ba9810511a522175437b664424ee4","1-bead60e698f3c31f88a34ffeec79aa205b207cb75f286026b52cce85f8e87acc","root.record.ItemExhibitList.P5Item"
"Army National Guard","","62.12","61.714","61.714","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","1b86d4fe58ddbd24e2c3567f154108442f2e92a7e49eef6e04fb717ed5f40bfa","1-4871ad97122e6748846399d7ee7984a04152e15175534c468788339990fd1e80","1-bead60e698f3c31f88a34ffeec79aa205b207cb75f286026b52cce85f8e87acc","root.record.ItemExhibitList.P5Item"
"Army Reserve","","21.95","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","1b86d4fe58ddbd24e2c3567f154108442f2e92a7e49eef6e04fb717ed5f40bfa","2-ee6d5f4d4253c83c17b5f6364f5116aa8798c07822d5e05ca5f104359a62f9da","1-bead60e698f3c31f88a34ffeec79aa205b207cb75f286026b52cce85f8e87acc","root.record.ItemExhibitList.P5Item"
"Army Active","5.183","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","a5bcc7af9f872fafd896eb41e470483f223ece98597792d8352934211da9ab50","0-cd4d54100017197abe18c6da6c9d2d8672b5f67f1165f8babed47633c24c00d9","0-568dfe4a00be2c3e55c68c22d14e327f91157a83c9e91eb88a675a88c9ebf7f0","root.record.ItemExhibitList.P5Item"
"Army Active","18.3","10.02","15.996","15.996","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","aec33a741a2ec56411a7da009bf4c4434c05e1abd405c0528d7214381193912b","0-a86c29e253abded15f39fc0ded5b0a875017d95b5f862268d6c6b4428d4c3226","0-6deb79b77744277d37af19381f450a2fddc53c49377dd5619072d96399770963","root.record.ItemExhibitList.P5Item"
"Army National Guard","3","8.5","7.22","7.22","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","aec33a741a2ec56411a7da009bf4c4434c05e1abd405c0528d7214381193912b","1-c49f2180a84ca34c8cb1ed996a0b9fa89e50118f347a6d880e059920235b7dec","0-6deb79b77744277d37af19381f450a2fddc53c49377dd5619072d96399770963","root.record.ItemExhibitList.P5Item"
"Army Reserve","1","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","aec33a741a2ec56411a7da009bf4c4434c05e1abd405c0528d7214381193912b","2-6b091d63a92edc2dfeb4165e65f63fdc6f6ce6f9faa6516a7ce33ccbd397c0bc","0-6deb79b77744277d37af19381f450a2fddc53c49377dd5619072d96399770963","root.record.ItemExhibitList.P5Item"
"Army Active","11.929","27.652","16.622","16.622","","","","","","184","114","114","55","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","ebede11792e8139795aa954a02f0a94e78bfbddd1ed1a43870af74795284be65","0-a847b42314a49195c6f049e078a3cd37c3a03d5310186b716827ce8a1facee01","0-bd22ace03010309c8aff4ee5162c5fbcb82fa6cedb05caf8e94a616d1c9e68ea","root.record.ItemExhibitList.P5Item"
"Army National Guard","","","25.836","25.836","","","","","","","198","198","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","ebede11792e8139795aa954a02f0a94e78bfbddd1ed1a43870af74795284be65","1-2c97f528fbe4c1a1d4e1b94980364aec8478839e6aa17cd4083738d79b63ccc5","0-bd22ace03010309c8aff4ee5162c5fbcb82fa6cedb05caf8e94a616d1c9e68ea","root.record.ItemExhibitList.P5Item"
"Army Active","43.425","40.644","18.221","18.221","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","ebede11792e8139795aa954a02f0a94e78bfbddd1ed1a43870af74795284be65","0-2e5234165e55bdb454b4a42e77df3204b8fa3c3593fc00150716a6419438a2d4","1-d0166a253884d488fbb170246ece1170c1ff79ee8bf9ddf5a3fec607649c2f9b","root.record.ItemExhibitList.P5Item"
"Army Active","","27.205","42.409","42.409","","","","","","918","4213","4213","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b7481f3add08b1b04663d70050a47411104ad8d7dbe1252c4fb8f304b3c20dbb","0-e90c5036e1ad7fa733a36b456549d4a8aff603579f5bb755262c4cf4ed8cd033","0-bdd045042e798b07186dabcb1238581a91daff0322f7910678cd9f83cd9a7ed9","root.record.ItemExhibitList.P5Item"
"Army National Guard","","4","11.044","11.044","","","","","","135","1097","1097","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b7481f3add08b1b04663d70050a47411104ad8d7dbe1252c4fb8f304b3c20dbb","1-3ed8b500e418747499364e418fcf696fa7229ab2358b6337220191c755f05014","0-bdd045042e798b07186dabcb1238581a91daff0322f7910678cd9f83cd9a7ed9","root.record.ItemExhibitList.P5Item"
"Army Active","10.074","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b7481f3add08b1b04663d70050a47411104ad8d7dbe1252c4fb8f304b3c20dbb","0-90c63dfde454c216b44667090eb3a506f827abca0a583d81f9d7a09ba7b42cf7","1-1d0e8dd6ea4d61fc6f4a0bf29d1506946f072ce91508ced1de5d46aa0c56ed75","root.record.ItemExhibitList.P5Item"
"Army Active","7.232","1.208","7.629","7.629","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","0d56a7d16512d9f69af33a5ec3cca4eb4c2dbc8eaa48ec15e4740f1349ce1c45","0-3baaf87c532ee89a6ce52f015507a23b8b6da72eb5b3ff5be95e6691f87a895c","0-d7c1cb5262ffc89e557c42e10f389d5fadc03e1509cde9a2c4e68ec11d02eb5e","root.record.ItemExhibitList.P5Item"
"Army National Guard","","3.867","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","0d56a7d16512d9f69af33a5ec3cca4eb4c2dbc8eaa48ec15e4740f1349ce1c45","1-ba574b70d971686367374235c2f5cbc3179dd65f79872541f59289c7df0bdb7c","0-d7c1cb5262ffc89e557c42e10f389d5fadc03e1509cde9a2c4e68ec11d02eb5e","root.record.ItemExhibitList.P5Item"
