Name_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","","","","","35","5.412","35","5.412","","","25","3.358","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","2a1982c8ef17506a9dc74f4de49df0867a3613ffc631a2731e73d1ea73bf7038","0-94796b7a9504ef025d0bad6b83b7d795ba7fde55a61cde8a23bbc0dee58790dc","0-841a4540098560a8978c82d82715074de3bc753e6d92b29b950652662def6f8f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","0.000","9","0.000","12","1.977","12","1.977","9","0.000","5","2.011","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a0741c7c5d3d4517bf545e29bbaead01198f87e9d3fbbfd13932a42a35271cd6","0-938fdb63f67f1af7b71a4298f06bd17cb46a0ed73c8659c32b07e0d3659a6f00","0-77201e52e1c8f293a56ab3c69d67946c0810bbb4426cb0426d43a62ed75229a9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","9","0.000","3","0.000","6","0.000","6","0.000","6","0.000","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a0741c7c5d3d4517bf545e29bbaead01198f87e9d3fbbfd13932a42a35271cd6","1-9d3629d543bd8bc73e642d8f0805393c6cd21f82075bd12c94c387374da3acb5","0-77201e52e1c8f293a56ab3c69d67946c0810bbb4426cb0426d43a62ed75229a9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","12","1.73","10","6.125","21","11.31","21","11.31","18","5.22","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","112eb3735d4ce129abd075705a90e1b9579e7e82287a041d0434475ae6e5e0ca","0-5f83527b9c491e8127971f87af96ff813d85b2f4db3719c886aa5b0f32ce94d0","0-d4dc0224bc1ba4296411d7094297feb4c3b78d2117c5bec506c3ef1e41ce2989","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","","","","","","","","","","","2","2.75","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","112eb3735d4ce129abd075705a90e1b9579e7e82287a041d0434475ae6e5e0ca","1-184dfbba2366fa0669183d0aeb167283b4ce9f32ff8f5c304b95dec7afb533ca","0-d4dc0224bc1ba4296411d7094297feb4c3b78d2117c5bec506c3ef1e41ce2989","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","7","1.865","24","7.726","23","8.9","23","8.9","","","14","5.502","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","112eb3735d4ce129abd075705a90e1b9579e7e82287a041d0434475ae6e5e0ca","0-91bd0836d145d677c2b8b43ec8ce19ec1299b90f8fe1880f2559064d6a5af24e","0-3b7eaa8ab1957109e640b47fa7531778cb9b9c028be655fd8914a7d1afa5e3a0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","","","","","158","71.912","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","112eb3735d4ce129abd075705a90e1b9579e7e82287a041d0434475ae6e5e0ca","0-ee0bc1ab8462d21319e9a1ba68f9384a80afe41e375872183fb44a10a8062236","0-6d40c1ac6f4a2832cf37b2a8e868c8b0ef3572223c23241aa650955382f83ce2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","","","","","","","","","20","9.103","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","112eb3735d4ce129abd075705a90e1b9579e7e82287a041d0434475ae6e5e0ca","1-3c71cbbc1b2af7ddf0cd959df4548af8f5c49a7c87c154fd7a3c7aafcc4bd825","0-6d40c1ac6f4a2832cf37b2a8e868c8b0ef3572223c23241aa650955382f83ce2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","476","0.59","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","112eb3735d4ce129abd075705a90e1b9579e7e82287a041d0434475ae6e5e0ca","0-75fda63874d27ef0468b21332c61c98f5006f4c9f9ffbe24fe6ea684ebb6468e","0-6142e2d525976b8a31dc331850a08b6a5cdbdcd3aa13017f9734b138bf523a08","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","17","48.5","7","12.938","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","112eb3735d4ce129abd075705a90e1b9579e7e82287a041d0434475ae6e5e0ca","0-9d05a12db426c1f9895f84b0027ce822f657d7da339408bf10aa69ff8f34ffe9","0-cd884629f6bd937eced619c8efd924b750f82bbb906fc934dcf59ba00b63b0bb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","","","","","18","3.329","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","112eb3735d4ce129abd075705a90e1b9579e7e82287a041d0434475ae6e5e0ca","0-b2039900e103f1b2851881657ffba9aa1a4c5eeffbe804e5bc380f70d13919a0","0-69391de891686b441da094ca06d11d55e052ae7f3b42d81e778b6b7fd9e53ec5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","5","118.144","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","caa5b01bb6d5e3433a40a58bbcc0c4077220374211e4fd800d7df2199123a65d","0-edfc269eea084fd39c3a036248d3243ef9171743293f71bdbe2d86407555bb45","0-0289088c17f7a517494c7ec996abf88985966b615ae37843ec792993c2234eac","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","0.199","14","1.057","15","1.158","15","1.158","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","d2fe6465080c586e3806a533310d08c975c4532897c1272945b0585f326a702f","0-6113b1fe457d6fc0a6627b1edb9f8273fb3949f43720402eb2dc2d9ba960dec8","0-b021ae32a41f0df49304c0ebdc0dd084519700ec352aa7576d631d1754ad86ed","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","112","47.246","16","6.288","15","7.995","15","7.995","444","166.815","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","d2fe6465080c586e3806a533310d08c975c4532897c1272945b0585f326a702f","0-93c201a001feff649127c6d6f9d28f0706ecf1ff66c368878402cd7ee7f68f36","0-761abdc987c945f9ad679e4542d46b6da519a4c0d2d198840e11092eb469ccf0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","","","16","6.288","8","4.264","8","4.264","16","6.917","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","d2fe6465080c586e3806a533310d08c975c4532897c1272945b0585f326a702f","1-c92d373518fa8eea6df128efafff9d5d806e88aa6ae1a2e6789214fd7982a89a","0-761abdc987c945f9ad679e4542d46b6da519a4c0d2d198840e11092eb469ccf0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","","","8","3.144","","","","","35","8.581","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","d2fe6465080c586e3806a533310d08c975c4532897c1272945b0585f326a702f","2-5ccdf31ce1578b89c828db22dcfa5270c65b1e0081a41d7b6c644da91493124d","0-761abdc987c945f9ad679e4542d46b6da519a4c0d2d198840e11092eb469ccf0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","5.134","2","4.656","","","","","6","16.071","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","d2fe6465080c586e3806a533310d08c975c4532897c1272945b0585f326a702f","0-bd8e0605df18ad8cf13645b1d6f780e826a45c222d59d3f1a6746d7e05ce3855","0-92e916b652ea87f654115217bfa7988af828dacf7e19ecc9b6ece193923caad3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","14.533","2","11.941","","","","","4","30.39","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","d2fe6465080c586e3806a533310d08c975c4532897c1272945b0585f326a702f","0-113d5425db07f711228fe0173071bcd3d6ad9b870f58d27d11c5ffbd7c87d5fc","0-ae221b6ab078e8207242e03d5e79497a862b92fe1ab7ae77d1b2240707e83bd1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","2","5.063","2","5.063","","","16","15.8","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","2bbb7aa503a03f656354be496b43ae71b17ff7e8013fd4a717e54c978c52a366","0-f34513cddd574736eeeef7629da0bf1820512432324958dd240acb36cfcaccba","0-4678438780fcc4e633e0cbf12497000cd373adb67eefcdff2d1c1b14503e1092","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","12","26.481","6","14.539","13","33.839","13","33.839","55","129.871","4","10.292","1","2.701","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","7103ccacf3bcf8885c687ca81799feb5ad6d22ee47fffa91b202a5f1d80f9896","0-af6ed4bbab7fd6d4994f7d8c230194c7760505603e7b5c5108079cff01f30fb2","0-503f0c572601eb727525b243e6db3b56d8e41569cf86474d93b85a7bba24fcee","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Reserve","1","2.207","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","7103ccacf3bcf8885c687ca81799feb5ad6d22ee47fffa91b202a5f1d80f9896","1-ecfd14809ba8c2cba18d5a0e63888acfbff3b88b3b1359040bbcf49d960ac726","0-503f0c572601eb727525b243e6db3b56d8e41569cf86474d93b85a7bba24fcee","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","11.35","","","","","","","0","2.296","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a625cb81ca52742dfbcc6b23120626215e271b121c3aaef4f3993e3d71e07399","0-f07766db56e4e1128ced3bfa530583369aab644297b10a287a8ca82075d2a968","0-f11426c3d3199579c65719e6ee9ab5327de4980a8275755f71a2dbf41c4e73ad","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","2","44.107","1","23.652","","","","","0","6.339","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","27c90512913156ada904e4b628c54c7caee0bf83bd3f60ef805aad556cf587ce","0-3cd49c1b698f9f3762fd939135198e7220966080b4b4295f9da42342a542e18c","0-7ff79b58bd4a97b29941dae261fe3ab746004a14eb9be0cef1968d3c0dc4c106","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","","","","","1","2.51","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","0e7ca63466b03a1371fa42e708c1a34d2d17e9d9f5c4066df262e86376c373f1","0-3118f597e9fd42532f6f967274d0e7392da3e91d370179171c61ada26d5e881e","0-9de07528f8d29dd346c4463f3badae132e7d821bf903f68006d6e6916d62472b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","","","","","5","0.052","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","645944f97916cf96b4f5164162b90064cc7498f636c6a81e29631f7434d839d6","0-0bd91dffb514992cb2da0a458ddf0066878cca1a9149a161379ba77292fb1eb7","0-aead3c91bec8a85ff2d1461b6d4c0d65491eccbc2747ab92300061c9d2a1adb4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","0","0.098","20","7.469","20","7.469","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","72d2d37e52d012d7834b6bcdb1b622f7dedc7cfb0a2ef26e251b145241082893","0-4b7e448af50ce7581c6298eb9f1eec39a46d82ebfe6d64ad9becafdd97b04fe5","0-c855df5c856c3e919cff73e987ff410fef95cced9720b996d7cb5deec352f456","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","35","5.412","35","5.412","","","25","3.358","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","72d2d37e52d012d7834b6bcdb1b622f7dedc7cfb0a2ef26e251b145241082893","0-3cf08cb2756742e7303156e9eb2e829b18600e67b47b35722c32992d3122e170","0-77c49f3332f9268a18fe4b1230b8d3f1db9fe0da14f4d2d4823b8595dfb12a00","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","0.000","9","0.000","12","1.977","12","1.977","9","0.000","5","2.011","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","4da1b2d04fecf7209b9851df892d9f5e4a8889f362e89ab51c30fdbc46fac639","0-6d93152f225826f1402379cf03c0b7e8e22ec485490c6efd075ef2237dadc99d","0-0d04f05b1e19c25577a267114f4dadff6620835407e3760187a75e1e89cd8437","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","9","0.000","3","0.000","6","0.000","6","0.000","6","0.000","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","4da1b2d04fecf7209b9851df892d9f5e4a8889f362e89ab51c30fdbc46fac639","1-36fb785ce8061177ff9cce4acf826f0657840868adcdea60151177ab0b9c1eaa","0-0d04f05b1e19c25577a267114f4dadff6620835407e3760187a75e1e89cd8437","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","12","1.73","10","6.125","21","11.31","21","11.31","18","5.22","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","88ecf7b4108f5008c743b1f4b59161bedeb688ad0bc869dc12bac8af9b1ecb31","0-729eacbbfca72c59d5c1f6fd0fa575443c7bb63de24bf7273da71ae14d536707","0-5f4348797716141d24c03caa1a1fb1ed8fc98a60c5e0d80ce92ca5d6fc1e0313","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","","","","","","","","","","","2","2.75","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","88ecf7b4108f5008c743b1f4b59161bedeb688ad0bc869dc12bac8af9b1ecb31","1-43ee4ade4d729acde8bdc43e222148206194153ae5370a02614da842c02da860","0-5f4348797716141d24c03caa1a1fb1ed8fc98a60c5e0d80ce92ca5d6fc1e0313","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","7","1.865","24","7.726","23","8.9","23","8.9","","","14","5.502","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","88ecf7b4108f5008c743b1f4b59161bedeb688ad0bc869dc12bac8af9b1ecb31","0-58bc6fd9ac1a451637bcc25748ee7a791ed9754a3d28bef66a8cc0664845fede","0-40241c7e79a85da7e690bf6d606860d758fa432842dde0639f57ba3dc2410dda","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","","","","","158","71.912","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","88ecf7b4108f5008c743b1f4b59161bedeb688ad0bc869dc12bac8af9b1ecb31","0-4f4ee059880f3c7ba5ccb1d7d9fbe31f7adc3a09fa299c4a4d74b1e49c4ae0ce","0-618a33bc9fc8dc14b5bdaf5747ab5658c07321f3f88c5814608be476a436ee12","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air National Guard","","","","","","","","","20","9.103","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","88ecf7b4108f5008c743b1f4b59161bedeb688ad0bc869dc12bac8af9b1ecb31","1-10a85b3dbb41b930fc39c67070d0e97ee76aa3e783ed2e4a4a1b9461acb87b35","0-618a33bc9fc8dc14b5bdaf5747ab5658c07321f3f88c5814608be476a436ee12","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","476","0.59","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","88ecf7b4108f5008c743b1f4b59161bedeb688ad0bc869dc12bac8af9b1ecb31","0-da3c51ebb4e8104faf46f2d3d6604376b25a7a37522eb9adf4c87228ee2e43de","0-a95b63137015e6b0009b79ab3d407b4dd5d04e34a31f8d6f16428aeedfe7242b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","17","48.5","7","12.938","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","88ecf7b4108f5008c743b1f4b59161bedeb688ad0bc869dc12bac8af9b1ecb31","0-db9f72aaba9f69de21c788c05c576697374eba0ad9b267d79fe364c953128906","0-9390510e621c4fca66f7241d61a17c3c119883f8de752ee06c488ef7370f7278","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","","","","","","","","","18","3.329","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","88ecf7b4108f5008c743b1f4b59161bedeb688ad0bc869dc12bac8af9b1ecb31","0-baacc3775ae891d0aa8534b9604bfb01836246cc9c1dfaddebb7a2116de158a6","0-7afa0b00aca88f8d9784e489b447d2fbc5e6cebbfeafb5291ff41117fb071a80","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","2.404","3","6.167","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","cc71f1c4d2ca1f274dfb1fbd4abfe16e57fa2b980f43d51c46843aae02db7d58","0-b6c1b6d5779f9b28971367aac6eafef87a0bfba737148623a2a25e5de6dbb7aa","0-c09b47ae5859b6774e52a3a0376061a30f7d9d70ea973a66ae9dff4631a56f5d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","0.97","3","3.254","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","cc71f1c4d2ca1f274dfb1fbd4abfe16e57fa2b980f43d51c46843aae02db7d58","0-41f875f7842827f63afff2b68641b208606af76635398afa69bf189f879c61c0","0-936a91696394a1bb7f9c17837d83f3e79f4700b83e9164c8a178189bfe148084","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","2.607","10","6.492","6","2.048","6","2.048","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","cc71f1c4d2ca1f274dfb1fbd4abfe16e57fa2b980f43d51c46843aae02db7d58","0-121342fafc8221e9bee3e327becf0ef42884a0e0c77aa312d078baa4d66f622c","0-b9a2697eca00e13a443c0c3af7990fd09a869f9adbaec0115db070a0fb6a62b3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
"Air Force Active","1","2.629","3","6.857","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","cc71f1c4d2ca1f274dfb1fbd4abfe16e57fa2b980f43d51c46843aae02db7d58","0-2ebe24d7b0a2c6e369145a6afa0377191113ea407fba1a25fc0500b7122501ae","0-d2306f98224da6ff1384e24b11aff8d76651d9154cd2c673ac2153bc741ad604","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod"
