Name_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"AEHF Spectrum Management","","","","","","","","","","","","","","","","","","0.176","0.704","","","","","","0.176","0.176","0.176","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","30ae9454909107400700f960cfb61afeb2def8bd5984c0c431f47480a6073949","1-5bc3f0c36b8f7c9669d9a377290222296f60fcd2e313ba9e3de94781850b85cf","1-3ce3a98cdd29b6c8b6b94858762d827681137eb96e353abd1b9f63786fec0778","root.record.ItemExhibitList.P5Item"
"Command and Control System-Consolidated (CCS-C) Launch Support of AEHF 5-6","","","","","","","","","","","","","","","","","0.000","0.000","6.068","","0.000","1.84","1.84","1.89","2.338","0.000","0.000","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","30ae9454909107400700f960cfb61afeb2def8bd5984c0c431f47480a6073949","2-91b2a21dac1dc8cb0f6c13e7b8fc9dda983fdea3faa8543b25178ecfc129647c","1-3ce3a98cdd29b6c8b6b94858762d827681137eb96e353abd1b9f63786fec0778","root.record.ItemExhibitList.P5Item"
"AEHF 5-6 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","0.000","0.000","3.2","0.000","0.000","0.000","0.000","0.000","1.5","1.7","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","30ae9454909107400700f960cfb61afeb2def8bd5984c0c431f47480a6073949","3-59485e1d22e98011e6395c6b2affd35b21a4bd0a283bb13795ac0fc93b13d460","1-3ce3a98cdd29b6c8b6b94858762d827681137eb96e353abd1b9f63786fec0778","root.record.ItemExhibitList.P5Item"
"WGS SV 1-5 Checkout & Launch/Launch Readiness","","","","","","","","","","","","","","","","","269.293","0.000","279.818","10.525","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c37a869e60e61d42aaab36c12b1fe75fa0c74344e8465cb0a899ea5cb0ad8c58","0-0fde8a7ecc369af26524aba91df2ae3c574dd23d4b4f3c51f08a34bd32240ade","0-181bfa7ed27a5b95946887a10e959e30b98a2d91cf71f328341e8d6cca277eaf","root.record.ItemExhibitList.P5Item"
"WGS SV 4-5 Storage Reactivation and Transport","","","","","","","","","","","","","","","","","4.022","0.000","4.022","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c37a869e60e61d42aaab36c12b1fe75fa0c74344e8465cb0a899ea5cb0ad8c58","1-441d2062efcac820500dfbf3a3f86ce21b9d5bc56b63d04f6a2afc1a9884636b","0-181bfa7ed27a5b95946887a10e959e30b98a2d91cf71f328341e8d6cca277eaf","root.record.ItemExhibitList.P5Item"
"WGS B2FO Checkout & Launch/Launch Readiness","","","","","","","","","","","","","","","","","0.000","0.000","120.052","14.492","6.145","12.23","12.23","38.693","32.033","13.578","2.881","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c37a869e60e61d42aaab36c12b1fe75fa0c74344e8465cb0a899ea5cb0ad8c58","0-a9eb078c0916a6105dd8441310fe615cc774b62accfbb55cfab7d4d44d9e4cc2","1-a1bb8298fd157f21c4c5385e4bfa1faa9215e50f28a30d6ff705f23f3fcb5894","root.record.ItemExhibitList.P5Item"
"WGS B2FO Storage, Reactivation and Transport","","","","","","","","","","","","","","","","","0.000","0.000","56.266","0.000","0.000","5.896","5.896","0.000","25","25.37","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c37a869e60e61d42aaab36c12b1fe75fa0c74344e8465cb0a899ea5cb0ad8c58","1-503ead17a59ec88935ce5377ccfd5acd77ae3e02c1a5cbea1dc300fc2fb761af","1-a1bb8298fd157f21c4c5385e4bfa1faa9215e50f28a30d6ff705f23f3fcb5894","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) WGS B2FO support","","","","","","","","","","","","","","","","","0.000","0.000","11.114","1.339","0.000","5.609","5.609","2.083","2.083","0.000","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c37a869e60e61d42aaab36c12b1fe75fa0c74344e8465cb0a899ea5cb0ad8c58","2-60f18fef38ae89b99f1c6a86447b1ce11569f9a356b21e0f1253ee4f6034c09c","1-a1bb8298fd157f21c4c5385e4bfa1faa9215e50f28a30d6ff705f23f3fcb5894","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-08 Launch Services","","","","","","","","","","","","","","","","","0.000","0.000","35.37","0.000","0.000","3.5","3.5","10.87","12.8","8.2","0.000","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","27d3e87bb2fc7e3e342a740b15883c038cc1395873b8ef70810bbcfee7a54946","0-21ab01281750d62e72323c5ac4b1f086838b0badcf7686225c268009f0f7fc98","0-ca33f789c02fe18679ec129f4c73330facda31aedf305eb595b9633780b01dc7","root.record.ItemExhibitList.P5Item"
"GPS III SV 09+ Launch Services","","","","","","","","","","","","","","","","","0.000","156.2","188.96","","","","","1.7","7.38","10.79","12.89","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","27d3e87bb2fc7e3e342a740b15883c038cc1395873b8ef70810bbcfee7a54946","0-73ab29d4e3c65bff5fa6edaf2102d1c0dfeca07e29bd8391c92e03b3ca9c6ef9","1-5f254fe7aad18098d93fbb8441bbf081e933859e0bbdbe2ae1afebe93f3b6b29","root.record.ItemExhibitList.P5Item"
"Integration & Checkout","","","","","","","","","","","","","","","","","3.402","0.000","6.158","0.4","0.469","0.995","0.995","0.892","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c137eb1a7e6e50358d93d65f4bc4fdc4e43117fdbd1b33aac5f7816c3b4741c9","0-aaedcdec2284a476092dd9aa56363b836af54e8808cd21b2b2eabc9f3cfbfd16","0-cb421a3ec171d4803878777440cf9d6ee6bc3769a1130e68c9e1f7fd7dd36916","root.record.ItemExhibitList.P5Item"
"Launch Services Planning","","","","","","","","","","","","","","","","","204.196","0.000","257.883","11.877","4.569","24.975","24.975","1.666","10.6","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c137eb1a7e6e50358d93d65f4bc4fdc4e43117fdbd1b33aac5f7816c3b4741c9","1-e564db5412701da5223157867d7822406f7908dea4fcd6d39573614c27d62a49","0-cb421a3ec171d4803878777440cf9d6ee6bc3769a1130e68c9e1f7fd7dd36916","root.record.ItemExhibitList.P5Item"
"Propellants","","","","","","","","","","","","","","","","","5.759","0.000","5.759","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c137eb1a7e6e50358d93d65f4bc4fdc4e43117fdbd1b33aac5f7816c3b4741c9","2-4b81f72fcbd7523dc09b72d8766c51298c768997d84971ebeb84afbf57ae2769","0-cb421a3ec171d4803878777440cf9d6ee6bc3769a1130e68c9e1f7fd7dd36916","root.record.ItemExhibitList.P5Item"
"Storage Reactivation & Transport","","","","","","","","","","","","","","","","","13.852","0.000","33.878","1","7.342","6.959","6.959","4.725","","0.000","0.000","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","c137eb1a7e6e50358d93d65f4bc4fdc4e43117fdbd1b33aac5f7816c3b4741c9","3-ec23e20bcb6334df6758b41286b132a6314bf2fc7e85e421880b996f7391a23b","0-cb421a3ec171d4803878777440cf9d6ee6bc3769a1130e68c9e1f7fd7dd36916","root.record.ItemExhibitList.P5Item"
"VAFB Launch Base Support","","","","","","","","","","","","","","","","","16.307","","","0.246","1.753","0.5","0.5","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","9d6d7cc2e213d10711c93d66b1cde5a68bd237bd013f9f174c1ce0b96e710eb0","0-1f03eccef04b96df9f4646ee54bdb074094ee891625bb10f3ee9159a5a7bb39f","0-8616e9d61e41ccad8e8e45a57b36ae997e713f687f31a19f81bb22c5492cfe03","root.record.ItemExhibitList.P5Item"
"EELV Mission Unique Hardware","","","","","","","","","","","","","","","","","26.316","","","2.75","1.5","2","2","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","9d6d7cc2e213d10711c93d66b1cde5a68bd237bd013f9f174c1ce0b96e710eb0","1-6b90ec272d80f430e5c6f551aa1aeef3600a18482d4f6ca259d397852a96a595","0-8616e9d61e41ccad8e8e45a57b36ae997e713f687f31a19f81bb22c5492cfe03","root.record.ItemExhibitList.P5Item"
"NGC Launch & Early Orbit Spt--CLIN 3","","","","","","","","","","","","","","","","","7.565","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","9d6d7cc2e213d10711c93d66b1cde5a68bd237bd013f9f174c1ce0b96e710eb0","2-98cda26ec6022f464d02d02a27d578a87fa1b2075a15b3588fa851119df1271d","0-8616e9d61e41ccad8e8e45a57b36ae997e713f687f31a19f81bb22c5492cfe03","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","1.5","0.000","168.778","16.724","0.000","16.891","16.891","29.234","76.277","28.152","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b0439627d697f23309d80778f48f7bf9598ab22c86f68e7c8eb97d5630e37c1c","0-de295089ff69aa2dea6fbdd9999891142133b0d99602ac0259f31c928f2ce7fc","0-6c2373c340fa46eb05d77c2d19f16b421a5b5179b67edce7e0a90623501ccdec","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Launch Ops & Checkout","","","","","","","","","","","","","","","","","","0.000","347.582","173.791","","","","","1.247","172.544","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b0439627d697f23309d80778f48f7bf9598ab22c86f68e7c8eb97d5630e37c1c","0-a33a3eeb872d331fbe85191d7fa70539edda3ba536110ba8dac143559c60c5a4","1-fe32abadeea4138b8b5def0bce027b831abeae58e003c3632b5f96e299984720","root.record.ItemExhibitList.P5Item"
"FY17 Incremental Funding","","","","","","","","","","","","","","","","","","0.000","-1.247","-1.247","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b0439627d697f23309d80778f48f7bf9598ab22c86f68e7c8eb97d5630e37c1c","1-1148ad7175cecb312ac0ec923151d51fbec32716a60d66d4b6ee1bbe2f7bfb21","1-fe32abadeea4138b8b5def0bce027b831abeae58e003c3632b5f96e299984720","root.record.ItemExhibitList.P5Item"
"FY18 Incremental Funding","","","","","","","","","","","","","","","","","","0.000","-172.544","-172.544","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b0439627d697f23309d80778f48f7bf9598ab22c86f68e7c8eb97d5630e37c1c","2-0da760e4c79816041d2c4d1cef6aae22908dc6b3ea33dc429d9260d37b01b7c0","1-fe32abadeea4138b8b5def0bce027b831abeae58e003c3632b5f96e299984720","root.record.ItemExhibitList.P5Item"
"HEO Host Accommodation","","","","","","","","","","","","","","","","","230.452","0.000","243.211","1.7","2.285","2.855","2.855","2.928","2.991","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b0439627d697f23309d80778f48f7bf9598ab22c86f68e7c8eb97d5630e37c1c","0-797ca0ce0cd64634276276bfac62620480f3d2a07e1bbc24e84b8ff95612fa47","2-3310036ad3cb85343bfa5f7ea6cea7de3232099dbddf83519d00f04a00d9766c","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","11.057","0.000","88.993","18.532","13.199","13.187","13.187","7.508","17.903","7.607","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b0439627d697f23309d80778f48f7bf9598ab22c86f68e7c8eb97d5630e37c1c","1-26d6621a7ae511b6d3860e39f2e1f95f81eeac84f88aafc37b66ed5f6924bf73","2-3310036ad3cb85343bfa5f7ea6cea7de3232099dbddf83519d00f04a00d9766c","root.record.ItemExhibitList.P5Item"
"AEHF SV 3 launch support services","","","","","","","","","","","","","","","","","58.581","0.000","58.581","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2e72d4b6a911533796e4759b9533bc87b03adc8b025726763394585e7d26a646","0-ecb6fb98cb00d7211d73cbfd9fef74e9e2c16e7cdc4966a9adf6de87859208a9","0-16163a6a13f9207186650fc983701d79ace3138447900c818102e36dae9d4d35","root.record.ItemExhibitList.P5Item"
"Integration of AEHF SV 3 with launch vehicle","","","","","","","","","","","","","","","","","2.128","0.000","2.128","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2e72d4b6a911533796e4759b9533bc87b03adc8b025726763394585e7d26a646","1-770de15d6d06b375a16b8414d9d7b77811ef7daaac78bfa456e2b8571f8c9390","0-16163a6a13f9207186650fc983701d79ace3138447900c818102e36dae9d4d35","root.record.ItemExhibitList.P5Item"
"AEHF SV 3 propellant","","","","","","","","","","","","","","","","","0.000","0.000","1.498","1.498","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2e72d4b6a911533796e4759b9533bc87b03adc8b025726763394585e7d26a646","2-134b59741e9bdf7febfbd4994211bd3ff6466807f5d552375d2f9d0942c70c13","0-16163a6a13f9207186650fc983701d79ace3138447900c818102e36dae9d4d35","root.record.ItemExhibitList.P5Item"
"AEHF Spectrum Management Support","","","","","","","","","","","","","","","","","0.000","0.000","0.596","0.071","0.173","0.176","0.176","0.176","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2e72d4b6a911533796e4759b9533bc87b03adc8b025726763394585e7d26a646","3-9ab8cc195df4a26dc59df55eaa6ca9d70dbe85de77bfa062f7839f6d3addc21d","0-16163a6a13f9207186650fc983701d79ace3138447900c818102e36dae9d4d35","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 launch support services","","","","","","","","","","","","","","","","","0.000","0.000","118","","2","37.9","37.9","78.1","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2e72d4b6a911533796e4759b9533bc87b03adc8b025726763394585e7d26a646","4-a2812f0aea5ad95e39d0e5ccbc5adb217992f63732baed8471d7f88fa4f17fb6","0-16163a6a13f9207186650fc983701d79ace3138447900c818102e36dae9d4d35","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 propellant","","","","","","","","","","","","","","","","","0.000","0.000","4.504","","","","","","4.504","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2e72d4b6a911533796e4759b9533bc87b03adc8b025726763394585e7d26a646","5-0b374214ef8adba189909a6eecd81b082fb4c2adc32607a8c3e55f0fb2141c5c","0-16163a6a13f9207186650fc983701d79ace3138447900c818102e36dae9d4d35","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) Launch Support AEHF 4","","","","","","","","","","","","","","","","","0.000","0.000","4.18","","2.35","1.83","1.83","0.000","0.000","0.000","0.000","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2e72d4b6a911533796e4759b9533bc87b03adc8b025726763394585e7d26a646","6-72dd417d66b5230c1584dd7432175ad0a7b70d0dcbf1c786a363d23f5ca4a5be","0-16163a6a13f9207186650fc983701d79ace3138447900c818102e36dae9d4d35","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Propellent","","","","","","","","","","","","","","","","","0.000","0.000","7.454","0.000","0.000","0.000","0.000","0.000","3.9","3.554","0.000","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2e72d4b6a911533796e4759b9533bc87b03adc8b025726763394585e7d26a646","0-a99e6593b29f362e0dc48551aa6543c6d674330aa377dfb218ff8d3ba855f441","1-0270bcd7bd07f46250d2c95c32882fe646688fd1e86ebc8993de70d4502ec402","root.record.ItemExhibitList.P5Item"
"AEHF Spectrum Management","","","","","","","","","","","","","","","","","","0.176","0.704","","","","","","0.176","0.176","0.176","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2e72d4b6a911533796e4759b9533bc87b03adc8b025726763394585e7d26a646","1-c8732eaeb3edcfd286fb3716134834ce6725da3282d3020ca4063334cd6f3679","1-0270bcd7bd07f46250d2c95c32882fe646688fd1e86ebc8993de70d4502ec402","root.record.ItemExhibitList.P5Item"
"Command and Control System-Consolidated (CCS-C) Launch Support of AEHF 5-6","","","","","","","","","","","","","","","","","0.000","0.000","6.068","","0.000","1.84","1.84","1.89","2.338","0.000","0.000","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2e72d4b6a911533796e4759b9533bc87b03adc8b025726763394585e7d26a646","2-cde9d690af0c9015183b00a9894df7a5a7c4ef51c2e85968abf6e17bb3411c21","1-0270bcd7bd07f46250d2c95c32882fe646688fd1e86ebc8993de70d4502ec402","root.record.ItemExhibitList.P5Item"
"AEHF 5-6 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","0.000","0.000","3.2","0.000","0.000","0.000","0.000","0.000","1.5","1.7","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","2e72d4b6a911533796e4759b9533bc87b03adc8b025726763394585e7d26a646","3-f86bd872364e05c8f5a586245e598f5de2ecb662ae7df08f65683916b818e4e2","1-0270bcd7bd07f46250d2c95c32882fe646688fd1e86ebc8993de70d4502ec402","root.record.ItemExhibitList.P5Item"
"WGS SV 1-5 Checkout & Launch/Launch Readiness","","","","","","","","","","","","","","","","","269.293","0.000","279.818","10.525","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","aab4fe41d3a6cad000ba09116b6bf0f452d46c4e39d4020f58578c2d36374ea8","0-6f4253ca4d0421001d03a9daff4e732a026a254d7912a7928820693b782c13eb","0-14167fd2b13fd4184d7d66ce88b2211aca7a98996bc6d083dd32043c198bca35","root.record.ItemExhibitList.P5Item"
"WGS SV 4-5 Storage Reactivation and Transport","","","","","","","","","","","","","","","","","4.022","0.000","4.022","","","","","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","aab4fe41d3a6cad000ba09116b6bf0f452d46c4e39d4020f58578c2d36374ea8","1-fddc68702f629b88343cb897cd8a7caf3676dd608665e754dd02ef46260d18bd","0-14167fd2b13fd4184d7d66ce88b2211aca7a98996bc6d083dd32043c198bca35","root.record.ItemExhibitList.P5Item"
"WGS B2FO Checkout & Launch/Launch Readiness","","","","","","","","","","","","","","","","","0.000","0.000","120.052","14.492","6.145","12.23","12.23","38.693","32.033","13.578","2.881","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","aab4fe41d3a6cad000ba09116b6bf0f452d46c4e39d4020f58578c2d36374ea8","0-90fc016bbbbc3c6b811f9ecea1aa1720b2f8c85b0b523aaab6feb36c2210a0b6","1-1e50e0295fa047b97b92c1ba4312ff61c190eb9fe197d854b588b30c6d27cbe4","root.record.ItemExhibitList.P5Item"
"WGS B2FO Storage, Reactivation and Transport","","","","","","","","","","","","","","","","","0.000","0.000","56.266","0.000","0.000","5.896","5.896","0.000","25","25.37","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","aab4fe41d3a6cad000ba09116b6bf0f452d46c4e39d4020f58578c2d36374ea8","1-e29e088a3d3c3f23fbddbb2f0981a7e2d9add71bc07c9378dd02ceedac283bb0","1-1e50e0295fa047b97b92c1ba4312ff61c190eb9fe197d854b588b30c6d27cbe4","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) WGS B2FO support","","","","","","","","","","","","","","","","","0.000","0.000","11.114","1.339","0.000","5.609","5.609","2.083","2.083","0.000","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","aab4fe41d3a6cad000ba09116b6bf0f452d46c4e39d4020f58578c2d36374ea8","2-22c0d1339207a569e826066a479c0b984f7d0a9c18ae14c6d46b5fe896d24dba","1-1e50e0295fa047b97b92c1ba4312ff61c190eb9fe197d854b588b30c6d27cbe4","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-08 Launch Services","","","","","","","","","","","","","","","","","0.000","0.000","35.37","0.000","0.000","3.5","3.5","10.87","12.8","8.2","0.000","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","33b3b0ad5835d13cc15e7e273b3a3b0e797b8b7474e6a63df610479ef30e8683","0-2b0fbb199377a72b6465c04fa6a0148c7d73cf10f3886b6dc5ae6001374a9ce5","0-ed7f241d989ad88705afc3908d7ca763c9077ad5618bb5b6d4461748b574ed3d","root.record.ItemExhibitList.P5Item"
"GPS III SV 09+ Launch Services","","","","","","","","","","","","","","","","","0.000","156.2","188.96","","","","","1.7","7.38","10.79","12.89","","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","33b3b0ad5835d13cc15e7e273b3a3b0e797b8b7474e6a63df610479ef30e8683","0-176ff89a10e0a080606af6648f9b5521280da7d5da4c7e7dee4db69ce71c22c5","1-d0586d48995bc53e5712048afcde83c0e30b2fd13ffeb7002e15b474ced494ab","root.record.ItemExhibitList.P5Item"
