Name_val,Name_@footnote,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_Continuing_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_Total_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_Total_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,ManufacturerList_Manufacturer,@PARENTROWID,@PARENT
"JEM INCR. 2 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0.000","0.000","","6.711","6.711","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_CBDP-PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2015.xml","65c739c86b9afbd0b55ce7a6cbf6ca485fd830fd8d97f5192672f85b6133230d","1-57f218ceb14761faeee5e082ce0009f47c0ee288bc8fbfe04f25110150588699","","","3-385c030177858ea4d33c71e571c783b0c509048bc77ec7cb8cadb8da4c9afa55","root.record.ItemExhibitList.P5Item"
"JWARN INCR. 1 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.405","0.000","0.000","0.556","","1.961","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_CBDP-PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2015.xml","65c739c86b9afbd0b55ce7a6cbf6ca485fd830fd8d97f5192672f85b6133230d","0-c331625337e36db3b95077f8af17ebe62fbb9bc8c36d7fc4404c9abe1178773a","","","5-d8b99fbb1641a8339d59bb9d51ef04c711fb7b2e8ba196e61a6eb87c1b405f8a","root.record.ItemExhibitList.P5Item"
"Prior/Future combined efforts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","14.502","","3.086","3.031","3.316","5.069","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_CBDP-PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2015.xml","59862123697813a5031a6a20ee6a49da213b929747d67aa5808b88cde41dd804","0-096c6bbd78dca46803a0a567da5a63abe1441c524a3117f350e0de4754b02d79","","","3-693a6f6d2a8da773b8fe9b772165a4213b0741e6bf5bad94ff002ab1afa5f0e6","root.record.ItemExhibitList.P5Item"
"JEM INCR. 2 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.141","1.141","0.000","","1.141","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_CBDP-PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2015.xml","59862123697813a5031a6a20ee6a49da213b929747d67aa5808b88cde41dd804","1-c46f053b217cde49fdb610ba3dc87343d796b1962e53485d19278c5877bfbfad","","","3-693a6f6d2a8da773b8fe9b772165a4213b0741e6bf5bad94ff002ab1afa5f0e6","root.record.ItemExhibitList.P5Item"
"JWARN INCR. 1 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.306","0.306","0.000","","0.306","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_CBDP-PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2015.xml","59862123697813a5031a6a20ee6a49da213b929747d67aa5808b88cde41dd804","0-1819d1b786a848aea4f66febd6bdcc73dbc0c3935c7e6ffe144bac799d05c932","","","5-9fc057d119b2bf8a4c19934644b99381967aced463da48997e27b33587ed362c","root.record.ItemExhibitList.P5Item"
"Vaccinia Immune Globulin-Support Costs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.185","0.185","0.000","","0.185","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_CBDP-PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2015.xml","fad125e4ebbef8dd616c74890bd5d16e6e1a7b30b8d14a029e96ab1b7a249149","0-edf10a54d5f67efbfe7e9550ea3697674f2771413142de622f730a5fd6acb321","","","5-6c1645b13295eb437be8d314cd3ac235ee69a55b3a8b147b068efee4b540b0b4","root.record.ItemExhibitList.P5Item"
"Prior/Future combined efforts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","609.731","609.731","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","58759b6ab85f25f956ec2970b374f5605bd896568d061891ec4f6c9d7b8a0f5d","0-10ab51fa8fb7fb357996c1216f463063d8f9f98bb38cf0bb24fbbf59b8880405","","","3-81d9003d4394fce8b2a28a5e7d1c45fb60eda286ae9e235df0c298d059d46164","root.record.ItemExhibitList.P5Item"
"Vaccinia Immune Globulin-Support Costs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.185","0.000","0.000","0.185","","0.91","0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","58759b6ab85f25f956ec2970b374f5605bd896568d061891ec4f6c9d7b8a0f5d","1-f30c33780aa335f7bb2a3affd3b94a8a449019f31e23d30b4ed2945afa1eec6b","","","3-81d9003d4394fce8b2a28a5e7d1c45fb60eda286ae9e235df0c298d059d46164","root.record.ItemExhibitList.P5Item"
"Prior/Future combined efforts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","14.098","14.098","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","7fdafe2d44e94a9cc035d1c7b2f2c803d59bbdb16cbd4e30231dc6e172e27f1d","0-e7342c68c9274402163d4e678030d86ec72facc9d099db948854e5af0edf84c6","","","3-95e8d2dd89ccf1bcb66ad851833f9e770b644ae77593b9ba43bb68bc28c31207","root.record.ItemExhibitList.P5Item"
"JEM INCR. 2 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0.000","0.000","","6.711","6.711","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","7fdafe2d44e94a9cc035d1c7b2f2c803d59bbdb16cbd4e30231dc6e172e27f1d","1-3f5f375317cdd36d00089c7786bfc8f5ee4dd167b08821d8611842729686807b","","","3-95e8d2dd89ccf1bcb66ad851833f9e770b644ae77593b9ba43bb68bc28c31207","root.record.ItemExhibitList.P5Item"
"JWARN INCR. 1 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.405","0.000","0.000","0.556","","1.961","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","7fdafe2d44e94a9cc035d1c7b2f2c803d59bbdb16cbd4e30231dc6e172e27f1d","0-22007992f97f41d645e7f392dcdb03a200e0a8ae0d1b2d6c4a91f33463470dd0","","","5-e58725440f703fd27aea96a6ce23854a1c7209f0b5c1d88ac52ef3a632eb308b","root.record.ItemExhibitList.P5Item"
"Prior/Future combined efforts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","14.502","","3.086","3.031","3.316","5.069","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","2e1320d67e045153258a925b1c105dafa0ab86225027817e010e15de7e11c193","0-7a4990b53fa56129d1afbae28f696e62ab0d59de187bce270ee085502105cdde","","","3-63220f62fa84de99641bcb3f16fae2bdfd4ca07617292d9f034b2fb4ab52fdf4","root.record.ItemExhibitList.P5Item"
"JEM INCR. 2 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.141","1.141","0.000","","1.141","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","2e1320d67e045153258a925b1c105dafa0ab86225027817e010e15de7e11c193","1-5d836c64803f2ffa3c8c3493d613a6da9181f98770480d3630911bfe606fd356","","","3-63220f62fa84de99641bcb3f16fae2bdfd4ca07617292d9f034b2fb4ab52fdf4","root.record.ItemExhibitList.P5Item"
"JWARN INCR. 1 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.306","0.306","0.000","","0.306","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","2e1320d67e045153258a925b1c105dafa0ab86225027817e010e15de7e11c193","0-d833baf7c9bd8f75f1e12d21baaf6017364e72fe85eb85b6f80a6de1521765fe","","","5-0ca8ecf109e2007ab79e71a58ba33ba9668a98461e982223fbe71e6fe0691074","root.record.ItemExhibitList.P5Item"
"Vaccinia Immune Globulin-Support Costs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.185","0.185","0.000","","0.185","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","7c76550eb9969de9b201b6d1cd5d83fa159664162398ffe7f8ecdbcc28ba4e0f","0-137954bde0e895b654a1da772b8ceb087925c1a7ce08855b4c26ac8ea2aa86ab","","","5-37f2e6b1b78e82ef212570c9bdec8ffa6d3811c4ed5c8843dd41f6628b7a0711","root.record.ItemExhibitList.P5Item"
"Site Survey/Site Setup/Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","19358a592eaa207e572f01c09c2d66245773de73a2fa9e66ec5dbedcedd44720","0-4486dafae08f14c9de0dbaec744a23bcf7d5ded94e37fc7e560e415a8f7877a3","","","1-6826c84e4fd066e77deef81146dbcba9fa169b68e19cdea2fc66a8d807faeee9","root.record.ItemExhibitList.P5Item"
"Mission Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","19358a592eaa207e572f01c09c2d66245773de73a2fa9e66ec5dbedcedd44720","1-e2d37820ecb90681ca4dea7ff88f5776f60927924a96cf2ce69d5eb033d4acf3","","","1-6826c84e4fd066e77deef81146dbcba9fa169b68e19cdea2fc66a8d807faeee9","root.record.ItemExhibitList.P5Item"
"1.b. TBMCS-FL Training & Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.641","2.21","2.21","2.247","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","49c153d12383075d1982118c06aef9522620a9ef85c9fe9f43fa882e863b9d13","0-b8ef6416c1bc3c5728df01cf024a33aad68add1b007955a7aaac7726401a0c96","","","0-bc1d6f062387da1bd70a0bce9cf7001696b747af71aa63dd3b99a7e66d86b9f2","root.record.ItemExhibitList.P5Item"
"2.a. UC2 Hardware & COTS Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.255","2.378","2.378","3.088","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","49c153d12383075d1982118c06aef9522620a9ef85c9fe9f43fa882e863b9d13","1-f011eaa31dadd2c6d1f53d9b8d7c8e35724f9644fac98e689fab9824c4f99128","","","0-bc1d6f062387da1bd70a0bce9cf7001696b747af71aa63dd3b99a7e66d86b9f2","root.record.ItemExhibitList.P5Item"
"3.a. PRC2 Hardware & COTS Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.426","0.765","0.765","0.73","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","49c153d12383075d1982118c06aef9522620a9ef85c9fe9f43fa882e863b9d13","2-2f2289e398df327a3c82027258e07970cea4b98f8072a0aac2fd2bd1b5384de2","","","0-bc1d6f062387da1bd70a0bce9cf7001696b747af71aa63dd3b99a7e66d86b9f2","root.record.ItemExhibitList.P5Item"
"1.a. Initial Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","19.576","19.576","0","0","72.303","","0","0","43.427","9.3","0","","","","","","6","","1","1","4","1","","","","","12.051","","19.576","19.576","10.857","9.3","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","8ecf5c6c6452e435852ecf4ce61c70ecc32c1b72674155a20b79c9ee6fe4d103","0-57caae8bc02a265c59fe673d6c65cef45d47373f1aeade6d9eb29344533962e2","","0-e2f3613eecee8572b5107b01e8ce201e2dbe5a40e7af670f549bfb2645094056","root.record.ItemExhibitList.P5Item"
"1.b. Capital Equipment Replacement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","191.951","266.784","","24.128","24.466","0","26.239","0","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","8ecf5c6c6452e435852ecf4ce61c70ecc32c1b72674155a20b79c9ee6fe4d103","1-4e90099a400e674394e4a6411843c24111dadb1a495c44fa5b50add5727c4868","","","0-e2f3613eecee8572b5107b01e8ce201e2dbe5a40e7af670f549bfb2645094056","root.record.ItemExhibitList.P5Item"
"1.c. Test Support (46TS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.54","0.54","0","4.55","7.35","","0.57","0.58","0.55","0.56","0","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","8ecf5c6c6452e435852ecf4ce61c70ecc32c1b72674155a20b79c9ee6fe4d103","2-6976fa5f680af94fb7698ba0646203459c360dac7cc0fe46817afd9d1035037d","","","0-e2f3613eecee8572b5107b01e8ce201e2dbe5a40e7af670f549bfb2645094056","root.record.ItemExhibitList.P5Item"
"1.d. Fielding Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.34","0.34","0","33.736","50.676","","4.2","4.3","4","4.1","0","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","8ecf5c6c6452e435852ecf4ce61c70ecc32c1b72674155a20b79c9ee6fe4d103","3-cfccc50fab7f6b74ad5bcbe011788076e72ac47b7e49d1f0aaf10a5ca76c57f1","","","0-e2f3613eecee8572b5107b01e8ce201e2dbe5a40e7af670f549bfb2645094056","root.record.ItemExhibitList.P5Item"
"1.e. Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.51","1.51","0","7.061","11.571","","0.8","0.9","0.6","0.7","0","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","8ecf5c6c6452e435852ecf4ce61c70ecc32c1b72674155a20b79c9ee6fe4d103","4-9a1cc868c9ca26268613751cc766fdb5258b30d158ad17836fbe89407b9abe81","","","0-e2f3613eecee8572b5107b01e8ce201e2dbe5a40e7af670f549bfb2645094056","root.record.ItemExhibitList.P5Item"
"AFNet NIPRNet Gateway - Prime Contract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","11.6","11.6","0","0","14.056","0","","","2.456","","0","","","","","","2","","1","1","1","","","","","","7.028","","11.6","11.6","2.456","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","bce46289ef8f6407bbe591fc76b251a80583d0d995defaa591cb39eec921a4f4","0-25955b0cdea3b669e58aa14ce9ac81abbedafd720458ed001caa02ac4471f898","","0-eedb580776dfffc96dd3dc0ef3bd5ad8915b3ca3a1a15c5add55b1903d42a0c2","root.record.ItemExhibitList.P5Item"
"AFNet Infrastructure - Prime Contract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.329","16.329","","0","219.876","0","67.13","76.08","0.943","59.394","","","","","1","1","5","","1","1","1","1","","","67.13","76.08","43.975","","16.329","16.329","0.943","59.394","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","bce46289ef8f6407bbe591fc76b251a80583d0d995defaa591cb39eec921a4f4","1-50af89b181dd07d873dc68517761a4fdd2bcf96a3b77c9142cddf1ec7dfea546","","0-eedb580776dfffc96dd3dc0ef3bd5ad8915b3ca3a1a15c5add55b1903d42a0c2","root.record.ItemExhibitList.P5Item"
"AFNet Enclave Control Nodes - Prime Contract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.161","14.161","","0","156.812","0","47.933","12.02","36.414","46.284","0","","","","1","1","5","","1","1","1","1","","","47.933","12.02","31.362","","14.161","14.161","36.414","46.284","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","bce46289ef8f6407bbe591fc76b251a80583d0d995defaa591cb39eec921a4f4","0-741d13ac4941418a121126d0187485fb7a5eb5c33b94e8f7836a0bedf59e107d","","1-bf3eda646a065344ab0c375d0759e60b2a8b05f656909e67ace0286b4d5d7c53","root.record.ItemExhibitList.P5Item"
"AFNet Host Based Security System - Prime Contract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.27","9.18","9.18","8.86","0","71.475","0","13.8","11.776","9.446","10.143","","","","1","1","1","7","1","1","1","1","1","","8.27","13.8","11.776","10.211","8.86","9.18","9.18","9.446","10.143","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","bce46289ef8f6407bbe591fc76b251a80583d0d995defaa591cb39eec921a4f4","1-e2a0d27cf08c1692068cfe2f8cba3ca05137115bce4b0fe5754b1ba86a25604b","","1-bf3eda646a065344ab0c375d0759e60b2a8b05f656909e67ace0286b4d5d7c53","root.record.ItemExhibitList.P5Item"
"AFNet NIPRNet Gateway - Prime Contract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.05","","","8.8","0","49.85","0","","","","","","","","1","","","2","1","","","","","","41.05","","","24.925","8.8","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","bce46289ef8f6407bbe591fc76b251a80583d0d995defaa591cb39eec921a4f4","2-c9a2598587afca3a2c26f1ab650ca5cde4b4a8c03b1c90b55ab1e6e5d3410dc9","","1-bf3eda646a065344ab0c375d0759e60b2a8b05f656909e67ace0286b4d5d7c53","root.record.ItemExhibitList.P5Item"
"AFNet Infrastructure - Prime Contract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.59","","","50.4","0","51.99","0","","","","","","","","1","","","2","1","","","","","","1.59","","","25.995","50.4","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","bce46289ef8f6407bbe591fc76b251a80583d0d995defaa591cb39eec921a4f4","3-136ce6f645c456754673c6b7c7045dfedff06561ac1d186e3fdd386704e39568","","1-bf3eda646a065344ab0c375d0759e60b2a8b05f656909e67ace0286b4d5d7c53","root.record.ItemExhibitList.P5Item"
"Site Survey/Site Setup/Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","79ab6fb3962b711f9df93ff446b3df9f6a781a47d63a557e28321073aa5d06d6","0-3e6503d3370f2e39ea378df4629bd1bd8706a5a27e420b4aea7da76e1f4cade1","","","1-cc49f060a53a9e8a41f5d311e45c49a8d953196357b8544ab2b37f8a891506b6","root.record.ItemExhibitList.P5Item"
"Mission Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","79ab6fb3962b711f9df93ff446b3df9f6a781a47d63a557e28321073aa5d06d6","1-16d37528ce9371c7fa1e1266c1e779a984117b965a83462c1ff4e66f2156fa8f","","","1-cc49f060a53a9e8a41f5d311e45c49a8d953196357b8544ab2b37f8a891506b6","root.record.ItemExhibitList.P5Item"
