Name_val,Name_@footnote,WhenRequiredInMonths_val,Cost_AllPriorYears_val,Cost_PriorYear_val,Cost_CurrentYear_val,Cost_BudgetYearOne_val,Cost_BudgetYearTwo_val,Cost_BudgetYearThree_val,Cost_BudgetYearFour_val,Cost_BudgetYearFive_val,Cost_ToComplete_val,Cost_Total_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,QuantityPerAssembly_val,SCNProductionLeadtime_val,ForFY_val,@PARENTROWID,@PARENT
"GFE EW","","0","17.004","2.916","1.882","2.81","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","9020003fada37f13381c9c7964300a41a7cb60c91c6bc034fd3cc2d5f301294e","2-e8747673ece4c0d236dcefab24402b91535d3f65cb9b2ff2f1eebc78261d2f40","0","","","0-0e79b7fd5117426baa257ccd261e82cf332d8d99a9dff983abbe28a11e3a44ea","root.record.ItemExhibitList.P5Item"
"GFE - Engines T.L.","","0","253.561","11.778","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","eb451562f2a24b3dd67a9d41f3d31713ffdd4ec7ef92ad206b4cf089c00d09d1","0-422122d37a5992ec3572e358209d2e75d7ef8f75a0d0741807b2d01da661d402","2","","","0-f3e988c530e5ab1948c74e1fcf38764b310206f36972139b756dd6fa6cc13603","root.record.ItemExhibitList.P5Item"
"GFE - Engines (Refurb)","","0","","","6.24","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","eb451562f2a24b3dd67a9d41f3d31713ffdd4ec7ef92ad206b4cf089c00d09d1","1-f142c5f02b98e4e0a947375e1c2b0f644c9f8cddd01396ec25eab345ded06c25","2","","","0-f3e988c530e5ab1948c74e1fcf38764b310206f36972139b756dd6fa6cc13603","root.record.ItemExhibitList.P5Item"
"GFE - Cockpit","","0","288.113","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","eb451562f2a24b3dd67a9d41f3d31713ffdd4ec7ef92ad206b4cf089c00d09d1","2-9f44e3a5ce087cc75f655513e332b30fa27e4b1db1eed7c4f769d2076a33db6d","1","","","0-f3e988c530e5ab1948c74e1fcf38764b310206f36972139b756dd6fa6cc13603","root.record.ItemExhibitList.P5Item"
"Cockpit for FY13 EOQ/Long Lead","","0","13.2","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","eb451562f2a24b3dd67a9d41f3d31713ffdd4ec7ef92ad206b4cf089c00d09d1","3-543f710f6f0c72cc2348a428fde1b249c0d608a3f734f3c6a6031b6c68618a1d","1","","","0-f3e988c530e5ab1948c74e1fcf38764b310206f36972139b756dd6fa6cc13603","root.record.ItemExhibitList.P5Item"
"Cockpit for FY14 EOQ/Long Lead","","0","3.5","11.925","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","eb451562f2a24b3dd67a9d41f3d31713ffdd4ec7ef92ad206b4cf089c00d09d1","4-d6dadbb8da8227837050f87d41642aba818634e11c8f96481cda908628dd1974","1","","","0-f3e988c530e5ab1948c74e1fcf38764b310206f36972139b756dd6fa6cc13603","root.record.ItemExhibitList.P5Item"
"Cockpit for FY15 EOQ/Long Lead","","0","2.25","1","5.3","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","eb451562f2a24b3dd67a9d41f3d31713ffdd4ec7ef92ad206b4cf089c00d09d1","5-5cc0781ed2c62aad3687c92c10fa34868ca95061fe9af3c16341e94e0b2e898f","1","","","0-f3e988c530e5ab1948c74e1fcf38764b310206f36972139b756dd6fa6cc13603","root.record.ItemExhibitList.P5Item"
"A/C Misc Avionics","","0","131.031","14.11","8.093","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","eb451562f2a24b3dd67a9d41f3d31713ffdd4ec7ef92ad206b4cf089c00d09d1","6-5feccb5d6ce0ed26945127b9c79c6c650fa7b7fdb103dcf6ef7f95557eb55a1c","0","","","0-f3e988c530e5ab1948c74e1fcf38764b310206f36972139b756dd6fa6cc13603","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","20.334","2.937","5.025","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","cea084fd8ee4e3bf6cb6c9380da29fdb1faafd7e10de563f640e535d1b29edec","0-01e408e8a43634a184e6870af661de27a419406b288430e056b15ee4b5ac5114","0","","","0-942a5211d9bfa820fc90246b7734beabcd4c91598b479a4a254745109a172a30","root.record.ItemExhibitList.P5Item"
"Other GFE","","0","32.177","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","e90cf21056687580c54ee8e3603e5d258a948060c2a1aa82c2f96dc0e160c0c8","0-dd2b19bb6830ea78167691a07fcbd7c7377c3c019a7c4459cd84b45171dcc55b","1","","","0-ddfeda703361cdf31de0af165b9952e47dba35a6589e937f0003ad5ab3bc07d3","root.record.ItemExhibitList.P5Item"
"JTIDS","","0","16.955","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","e90cf21056687580c54ee8e3603e5d258a948060c2a1aa82c2f96dc0e160c0c8","1-98782187b18545e11fd77f5886d00ea0fba98a7cd9c53b6f272597b5c64ec59d","1","","","0-ddfeda703361cdf31de0af165b9952e47dba35a6589e937f0003ad5ab3bc07d3","root.record.ItemExhibitList.P5Item"
"Engines","","0","14.9","","","","","","","","","","","","","","","2015-BASE_PROCUREMENT-2015-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2015.xml","e90cf21056687580c54ee8e3603e5d258a948060c2a1aa82c2f96dc0e160c0c8","2-1bcf57233f988cbb5c363a5f1cc6532e0cb623ef8b9ce68f07c70d7fec724a1c","1","","","0-ddfeda703361cdf31de0af165b9952e47dba35a6589e937f0003ad5ab3bc07d3","root.record.ItemExhibitList.P5Item"
"Engines/Eng ACC","","0","390.351","74.697","64.214","101.255","116.283","114.88","109.498","111.32","3859.758","4942.256","Pratt & Whitney","East Hartford, CT","27","27","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","f44d2c667314c228d741f2c842043a3825974c3652ac39e3bfd27328ff6d2fa2","0-6120ded907cc88f673698afe455ca79088978f09682be4b5d50a332104ad3ca8","","","","0-9c5cf37b5c3abb6301bcfabdcb28c3d0dd36938dc5c182a7f92c71d008bddf34","root.record.ItemExhibitList.P5Item"
"Other Government Furnished Equipment: C-130J Defensive Systems","","12","38","14","28","10","6","4","","","","100","Various","Various","12","12","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","2a3f7563d0ca311b4f7fc69de771b398377fd3242ec19b62e816a6fb3042cf7f","0-be149a0fc4bfac5635f19743173a0a688d2b3ead5a27f273003c2ffc91997201","","","","0-6b141b33c2bebf229c84462ab573e23debc60df7a757e6b7691eb2471ff8693a","root.record.ItemExhibitList.P5Item"
"Engines/Eng ACC","","0","390.351","74.697","64.214","101.255","116.283","114.88","109.498","111.32","3859.758","4942.256","Pratt & Whitney","East Hartford, CT","27","27","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","0485cf02b8635a606917d60c2337e492c40ded75ff14634776a8126fa7df23d7","0-01d6a974fcab51ddf89ad20e49dfc14a60120901badb9a86d090cc0823de1b84","","","","0-8a6a3d8dfec0ec394ab80138e5cdc7b2c9ca0bcb8416b2e95763aef9b56562b7","root.record.ItemExhibitList.P5Item"
"Other Government Furnished Equipment: C-130J Defensive Systems","","12","38","14","28","10","6","4","","","","100","Various","Various","12","12","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","06413109f09458e1d20d0d8c668a4bfde7b94137945d7743cd97c2331c8391ee","0-bf400b76606212b02054aa000172ca9aeb1b4cf7b229a5c9e4cd5c9b17f4d0f0","","","","0-15df96a98a7e59b7430e46e12d8f2e52826914155313c20862cea4e877866cd1","root.record.ItemExhibitList.P5Item"
"Other GFE","","0","32.177","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","472c29624a1b48d703ec5d79df872cdbedbb184c4510e0e5df53800e70f13246","0-3703d1d00559affa9f57529af65ded7455b53d147b83f5db05df92ecd1f66c43","1","","","0-28ee197aa429fa8b3826d3d26e1fe15924c7d06e1883704a5252fadcb9ade6e8","root.record.ItemExhibitList.P5Item"
"JTIDS","","0","16.955","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","472c29624a1b48d703ec5d79df872cdbedbb184c4510e0e5df53800e70f13246","1-dc00c1651e377e203b44258d2a6e9a1d7706ec5db6c3d345dbdcbd8764567c84","1","","","0-28ee197aa429fa8b3826d3d26e1fe15924c7d06e1883704a5252fadcb9ade6e8","root.record.ItemExhibitList.P5Item"
"Engines","","0","14.9","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","472c29624a1b48d703ec5d79df872cdbedbb184c4510e0e5df53800e70f13246","2-8a16be5211c8421b5c5176eb47f54a4e851b73e13918d1fce72fa6996e8891ae","1","","","0-28ee197aa429fa8b3826d3d26e1fe15924c7d06e1883704a5252fadcb9ade6e8","root.record.ItemExhibitList.P5Item"
"GFE Electronics","","0","21.001","1.804","0","4.164","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","74393c7aeafacf61a1221f9ea624869c29db1b711f4c04d309bcaa81aa8cccad","0-33f1cee15ed66764278b1e872e3d37575f5f198c719f0a7fd1ad1f7948c65e89","0","","","0-b4e3ae809a19f1a0a6dd5158cd2ec199294ea997ebf1c4839d47c0d038d2c0e4","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","2.163","0.084","0","0.287","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","74393c7aeafacf61a1221f9ea624869c29db1b711f4c04d309bcaa81aa8cccad","1-4e033ff02ea675f149a55bc9c86d2d94a69a5276edcaa0dc713c45990c5a74d8","0","","","0-b4e3ae809a19f1a0a6dd5158cd2ec199294ea997ebf1c4839d47c0d038d2c0e4","root.record.ItemExhibitList.P5Item"
"G.F.E Engines Termination Liability","","0","129.672","9.477","2.36","4.609","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","c38938982b09ee38a6df8bee55d8cf2d7500467649c2432e3e8e1c26df21856b","0-eff2dbb18d522d3546030db8814b67c01ee92be30ec37bf026f0be3bf1bcde0f","1","","","0-c9e7224b5e662b778eb2730d3d968ad0879af337a8b57ed19f92cfb85943c411","root.record.ItemExhibitList.P5Item"
"GFE- Engines Termination Liability","","0","219.21","20.639","37.43","53.182","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","7628ace8ef96649f0617d9d9b4cb7957938fe87d87a4576cd8444f6e916ae1ec","0-79639bd98b291327b8b4c46fd0e4be14cb1463e5d1262782452c15b057371705","1","","","0-172ebae9287be920446b464613132c0c92be855b4abfa9938a2e70e163dca058","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","86.028","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","a63b2bc703ee01e80636550d8f38e37a00ecd2583b7e8ac94614d4518e1a4d37","0-c28ff7855697b77f370c2d31f61e4c56fcf8e6fe7da8474d7704ca24eca4fc7c","0","","","0-e33b2375b1104338190e5b78a15c1e92083dc0d9d7375042ca38abc01328d6e6","root.record.ItemExhibitList.P5Item"
"GFE Com/Nav","","0","18.15","1.77","3","2.579","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","a63b2bc703ee01e80636550d8f38e37a00ecd2583b7e8ac94614d4518e1a4d37","1-0def116c6f7c4b9297d132cf89607062e7cd269d5ab3183f2337200e9996b732","0","","","0-e33b2375b1104338190e5b78a15c1e92083dc0d9d7375042ca38abc01328d6e6","root.record.ItemExhibitList.P5Item"
"GFE EW","","0","19.92","1.882","2.51","2.684","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","a63b2bc703ee01e80636550d8f38e37a00ecd2583b7e8ac94614d4518e1a4d37","2-662724290f860266e2714c2a336a7b3cae6a930629169e261fa6a7ce0dba3655","0","","","0-e33b2375b1104338190e5b78a15c1e92083dc0d9d7375042ca38abc01328d6e6","root.record.ItemExhibitList.P5Item"
"GFE - Engines T.L.","","0","264.666","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","4bdbb7354e1e70507249cc747b09f8fd7907f4cf56e22abbdf12370f311c34de","0-42245ad8e140dc364c2f10110969e58cc1f959448ac847d4c26377423a5b65fb","2","","","0-f56d1f038d9c7265fdadba592494ada17bea1c0254c502664c84321ac983d45d","root.record.ItemExhibitList.P5Item"
"GFE - Engines (Refurb)","","0","","6.24","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","4bdbb7354e1e70507249cc747b09f8fd7907f4cf56e22abbdf12370f311c34de","1-50b071bd47ec8a54665ade0ada96d690659668a1f108796d04454cc248057710","2","","","0-f56d1f038d9c7265fdadba592494ada17bea1c0254c502664c84321ac983d45d","root.record.ItemExhibitList.P5Item"
"GFE - Cockpit","","0","288.113","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","4bdbb7354e1e70507249cc747b09f8fd7907f4cf56e22abbdf12370f311c34de","2-5dd6749aa6f049c487d08cbbd29c4f2d9d83246fee22fb77bb8b9b0a4c99619a","1","","","0-f56d1f038d9c7265fdadba592494ada17bea1c0254c502664c84321ac983d45d","root.record.ItemExhibitList.P5Item"
"Cockpit for FY13 EOQ/Long Lead","","0","13.2","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","4bdbb7354e1e70507249cc747b09f8fd7907f4cf56e22abbdf12370f311c34de","3-467c7eb7d2a2ae6ee7ef126768412b7ba964753f298e15f151c5739194820f90","1","","","0-f56d1f038d9c7265fdadba592494ada17bea1c0254c502664c84321ac983d45d","root.record.ItemExhibitList.P5Item"
"Cockpit for FY14 EOQ/Long Lead","","0","15.425","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","4bdbb7354e1e70507249cc747b09f8fd7907f4cf56e22abbdf12370f311c34de","4-5ceaa4f27f0437671fe1ad70f6143548ae60690a273b0249be5347337e55c76d","1","","","0-f56d1f038d9c7265fdadba592494ada17bea1c0254c502664c84321ac983d45d","root.record.ItemExhibitList.P5Item"
"Cockpit for FY15 EOQ/Long Lead","","0","3.25","5.3","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","4bdbb7354e1e70507249cc747b09f8fd7907f4cf56e22abbdf12370f311c34de","5-004e394ffca8a964aff2d4d726937048770015be28b977ba7107fdd8d2a6aa9c","1","","","0-f56d1f038d9c7265fdadba592494ada17bea1c0254c502664c84321ac983d45d","root.record.ItemExhibitList.P5Item"
"A/C Misc Avionics","","0","145.645","8.093","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","4bdbb7354e1e70507249cc747b09f8fd7907f4cf56e22abbdf12370f311c34de","6-2612433ad481b3fcee19a37290ed18a86f3d94ce880d1cdc83d3e9240b5e8ad1","0","","","0-f56d1f038d9c7265fdadba592494ada17bea1c0254c502664c84321ac983d45d","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","22.958","5.025","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA1-4-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","afefd55792744e93c1b9205df9cd5d381b13defa796d484ff20f8ff4ce98bc59","0-b15429ac46e41b5d64d8241ee1bf23caefb730f375101d3c596ebb2abde5beaa","0","","","0-b509a81a371185c9859128564a373d018479b914c38e66811bd60708cecc94ae","root.record.ItemExhibitList.P5Item"
"Other GFE","","0","32.177","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","bec6313d5bee6d883174a59057b6b16a52500dd76355e6279347031224d8b2f7","0-67dc9ff2afca4b1328b3f3cf343217d7760c48309f61e0297f5bdb39fdf3dd54","1","","","0-acfef7fc7ff9918a985a5bf85621fee9cbb5b22d0c0f8c016831d263bf9e3627","root.record.ItemExhibitList.P5Item"
"JTIDS","","0","16.955","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","bec6313d5bee6d883174a59057b6b16a52500dd76355e6279347031224d8b2f7","1-4340945dbc912e767e4f61a08edfe7c0108e8967bbbc64f41b26ef5e6ca4e13d","1","","","0-acfef7fc7ff9918a985a5bf85621fee9cbb5b22d0c0f8c016831d263bf9e3627","root.record.ItemExhibitList.P5Item"
"Engines","","0","14.9","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","bec6313d5bee6d883174a59057b6b16a52500dd76355e6279347031224d8b2f7","2-81938648735f420d24fb2c7a21fd78ac208b6d77034eb8cdb51ffa8742fabd1c","1","","","0-acfef7fc7ff9918a985a5bf85621fee9cbb5b22d0c0f8c016831d263bf9e3627","root.record.ItemExhibitList.P5Item"
"GFE Electronics","","0","21.001","1.804","0","4.164","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","fdb5509255916dc762eb364f6b01aadf36a262d558a694a34c9c99e9cd8f4062","0-d7f7e83103cbf9feb00fdb4b3b7dfe2c144e263820c7ccc609a433502d616389","0","","","0-2290cd9208998cfc292d9b05408794dd5d0ea9da3bae0060af9755e8bf9a88fa","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","2.163","0.084","0","0.287","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","fdb5509255916dc762eb364f6b01aadf36a262d558a694a34c9c99e9cd8f4062","1-417e014fda9c010698a4b63426f94b802644bef7f3af576b38f09a7fd2a4eb5c","0","","","0-2290cd9208998cfc292d9b05408794dd5d0ea9da3bae0060af9755e8bf9a88fa","root.record.ItemExhibitList.P5Item"
"G.F.E Engines Termination Liability","","0","129.672","9.477","2.36","4.609","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","1c9093d833008ab1c40b6138d5cc12fe4b84134a7c6b8a34a4f19f1ecabb7a33","0-69d05276f636b103516bb06a29eedc7ac4f3e008683d2122ca61581ae205958b","1","","","0-d5220d3b1d409dd01346a0ffb214c4df0756cd35f77ee5d6937d1336809c7bbd","root.record.ItemExhibitList.P5Item"
"GFE- Engines Termination Liability","","0","219.21","20.639","37.43","53.182","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","1586ae96a586a4998f5468620b6804b2f86debc9d1c28602349ac5d979401a39","0-e1c691a9e75a422849eaf4e032e99b3924f18bc5d83f415fcdb5b95b4fc55a2a","1","","","0-95c42adc88f163d9de484461a1dafe4e12c52152212001e3cd57573df748fa03","root.record.ItemExhibitList.P5Item"
"GFE Other","","0","86.028","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","a16d93903f5bfd29d2eb616959fa9a8c7d4bb9d6164840dd25fc6bcf14a6559f","0-4c805679d00f7350f84e7e7d5f1253d810d1aa5e25df62e1737c5f518c8c991f","0","","","0-e7905d0a9cf8739ae7dc4dbcf8d6f606c40adabe57c1ec25f815b92835768823","root.record.ItemExhibitList.P5Item"
"GFE Com/Nav","","0","18.15","1.77","3","2.579","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","a16d93903f5bfd29d2eb616959fa9a8c7d4bb9d6164840dd25fc6bcf14a6559f","1-7e73e5d9f567679e2f715ae429dceeab156936fedb0d31ce4790b8ecaeac281c","0","","","0-e7905d0a9cf8739ae7dc4dbcf8d6f606c40adabe57c1ec25f815b92835768823","root.record.ItemExhibitList.P5Item"
"GFE EW","","0","19.92","1.882","2.51","2.684","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","a16d93903f5bfd29d2eb616959fa9a8c7d4bb9d6164840dd25fc6bcf14a6559f","2-2fa5867c765fe7139f243847af7c508f1c0bcebdfb89fbbbb78fed724c426b92","0","","","0-e7905d0a9cf8739ae7dc4dbcf8d6f606c40adabe57c1ec25f815b92835768823","root.record.ItemExhibitList.P5Item"
"GFE - Engines T.L.","","0","264.666","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","4097f3fd622f0c634139f61a407a001b5e061769227ff61657873edfcf087629","0-c42abd8547a7a67946a9ec6533e5e9801b2c1a89e2c4b454c93ed19b15524cbe","2","","","0-747ecb84f269578d362280a978a64fd0ab3dddef549bd83ed1a0c1be03986803","root.record.ItemExhibitList.P5Item"
