Name_val,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Continuing_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_Total_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_Continuing_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_Total_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_MinimumSustainingRate_val,ManufacturerList_Manufacturer_MaximumProductionRate_val,ManufacturerList_Manufacturer_Rate185_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"Global Hawk Block 20","A","326.777","54.463","6","","","","","","","","","","","","","","","","","","0.000","0.000","0","326.777","54.463","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6344ffaffcd0dcf02df1b26345df842a688214ceb4388fac2c0f9d260faa4e49","1-d2bec8229b1b85a46a46c4cf422306cf341c760b0b8593501db22700538900ac","","","","","","","","","","","","","","","","0-c18fdd2a5c0767105b4a3d3c83b401edd4db1b7d7efcb3496f584c401b4da71e","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 30","A","1369.289","76.072","18","363.141","121.047","3","","","","","","","","","","","","","","","0.000","0.000","0","1732.43","82.497","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6344ffaffcd0dcf02df1b26345df842a688214ceb4388fac2c0f9d260faa4e49","2-501d8a3c28c9ae9e48205995f29ba4a1e03e4a19537baded108d9051d9e990c3","Northrop Grumman","Rancho Bernardo, CA","0.08","0.50","0.42","12","3","25","28","12","0","0","0","14","0-c18fdd2a5c0767105b4a3d3c83b401edd4db1b7d7efcb3496f584c401b4da71e","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 40","A","930.877","84.625","11","","","","","","","","","","","","","","","","","","0.000","0.000","0","930.877","84.625","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6344ffaffcd0dcf02df1b26345df842a688214ceb4388fac2c0f9d260faa4e49","3-c088c6b874bc528ea2e52a97f1bf47d4874763ad50f15cf128620420eb4cb544","Northrop Grumman","Rancho Bernardo, CA","0.08","0.50","0.42","12","3","29","32","12","0","0","0","7","0-c18fdd2a5c0767105b4a3d3c83b401edd4db1b7d7efcb3496f584c401b4da71e","root.record.ItemExhibitList.P5Item"
"Common Ground Station","A","218.212","109.106","2","","","","","","","","","","","","","","","","","","0.000","0.000","0","218.212","109.106","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6344ffaffcd0dcf02df1b26345df842a688214ceb4388fac2c0f9d260faa4e49","0-054988a68a5fd3cd9ea95ca78cac8569fb0ba5705f8db9c75e6ac2e03a556186","Northrop Grumman","Rancho Bernardo, CA","0.08","0.17","0.08","2","5","4","9","2","0","0","0","0","1-62beeabe56569f3a30718982842df7edf578aee9c005512f5ff32e04183d49c8","root.record.ItemExhibitList.P5Item"
"Other Support Costs","A","648.66","","","85.722","","","","","","","","","","","","","","","","","0.000","","","734.382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","95b008b2886e43ca72942c957d3fb6eb3924003991d1464470ce65d082325064","0-fce1801138747df3ec4e44d30c22239424b0dba909b209faf67212368283fed0","","","","","","","","","","","","","","","","0-17657c7eb669562bb6d327c0bfc0c0267b7ec76b1cfa935858915b1185f16c88","root.record.ItemExhibitList.P5Item"
"Production Support - Other (PSO)","A","1258.306","","","0.000","","","","","","","","","","","","","","","","","0.000","","","1258.306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","95b008b2886e43ca72942c957d3fb6eb3924003991d1464470ce65d082325064","1-2bfba9b377a87982b7944af993eeafc2bd3793ec2e3d2eeb46f2085186b164c3","","","","","","","","","","","","","","","","0-17657c7eb669562bb6d327c0bfc0c0267b7ec76b1cfa935858915b1185f16c88","root.record.ItemExhibitList.P5Item"
"FASTeR / PALS (ICS)","A","2338.277","","","","","","","","","","","","","","","","","","","","0.000","","","2338.277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","95b008b2886e43ca72942c957d3fb6eb3924003991d1464470ce65d082325064","2-91b76d981992e0af23cd629a2a89ec99157c3a92b167f69041971f12778d581e","","","","","","","","","","","","","","","","0-17657c7eb669562bb6d327c0bfc0c0267b7ec76b1cfa935858915b1185f16c88","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 10","A","324.974","46.425","7","","","","","","","","","","","","","","","","","","0.000","0.000","0","324.974","46.425","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","4b41aab551dd5963369d5d6c772fbe316cd8c2c012a1e3a665053b2726d13344","0-9b6e21d9cb1980b692c2ac7ae1d8df95b51a4911fe0accad2a27fa700a657f27","","","","","","","","","","","","","","","","0-74a6bbf9dc08518114d3c1328343bc55b77aa6dc1c400cec77bbdd730c3f853d","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 20","A","326.777","54.463","6","","","","","","","","","","","","","","","","","","0.000","0.000","0","326.777","54.463","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","4b41aab551dd5963369d5d6c772fbe316cd8c2c012a1e3a665053b2726d13344","1-f40dcf516b077467c80fce4a74f28ed7cbc10a2979b70ff091045050a27a0d8c","","","","","","","","","","","","","","","","0-74a6bbf9dc08518114d3c1328343bc55b77aa6dc1c400cec77bbdd730c3f853d","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 30","A","1369.289","76.072","18","363.141","121.047","3","","","","","","","","","","","","","","","0.000","0.000","0","1732.43","82.497","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","4b41aab551dd5963369d5d6c772fbe316cd8c2c012a1e3a665053b2726d13344","2-39d90cbf8a9d0c6f511da6130a4966ce12114a25f911ea2c641135f079ef540a","Northrop Grumman","Rancho Bernardo, CA","0.08","0.50","0.42","12","3","25","28","12","0","0","0","14","0-74a6bbf9dc08518114d3c1328343bc55b77aa6dc1c400cec77bbdd730c3f853d","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 40","A","930.877","84.625","11","","","","","","","","","","","","","","","","","","0.000","0.000","0","930.877","84.625","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","4b41aab551dd5963369d5d6c772fbe316cd8c2c012a1e3a665053b2726d13344","3-9e75de05ee19db6db2688a3c9ad87c0278aafb577228d58f0b8400330da826ae","Northrop Grumman","Rancho Bernardo, CA","0.08","0.50","0.42","12","3","29","32","12","0","0","0","7","0-74a6bbf9dc08518114d3c1328343bc55b77aa6dc1c400cec77bbdd730c3f853d","root.record.ItemExhibitList.P5Item"
"Common Ground Station","A","218.212","109.106","2","","","","","","","","","","","","","","","","","","0.000","0.000","0","218.212","109.106","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","4b41aab551dd5963369d5d6c772fbe316cd8c2c012a1e3a665053b2726d13344","0-543d68d0e553780062d89c97f535f261b00411f336e913dcaac75d92d1dd7905","Northrop Grumman","Rancho Bernardo, CA","0.08","0.17","0.08","2","5","4","9","2","0","0","0","0","1-96bed453c901b5c1065defe287f5a69ef7b89830fff1aba0cc057cb6a7c7d6bb","root.record.ItemExhibitList.P5Item"
"Other Support Costs","A","648.66","","","85.722","","","","","","","","","","","","","","","","","0.000","","","734.382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e6cf04839ccb65bca45c6fcccad56ca79fbf41058e688264e4f8fa2a24f34ffa","0-28fdc4726b14a3a2e62e4ffd6b535cc88af60af5a6216ee35dfe55338b768f89","","","","","","","","","","","","","","","","0-bb6f8c1d5ed9faf1019c50addaf7e3fce098d5a57b67c908821010f61e52d035","root.record.ItemExhibitList.P5Item"
"Production Support - Other (PSO)","A","1258.306","","","0.000","","","","","","","","","","","","","","","","","0.000","","","1258.306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e6cf04839ccb65bca45c6fcccad56ca79fbf41058e688264e4f8fa2a24f34ffa","1-8d5802f809212f3f1b4ef2f3eabaadcba804fe4ed4ffead4b2e38b4c49b80384","","","","","","","","","","","","","","","","0-bb6f8c1d5ed9faf1019c50addaf7e3fce098d5a57b67c908821010f61e52d035","root.record.ItemExhibitList.P5Item"
"FASTeR / PALS (ICS)","A","2338.277","","","","","","","","","","","","","","","","","","","","0.000","","","2338.277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e6cf04839ccb65bca45c6fcccad56ca79fbf41058e688264e4f8fa2a24f34ffa","2-095fcccd4e15490eec9923d4db8071d8c55f9b04b248a8cd258cc110b6d33a04","","","","","","","","","","","","","","","","0-bb6f8c1d5ed9faf1019c50addaf7e3fce098d5a57b67c908821010f61e52d035","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 10","A","324.974","46.425","7","","","","","","","","","","","","","","","","","","0.000","0.000","0","324.974","46.425","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c7c6d00203955f967ca1e12a0c654fc7454b59fa0b67d85d18a4e4ca82ed730f","0-5266d886d95a26f6a8a430746a0aec75df1f53c00327b3a6033f4c3455afb3a1","","","","","","","","","","","","","","","","0-0e9baa4c14b64c12812100dac1f7c6276572a9d716e14e1589b560345f7d14a2","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 20","A","326.777","54.463","6","","","","","","","","","","","","","","","","","","0.000","0.000","0","326.777","54.463","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c7c6d00203955f967ca1e12a0c654fc7454b59fa0b67d85d18a4e4ca82ed730f","1-57a707c12df6bfb90cadfb57772e80321a082d83ec3ed6bc473a9da11a315e9b","","","","","","","","","","","","","","","","0-0e9baa4c14b64c12812100dac1f7c6276572a9d716e14e1589b560345f7d14a2","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 30","A","1369.289","76.072","18","363.141","121.047","3","","","","","","","","","","","","","","","0.000","0.000","0","1732.43","82.497","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c7c6d00203955f967ca1e12a0c654fc7454b59fa0b67d85d18a4e4ca82ed730f","2-e07bd427e505af1cfa571d321736ae49504c5a7a448d9d92d3b26afb25d6793c","Northrop Grumman","Rancho Bernardo, CA","0.08","0.50","0.42","12","3","25","28","12","0","0","0","14","0-0e9baa4c14b64c12812100dac1f7c6276572a9d716e14e1589b560345f7d14a2","root.record.ItemExhibitList.P5Item"
"Global Hawk Block 40","A","930.877","84.625","11","","","","","","","","","","","","","","","","","","0.000","0.000","0","930.877","84.625","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c7c6d00203955f967ca1e12a0c654fc7454b59fa0b67d85d18a4e4ca82ed730f","3-efc43253b53c61b908e7f899a8350848f80ee6a1f6de0ed5c5b15e6edc817579","Northrop Grumman","Rancho Bernardo, CA","0.08","0.50","0.42","12","3","29","32","12","0","0","0","7","0-0e9baa4c14b64c12812100dac1f7c6276572a9d716e14e1589b560345f7d14a2","root.record.ItemExhibitList.P5Item"
"Common Ground Station","A","218.212","109.106","2","","","","","","","","","","","","","","","","","","0.000","0.000","0","218.212","109.106","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c7c6d00203955f967ca1e12a0c654fc7454b59fa0b67d85d18a4e4ca82ed730f","0-6f1432806c96c8843ce169a00b81627d8425ea4399628aa422dd046077721ea5","Northrop Grumman","Rancho Bernardo, CA","0.08","0.17","0.08","2","5","4","9","2","0","0","0","0","1-4c40a7077e6c29a77d3ce28c63dd0a22948635992f8527799824f031974f8d82","root.record.ItemExhibitList.P5Item"
"Sedan -1","A","0.161","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","e5c07248140d72d9b5dea8974d6d5f68c27551826c109b54444a8653264410f0","0-78624bfab75438643827fc924710c141d8f7414ea9f0a383b293d26220fb2f3d","","","","","","","","","","","","","","","","0-fcf52169ff85081717da2134d3bbfd4b8a0c060ada7b9f528626ff9724534265","root.record.ItemExhibitList.P5Item"
"Sedan -2","A","0.163","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","e5c07248140d72d9b5dea8974d6d5f68c27551826c109b54444a8653264410f0","1-6bd0162e6d980b8a7287f6429dfbfa30064196e4ac292bca819e04555cc98b69","","","","","","","","","","","","","","","","0-fcf52169ff85081717da2134d3bbfd4b8a0c060ada7b9f528626ff9724534265","root.record.ItemExhibitList.P5Item"
"Station Wagon","A","0.035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","e5c07248140d72d9b5dea8974d6d5f68c27551826c109b54444a8653264410f0","2-e1073dffc5582b14a3c62325eb6b777e693f70fc614d55512b9efcb8a3914d57","","","","","","","","","","","","","","","","0-fcf52169ff85081717da2134d3bbfd4b8a0c060ada7b9f528626ff9724534265","root.record.ItemExhibitList.P5Item"
"Van-Wagon","A","0.059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","e5c07248140d72d9b5dea8974d6d5f68c27551826c109b54444a8653264410f0","3-15a61b17ec248340ecc68897893af3d543b53876fc7cd339aacd4f37e3334917","","","","","","","","","","","","","","","","0-fcf52169ff85081717da2134d3bbfd4b8a0c060ada7b9f528626ff9724534265","root.record.ItemExhibitList.P5Item"
"Van-Wagon (8 passenger)","A","0.221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","e5c07248140d72d9b5dea8974d6d5f68c27551826c109b54444a8653264410f0","4-32848df498e37479af90ef4538d84e8f97ea04cbaf770fc096c21c30369e077f","","","","","","","","","","","","","","","","0-fcf52169ff85081717da2134d3bbfd4b8a0c060ada7b9f528626ff9724534265","root.record.ItemExhibitList.P5Item"
"Van-Wagon (16 passenger)","A","0.047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","e5c07248140d72d9b5dea8974d6d5f68c27551826c109b54444a8653264410f0","5-83509e346291e394c0518ecec58bc75838b3a44e07a3b0dbcbdf666094d93c4f","","","","","","","","","","","","","","","","0-fcf52169ff85081717da2134d3bbfd4b8a0c060ada7b9f528626ff9724534265","root.record.ItemExhibitList.P5Item"
"Suburban","A","0.086","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","e5c07248140d72d9b5dea8974d6d5f68c27551826c109b54444a8653264410f0","6-c3be38f84059784dfc9150ca361e1f19f118c24fa2ff9fc208c39c65eca10200","","","","","","","","","","","","","","","","0-fcf52169ff85081717da2134d3bbfd4b8a0c060ada7b9f528626ff9724534265","root.record.ItemExhibitList.P5Item"
"Sport Utility Vehicle","A","0.218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","e5c07248140d72d9b5dea8974d6d5f68c27551826c109b54444a8653264410f0","7-bb98f8d2e86ee78d5d341f7574582ec244e918bf46afb8647e844eed2fd22cc7","","","","","","","","","","","","","","","","0-fcf52169ff85081717da2134d3bbfd4b8a0c060ada7b9f528626ff9724534265","root.record.ItemExhibitList.P5Item"
"Sport Utility Vehicle (4x4)","A","0.288","","","0.2","0.05","4","0.05","0.05","1","0.1","0.05","2","","0.1","0.05","2","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","e5c07248140d72d9b5dea8974d6d5f68c27551826c109b54444a8653264410f0","8-84d1b7a16d587f578fd910787169c100c7123bad34d2d9b6b306ec87e038693d","Various","Various","","","","","","","","","","","","","0-fcf52169ff85081717da2134d3bbfd4b8a0c060ada7b9f528626ff9724534265","root.record.ItemExhibitList.P5Item"
"Passenger-Carrying Crew Cab Truck (4x)","A","0.041","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","e5c07248140d72d9b5dea8974d6d5f68c27551826c109b54444a8653264410f0","9-28d0954e8a6dba5d0a6279fc2b918d70b5b383e6e209431f2eb4b2ab3d69f932","","","","","","","","","","","","","","","","0-fcf52169ff85081717da2134d3bbfd4b8a0c060ada7b9f528626ff9724534265","root.record.ItemExhibitList.P5Item"
"Bus","A","0.052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_DTRA-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Threat_Reduction_Agency_PB_2014.xml","e5c07248140d72d9b5dea8974d6d5f68c27551826c109b54444a8653264410f0","10-b2f648032ca3a665390d8f69211fea1ae95e94364c829a59f78daed0eaf88afc","","","","","","","","","","","","","","","","0-fcf52169ff85081717da2134d3bbfd4b8a0c060ada7b9f528626ff9724534265","root.record.ItemExhibitList.P5Item"
"Sedan -1","A","0.161","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","cb9726bb5886bbb4d5fbd9a27b2f81d23f2bb0160876e23b4d49c64e3c94012d","0-2ae0c8d433e3d26c997d0bd92c77b50b3f79cea413bdcb7347a82dd38aaf68e5","","","","","","","","","","","","","","","","0-043af730d08f989ad8e5f05a32c070645dd2505a5beec5d349b4fc987511abcc","root.record.ItemExhibitList.P5Item"
"Sedan -2","A","0.163","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2014.xml","cb9726bb5886bbb4d5fbd9a27b2f81d23f2bb0160876e23b4d49c64e3c94012d","1-0e4ae06292da6366a0dbcd539adffc3c1e3a6725d8af47eedcc710492416908e","","","","","","","","","","","","","","","","0-043af730d08f989ad8e5f05a32c070645dd2505a5beec5d349b4fc987511abcc","root.record.ItemExhibitList.P5Item"
