Name_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_AllPriorYears_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","","110.981","","22.145","23.09","","","","23.09","","64.998","","25.771","","13.351","","10.734","","339.559","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","d70fb92aabb09ca41325ce707a1ace9d77c43287dfb237c049a94e23b4c72d42","0-018d3ec77db31343e053cf6a35295427a6015186131fbd34c3740ab6881ecbd5","646-a6dd032da0d2c1e25042514c6afe36910dcc0959eec758a69211f5805fbe25b3","root"
"Air National Guard","","17.092","","2.156","2.883","","","","2.883","","4.154","","7.828","","0.325","","0.545","","47.811","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","d70fb92aabb09ca41325ce707a1ace9d77c43287dfb237c049a94e23b4c72d42","1-0dabdd0e1ab73012dbd9cd6f46994048f0b15aa5ccbf814f79425a79c4aae8dc","646-a6dd032da0d2c1e25042514c6afe36910dcc0959eec758a69211f5805fbe25b3","root"
"Air Force Reserve","","15.098","","1.926","1.681","","","","1.681","","4.52","","4.785","","0.342","","0.447","","32.731","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","d70fb92aabb09ca41325ce707a1ace9d77c43287dfb237c049a94e23b4c72d42","2-f3e583a31841f31e03e666e9d223a2b9cd2fc0c6b37865b3624af84d5bb4d02c","646-a6dd032da0d2c1e25042514c6afe36910dcc0959eec758a69211f5805fbe25b3","root"
"Air Force Active","","10.445","","45.785","19.367","","","","19.367","","0.151","","0.101","","","","","","394.666","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","549449a08c328ad3d6dd934ea912af18a7ca6f756a7a66ae6204fef682f5ea76","0-7a1ab3983962c1a9d6fcd3d4ae41b17aa4878831c82b1cb99d1bd065f38e05f8","647-ce71c8f4b7b0ace9d169fd3df49c3e824e4f8e885fde66d9acc257253ab602cc","root"
"Air National Guard","","1.404","","26.528","23.389","","","","23.389","","0.000","","0.000","","","","","","167.399","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","549449a08c328ad3d6dd934ea912af18a7ca6f756a7a66ae6204fef682f5ea76","1-31490ae99403801ea3d444d3ae41979092a45d94c7acdfe724c768e0baa6c5b5","647-ce71c8f4b7b0ace9d169fd3df49c3e824e4f8e885fde66d9acc257253ab602cc","root"
"Air Force Reserve","","0.679","","17.606","4.842","","","","4.842","","0.000","","0.000","","","","","","111.212","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","549449a08c328ad3d6dd934ea912af18a7ca6f756a7a66ae6204fef682f5ea76","2-6217443b19b3401f195d0fbf240b3baddcc22eff47649c685d74131ec4704752","647-ce71c8f4b7b0ace9d169fd3df49c3e824e4f8e885fde66d9acc257253ab602cc","root"
"Air Force Active","","89.177","","9.257","9.313","","","","9.313","","8.847","","9.446","","6.444","","6.56","","474.903","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","a5ade56b37f23458602a9ae002398ab1e700ad8374487eaf7e6309ca95068c9a","0-8b991fad0b986b43429b07855dba80351ed7e89443075e9771fa3fbba713c69a","648-d1a17d2bcc6b43ad0cf0ee9bf6b9d43a93ac39ec20a7a33d0748eead561f04ef","root"
"Air Force Active","","34.431","","27.026","16.3","","","","16.3","","13.369","","12.12","","6.057","","4.13","","3.891","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","fd49480b3f34f7dfc61e0498ff6327e953a83b23db9a63cebb57a0679750f0d7","0-b8bfbf36873bea5ffa899eab1e47be5996542c8e3c99a880c99bb59b50db2004","649-3be034fe7c00fa732609a12f346b6dfc941f4b3718a4cf9d89e4969e717006f0","root"
"Air Force Active","","79.779","","17.84","6.894","","","","6.894","","44.069","","29.997","","16.032","","15.301","","102.08","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","333e9ee39340455c0b456676d969b2886a0375196c6e561f0f307518c38d83be","0-bce2a8b37f48957cfba4c2499512f2c4c92ae751c2b13aeac0e6c31c723936df","650-c08fac6990b4665a7600131a31b380c05efa8e4d7311c7f7d4cb66e35b1a1fae","root"
"Air National Guard","","3.303","","0.992","0.054","","","","0.054","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","333e9ee39340455c0b456676d969b2886a0375196c6e561f0f307518c38d83be","1-81c57337945c62136ae9f6e645bba43827f31c1b2d7399e5b953b7fa3d5c4606","650-c08fac6990b4665a7600131a31b380c05efa8e4d7311c7f7d4cb66e35b1a1fae","root"
"Air Force Active","","161.246","","30.861","9.734","","","","9.734","","4.8","","3.2","","","","","","291.889","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","b235bd04a4ed5e3499eed5a4ec81895e522fc2a3a559c49d14a184f286754523","0-ad177ff617eca04554d53a67297097f0e34803b176650b79b05fc8e95ea4b3d2","651-e32e9ac6dcf74df85698b95d9293e59e8b13e8146841dfaed8e5e07216ea1126","root"
"Air Force Active","","110.744","","238.36","102.97","","","","102.97","","104.102","","128.052","","205.537","","160.998","","105.202","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","5b8c341aa09841abaf98be607d8e094c78c63cf862e4ff920de38179d6b5587b","0-25d42fc2f4d19ef83243de10115a773f1ba7844dbe415ff4373c593d58717fd2","652-c2e9d9edb9147b52c9da15a31602888a03e95969b884f5bf46a8cbb7873c5b41","root"
"Air Force Active","","74.611","","93.461","","","","","","","","","0.000","","0.000","","0.000","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","ba5085b20b3e504e4ccc1e56367f2944bb0ac5eeedecaa4644e3c3d5e59ea17a","0-09e7c5b08e4e45aa82af3d24fab05f077239ab19d940cfad628ba08245edfe0b","653-ff9d1ba2185504a7d89b6f58d02571dbadf52302b779e8e901beb5098e44871b","root"
"Air Force Active","","","","0.000","30","","","","30","","32.7","","21.801","","10","","10.18","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","408c492aad2565e84f421b56bf4cdbe4a07281d66b4d11001af37b8fea281e12","0-1bfaec1da1275681df8f65f8eb1ef6fac480ecf333648f9e23c3fa081b5e77c3","654-83adcf927537d1a93b448e7500dc7614cbd8d19a3b0751f60797ced875d53d4d","root"
"Air Force Active","","17.657","","23.881","23.31","","","","23.31","","101.355","","70.959","","73.241","","74.522","","84.866","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","5c7234855bfa8ab5a338693e859871f6cc1446192142d73797c7b4e0d1a8396b","0-4a4de20153bcaaab6f7222ca1609a452a2e37062fe87e86da23eeed749a9aefb","655-abe4572019ad3817a8121016680abba721bf870e1677430d263b688d3ce86b48","root"
"Air Force Active","","200.453","","145.362","297.455","","","","297.455","","403.44","","436.61","","351.191","","406.122","","657.917","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6c1d9c7a43cec325d7930222a9fe190a888c5a364802fa615061c4558ddfae60","0-7f04c8e10d9b751a3c30694e097df8b28d9e7ee48ac4a6b80adc318a29485262","656-0598977148f7b2fc7fbdb21a5d1d02458d634df20e31e2c72ff2929de2ef1f3b","root"
"Air National Guard","","55.133","","3.016","57.169","","","","57.169","","94.074","","81.763","","21.029","","68.957","","210.694","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6c1d9c7a43cec325d7930222a9fe190a888c5a364802fa615061c4558ddfae60","1-27528b10e63e4806f7cb5e88755604a57952d3a18170c3dd99b9801b74a3b91d","656-0598977148f7b2fc7fbdb21a5d1d02458d634df20e31e2c72ff2929de2ef1f3b","root"
"Air Force Reserve","","","","","0.000","","","","0.000","","0.000","","0.000","","0.000","","0.000","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6c1d9c7a43cec325d7930222a9fe190a888c5a364802fa615061c4558ddfae60","2-c18155aeab67119678f3605b51ad8fe65e927ff7de80196283bbf251f97291ac","656-0598977148f7b2fc7fbdb21a5d1d02458d634df20e31e2c72ff2929de2ef1f3b","root"
"Air Force Active","","42.959","","5.18","11.166","","","","11.166","","18.296","","12.459","","26.425","","208.046","","757.564","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","ea29064b3ca1a8bd5eace68c6f0561db4d54e275d81983ad0160d5b991a3df9d","0-ca563b0a593220e511cfe260862ae590d55e06877502d9800cfbd8d6dba14cc2","657-e9a3006f3bb40d565b242173792a8b163720ed77e8230e2518b6ae9962a2c272","root"
"Air National Guard","","12.699","","1.677","0.604","","","","0.604","","1.841","","1.684","","1.494","","40.593","","254.028","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","ea29064b3ca1a8bd5eace68c6f0561db4d54e275d81983ad0160d5b991a3df9d","1-7dc76334497c4b01924b36a8af96428c210a29e34a765e5d213907aa72985f23","657-e9a3006f3bb40d565b242173792a8b163720ed77e8230e2518b6ae9962a2c272","root"
"Air Force Reserve","","1.088","","0.039","0.024","","","","0.024","","","","","","","","","","27.463","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","ea29064b3ca1a8bd5eace68c6f0561db4d54e275d81983ad0160d5b991a3df9d","2-731b7e016b0541af6bbbcf2b7d913299010a2c3d77b5e7c4180cb9f7e7fd51c7","657-e9a3006f3bb40d565b242173792a8b163720ed77e8230e2518b6ae9962a2c272","root"
"Air Force Active","","203.157","","236.65","255.322","","","","255.322","","205.274","","150.717","","239.714","","179.067","","1176.455","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","b12d5a01b7ace282920ee4cd1a8a505840616fd0564da6061bde25ce369cffe3","0-5d7b06438013da4d2f207fd577892a2e65ac8df735ef69c81cbc4ccaeb3e8915","658-1128364353d54725c92845218cb05f47f78cb99c7878d2668bd64d4531390e7c","root"
"Air National Guard","","30.064","","47.22","30.508","","","","30.508","","32.31","","34.063","","16.409","","16.068","","268.202","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","b12d5a01b7ace282920ee4cd1a8a505840616fd0564da6061bde25ce369cffe3","1-d46c989e322500ac8fef0a5eb2b1fbc367825aea52fee0f63b94729e87eb66c6","658-1128364353d54725c92845218cb05f47f78cb99c7878d2668bd64d4531390e7c","root"
"Air Force Active","","","","147.995","157.777","","","","157.777","","245.462","","223.683","","252.141","","256.68","","4.61","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","1f4dc8bad0928649f2cf60ad3d100a1abfcc28f946cdda80b6dbffce8053e417","0-1a36e27495c75ba5a5a6134206cd8f25362f4063ac7ae4e97e9ad968b4a90ce6","659-3ce1fa9e7a8a30e9e247530e3ca46b0c7af160218a628fa189931bbbd5a4e38a","root"
"Air Force Active","","36.587","","6.967","2.456","","","","2.456","","20.267","","46.828","","43.831","","46.249","","255.52","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","1ad2b442a3f53d942284b6c85376fe7ee4dc759fb1543ef72d4b98a7991dd181","0-b748105ff80255fab14b9a4209566667ca3f6fabddbb4e77fb8efe82f3a614c9","660-5e8c00494019809c9a9f846fda2080cd44d9bc8f600e46508f36bed67b1c8baa","root"
"Air National Guard","","0.000","","0.000","","","","","","","","","","","","","","","11.993","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","1ad2b442a3f53d942284b6c85376fe7ee4dc759fb1543ef72d4b98a7991dd181","1-1838b36fa99b5cba5763eea64516a8dae946baab0b2380f3b3ed46150a856183","660-5e8c00494019809c9a9f846fda2080cd44d9bc8f600e46508f36bed67b1c8baa","root"
"Air Force Reserve","","34.453","","0.000","0.000","","","","0.000","","","","0.000","","3.19","","1.62","","64.606","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","1ad2b442a3f53d942284b6c85376fe7ee4dc759fb1543ef72d4b98a7991dd181","2-b546e521effa050bab1aaf109a48cd549b8fafd54738e8f579ff8bbef8a92206","660-5e8c00494019809c9a9f846fda2080cd44d9bc8f600e46508f36bed67b1c8baa","root"
"Air Force Active","","472.237","","0.000","0.000","","","","0.000","","0.000","","0.000","","0.000","","0.000","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","4fcdb6a08be0be7a75baa7632f4eac52711266acebbb73067b22294132632fbc","0-27dcca64d0a790639957a4d519708cd5d489ea69b4079fb90115a702826114fe","663-413c9ab63620432c11a6b937bb303ad24929f80ba328b4b2130b43aca0f1a80e","root"
"Air National Guard","9","7.659","","0.000","0.000","","","","0.000","","0.000","","0.000","","0.000","","0.000","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","4fcdb6a08be0be7a75baa7632f4eac52711266acebbb73067b22294132632fbc","1-aa07fae1226aeb1ed7cba6972a05f9b5afd4220bf76d595b0ac81b4482c9c746","663-413c9ab63620432c11a6b937bb303ad24929f80ba328b4b2130b43aca0f1a80e","root"
"Air Force Active","","112.861","","52.495","47.484","","","","47.484","","8","","8","","8","","8.144","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","c8f31e33d85c2ae7b9ea6f5b7434c9ce9975a166d18248001748d2083cabb5e1","0-1133a7ea9925b1a980d7a87afca79e74bf5421e2c1b774fed097f308340b4f8b","682-4b3f631e45699a3ecdf01ebb339fbd2899623c740e0e7c8be9df9b0ed21f896a","root"
"Air National Guard","","14.148","","2.26","1.26","","","","1.26","","0.000","","0.000","","0.000","","0.000","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","c8f31e33d85c2ae7b9ea6f5b7434c9ce9975a166d18248001748d2083cabb5e1","1-630a9718c2531430eacd734452a3fcbab2cbd22a2fdc471b09c2e83bbc0266bc","682-4b3f631e45699a3ecdf01ebb339fbd2899623c740e0e7c8be9df9b0ed21f896a","root"
"Air Force Reserve","","6.11","","1.787","0.397","","","","0.397","","0.000","","0.000","","0.000","","0.000","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","c8f31e33d85c2ae7b9ea6f5b7434c9ce9975a166d18248001748d2083cabb5e1","2-43c3c831ef8d0968035040e2ab90ef5f76da4cc692e9cac2af8cf828fedbcd1d","682-4b3f631e45699a3ecdf01ebb339fbd2899623c740e0e7c8be9df9b0ed21f896a","root"
"Air Force Active","","472.237","","0.000","0.000","","","","0.000","","0.000","","0.000","","0.000","","0.000","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","34c9d373835001939b87d62096d125596d1c7d23fdc0222462b482644a61cbb9","0-30170e1a7a66ccbb0b85f4fc10b3d51b70a05cae2fab192088c623314a0c1875","710-618806e61b3672088655d8f5b6edf100b87db7ec641b621a750ff028c05b5a8b","root"
"Air National Guard","9","7.659","","0.000","0.000","","","","0.000","","0.000","","0.000","","0.000","","0.000","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","34c9d373835001939b87d62096d125596d1c7d23fdc0222462b482644a61cbb9","1-f001ca95743897f7ad0d0c199ad6cf557b9204aa5363fef46a0907f2c289bd62","710-618806e61b3672088655d8f5b6edf100b87db7ec641b621a750ff028c05b5a8b","root"
"Air Force Active","","112.861","","52.495","47.484","","","","47.484","","8","","8","","8","","8.144","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","2e21f726367d918b2eb5cbfcf3589ef44017d35b4ba706d8541e8cb65c1c9e9b","0-c523e44b6c521d060e60e97619b3ad0c6a38e9b9674865abaaca620010d32193","729-57639578507e4a7633f657dd0d8171bad6228ccda5d92f5786e1c51749e9fa42","root"
"Air National Guard","","14.148","","2.26","1.26","","","","1.26","","0.000","","0.000","","0.000","","0.000","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","2e21f726367d918b2eb5cbfcf3589ef44017d35b4ba706d8541e8cb65c1c9e9b","1-2b6f969cb940688583cb8049aea0d9475fd17f9b26162e7aea1b6093f6813c8b","729-57639578507e4a7633f657dd0d8171bad6228ccda5d92f5786e1c51749e9fa42","root"
"Air Force Reserve","","6.11","","1.787","0.397","","","","0.397","","0.000","","0.000","","0.000","","0.000","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","2e21f726367d918b2eb5cbfcf3589ef44017d35b4ba706d8541e8cb65c1c9e9b","2-904aa0548452d77c19dcf46be57c50fa9ad682bde54c44a439e2cab0bb1dffcc","729-57639578507e4a7633f657dd0d8171bad6228ccda5d92f5786e1c51749e9fa42","root"
"Air Force Active","","472.237","","0.000","0.000","","","","0.000","","0.000","","0.000","","0.000","","0.000","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","be7fe09ae728a1600d0f7bf67edbd3753adecb9fdb0367a0f862cacbdfa2e0a1","0-e3df3f351f4f4d6aaa0c88cb5e488b20a84c1b6b41f9b3c55f9e52889262fac3","757-2477859de7c82a98d6779cd6a8d59b7ee95ea5c609c0e00e535fcbcda8ced9d4","root"
"Air National Guard","9","7.659","","0.000","0.000","","","","0.000","","0.000","","0.000","","0.000","","0.000","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","be7fe09ae728a1600d0f7bf67edbd3753adecb9fdb0367a0f862cacbdfa2e0a1","1-985acfc5bf6aa59b844036364e6661bc2203b330d686eea3312e07df73b1d6a9","757-2477859de7c82a98d6779cd6a8d59b7ee95ea5c609c0e00e535fcbcda8ced9d4","root"
"Air Force Active","","112.861","","52.495","47.484","","","","47.484","","8","","8","","8","","8.144","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","3d1eb3c5666747a9d92f661ece888887cc86048cbc0f8f078ea392b035733c0d","0-0ddaf3cbe90704c505254ddd134171d16da601b293518f2480cb1e143ba93452","776-f161459c462e663b8e68024bc1efe91ac4b734ae4beefdaa1b6f7654bf02bd85","root"
"Air National Guard","","14.148","","2.26","1.26","","","","1.26","","0.000","","0.000","","0.000","","0.000","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","3d1eb3c5666747a9d92f661ece888887cc86048cbc0f8f078ea392b035733c0d","1-1622f8f29ab1f3583952e823120708f47e6762e2e06f84dc973d4230c8c3430f","776-f161459c462e663b8e68024bc1efe91ac4b734ae4beefdaa1b6f7654bf02bd85","root"
"Air Force Reserve","","6.11","","1.787","0.397","","","","0.397","","0.000","","0.000","","0.000","","0.000","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","3d1eb3c5666747a9d92f661ece888887cc86048cbc0f8f078ea392b035733c0d","2-fcc5478ab37e58563978d337d0725fb5bac84775d4bb225c611cdb95d86e2bbf","776-f161459c462e663b8e68024bc1efe91ac4b734ae4beefdaa1b6f7654bf02bd85","root"
"Air Force Active","","77.003","","82.296","20.019","","","","20.019","","24.195","","48.018","","45.819","","36.767","","721.733","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c9f56a17bd2d45f0659fd456ff24b06436253ab7e39b63366c74a353cfc68ecc","0-ba7e98fad3eecc04fb7b36a2fc7cbb38eacc3dd43e68e7f5b362346d38c00df8","802-81bf233de9f62682a6b6599db0217a41ac7235a022c395a3e3ca9e253a9711a7","root"
"Air Force Active","","198.007","","149.756","132.222","","","","132.222","","141.643","","130.423","","102.804","","70.212","","358.329","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","dee812a4233ee6ee10b79871ece8610e5d80c64a6aa6a37ffa1a79a15e218d6d","0-25fa1dddad48751a503d5da2336bbdc74bbca5222b99a52a58ebed5fd147f803","803-fd7adf8d7bb3ba09b9b01962b4e843e622bbbd7c0958fc8b521cef82b25b6e4a","root"
"Air Force Active","","851.47","","685.289","321.353","","","","321.353","","70.286","","","","","","","","672.717","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","f6d35d337df00a38d4e6bc727f80bd909959017ccb936fd9d7d7a292ebde4ab3","0-e015f445721bece57ea5ca57de7f18af86f2d3131d77835516132df600862e0b","804-22e53593de7740e28dd59cb688e90a012aeb39bd6ab8f646b95cf5bbc1731cb6","root"
