Name_val,WhenRequiredInMonths_val,Cost_AllPriorYears_val,Cost_PriorYear_val,Cost_Total_val,Cost_CurrentYear_val,Cost_BudgetYearOne_val,Cost_BudgetYearTwo_val,Cost_BudgetYearThree_val,Cost_BudgetYearFour_val,Cost_BudgetYearFive_val,Cost_ToComplete_val,Cost_Continuing_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,QuantityPerAssembly_val,ForFY_val,SCNProductionLeadtime_val,@PARENTROWID,@PARENT
"Beacon Shutter Actuator","11","4.494","0.543","","0.543","","","","","","","","See End Item P-5A/NA","See End Item P-5A","","","","","2016-BASE_PROCUREMENT-2016-ARMY_MISSLE-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","a165d0be6144e6f49e80b5586363567ae0ec4790d0f3b569f3260420117a3760","7-bc37ca977043ad59688ec1f74e4ad398dbc90f0db47dcae317693511d5462801","","","","0-9764632d7fc19a5a5d00ba7b7093fb13b69a238daaed889d152d8f582124df15","root.record.ItemExhibitList.P5Item"
"CFE","6","342.743","125.162","","114.494","116.685","","","","","","","See End Item P-5A/NA","See End Item P-5A","6","6","","","2017-BASE_PROCUREMENT-2017-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","1f70a6b78589233ad91d21a4ae69bce2801aaf1036db7b0daab5a6799826990c","0-a711caf5bb8079d71950c0aaf9d71e6987a685117a1ca0ad7785b54b1d37ce5b","26","","6","0-4755d6520c5a8e24fcb9feead025920430f80d2e2129994c6cecbd7b44ee91a1","root.record.ItemExhibitList.P5Item"
"GFE","6","342.743","32.176","","95.436","68.475","","","","","","","See End Item P-5A/NA","See End Item P-5A","6","6","","","2017-BASE_PROCUREMENT-2017-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","1f70a6b78589233ad91d21a4ae69bce2801aaf1036db7b0daab5a6799826990c","1-52525a3f5bcaa8b1e268fa091c7a500be4a6962789b2260bddf3870dee380c11","26","","6","0-4755d6520c5a8e24fcb9feead025920430f80d2e2129994c6cecbd7b44ee91a1","root.record.ItemExhibitList.P5Item"
"CFE Airframe","6","555.772","31.94","","76.875","112.975","","","","","","","See End Item P-5A/NA","See End Item P-5A","18","18","","","2017-BASE_PROCUREMENT-2017-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","2bd4c0a1589e46892f050588acb05b9acd9f0eba50d9b990b2593abe3dddb364","0-f36e4fd7c07b3a49c260d2232a8c579316aa5f3085c0bce4a83652b89900ab12","1","","18","0-bfd76f5a392d8e8cffa06a760d4755a93525449ff7c2342fbe0c2b59274e3751","root.record.ItemExhibitList.P5Item"
"Auxiliary Power Unit","3","27.851","4.347","","2.56","3.133","","","","","","","See End Item P-5A/NA","See End Item P-5A","6","6","","","2017-BASE_PROCUREMENT-2017-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","2bd4c0a1589e46892f050588acb05b9acd9f0eba50d9b990b2593abe3dddb364","1-3e5aa53d375d2cd77b77ac6685377a6f02fd1dc59de5f9759e7208efbff2d8aa","1","","6","0-bfd76f5a392d8e8cffa06a760d4755a93525449ff7c2342fbe0c2b59274e3751","root.record.ItemExhibitList.P5Item"
"Engines","3","432.92","66.798","","39.368","47.953","","","","","","","See End Item P-5A/NA","See End Item P-5A","14","14","","","2017-BASE_PROCUREMENT-2017-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","2bd4c0a1589e46892f050588acb05b9acd9f0eba50d9b990b2593abe3dddb364","2-5e7dd1e1c29c46ff2816e45865003ffe9390a84da641214e1492dd3966117e59","2","","14","0-bfd76f5a392d8e8cffa06a760d4755a93525449ff7c2342fbe0c2b59274e3751","root.record.ItemExhibitList.P5Item"
"EGI","3","66.489","10.79","","6.354","7.705","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","2017-BASE_PROCUREMENT-2017-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","2bd4c0a1589e46892f050588acb05b9acd9f0eba50d9b990b2593abe3dddb364","3-f2737f1cad151862896a64751e5c27e9c09749cb27996bd6dfbecabd7b277661","2","","12","0-bfd76f5a392d8e8cffa06a760d4755a93525449ff7c2342fbe0c2b59274e3751","root.record.ItemExhibitList.P5Item"
"Heads Up Display AVS-7","3","21.773","3.263","","1.922","2.341","","","","","","","See End Item P-5A/NA","See End Item P-5A","9","9","","","2017-BASE_PROCUREMENT-2017-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","2bd4c0a1589e46892f050588acb05b9acd9f0eba50d9b990b2593abe3dddb364","4-f7bcb02cd37a2ff4a433262a0bd33534dcc96eae75c04ee71705c9682c5d87cb","1","","9","0-bfd76f5a392d8e8cffa06a760d4755a93525449ff7c2342fbe0c2b59274e3751","root.record.ItemExhibitList.P5Item"
"Hover Infrared Suppressor","1","28.959","","","0","","","","","","","","See End Item P-5A/NA","See End Item P-5A","1","1","","","2017-BASE_PROCUREMENT-2017-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","2bd4c0a1589e46892f050588acb05b9acd9f0eba50d9b990b2593abe3dddb364","5-e53df6e40b52cfd67d4c6ba2f6f5e2ea842d339072a5fe03422cba2913471336","","","1","0-bfd76f5a392d8e8cffa06a760d4755a93525449ff7c2342fbe0c2b59274e3751","root.record.ItemExhibitList.P5Item"
"Miscellaneous","1","15.651","","","0","","","","","","","","See End Item P-5A/NA","See End Item P-5A","1","1","","","2017-BASE_PROCUREMENT-2017-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","2bd4c0a1589e46892f050588acb05b9acd9f0eba50d9b990b2593abe3dddb364","6-b01be404fea2fd0c08efd062f607e181fe4bd9ecc662df0b5205b1d01d8638bc","","","1","0-bfd76f5a392d8e8cffa06a760d4755a93525449ff7c2342fbe0c2b59274e3751","root.record.ItemExhibitList.P5Item"
"eTalin 4000","12","","","","","0.651","","","","","","","See End Item P-5A/NA","See End Item P-5A","13","13","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","abc7ddfa27f1d2d1fc08f8d9bc3ce8fba2a52b95a3784cecbaf8994aa4ab9ac3","0-5e1bc703341be5aac3d134198a10c3c249b4b5d8d5ff34df618d514fb575dbc1","1","","13","0-442f54e4223eaca556b4f5809fa090a34399296d5121f2f0b4cb674b4fe9336e","root.record.ItemExhibitList.P5Item"
"Weapon Interface Unit (WIU)","12","","","","","0.783","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","abc7ddfa27f1d2d1fc08f8d9bc3ce8fba2a52b95a3784cecbaf8994aa4ab9ac3","1-0310400c3df501a7613db7afa771ffbfec8706c60adcc6aab28a007ee39860ab","1","","12","0-442f54e4223eaca556b4f5809fa090a34399296d5121f2f0b4cb674b4fe9336e","root.record.ItemExhibitList.P5Item"
"Rails","12","","","","","10.665","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","abc7ddfa27f1d2d1fc08f8d9bc3ce8fba2a52b95a3784cecbaf8994aa4ab9ac3","2-2b5d498fded19ed5db91c841776e356231f9cf0081fe8200db451745ad18b5c9","15","","12","0-442f54e4223eaca556b4f5809fa090a34399296d5121f2f0b4cb674b4fe9336e","root.record.ItemExhibitList.P5Item"
"Weapon Control Unit(WCU)","12","","","","","2.7","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","abc7ddfa27f1d2d1fc08f8d9bc3ce8fba2a52b95a3784cecbaf8994aa4ab9ac3","3-9dde94b81fb46606adadb8e928a0b744b71ec0158e3328e5c18eedc74d6718ae","15","","12","0-442f54e4223eaca556b4f5809fa090a34399296d5121f2f0b4cb674b4fe9336e","root.record.ItemExhibitList.P5Item"
"Common Power Supply (CPS)","12","","","","","0.45","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","abc7ddfa27f1d2d1fc08f8d9bc3ce8fba2a52b95a3784cecbaf8994aa4ab9ac3","4-a5751c43b13bfcf9989c9e63428b95336578018deaf8ce1be3999536ce5fdfb9","1","","12","0-442f54e4223eaca556b4f5809fa090a34399296d5121f2f0b4cb674b4fe9336e","root.record.ItemExhibitList.P5Item"
"Launch Control Unit (LCU)","12","","","","","0.45","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","abc7ddfa27f1d2d1fc08f8d9bc3ce8fba2a52b95a3784cecbaf8994aa4ab9ac3","5-417b19ec01c49576056118bbd55448f95a3cabd87617d8141a1c255b45b093cf","1","","12","0-442f54e4223eaca556b4f5809fa090a34399296d5121f2f0b4cb674b4fe9336e","root.record.ItemExhibitList.P5Item"
"SEPM","12","","","","","3.62","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","abc7ddfa27f1d2d1fc08f8d9bc3ce8fba2a52b95a3784cecbaf8994aa4ab9ac3","6-bd26710886660de18fd29cbda79881e2ed5a1d2d3b2c8b3912ba573ea6e4b411","1","","12","0-442f54e4223eaca556b4f5809fa090a34399296d5121f2f0b4cb674b4fe9336e","root.record.ItemExhibitList.P5Item"
"Guidance Section LL Items (LRIP 1)","23","","","","24.8","","","","","","","","See End Item P-5A/NA","See End Item P-5A","14","14","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","8e5e79c284bc6a2fded409e3c871f1ba2ee794aa21282c392687ee8481df7ce2","0-da13c32e67ed5907b18be9bd131443e9dd99cfbe39064c4c02116876b84ccf60","1","","14","0-8e04d8ae13e4d5ad529da895d21fdd3ee810c444360ff040ac14b60e5ff00b77","root.record.ItemExhibitList.P5Item"
"HELLFIRE Backend LL Items (LRIP 1)","23","","","","2.938","","","","","","","","See End Item P-5A/NA","See End Item P-5A","18","18","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","8e5e79c284bc6a2fded409e3c871f1ba2ee794aa21282c392687ee8481df7ce2","1-be1d231aa29a6cd2c465cb420a1d271b0c920e051878f88f27439cab9d15130f","1","","18","0-8e04d8ae13e4d5ad529da895d21fdd3ee810c444360ff040ac14b60e5ff00b77","root.record.ItemExhibitList.P5Item"
"Guidance Section LL Items (LRIP 2)","23","","","","0","28.1","","","","","","","See End Item P-5A/NA","See End Item P-5A","14","14","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","8e5e79c284bc6a2fded409e3c871f1ba2ee794aa21282c392687ee8481df7ce2","2-90b406845fc14d38a10fdcbd2148c04c55775036291bc6d64f4b0c046e326cfe","1","","14","0-8e04d8ae13e4d5ad529da895d21fdd3ee810c444360ff040ac14b60e5ff00b77","root.record.ItemExhibitList.P5Item"
"HELLFIRE Backend LL Items (LRIP 2)","23","","","","0","9","","","","","","","See End Item P-5A/NA","See End Item P-5A","18","18","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","8e5e79c284bc6a2fded409e3c871f1ba2ee794aa21282c392687ee8481df7ce2","3-d7f130457496dd5ed7f92c649af4e93673c544b918c4f923d7f7ab5693ea12ff","1","","18","0-8e04d8ae13e4d5ad529da895d21fdd3ee810c444360ff040ac14b60e5ff00b77","root.record.ItemExhibitList.P5Item"
"Launch Motor","14","9.46","0.905","","0","0.899","","","","","","","See End Item P-5A/NA","See End Item P-5A","14","14","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","b3c74fde820ba871359db2d9522d14158bcc7cc300d55daa3c70268eb1ca04a0","0-34868a6940cea2a5b6bca5d822ccc07f00997789df0ecc6034e3febfde4ea197","1","","14","0-fc1ad7f3212ff49ec9540bb6aff124abdfedf55ca9a35fac90d9d18527106d42","root.record.ItemExhibitList.P5Item"
"Flight Motor","12","2.983","0.17","","0","0.169","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","b3c74fde820ba871359db2d9522d14158bcc7cc300d55daa3c70268eb1ca04a0","1-7fd6bdff6842768a54a04503ab6af86ae2cfa5d6f898af9359b1340bec70f7ca","1","","12","0-fc1ad7f3212ff49ec9540bb6aff124abdfedf55ca9a35fac90d9d18527106d42","root.record.ItemExhibitList.P5Item"
"Warhead","19","72.424","7.018","","0","7.07","","","","","","","See End Item P-5A/NA","See End Item P-5A","19","19","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","b3c74fde820ba871359db2d9522d14158bcc7cc300d55daa3c70268eb1ca04a0","2-fc0dc860f1aef2da1a7f2ee9923d002f4f0cb8cf6b7d95f04d283aec4f3bb3d7","1","","19","0-fc1ad7f3212ff49ec9540bb6aff124abdfedf55ca9a35fac90d9d18527106d42","root.record.ItemExhibitList.P5Item"
"Gyro","13","16.181","1.548","","0","1.537","","","","","","","See End Item P-5A/NA","See End Item P-5A","13","13","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","b3c74fde820ba871359db2d9522d14158bcc7cc300d55daa3c70268eb1ca04a0","3-3e1584dca00d00dfad1a4de99c79aa93f1192a8737bbac6b1cd8e3ffe72542e6","1","","13","0-fc1ad7f3212ff49ec9540bb6aff124abdfedf55ca9a35fac90d9d18527106d42","root.record.ItemExhibitList.P5Item"
"Flight Motor Case Kit","10","3.669","0.351","","0","0.349","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","b3c74fde820ba871359db2d9522d14158bcc7cc300d55daa3c70268eb1ca04a0","4-832248cf04ac7562b996d14afe54671267f755ec1a4b2952ebc78e1a3b4d4a6b","1","","12","0-fc1ad7f3212ff49ec9540bb6aff124abdfedf55ca9a35fac90d9d18527106d42","root.record.ItemExhibitList.P5Item"
"2B Sensor","18","57.158","8.533","","0","8.475","","","","","","","See End Item P-5A/NA","See End Item P-5A","18","18","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","b3c74fde820ba871359db2d9522d14158bcc7cc300d55daa3c70268eb1ca04a0","5-8e1512043a1741785dd210d622d9df46163b4d0660059ba8b809284e442964b2","1","","18","0-fc1ad7f3212ff49ec9540bb6aff124abdfedf55ca9a35fac90d9d18527106d42","root.record.ItemExhibitList.P5Item"
"Control Surface Actuator","13","9.575","0.916","","0","0.91","","","","","","","See End Item P-5A/NA","See End Item P-5A","13","13","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","b3c74fde820ba871359db2d9522d14158bcc7cc300d55daa3c70268eb1ca04a0","6-8068de32e0beca3181655cb4705a126d183811e07fde0c3fad151dd396a42843","1","","13","0-fc1ad7f3212ff49ec9540bb6aff124abdfedf55ca9a35fac90d9d18527106d42","root.record.ItemExhibitList.P5Item"
"Beacon Shutter Actuator","11","5.674","0.543","","0","0.54","","","","","","","See End Item P-5A/NA","See End Item P-5A","12","12","","","2017-BASE_PROCUREMENT-2017-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2017.xml","b3c74fde820ba871359db2d9522d14158bcc7cc300d55daa3c70268eb1ca04a0","7-348be5a39dc85353bd4a1e5ad9f0743a67528a2381d133ec8340d8f3ec37b806","1","","12","0-fc1ad7f3212ff49ec9540bb6aff124abdfedf55ca9a35fac90d9d18527106d42","root.record.ItemExhibitList.P5Item"
"SV 7-8 Satellites: SV 7-8 Long Lead","12","0","","","","132.42","","","","","","","TBD","TBD","24","24","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","349c370ac6bc97a5ad160143ded991d0d22dea7de2bf966fd5e97c39409da319","0-f7e621c8cac4721e3066ac7b84e32cc09e59b785ddc6d2975ec91212965e6aa5","","","","2-d649189e0ce0d54c0153f6de292b4e2c8b1db53287631fd727bf77b8f6155327","root.record.ItemExhibitList.P5Item"
"SV 7-8 Satellites: SV 7-8 Long Lead","12","0","","","","132.42","","","","","","","TBD","TBD","24","24","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.xml","5a6e56aaee2cd93fc0c6924a649668af9970661371ccd8532aa15662b3047718","0-fdd95a6ab114fc27fa82e298c3298088a3f0fd4149e93e34deb444ffb09bb390","","","","2-7bdc523e167c40a8c36d7aca71aa07316ba4db3e3184750698ebb19e59bd19ef","root.record.ItemExhibitList.P5Item"
"CFE","6","535.539","132.255","","116.685","107.673","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ebd01353ae8b080b1ab52e9195782fd3a992d3fb96174dad7091050691b1890a","0-61c5c7fa2087db8e0f6e6ef48e6d1fefd19f25b4ffe9152595221c53f235384b","26","","6","0-2dfee42f49072ca6444858833a6c5a71e5bcfb2bade100f6e53655eb5e3461a3","root.record.ItemExhibitList.P5Item"
"GFE","6","307.237","77.675","","68.475","63.237","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ebd01353ae8b080b1ab52e9195782fd3a992d3fb96174dad7091050691b1890a","1-637af181171432cc12890debcda5a6ab84afbe6edfff611e6b1d7cb113279221","26","","6","0-2dfee42f49072ca6444858833a6c5a71e5bcfb2bade100f6e53655eb5e3461a3","root.record.ItemExhibitList.P5Item"
"AH-64E Apache New Build","12","71.585","","","0","71.9","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","ec4214bb0033781b58c37cb400177bb2808ac0668e64107b0f83f4b822d1a911","0-46fd1765705a977d72fc5050bfd7236ba22a824d02414ce91e32ef403f64aef0","","","12","0-514c9f40d887cac1ef3ebfd921f107d5446e4cc3565b3a1896da992b04a1d4ba","root.record.ItemExhibitList.P5Item"
"CFE Airframe","6","587.759","76.875","","103.296","28.719","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","2c89647444558f718087948ea69b3bc60ba69293cb3483126129012ea9285f3f","0-09d9b11b5ece26301e2a72d9ec034914f3cf5e356909af28f818ff637591fbb9","1","","18","0-fe68c5a895d4bab45b5a5ba0c99bbf4fb4a8df36c1ae3e9db131636ed9899cf9","root.record.ItemExhibitList.P5Item"
"Auxiliary Power Unit","3","32.198","2.56","","2.589","2.934","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","2c89647444558f718087948ea69b3bc60ba69293cb3483126129012ea9285f3f","1-38e4c6ecef97d975d0604b15ec92e97917d2eb6d02a2ad3725eaf7f79e122e54","1","","6","0-fe68c5a895d4bab45b5a5ba0c99bbf4fb4a8df36c1ae3e9db131636ed9899cf9","root.record.ItemExhibitList.P5Item"
"Engines","3","499.718","39.368","","39.851","45.156","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","2c89647444558f718087948ea69b3bc60ba69293cb3483126129012ea9285f3f","2-5ef888573cb0abef3eda1087d46cdfbe81badbe744d15b0167d47a3b20fa473e","2","","14","0-fe68c5a895d4bab45b5a5ba0c99bbf4fb4a8df36c1ae3e9db131636ed9899cf9","root.record.ItemExhibitList.P5Item"
"EGI","3","77.279","6.354","","6.427","7.283","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","2c89647444558f718087948ea69b3bc60ba69293cb3483126129012ea9285f3f","3-8bb17fa992b316fafd2f1660022a5cb1f6051d44e0771506fa36dae87a64fb12","2","","12","0-fe68c5a895d4bab45b5a5ba0c99bbf4fb4a8df36c1ae3e9db131636ed9899cf9","root.record.ItemExhibitList.P5Item"
"Heads Up Display AVS-7","3","25.036","1.922","","1.944","2.203","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","2c89647444558f718087948ea69b3bc60ba69293cb3483126129012ea9285f3f","4-2a5090d69270d0cf0b6a92bb43ffa9a255bcae645d98a3556c01332514799498","1","","9","0-fe68c5a895d4bab45b5a5ba0c99bbf4fb4a8df36c1ae3e9db131636ed9899cf9","root.record.ItemExhibitList.P5Item"
"Hover Infrared Suppressor","1","28.959","","","0","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","2c89647444558f718087948ea69b3bc60ba69293cb3483126129012ea9285f3f","5-83f99a10acbdf22967f4c73e0a7d8096ca43cc94b0080ab14a876b461200c9be","","","1","0-fe68c5a895d4bab45b5a5ba0c99bbf4fb4a8df36c1ae3e9db131636ed9899cf9","root.record.ItemExhibitList.P5Item"
"Miscellaneous","1","15.651","","","0","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","2c89647444558f718087948ea69b3bc60ba69293cb3483126129012ea9285f3f","6-e4030c27b99ea90497557553b5b11f5d700488c6783a3aba5f32b72a43bf9465","","","1","0-fe68c5a895d4bab45b5a5ba0c99bbf4fb4a8df36c1ae3e9db131636ed9899cf9","root.record.ItemExhibitList.P5Item"
"Guidance Section LL Items (LRIP 1)","23","","24.8","","0","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","4cead6aa7b8f21e630078e1faa01af184d50c7548a2808d527da07f517250ab7","0-28b3f473c1fec4aec92b3cb91da1ea32d5fbd30751908793261e08e0175e1abd","","","14","0-d68bef6bb0a540ea3c8999e4f8148e1bf6a5ba0102aa019544314d7a98f7f802","root.record.ItemExhibitList.P5Item"
"HELLFIRE Backend LL Items (LRIP 1)","23","","2.938","","0","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","4cead6aa7b8f21e630078e1faa01af184d50c7548a2808d527da07f517250ab7","1-7744f1e2896ee0e998c7acd1457851165e2d421c47bab01b55621c6455316f7a","","","24","0-d68bef6bb0a540ea3c8999e4f8148e1bf6a5ba0102aa019544314d7a98f7f802","root.record.ItemExhibitList.P5Item"
