Name_val,LineItemNumber_val,Cost_AllPriorYears_val,Cost_PriorYear_val,Cost_CurrentYear_val,Cost_BudgetYearOneBase_val,Cost_BudgetYearOneOCO_val,Cost_BudgetYearOne_val,Cost_BudgetYearTwo_val,Cost_BudgetYearThree_val,Cost_BudgetYearFour_val,Cost_BudgetYearFive_val,Cost_Total_val,Cost_ToComplete_val,Cost_Continuing_val,@SOURCE_FILENAME,@RECORDID,@ROWID,MDAPCode_val,P1LineNumber_val,@PARENTROWID,@PARENT
"Precision Attack Systems Procurement","OTHACF","","1.917","2.386","4.131","0.000","4.131","3.598","3.296","3.337","3.398","22.063","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","1-98101f91d75ad7fb1472ea770f392e38c0505e4cc4b6cc39c6ad99bb4d487455","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"B-1B Squadrons","B01B00","","16.735","14.267","9.793","0.000","9.793","18.883","8.96","3.224","3.47","75.332","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","2-bcb7702bfd2041534d8856cfc39c7f5538e76f07932ce430464b0590ccf9c507","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"B-2 Squadrons","B00200","","6.029","3.078","0.421","0.000","0.421","0.767","2.255","2.595","5.824","20.969","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","3-c457fe8476de82fadb26b703f422337001b4eed481f99cd76da81339514f653f","224","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"B-52 Squadrons","B05200","","0.000","2.753","7.894","0.000","7.894","6.719","5.318","1.688","2","26.372","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","4-cf20ee2e601fafdc56a5b4867d9e4d1f93037efc5da8e6881de8b014c9d3d75b","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"C-130 Airlift Squadron","C13000","","0.000","0.000","0.000","0.000","0.000","5.054","6.057","6.172","6.288","23.571","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","5-c0d57fa51d4ad0206355522a8421ad64905fd423a5a39d2d809bbf3db9cb39e7","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"C-5 Airlift Squadrons (IF)","C005M0","","117.097","131.933","0.000","0.000","0.000","0.000","0.000","0.000","0.000","249.03","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","6-edfece7f475c5b6e651e5361e83729c2e6ad83de7aa184ea5a2ab21c48f0d40c","327","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Compass Call","CALL00","","26.663","10.222","12.458","0.000","12.458","11.662","10.508","10.706","10.902","93.121","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","7-527d3acd5b146316c9adf445dc829bc6f374e245d1ef03dca7dbcb4eb0c66883","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Combat Developments","OTHACF","","0.127","0.097","0.171","0.000","0.171","0.161","0.15","0.153","0.156","1.015","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","8-08ba525816ac40d653958f16e103883af83e53134d526d630e3d4c1dc842ffd1","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Combat Training Range Equipment","000075","","1.526","1.181","1.489","0.000","1.489","2.277","2.026","1.836","1.87","12.205","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","9-9006e6e84a222333d0c6c0d4ec510133d04d3309f064557eb60feb612e55a65a","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"CV-22","V022A0","","84.07","7.461","2.659","0.000","2.659","6.799","0.526","0.000","0.000","101.515","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","10-9c084a546d12e206edeb8cced8aba8da400e2f0ea14d1e517e528e050462d4c9","212","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Aerial Targets","10TRGT","","0.485","0.376","0.653","0.000","0.653","0.618","0.573","0.584","0.595","3.884","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","11-c5ab6496ea5a54774efb7a9d01ab891d9615ed0200c065b65200d9c30cddf902","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Airborne Warning and Control System (AWACS)","E00300","","16.278","11.681","2.957","0.000","2.957","33.756","22.173","21.621","24.273","132.739","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","12-628d2bd941750072fea9c28f704ea293b36f1b38aa98ecfd4980525c57c89d1b","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"E-4B National Airborne Operations Center (NAOC)","E00400","","1.295","0.703","8.718","0.000","8.718","3.012","8.558","0.33","0.336","22.952","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","13-f29fa06d890628ba021484813a90ca24c3e557ffb64a754aaa87cc564c6d5363","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Joint Surveillance/Target Attack Radar System (JSTARS)","E00800","","3.184","1.101","0.000","0.000","0.000","0.000","0.000","0.000","0.000","4.285","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","14-0df640b3adb46a3a9b41e0999f7ea49bfa8fadd08cab47a4f8629ff9b73101f5","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"F-15A/B/C/D Squadrons","F01500","","0.09","5.977","11.104","0.000","11.104","30.099","27.033","22.206","22.621","119.13","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","15-185f8ef6199398fd69976e33f22d489449939fa5b7758b789c75b11dd6281b37","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"F-15E Squadrons","F01500","","20.984","13.904","9.795","0.000","9.795","31.017","30.765","15.125","15.408","136.998","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","16-834d4d3be885859ab61c67e5cc1148f9ba2785591d4d0d50d1cf2536f22ee603","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"F-16 Squadrons","F01600","","4.491","0.161","0.09","0.000","0.09","0.495","1.279","2.48","2.995","11.991","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","17-80490938579f1f97436857a848ea72b59cff991b8fed29b3ed3873d54fe8860d","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Full Combat Mission Training","OTHACF","","1.302","0.177","0.13","0.000","0.13","0.322","0.27","0.212","0.216","2.629","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","18-2c278186452e83194146beaae05b0b8d184c005689faf7483c31f9407281d439","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Fighter Tactical Data Link","F01500","","0.000","0.000","0.000","0.000","0.000","1.081","1.081","1.102","1.122","4.386","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","19-23da34d87317351a10203be131f7bec0198d4dd2964bb7da3751f706ac81f115","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"RQ-4 UAV","HAEUAV","","0.000","0.000","10.928","0.000","10.928","13.815","14.147","15.514","13.405","67.809","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","20-8bb6fb9e621c64a1afa03db573f51ed9ed6178bf04086e973fb675ad88d0692f","252","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Combat Rescue and Recovery","H060MH","","1.46","1.137","0.9","0.000","0.9","2.517","2.199","1.801","1.834","11.848","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","21-c513a6f13f484455eeb17fcf6ec29e8dfdf5c3761a8774aa4f4435f5f5825b04","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"F-35 Squadrons","ATA000","","163.151","89.05","236.418","0.000","236.418","270.431","278.552","380.165","457.051","1874.818","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","22-1efccb5beb05b9ad78126160f1696901a3de3fc1acf6b7e0672242786a331b17","198","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"KC-10s","C01000","","4.516","6.86","8.412","0.000","8.412","0.996","0.001","0.000","0.000","20.785","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","23-2a3ef8840b69f27d7f7a376f8b0e7c7647601d7e502e138508829367e1a58cb6","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"KC-135S","C13500","","20.627","5.39","4.181","0.000","4.181","11.629","10.001","8.153","8.305","68.286","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","24-a502f0386715f827c599830f7af5270a58fca912aba8f3ad5d99c1675dcf9b6a","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"MILSATCOM Terminals","OTHACF","","0.000","0.000","5.54","0.000","5.54","3.726","1.208","1.232","1.254","12.96","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","25-e4ad6db4de8552a9a7c97baad122a6bd1d3fab46aff8ca7266cdf2fd3e31fb52","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"MQ-1 Predator A UAV","PRDTA1","","4.507","2.12","1.821","0.000","1.821","1.613","0.871","0.000","0.000","10.932","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","26-f6233b820413c23835003f08f5c4e3cbb96722d2608c2f2b60e90555c1b0d875","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Manned Reconnaissance Systems","DARP01","","41.047","28.28","57.119","0.000","57.119","54.016","48.632","49.407","50.331","328.832","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","27-52808f9209de7ef449f5988499092a8cdca670f175198a877023432653f89151","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"VC-25","C02500","","0.515","0.397","0.065","0.000","0.065","0.285","0.162","0.236","0.44","2.1","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","28-6071177fed7b8f24461ee5400bce033278e1071e3cec0bb7d671c05c1b26a87f","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"MQ-9 UAV","PRDTB1","","99.507","30.711","38.629","0.000","38.629","129.863","137.441","79.768","95.113","611.032","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","29-44cd1787974c3e4d3d237569221bebd8a43427c684b7a8ba300507b80318beed","424","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"C-17 Aircraft (IF)","C01700","","7.401","10.218","14.105","0.000","14.105","14.336","13.099","12.951","13.194","85.304","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","30-9a01f438d1837cc04228db68d105eda62dd127aa8200594d3379bd5d10a2af89","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Dragon U-2","11U200","","8.545","5.71","0.000","0.000","0.000","1.009","0.679","0.000","0.000","15.943","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","31-4f1595ad577913cf59d59696c8c4b5505d70ea79df9be04f8bee3f50a1f2c1bf","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"F-22A Squadrons","F02200","","11.874","0.057","3.233","0.000","3.233","9.348","16.517","9.667","9.846","60.542","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","32-08f5abaeab3af4aedcb393d8d67d3aad7a0eef764721c2215cf35f2a02a71412","265","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Automated Test Systems","000999","","0.000","0.932","3.886","0.000","3.886","0.38","0.000","0.000","0.000","5.198","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","33-3f4699280fb758e184ddd357771f5f520dce24e7597fb5d95619f2defd059ebd","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"C-27J Airlift Squadrons","A01000","","1.909","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.909","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","34-e490f9d44eb46b0358ef8241446b8715b0b80c6714284475ccb856e412e082a3","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Bomber Tactical Data Link","B01B00","","0.000","0.953","1.087","0.000","1.087","1.364","0.000","0.000","0.000","3.404","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","35-c066816108ae11feb48a5be7cbaac8aa68b14aeda771137f1e487be0381b849a","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"C2ISR Tactical Data Link","OTHACF","","0.000","0.192","0.037","0.000","0.037","0.275","0.256","0.261","0.266","1.287","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","36-9591907b10bc1860af2a4f7699f2e94752e68db95ec43729b040531c014fd5fc","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Airborne Reconnaissance Systems","PRDTB3","","11.837","8.256","6.79","0.000","6.79","6.098","3.248","0.000","0.000","36.229","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","37-d3460631e8e7976fffb634d1281093aba2f1ab2eba71a0ce6e210b2270d348f4","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"New AETC Aircraft Systems","JPAT00","","0.02","0.538","0.948","0.000","0.948","0.918","2.571","2.619","2.668","10.282","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","38-7dcf9056b5f2bcbeb6f1d61ed4deae03bfcdee0de6aa763d807f4a9a70ee37ed","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
"Undergraduate Pilot Training (UPT)","T03800","","0.000","0.000","0.000","0.000","0.000","0.742","0.745","0.749","0.75","2.986","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","7749e4d35c00d52318067ce8b3e32d35912a4a4c151806fd41a17048735e790c","39-694dfe294aa106547dfcc14755d0c7ad706e83a9856f1b5b1aafb07764e0de6a","","","0-7319619eb0804fd50e937c0dc6c2c29cd00bcd84fa36bcc9d9a1083150b37759","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity"
