ProgramElementNumber_val,ProgramElementFunding_AllPriorYears_Quantity_val,ProgramElementFunding_AllPriorYears_TotalCost_val,ProgramElementFunding_PriorYear_Quantity_val,ProgramElementFunding_PriorYear_TotalCost_val,ProgramElementFunding_CurrentYear_Quantity_val,ProgramElementFunding_CurrentYear_TotalCost_val,ProgramElementFunding_BudgetYearOneBase_Quantity_val,ProgramElementFunding_BudgetYearOneBase_TotalCost_val,ProgramElementFunding_BudgetYearOneOCO_Quantity_val,ProgramElementFunding_BudgetYearOneOCO_TotalCost_val,ProgramElementFunding_BudgetYearOne_Quantity_val,ProgramElementFunding_BudgetYearOne_TotalCost_val,ProgramElementFunding_BudgetYearTwo_Quantity_val,ProgramElementFunding_BudgetYearTwo_TotalCost_val,ProgramElementFunding_BudgetYearThree_Quantity_val,ProgramElementFunding_BudgetYearThree_TotalCost_val,ProgramElementFunding_BudgetYearFour_Quantity_val,ProgramElementFunding_BudgetYearFour_TotalCost_val,ProgramElementFunding_BudgetYearFive_Quantity_val,ProgramElementFunding_BudgetYearFive_TotalCost_val,ProgramElementFunding_ToComplete_Quantity_val,ProgramElementFunding_ToComplete_TotalCost_val,ProgramElementFunding_Total_Quantity_val,ProgramElementFunding_Total_TotalCost_val,ProgramElementFunding_Quantity_AllPriorYears_val,ProgramElementFunding_Quantity_Total_val,ProgramElementFunding_Quantity_CurrentYear_val,ProgramElementFunding_Quantity_PriorYear_val,ProgramElementFunding_Quantity_BudgetYearOneBase_val,ProgramElementFunding_Quantity_BudgetYearOne_val,ProgramElementFunding_Quantity_BudgetYearTwo_val,ProgramElementFunding_Quantity_BudgetYearThree_val,ProgramElementFunding_Quantity_BudgetYearFour_val,ProgramElementFunding_Quantity_BudgetYearFive_val,ProgramElementFunding_Quantity_ToComplete_val,ProgramElementFunding_TotalCost_AllPriorYears_val,ProgramElementFunding_TotalCost_PriorYear_val,ProgramElementFunding_TotalCost_Total_val,ProgramElementFunding_TotalCost_CurrentYear_val,ProgramElementFunding_TotalCost_BudgetYearOneBase_val,ProgramElementFunding_TotalCost_BudgetYearOne_val,ProgramElementFunding_TotalCost_BudgetYearTwo_val,ProgramElementFunding_TotalCost_BudgetYearThree_val,ProgramElementFunding_TotalCost_BudgetYearFour_val,ProgramElementFunding_TotalCost_BudgetYearFive_val,ProgramElementFunding_TotalCost_ToComplete_val,ProgramElementFunding_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"0401130F","0","17.253","0","7.658","0","2.5","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","27.411","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","b9f329656300dc0ffbd2fe4838cfedae37e513481de1c73f94db2285d73a7bdc","0-1ae048f509b36cbd3817967a26434073e6487f4d56eb59946e18ae0c03663cb8","0-3c7c916d15de275189b989696b3f39c2bd58fd42d5015ee0492f8153ee0e0134","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101113F","0","0.000","0","0.000","0","0.751","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.751","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","4fbcc12958924da9e292a700ff303954482d62298d24949a0002ab3b1befb7c3","0-21e3939bb4b25720b7622f4db522ef1f12a288ac8413c94576b1f40262ff4455","0-244cd69d1e83cf237e7fe4a271f6d484425b8327d877f4742a975321e151b08f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101113F","2","236.669","0","74.056","0","34.7","0","12.634","","","0","12.634","0","11.923","0","0.000","0","7.251","0","4.025","0","0.000","2","381.258","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","4fbcc12958924da9e292a700ff303954482d62298d24949a0002ab3b1befb7c3","0-f1ab8c6d67b865bf4e6d85ae443f545faa7d147b51db081f91dbf09542fe2d90","0-da46fe8b68193aaf4b76270301d251620be9d3c991a75bfa52a9061d82eab171","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101113F","0","34.869","0","12.8","3","16.49","0","11.373","","","0","11.373","0","8.264","0","3.901","0","0.000","0","0.000","0","0.000","3","87.697","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","4fbcc12958924da9e292a700ff303954482d62298d24949a0002ab3b1befb7c3","0-b631253cbf8f00187e3f38ea0e11092fffd2c3ef00011c0b33ec01ecba814a29","0-d0b0d766265b23883d413b101ff86d3abce227e15b8c8ab6b4ecaa9bd154825a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101113F","4","12.968","0","1.166","0","1.202","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","4","15.336","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","4fbcc12958924da9e292a700ff303954482d62298d24949a0002ab3b1befb7c3","0-591337d43ecb950944a638a7c30fdaf42e1cdbdf3aaa3951f2d69c09d704420f","0-08c45978d6ad453290405f3bb32dd33645c4f117d2fb0ffe88d434dce22e0ec5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0305202F","0","0.000","0","0.000","0","23.644","0","18.7","","","0","18.7","0","11.3","0","12.1","0","8.6","0","8.755","0","0.000","0","83.099","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","7b89c00e8cf81cd9836555448995658ef5597146bf66ed04432566c529454884","0-24bac5ce085c03f9186c57e12208affdf2e28b94440deafabca0a7e64d9222d4","0-137d1b403367bd1c698875ccecab15ca088c4ff4e69745f1577fe8c531cf362f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0401219F","0","65.333","2","30.868","0","22.122","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2","118.323","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","8cbed1138f0a5cd8f695144ae7c71d474f41e77d94b322a8c79325b5b832a3b8","0-09cd87078b3531eae2e6d48d6ea563951d071c49055890b1846109798631bc6e","0-0deaeb9ad5d3ecac8ee960c5cc1b2e5d94b991f1454e51d674a73907c11b5968","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0305230F","0","0.000","0","0.000","0","19.949","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","19.949","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","2f52dfa3f8bead847744714ccb33095b834dd66a79765aa2444b1c9adcfa263f","0-2230adad77833bb35d47c43231b9da5732c6c80e9b5183b950c8ae604f7ce193","0-fc1030d651281a0062d445e913df4f545dd8f77f7d11b61dbb6125cced553eb1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0401115F","0","0.000","0","0.000","0","5","0","0.4","","","0","0.4","2","66.1","2","69.8","0","11.8","0","3.5","0","0.000","4","156.6","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","0adb94f2acf9d99f5b4bc6417a1d27c0f1d40fe934ae0b6dec35f050909dd167","0-05c39c098027a8c5aedf70cb4b5675d0ec38ae9b58b4991d6d8353bca82cac0b","0-4119217a74b622fecdbd53f54d3c7e86064ccb6df3ef3ad4111953f2770e9a2f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0401218F","0","42.64","0","7.393","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","50.033","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","b4a49294aaaf4468958b5e32dd047912ab331e6d642f8ca8804239303084a4af","0-bb69c5ea0055da17f96f39c749b1db66628af549a9b68e014bbd3f969799089d","0-6b2c991e41ea18ffbcab9674a816d77e6f23f45dd17478fa1d91f1de2979452d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207253F","0","0.000","0","19.229","0","12.094","0","10.782","","","0","10.782","0","13.263","0","13.193","0","12.831","0","13.062","0","0.000","0","94.454","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e4514f33c3955093dc8dcfcf215074965bd9f65e2e3e830bd92a95b52466e991","0-bfd3ad7fcb81907d44b4eeda79f8839bfbae679662397d22665d9d144ec24788","0-dc88429c23a006b578f7e969b5f3e23ca8a234e9868ce47813cc3590f55ab520","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0305207F","0","0.000","0","13.049","0","13.316","0","13.491","","","0","13.491","0","13.685","0","13.926","0","14.177","0","14.432","0","0.000","0","96.076","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","d8dcc20b9d18e1fb017e603238931f476c71a7aac5891431efa1bdc499661c8c","0-4d3a4cbec23373d46b6fa4579b1d2ee85d8c819402d9676247f2414d88602b46","0-7b72b30755c784d6b6b1678462190d7f0f09de2edc933865e2d8cf66116f7b68","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207417F","0","205.134","0","19.562","0","5.734","0","27.857","","","0","27.857","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","258.287","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","d0b6b65a6ada031a30989ecd5c004fd2f6df15d61d65bc5456aac773689572ae","0-a51e7734510a236a29674a115db9febeecb08bbf3c72cf0cca910611135edad2","0-e676c11352f61132e8e00c6781a09affaccb7c8b20202ad5b5a565d04fd16a9b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207417F","0","58.531","0","31.555","0","7.799","0","20","","","0","20","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","117.885","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","d0b6b65a6ada031a30989ecd5c004fd2f6df15d61d65bc5456aac773689572ae","0-b3403bb545b74433665c4e0ae7e389ee66fef50e55f20ab30fda0ff89f5d5c67","0-0674f5324877e155861e70e1c623ba85e1534127ce8223a87bd9751e786f6ed7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207581F","0","147.603","0","15.293","0","0.107","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","163.003","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","10c87f3b6b9fead0ed275d994efca3bfae243543c7c311783c753a6fc38882e6","0-c4c14e2271e655c2d036651513f1eac4e64e33ddf8b7a850e69edac29f3a6ebb","0-cbda3cc7b8e2750923f708bd5d6362de76e6412241bd8de960417e568c1ee8c8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207131F","0","5.695","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","5.695","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","cf51bf25a43b8b671461767f19aca9587f72c7db1ec4aa8da76d84ef9811f1ce","0-bb11dd8fc1180ce318a49e2d662006b31e39435e03220499ba2a0b35dbd1fdb7","0-2578e683e638c461150f2cc2df82b289ace80572425db1fbfc4004be4533a8ab","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0401318F","0","45.919","0","6.319","0","14.132","0","6.031","","","0","6.031","0","1.896","0","0.000","0","0.000","0","0.000","0","0.000","0","74.297","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","acfd31ff1ea2f24460bb8a649b43d1c5e049d9984f198fe665aec489db65672a","0-113542e8d59e4493285f26dfaca440bdc5c65664f444331e4fe76f6c68506e24","0-9bdd331750fbe04ff936ef83c6095d682c2cfee03f167afc54daaf60c8cb25ab","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207134F","0","325.609","0","33.353","0","1.351","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","360.313","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","cada34b277da5875878e15954fb9515b3a8f6bbdf68d9ddafe9d847ba0229073","0-96ee633c5f20b42c72e3f3ace3de5cbd0a0ee6e54341668b5643366cc54df448","0-2d0e9eeb160adab30b4fa65749ae4579fb042f8800a455daf1345a82e7e740ec","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207130F","0","65.272","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","65.272","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","cada34b277da5875878e15954fb9515b3a8f6bbdf68d9ddafe9d847ba0229073","0-f0e24db6a96f2dabcddad66dae145780bb4c99cc2d6a474467bc2f4cd6d30b82","0-b1503959480bc947996174487718735cfa5ba9fda05d9bb9772b3f7d9ec522a1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207134F","7","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","7","0.000","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","cada34b277da5875878e15954fb9515b3a8f6bbdf68d9ddafe9d847ba0229073","0-24708ad3c24b94993fb808a412b791d0aa5d4172cf683f586e19772af7dc0b2a","0-7c579c95fa9fb1a1afbbb511f68c2f5f440e1c949d65f869e541cfe2bf575654","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207130F","0","0.000","0","6.55","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","6.55","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","cada34b277da5875878e15954fb9515b3a8f6bbdf68d9ddafe9d847ba0229073","0-53fd82409fd3b5ef93d3522c8384156aecb313793766f985ae804cc4addacad5","0-db911ae3106a22469bda768da167c7ca220d1abfdb6856df47762ad1e66155c1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207138F","0","639.991","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","639.991","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e4c9e6ae72afb01de0f40987a03667cb84bdb9d1ffe0ec1213853fb2f1f72aa2","0-2c29660703676c4a7b697e8a3aba70cc0cd7e084d0e24bb49d0f9a490b70e669","0-6b3aa5328b1a7c7090e78c39df6d3853f74cfee4996dd65dc5d4fbbd1fbba523","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207138F","0","110.071","0","32.804","0","11.202","0","10.984","","","0","10.984","0","8.29","0","8.539","0","8.798","0","9.062","0","0.000","0","199.75","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e4c9e6ae72afb01de0f40987a03667cb84bdb9d1ffe0ec1213853fb2f1f72aa2","0-28fb763d35febd878e64bc2562321892d4e977ff86ff94f28ddf420f80cb00c0","0-3c7e14e97c7ef1099f7dc02fc24588ae420749aca9b0b58295e651f3a586a9a0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207138F","0","2.693","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","2.693","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e4c9e6ae72afb01de0f40987a03667cb84bdb9d1ffe0ec1213853fb2f1f72aa2","0-0e6a21b2c1160f7d77714c5a16bae444ad04aebfc851d782a00317c496130801","0-22bcc7e534add025ccbf8a3f0d621a928c3bdec8c6e1f1ee7a762acf0affdc09","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207138F","0","0.127","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","3.5","0","0.000","0","0.000","0","3.627","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e4c9e6ae72afb01de0f40987a03667cb84bdb9d1ffe0ec1213853fb2f1f72aa2","0-d5f052509d6d575bee0c2a9c624882b2ff126ccaed82fe98951f68f401f0e906","0-6686e2abb7445a9f0e84180c8cf16024e4fa66ee63907e4114444495665e93fc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0207138F","0","32.514","0","6.5","0","6.7","0","5.86","","","0","5.86","0","6.13","0","6.13","0","5","0","5","0","0.000","0","73.834","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e4c9e6ae72afb01de0f40987a03667cb84bdb9d1ffe0ec1213853fb2f1f72aa2","0-c267b94534a074ccbffc0fba1de537e592bdaa9880c347d498a34f605097ead3","0-264879e61e297216195e2a06e3e93954cac1e6835faf2594755caf8215cc61a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101127F","0","425.261","1","38.952","0","6.336","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1","470.549","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e9a56aa3e6bf0aa0279aeef01105eabf7d9e7b407852ced55c66fd3a0f85e0f8","0-5f1df6e188d35baca0c22bd2f2b918210dadba839539ef8879d489efa3bd440c","0-65f7328351b8c02169c93242c1602cde0bdea01ebcf4f0061200b261dee26b23","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101127F","0","12.212","0","0.234","0","0.481","0","0.478","","","0","0.478","0","0.475","0","0.483","0","0.491","0","0.5","0","0.000","0","15.354","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e9a56aa3e6bf0aa0279aeef01105eabf7d9e7b407852ced55c66fd3a0f85e0f8","0-25ea06c68cd2756fb434d40d89593ebda1dfe774322b8aad570674882db8f589","0-10cadece0f3bc91437b70b84a9df2eea18132608298dab36469feb798a6f2e65","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101126F","0","160.602","0","2.2","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","162.802","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","91de0084c24a611e541ba33983024aa36e2f415cef277f4f22ba3588f9b09d6a","0-54fc69955fa6cabefe30d9ef4ac61d1ed13cd6389356b6d6bb9027d3a9911c9f","0-49e2c4981d65430da9974b27cebd832dfbd26fa9d685b8f1a03c1b6252eb7341","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101126F","0","49.635","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","49.635","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","91de0084c24a611e541ba33983024aa36e2f415cef277f4f22ba3588f9b09d6a","0-c74cd7273300d54bdb9532d829b6b217296f1aab80322f2a2acee533ac0f0375","0-1e01f4c2fddc6d3ba7bf9ca8552d2a3e9a8a4598b6b84f352e9fbc138a3e93d5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101126F","0","88.71","0","0.315","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","89.025","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","91de0084c24a611e541ba33983024aa36e2f415cef277f4f22ba3588f9b09d6a","0-ce16a34e81112960e17fc20d4d9d8d7cb67de9880f86bc21f6a77c5171219333","0-4a01d08e88940c9d59261212c07ddd514405b7328f426b876bc80a65b07a6a0b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0101126F","0","140.434","0","19.947","0","3.421","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","163.802","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","91de0084c24a611e541ba33983024aa36e2f415cef277f4f22ba3588f9b09d6a","0-410d5f02a0aa49bf695e2de596872f829ad7335f9eb60c8c56d664ce30251509","0-197dbd457d523804fdd1518b2b64c89a890f81f637b916117256d97fba8d847a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"0401119F","0","54.418","0","12.941","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","67.359","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","f74b57d9f384718877b1179100191fcf94a30f5a4525343209bebd08aba18629","0-03ffe5ee57bf6a3f944b0c003f18c583ea9e8228ca9dea571b4dc1b117382a93","0-7668633b8a6cac249d6beebbc62b6849722556a1386b9c9b7fbb8ec033007608","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
