FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,FundingVehicle_val,RevisionsAvailableDate_val,ItemNameSuffix_val,OCO_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule_ServiceAgencyName_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule_ProcQuantity_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery,MonthlyDeliveryScheduleTotal_ProcQuantity_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery,@PARENTROWID,@PARENT
"2014","","DMA, Riverside, CA","2014-08","2015-06","1","324.000","false","","C","FFP","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","b5f7c8776e0d4892f4b7b9338e2e22b8a3a4b22e5f0b3984251346727853f52c","2-bc21d5e47bcc2f1eb206637b96d49e1a6de00fd217cfbe8d519f7f56b6839584","","","","","","","","","","","","","1-27ae3e1d57e33d79e356f0782f856bc39cbbcbc0143f99510fd7b7c025703880","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","ACC-NJ, Ft. Dix, NJ","2014-02","2014-02","0","214.000","false","","C","FFP","2015-BASE_PROCUREMENT-2015-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","b5f7c8776e0d4892f4b7b9338e2e22b8a3a4b22e5f0b3984251346727853f52c","0-3fd909bd0c35344fa63c1ea81f9a38a21587a857f2cf82620b3d49553c4c8ef7","","","","","","","","","","","","","2-06e00e74e5f79846457e77455eeab06fb260c81d71d0e9711e381f3ba33ea467","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","Army","2012-10","2013-04","1.000","0.738","false","2011-10","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","86838d6952f4336bc9088522c6ba3344304f6014b19863804ad0951b80ff1ddf","0-ebfa9d71a74e2d3c6d1a81bf8f6ef6e499bed8c9e8f09eac9df3c34df915b904","MIPR","","","","","","","","","","","","0-3bc26dd56c2f774db885cbf11523f9560561ebb3e2b4b1018b7b3e845c9342d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","Army","2013-10","2014-04","2.000","0.199","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","86838d6952f4336bc9088522c6ba3344304f6014b19863804ad0951b80ff1ddf","1-07d406f41594124fccd835b4859315ff47f32d26926eded935e5d1ae7d0ba126","MIPR","","","","","","","","","","","","0-3bc26dd56c2f774db885cbf11523f9560561ebb3e2b4b1018b7b3e845c9342d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","DISA","2014-12","2016-01","2.000","1.000","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","b4a2bfa222274882e1035a15dfb0b4c9d8c25f2347323e4862655e6df742eb3b","0-85da4a4fcb9e5af1cfcc70826c5b8deedb517e9925658a2e440272d6f939c631","MIPR","","","","","","","","","","","","0-2be8cfadfd656954c1ccf4ebfae31fe280f6b93039f6b4bde8e2c8763b16dc68","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","DISA","2016-07","2017-10","2.000","1.785","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","b4a2bfa222274882e1035a15dfb0b4c9d8c25f2347323e4862655e6df742eb3b","0-4e5a716022738266791ef2e2a5b319329133b561729141748793ee5cefb9b5ea","MIPR","","","","","","","","","","","","0-2dedd6a3e61045612cb42b6f5e417b5e980c8124a0d576244d0831b854c55add","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","DISA","2017-07","2018-10","2.000","1.785","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","b4a2bfa222274882e1035a15dfb0b4c9d8c25f2347323e4862655e6df742eb3b","1-9de6e8685831f0e760135311354628b55481f82a2e0992e0233b4ea3e377cc59","MIPR","","","","","","","","","","","","0-2dedd6a3e61045612cb42b6f5e417b5e980c8124a0d576244d0831b854c55add","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","DISA","2016-07","2017-10","2.000","2.715","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","b4a2bfa222274882e1035a15dfb0b4c9d8c25f2347323e4862655e6df742eb3b","0-b3a3ea84eb0a07f5c4e53e04d76264abab43950fc250c84bbf36d5d9537e98f8","MIPR","","","","","","","","","","","","0-50bccca2a536e4eedbf2805831ba07c255a5a2e76d429bb233be445eec5249f1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","DISA","2017-07","2018-10","2.000","2.715","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","b4a2bfa222274882e1035a15dfb0b4c9d8c25f2347323e4862655e6df742eb3b","1-207a5ff08f5a8ec39a5da7190cf0d78bc01a94838262e1ff02f3c478b61ca59f","MIPR","","","","","","","","","","","","0-50bccca2a536e4eedbf2805831ba07c255a5a2e76d429bb233be445eec5249f1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","Army","2012-10","2013-04","1.000","0.738","false","2011-10","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","46f5b0cb620cc8131df0eb4cca2098c8027c89e7af780731f45e9cca00571563","0-79246818e637c2da5c85526209264cadd223b3c08814d2146687b6c9de0a43fe","MIPR","","","","","","","","","","","","0-b029c78d4e7b8d173f17ff09fd35b2850a93e2656a0ac986ba6b9ff62d6d885e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","Army","2013-10","2014-04","2.000","0.199","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","46f5b0cb620cc8131df0eb4cca2098c8027c89e7af780731f45e9cca00571563","1-ceffa35f3c218e603a1830b4030199e4d18cfda6b8fa03470437f6bf4dca2e92","MIPR","","","","","","","","","","","","0-b029c78d4e7b8d173f17ff09fd35b2850a93e2656a0ac986ba6b9ff62d6d885e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","DISA","2014-12","2016-01","2.000","1.000","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","a142c81e24088ccf76f5b06f779fca0d49ce474dee0c7d8dae3f938eb877e7a7","0-2e3f66b3ed47f5e5d2f569b78895edaa9303bcc813309bb7b9051e2be284b8bd","MIPR","","","","","","","","","","","","0-f48b7824b4b6b246f048fb66f25e6a8d7b7efe75b04c88944033fa130c3972eb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","DISA","2016-07","2017-10","2.000","1.785","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","a142c81e24088ccf76f5b06f779fca0d49ce474dee0c7d8dae3f938eb877e7a7","0-5baec0995e32fce4beff5aea2a6e318b7986f39a6a78716908180c709e5a3203","MIPR","","","","","","","","","","","","0-6d6ca0c3256943a53a90fb8078941b4ad39d7c063b5679f0120e5dc16e350572","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","DISA","2017-07","2018-10","2.000","1.785","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","a142c81e24088ccf76f5b06f779fca0d49ce474dee0c7d8dae3f938eb877e7a7","1-9d9890991479a4d7d8e0e7b9935239154951ef120e4afef4c0c88e4d8b6fbb62","MIPR","","","","","","","","","","","","0-6d6ca0c3256943a53a90fb8078941b4ad39d7c063b5679f0120e5dc16e350572","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","DISA","2016-07","2017-10","2.000","2.715","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","a142c81e24088ccf76f5b06f779fca0d49ce474dee0c7d8dae3f938eb877e7a7","0-03eef0ac6ddc3b829aca4ea28a55c944ed9c5c5cc6c264108dd08eb27be0d92c","MIPR","","","","","","","","","","","","0-7ce4735110ba414137aea5b718dc9602d545b83d6bdbbbb0dbdc68eb2a2662f2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","DISA","2017-07","2018-10","2.000","2.715","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DISA-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Information_Systems_Agency_PB_2015.xml","a142c81e24088ccf76f5b06f779fca0d49ce474dee0c7d8dae3f938eb877e7a7","1-8e8e8f5f1d5c15b3210fe6de4b54078ac67c39abae0d61e05a908081791af678","MIPR","","","","","","","","","","","","0-7ce4735110ba414137aea5b718dc9602d545b83d6bdbbbb0dbdc68eb2a2662f2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","Army","2012-10","2013-04","1.000","0.738","false","2011-10","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","ab73ac5f88aee4bb33d1de8ada5b4c0940ca12003fdad467a84544f799685258","0-cb4ef3fbda0c41a0c419b6d7b0d6e11d1eb66fa934987f40d49068ba3b2f90a2","MIPR","","","","","","","","","","","","0-eba0ce22ecf092409dd381099cd6563e33286c14970f81742990495c90edd08b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","Army","2013-10","2014-04","2.000","0.199","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","ab73ac5f88aee4bb33d1de8ada5b4c0940ca12003fdad467a84544f799685258","1-d2c9874f20ab178474bb8aebfab52f832762d440c162eaf2f7f51a0aca366548","MIPR","","","","","","","","","","","","0-eba0ce22ecf092409dd381099cd6563e33286c14970f81742990495c90edd08b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","DISA","2014-12","2016-01","2.000","1.000","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","f8fb97f0c35eb66e82a2dd33be510d6d7ff7f0d5096fc825199018e824e85efc","0-fd2e7c489f41969a0e465b95e96f28161999aebc24c1caba0ef3f40eaac8e10b","MIPR","","","","","","","","","","","","0-970f73fe670a9a3583f44c0834184889ded56fe721dc85d2b66eee7d457b3f49","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","DISA","2016-07","2017-10","2.000","1.785","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","f8fb97f0c35eb66e82a2dd33be510d6d7ff7f0d5096fc825199018e824e85efc","0-dcb7896e10195ab2d482d545b6d8de6d64b77a78f07a2f05015ea89c7bf1947b","MIPR","","","","","","","","","","","","0-db76b41220e9d9fd82752269f76de47b722cea5474a04c738029176ca44d450d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","DISA","2017-07","2018-10","2.000","1.785","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","f8fb97f0c35eb66e82a2dd33be510d6d7ff7f0d5096fc825199018e824e85efc","1-4ad9f4a955829ab383738348271f1da4dddf5591283e2cfbc57abde4d9f35c20","MIPR","","","","","","","","","","","","0-db76b41220e9d9fd82752269f76de47b722cea5474a04c738029176ca44d450d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","DISA","2016-07","2017-10","2.000","2.715","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","f8fb97f0c35eb66e82a2dd33be510d6d7ff7f0d5096fc825199018e824e85efc","0-6aa871d7f80a20164274d1e2d2e436c1c84a8ceac32fbedbddf328af8351757a","MIPR","","","","","","","","","","","","0-054ac507e8fbe934004d31a1a2f25ab02c98c885f83f5e56c308af8626b55306","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","DISA","2017-07","2018-10","2.000","2.715","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","f8fb97f0c35eb66e82a2dd33be510d6d7ff7f0d5096fc825199018e824e85efc","1-0ea7fb3b837736f5ae80c04a1c48b74b16f980d447d3853aa9332147c2753b8e","MIPR","","","","","","","","","","","","0-054ac507e8fbe934004d31a1a2f25ab02c98c885f83f5e56c308af8626b55306","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","DIMOC","2013-03","2013-06","1.000","0.300","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DMACT-PROCUREMENT_JustificationBook_Defense_Media_Activity_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Media_Activity_PB_2015.xml","d0c7d5f51e6500315966f765f99fe0bd37d3fbd93b030aaa2ca6e9b50672cdde","0-039a41676212ff40f6323e499c93de67fed3b3e1df3935e27c7940c93a688bc7","PO","","","","","","","","","","","","0-f39077559aac898f67fb362707f20ea4dc2472551fdd0df94e57d9984eedf751","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","DMA OPS","2013-05","2013-07","1.000","2.000","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DMACT-PROCUREMENT_JustificationBook_Defense_Media_Activity_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Media_Activity_PB_2015.xml","d0c7d5f51e6500315966f765f99fe0bd37d3fbd93b030aaa2ca6e9b50672cdde","0-757dda3406e5f8ae50e135e230a8f7ea6b15c407149b8ed91540eda4ff419fd1","PO","","","","","","","","","","","","0-cbab5d32eaa06d7675fd6b4433d2cb7d5872d2c117b8ee5e29a167b7b44e69f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","DMA OPS","2013-05","2013-07","1.000","2.000","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DMACT-PROCUREMENT_JustificationBook_Defense_Media_Activity_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Media_Activity_PB_2015.xml","d0c7d5f51e6500315966f765f99fe0bd37d3fbd93b030aaa2ca6e9b50672cdde","0-691105cea6bfdc15825a78663467e5bcc250300568e290ee188fcdd0eef7d40f","PO","","","","","","","","","","","","0-d95e78bf8224d9b1bd96e535bcfff4d08f5086571c6ecd42b8c9cd2f9c61f703","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","DIMOC","2013-03","2013-06","1.000","0.300","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DMACT-PROCUREMENT_MasterJustificationBook_Defense_Media_Activity_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Media_Activity_PB_2015.xml","3419636438835c4a39a1acc187ca1de588bf6cf562700805d7bdcbecf442fb79","0-65bd8a1ae633ed0a900fdcd6c5e254aa4788cbb4bba556c4db7ce03cd94e545b","PO","","","","","","","","","","","","0-b2326c6f3ccb3a77efc4719036ad477c31b029ab789031878d6573df1f8cdbe1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","DMA OPS","2013-05","2013-07","1.000","2.000","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DMACT-PROCUREMENT_MasterJustificationBook_Defense_Media_Activity_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Media_Activity_PB_2015.xml","3419636438835c4a39a1acc187ca1de588bf6cf562700805d7bdcbecf442fb79","0-8517dc33fb514c360e68e125ec6524340a8181557063cbea0de97758cc84b622","PO","","","","","","","","","","","","0-fb1ad5a48537a2fc44ae7ec03988282fc060725694a1daab52e955bfe66df7a5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","DMA OPS","2013-05","2013-07","1.000","2.000","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_DMACT-PROCUREMENT_MasterJustificationBook_Defense_Media_Activity_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense_Media_Activity_PB_2015.xml","3419636438835c4a39a1acc187ca1de588bf6cf562700805d7bdcbecf442fb79","0-33b5511fc0f8ca31e864fae8ec3938b281c89d4a53c1c5ef65336f1b382e0c77","PO","","","","","","","","","","","","0-1efb1e1194446a174167848a2296c4a4cb65a75c716470e60dfb45c7b3f4cae9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","DIMOC","2013-03","2013-06","1.000","0.300","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","08d433f1b2264b6d04c54229c596701af5f3cebecc97e20b280ad0e074c8fcda","0-cd07c6e60102df2f96a729ac1a59b189364d87cea54c8eeb2059c248d93f4ed2","PO","","","","","","","","","","","","0-cad0318bbcd6065a148267084a0ada7c6f8c85b5b0ecafd821e4dec723fd4eaf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","DMA OPS","2013-05","2013-07","1.000","2.000","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","08d433f1b2264b6d04c54229c596701af5f3cebecc97e20b280ad0e074c8fcda","0-a3ad79009c9daf91cd2054c0fc83850177224977d8f2048c480cd09d5a846e96","PO","","","","","","","","","","","","0-4179a016ad61e08033a65b88661f4b1a914f435c92ea281ceb6c4d3f29b26b5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","DMA OPS","2013-05","2013-07","1.000","2.000","false","","","","2015-BASE_PROCUREMENT-2015-DEFENSE_VOL1-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2015.xml","08d433f1b2264b6d04c54229c596701af5f3cebecc97e20b280ad0e074c8fcda","0-a5a5630d8765e567414ae0d368243a98b9180a4cbfcb35490234d4d890390e98","PO","","","","","","","","","","","","0-f7fdcbfcd0ed0237e27d19056737a663681716f95cb192c8bf3f7438fb124517","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","","Hill AFB, UT","2011-01","2011-02","8.000","0.025","false","","SS","IDIQ","2015-BASE_PROCUREMENT-2015-DEFENSE_OSD-PROCUREMENT_JustificationBook_Office_of_Secretary_Of_Defense_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Office_of_Secretary_Of_Defense_PB_2015.xml","27c1327f06f932a9c9af4905eee12f679ce405ca147f394f03b4cb06b4be9605","0-1c6e1441daa8912f39b6518deb9f1fa173eb6d8f92f5ca1eca7c8a39fbe554b3","","","","","","","","","","","","","0-0e96a2d08b943657fc438301e24f4ad9063f319360e23ecaf34d35687530df89","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","Hill AFB, UT","2013-02","2013-06","1.000","0.850","false","","SS","IDIQ","2015-BASE_PROCUREMENT-2015-DEFENSE_OSD-PROCUREMENT_JustificationBook_Office_of_Secretary_Of_Defense_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Office_of_Secretary_Of_Defense_PB_2015.xml","27c1327f06f932a9c9af4905eee12f679ce405ca147f394f03b4cb06b4be9605","0-b8f989ba84bc6ce3fefa3879230109f7b3583ce5922578d39340f0998c4ef7a6","","","","","","","","","","","","","0-f94c625f8145cc092d03061038c40b3803396cc6b155a43cf6885239a3461d3a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2012","","Hill AFB, UT","2012-01","2012-02","40.000","0.100","false","","SS","IDIQ","2015-BASE_PROCUREMENT-2015-DEFENSE_OSD-PROCUREMENT_JustificationBook_Office_of_Secretary_Of_Defense_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Office_of_Secretary_Of_Defense_PB_2015.xml","27c1327f06f932a9c9af4905eee12f679ce405ca147f394f03b4cb06b4be9605","0-6b3d50d3ac32e2bd8955c7909b1f87c1ede64307f0be76a7508fd7f1f57b9eb2","","","","","","","","","","","","","0-c333f1a3b6f016f23f8953078a3b9d6a5f53786c84e29a7de429428e2dc3a64d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2011","","Hill AFB, UT","2011-01","2011-02","1.000","0.300","false","","SS","IDIQ","2015-BASE_PROCUREMENT-2015-DEFENSE_OSD-PROCUREMENT_JustificationBook_Office_of_Secretary_Of_Defense_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Office_of_Secretary_Of_Defense_PB_2015.xml","27c1327f06f932a9c9af4905eee12f679ce405ca147f394f03b4cb06b4be9605","0-0209e2336814d10fd88d5b112bb3aca662febe7e0f1dd3ea5d66a30a6bb0a5ae","","","","","","","","","","","","","0-b18beba301b35ba8345bd7387b4409f48d639992b4d4a6c0fcea6033c5b49b7d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer"
