Name_val,Location_val,Type_val,FacilityProjectList_FacilityProject_Type_val,FacilityProjectList_FacilityProject_Contractor_val,FacilityProjectList_FacilityProject_Description_val,FacilityProjectList_FacilityProject_CostList_Maintenance_BudgetYearOneBase_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Maintenance_BudgetYearOne_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Maintenance_PriorYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Maintenance_CurrentYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Total_BudgetYearOneBase_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Total_BudgetYearOne_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Total_PriorYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Total_CurrentYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Recurring_PriorYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Recurring_CurrentYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Recurring_BudgetYearOneBase_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Recurring_BudgetYearOne_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Environmental_PriorYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Environmental_CurrentYear_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Environmental_BudgetYearOneBase_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Environmental_BudgetYearOne_TotalCost_val,FacilityProjectList_FacilityProject_CostList_Other_PriorYear_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Pine Bluff Arsenal","Pine Bluff, Arkansas","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2015 Base procurement dollars in the amount of $0.313 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling and special test equipment being retained to support potential future requirements at Pine Bluff Arsenal.  These funds also support associated MIF costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.163","0.163","0.17","0.173","0.313","0.313","0.327","0.333","0.157","0.16","0.15","0.15","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","6-8e941ddcdca7f9f751d66ddb30649ef4077d706690aae7bd3a0cac0e4b2d5dfe","2230-d9569370c6e5782e377ebb6ad7744f9145eae8d975c81ef8489672b4d8e387f2","root"
"Quad City Cartridge Case Facility","Rock Island, Illinois","GOCO","Inactive Lines at Active Plants","Norris Industries","FY 2015 Base procurement dollars in the amount of $0.509 million support the care and maintenance of laid-away deep draw cartridge case production line located at the Quad City Cartridge Case Facility in Rock Island, IL.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, and minimum maintenance of specialized production equipment.","0.509","0.509","","0.5","0.509","0.509","","0.5","","","","","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","7-de53da6d73d32b9db48e4d40edeaa34ff454b60deaf5dd7dd5efd69f3cfa96a2","2230-d9569370c6e5782e377ebb6ad7744f9145eae8d975c81ef8489672b4d8e387f2","root"
"Radford Army Ammunition Plant","Radford, Virginia","GOCO","Inactive Lines at Active Plants","BAE Systems Ordnance","FY 2015 Base procurement dollars in the amount of $0.429 million support the care and maintenance of laid-away critical production facilities at Radford Army Ammunition Plant.  They include periodic inspections of equipment and buildings, corrective maintenance to maintain weather-tightness of buildings, preservation efforts, asbestos management, and minimum maintenance of specialized production equipment.  These efforts support associated MIF costs and provide monitoring of excess facilities.","0.129","0.129","0.045","0.125","0.429","0.429","0.15","0.414","0.09","0.248","0.257","0.257","0.015","0.041","0.043","0.043","","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","8-a5955c6fef40dc0d8158460a8c05b5c94c7bcd175e4e04554498e314f43f65dd","2230-d9569370c6e5782e377ebb6ad7744f9145eae8d975c81ef8489672b4d8e387f2","root"
"Scranton Army Ammunition Plant","Scranton, Pennsylvania","GOCO","Inactive Lines at Active Plants","General Dynamics Ordnance and Tactical System (GD-OTS)","FY 2015 Base procurement dollars in the amount of $0.052 million support the care and maintenance of large caliber metal parts equipment at Scranton Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts and minimum maintenance of specialized production equipment.","0.052","0.052","","0.051","0.052","0.052","","0.051","","","","","","","","","","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","9-073e76a5262d88b2d0e41fbca85463538260ba0c58ffe4fca47d3373ad5852c4","2230-d9569370c6e5782e377ebb6ad7744f9145eae8d975c81ef8489672b4d8e387f2","root"
"Various","Various","GOCO","Inactive Lines at Active Plants","Various","FY 2015 Base procurement dollars in the amount of $1.376 million support the maintenance and long-term storage of reserved unique production equipment at various facilities.","0.728","0.728","0.531","1.684","1.376","1.376","1.061","3.368","","","","","0.53","1.684","0.648","0.648","","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","10-fbd9ecd52ce92711bc305f0cbebb16fab594663d91686de5200f84352358c7a8","2230-d9569370c6e5782e377ebb6ad7744f9145eae8d975c81ef8489672b4d8e387f2","root"
"Crane Army Ammunition Activity","Crane, Indiana","GOCO","Inactive Lines at Active Plants","Not Applicable","FY 2016 Base procurement dollars in the amount of $0.310 million support the care and maintenance of laid-away ammunition industrial facilities and equipment at Crane Army Ammunition Activity.  This effort includes non-severable equipment, plant equipment, special tooling, and special test equipment being retained as part of approved plant equipment packages, which are required to support future replenishment requirements.","0.31","0.31","0.307","0.309","0.31","0.31","0.307","0.309","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","0-5ee03024456b75f4e047c22e08c54edbd3e9b58b0b6a844c97dc15a099ec4d98","3320-50cb6f8dc2b42eec73ce3fd614d3a82960f63c49d03f1c8f3cdd41c13634ec9d","root"
"Hawthorne Army Depot","Hawthorne, Nevada","GOCO","Inactive Lines at Active Plants","Day & Zimmerman","FY 2016 Base procurement dollars in the amount of $0.099 million support the maintenance and long-term storage of reserved unique production equipment with long replacement lead times at Hawthorne Army Depot.","0.099","0.099","0.054","0.097","0.099","0.099","0.054","0.097","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","1-9792784e564c312fe2e2dc9cff5d5bd09bd13ff073a85aa38142b40be8c2d8bd","3320-50cb6f8dc2b42eec73ce3fd614d3a82960f63c49d03f1c8f3cdd41c13634ec9d","root"
"Holston Army Ammunition Plant","Kingsport, Tennessee","GOCO","Inactive Lines at Active Plants","BAE Systems Ordnance","FY 2016 Base procurement dollars in the amount of $0.053 million support the care and maintenance of laid-away critical production facilities at Holston Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, asbestos management, and minimum maintenance of specialized production equipment.","0.053","0.053","0.019","0.052","0.053","0.053","0.019","0.052","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","2-5104d83576e46c640f3715f0feddb49f1fcfe1e7fc3aea980fed443d7a79f298","3320-50cb6f8dc2b42eec73ce3fd614d3a82960f63c49d03f1c8f3cdd41c13634ec9d","root"
"Iowa Army Ammunition Plant","Middletown, Iowa","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2016 Base procurement dollars in the amount of $0.735 million support the care and maintenance of laid-away critical production facilities at Iowa Army Ammunition Plant.  They include periodic inspections of equipment and buildings, corrective maintenance to maintain weather-tightness of buildings, preservation touchup, asbestos management, and minimum maintenance of specialized production equipment.  These efforts are responsible for associated MIF costs and provide for monitoring of excess facilities until they can be disposed.","0.25","0.25","0.099","0.147","0.735","0.735","0.302","0.458","0.132","0.206","0.3","0.3","0.071","0.105","0.185","0.185","","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","3-c91a000cc7bcc3d1c4ebd1f873b0eaf99aab8ecc24b688f8138f85fede32af3d","3320-50cb6f8dc2b42eec73ce3fd614d3a82960f63c49d03f1c8f3cdd41c13634ec9d","root"
"McAlester Army Ammunition Plant","McAlester, Oklahama","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2016 Base procurement dollars in the amount of $0.161 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling, and special test equipment being retained to support potential future requirements at McAlester Army Ammunition Plant.  This effort also includes associated maintenance of inactive facilities costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.085","0.085","0.08","0.083","0.161","0.161","0.155","0.158","0.075","0.075","0.076","0.076","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","4-91693f1555b039de04719696c71804410a347966fbfa9ae111a1c6bb7d61d597","3320-50cb6f8dc2b42eec73ce3fd614d3a82960f63c49d03f1c8f3cdd41c13634ec9d","root"
"Milan Army Ammunition Plant","Milan, Tennessee","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2016 Base procurement dollars in the amount of $0.168 million support the care and maintenance of laid-away critical production facilities at Milan Army Ammunition Plant.  These activities include periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, plant equipment, special tooling, and special test equipment being retained to support potential future requirements.  This effort includes asbestos management, minimum maintenance of specialized production equipment and associated MIF costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.083","0.083","0.116","0.083","0.168","0.168","0.197","0.165","0.032","0.033","0.036","0.036","0.049","0.049","0.049","0.049","","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","5-9e8dbb7e2e21c512e05321bf50f3889b98abb6afcfb198a8df738e0ff04175d2","3320-50cb6f8dc2b42eec73ce3fd614d3a82960f63c49d03f1c8f3cdd41c13634ec9d","root"
"Pine Bluff Arsenal","Pine Bluff, Arkansas","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2016 Base procurement dollars in the amount of $0.313 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling and special test equipment being retained to support potential future requirements at Pine Bluff Arsenal.  These funds also support associated MIF costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.16","0.16","0.173","0.163","0.313","0.313","0.333","0.313","0.16","0.15","0.153","0.153","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","6-64630c71336063dc3320541f03ec3d637bbde702e2bd55361bbeb735f6f9f2cc","3320-50cb6f8dc2b42eec73ce3fd614d3a82960f63c49d03f1c8f3cdd41c13634ec9d","root"
"Quad City Cartridge Case Facility","Rock Island, Illinois","GOCO","Inactive Lines at Active Plants","Not Applicable","FY 2016 Base procurement dollars in the amount of $0.425 million support the care and maintenance of laid-away deep draw cartridge case production line located at the Quad City Cartridge Case Facility in Rock Island, IL.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, utilities, preservation efforts, and minimum maintenance of specialized production equipment.","0.4","0.4","","0.259","0.425","0.425","0.006","0.283","0.006","0.024","0.025","0.025","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","7-dc46dd4a303b0a2bd94cc5c4d834649d2d5d69feae46f941192df76d5f39c894","3320-50cb6f8dc2b42eec73ce3fd614d3a82960f63c49d03f1c8f3cdd41c13634ec9d","root"
"Radford Army Ammunition Plant","Radford, Virginia","GOCO","Inactive Lines at Active Plants","BAE Systems Ordnance","FY 2016 Base procurement dollars in the amount of $0.437 million support the care and maintenance of laid-away critical production facilities at Radford Army Ammunition Plant.  They include periodic inspections of equipment and buildings, corrective maintenance to maintain weather-tightness of buildings, preservation efforts, asbestos management, and minimum maintenance of specialized production equipment.  These efforts support associated MIF costs and provide monitoring of excess facilities.","0.134","0.134","0.075","0.129","0.437","0.437","0.219","0.429","0.111","0.257","0.258","0.258","0.033","0.043","0.045","0.045","","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","8-9c3598fb3edaa7aa4f24c4ca9115dbefda32bc4f3503931f91daed8a6ce7a0f2","3320-50cb6f8dc2b42eec73ce3fd614d3a82960f63c49d03f1c8f3cdd41c13634ec9d","root"
"Scranton Army Ammunition Plant","Scranton, Pennsylvania","GOCO","Inactive Lines at Active Plants","General Dynamics Ordnance and Tactical System (GD-OTS)","FY 2016 Base procurement dollars in the amount of $0.053 million support the care and maintenance of large caliber metal parts equipment at Scranton Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts and minimum maintenance of specialized production equipment and associated storage costs.","0.053","0.053","","0.052","0.053","0.053","","0.052","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","9-1ab9c61f4f81cbbd0710463052956d0f7f17805d0da939739ff8e2f362ccfedc","3320-50cb6f8dc2b42eec73ce3fd614d3a82960f63c49d03f1c8f3cdd41c13634ec9d","root"
"Various","Various","GOCO","Inactive Lines at Active Plants","Various","FY 2016 Base procurement dollars in the amount of $3.283 million support the maintenance and long-term storage of reserved unique production equipment at various facilities.","1.733","1.733","","0.85","3.283","3.283","4.207","1.602","","","","","","0.752","1.55","1.55","4.207","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","10-5811afeb408759dec61122c1b50d7c3b768850ece481dead1ea4e53b8a7b1e56","3320-50cb6f8dc2b42eec73ce3fd614d3a82960f63c49d03f1c8f3cdd41c13634ec9d","root"
