Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_AllPriorYears_TotalCost_val,Number_val,Title_val,ProductionLinesLayaway_Name_val,ProductionLinesLayaway_Location_val,LayawayCost_val,Description_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ProductionEnd_val,@PARENTROWID,@PARENT
"","","1.889","1.889","","5168067","Layaway of Magnesium Nitrate Facility","Magnesium Nitrate Unit #5","","1889","FY 2016 Base Procurement dollars in the amount of $1.889 million support layaway of the Magnesium Nitrate Facility at Holston Army Ammunition Plant (AAP).  The facility was removed from layaway status in 2012 to support production of strong nitric acid (SNA) at Holston AAP.  In May 2012, the primary supplier of SNA experienced an accidental explosion resulting in a two year delay in production.  This layaway effort will assure preservation for future reactivation.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","1-345a631ca2505ea9baae4b346ac0abc2197e857eb313d3ee15b8baf892dc80c5","2015-09","1-46c652ba53e6052f6f34492c739d7dee711e49bbe01645adfc85496f2a8270ae","root.record.FacilityList.LayawayFacility"
"","","1.1","1.1","","5XX8049","Decontamination and Disposal of Excess Production Equipment","Various","","1100","FY 2016 Base procurement dollars in the amount of $1.100 million support decontamination and disposal of excess equipment no longer required for production at Iowa Army Ammunition Plant (AAP).  Decontamination and disposal of inactive equipment enables Iowa AAP to re-use existing storage facilities for future production.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","0-499bedf4995c2ba8ec2005750bb0931cb304a4ff2397b90b171b1c9d5c1fe5cd","","2-045e8edca1c8203a0b9dcd47d188a56986d6584da68650a2424c69cdd6993e09","root.record.FacilityList.LayawayFacility"
"","2.077","","","","5XX8051","Facility Disposal/Demolition","Various","","2077","Procurement dollars in the amount of $2.077 million support efforts to decontaminate, remove asbestos and demolish facilities plant wide due to unsafe conditions and environmental risks at Iowa Army Ammunition Plant.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","1-bc676fc7f700702efedac964f5686005532aabbe2184f642630a5fe482d94d4e","","2-045e8edca1c8203a0b9dcd47d188a56986d6584da68650a2424c69cdd6993e09","root.record.FacilityList.LayawayFacility"
"","3.659","","","","5158056","Demolition of Excess Buildings","Various","","3659","Procurement dollars in the amount of $3.659 million support effort to demolish facilities plant wide due to unsafe conditions and environmental risks at Lake City Army Ammunition Plant.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","0-a09c08029e18270b56202ee19900fb0bde1bb168ae8c0b6299c5662f97061866","","3-d33b12340d9272f6c4eb995abf9469a869500afacc2f073e7fab175c2a44cb39","root.record.FacilityList.LayawayFacility"
"","0.312","","","","5158058","Transition Line H to Modified Caretaker","60mm and 81mm Mortars","Line H","312","Procurement dollars in the amount of $0.312 million support efforts to transition Line H at Milan Army Ammunition Plant (AAP) to modified caretaker.  Efforts will decontaminate to level 5X condition and dispose of all excess production equipment.  Efforts will also retain selected equipment and transfer the items to a layaway storage facility at Milan AAP to preserve for future production capacity.  In December 2011, production of ignition cartridges and propelling charges for 60mm and 81mm mortars was shut down at Line H.  Production of these items has been transferred to Iowa Army Ammunition Plant.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","0-069a2893a7207fa27ced4751136aea7640ebe0f5d96527871fdecb020a3eccef","","4-a5448b7fee7f964395714daf1e33c7c39d7926814caa4cabeb74d37be634d283","root.record.FacilityList.LayawayFacility"
"","0.312","","","","5158059","Transition Line O to Modified Caretaker","Various Ammunition Components","Line O","312","Procurement dollars in the amount of $0.312 million support transition of Line O at Milan Army Ammunition Plant to modified caretaker.  Effort will decontaminate and dispose of all excess production equipment.  Efforts will also retain selected production equipment and transfer the items to a layaway storage facility at Milan AAP to preserve for future production capacity.  In December 2011, production and demilitarization of various ammunition components was shut down at Line O.  Production of these items has been transferred to Iowa Army Ammunition Plant.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","1-c5201081c1e746bfc433e08db86f37ab81a27e73c426c94f7797f0c454e3c15b","","4-a5448b7fee7f964395714daf1e33c7c39d7926814caa4cabeb74d37be634d283","root.record.FacilityList.LayawayFacility"
"0.138","","","","","5148052","Facility Disposal/Demolition","","","138","Procurement dollars in the amount of $0.138 million support efforts to decontaminate, remove asbestos, and demolish building J-139, due to unsafe conditions and environmental risks, at Milan Army Ammunition Plant.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","2-c8ab9063ae31f522168c29b418b6a7cda85ee9fa7f654c3edafed149c4ba43c7","","4-a5448b7fee7f964395714daf1e33c7c39d7926814caa4cabeb74d37be634d283","root.record.FacilityList.LayawayFacility"
"","","0.173","0.173","","5168061","Layaway Area ZZ (Test Area)","","","173","FY 2016 Base procurement dollars in the amount of $0.173 million support layaway of Area ZZ buildings and equipment at Milan Army Ammunition Plant.  Effort is required to maintain production readiness for 40MM grenade test fire.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","3-24a2b9172ffcb5e2f4875b872322f779dd9fc850d7ed9b561780b6f60a8a27c7","","4-a5448b7fee7f964395714daf1e33c7c39d7926814caa4cabeb74d37be634d283","root.record.FacilityList.LayawayFacility"
"","","0.445","0.445","","5168063","Layaway Line A","","","445","FY 2016 Base procurement dollars in the amount of $0.445 million support layaway of Line A buildings and equipment at Milan Army Ammunition Plant.  Effort will maintain production readiness for 40mm grenade pressing and 155mm Improved Conventional Munitions (ICM) artillery shell and Multiple Launch Rocket System (MLRS) download operations.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","4-9fa930b0a6d8366a25c2a8c9ca0159459e2bf1e7333843a9e9448ac81e4b09cb","","4-a5448b7fee7f964395714daf1e33c7c39d7926814caa4cabeb74d37be634d283","root.record.FacilityList.LayawayFacility"
"1.395","","","","","5148055","Remove/Dispose of Hexachlorethane (HC)/Zinc Chloride Mix Equipment, Building 34-640","Large Mix Load, Assemble and Pack (LAP), HC smoke munitions.","Building 34-640","1395","Procurement dollars in the amount of $1.395 million support efforts to remove, decontaminate and dispose of HC / Zinc Chloride mix equipment in building 34-640 at Pine Bluff Arsenal.  HC has been determined to be a toxic carcinogen and will no longer support program objective memorandum (POM) buys.  All equipment must be flashed to level 5X prior to disposal.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","0-7a319097a7ca7c3843df0df4582c499007496cd8a93c94615cbb174bca07e7d4","","5-f760e2cdf3381cd439cc9581d49e18a474762a200c661be67abe98aec0ab0206","root.record.FacilityList.LayawayFacility"
"","","1.788","1.788","","5168035","Demolition of Inactive White Phosphorous Production Tanks, Ph 2","Various","","1788","FY 2016 Base procurement dollars in the amount of $1.788 million support decontamination and demolition of obsolete White Phosphorous production tanks and support equipment at Pine Bluff Arsenal.  These efforts will eliminate safety and environmental risks.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","1-4f2ea7b31b586cec57392bc187a6796aebc09c694e8d7b305961b4c04e29b04f","","5-f760e2cdf3381cd439cc9581d49e18a474762a200c661be67abe98aec0ab0206","root.record.FacilityList.LayawayFacility"
"","","0.419","0.419","","5168045","Removal/Disposal of Inactive White Phosphorous Equipment","Tank #3 (34-170), Tank A (34-130), Test Ovens (34-110) & Containment area (34-196)","","419","FY 2016 Base Procurement dollars in the amount of $0.419 million support removal and disposal of inactive White Phosphorous equipment at Pine Bluff Arsenal.  The obsolete White Phosphorous support equipment will be decontaminated, dismantled and disposed.  This project will eliminate safety, environmental and a human health hazards.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","2-2876a2c80520d0cf19be291c714861cc1267ff1ecab6001d8fe333aa06826348","","5-f760e2cdf3381cd439cc9581d49e18a474762a200c661be67abe98aec0ab0206","root.record.FacilityList.LayawayFacility"
"6.681","","","","","51X8053","Layaway of Steel Cartridge Case Equipment","105mm M148A1B1, 155mm Advanced Gun System (AGS), 5","","6681","Procurement dollars in the amount of $6.681 million support this effort to layaway the deep drawn cartridge case equipment at the Quad City Cartridge Case Facility.  Effort includes purchase of intellectual property, tooling, gages, and common processes, and in-house project support costs.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","0-b8d9e0d0803cac6a7c456dacde27059696982de52257c72a38a0eb92cb1723a4","","6-a8b8ed8de043a7bee80051e13abf298326e3b71bc8f2f7c327fd2c4aedd4e148","root.record.FacilityList.LayawayFacility"
"6.589","","0.73","0.73","","5XX8440","Decontamination and Disposal of Facilities/Excess Production Equipment","Various","","7319","FY 2016 Base procurement dollars in the amount of $0.730 million support this continued effort to decontaminate and dispose of excess production equipment and facilities at Radford Army Ammunition Plant.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","0-156c3e6783b610d350025bc1ebb1f38cd7fd3289528f410577f895c4a090d963","","7-93c73d0a3d62e372c5390ce8d8a32ca3038d171878828f8457fb1705545f523d","root.record.FacilityList.LayawayFacility"
"1.193","","","","","5XX8047","Remove Nitrocellulose (NC) Hill Tanks","","","1193","Procurement dollars in the amount of $1.193 million support efforts to remove and dispose waste NC from recovered water tanks at Radford Army Ammunition Plant. These efforts will significantly reduce environmental and safety issues associated with large quantities of legacy NC.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","1-36872c1c35939dc67e3448aa72d548225e1469240119c2ed40b47c9fbd7d256c","","7-93c73d0a3d62e372c5390ce8d8a32ca3038d171878828f8457fb1705545f523d","root.record.FacilityList.LayawayFacility"
"1.292","","","","","5143721","Removal of Verson Press System","","","1292","Procurement dollars in the amount of $1.292 million support the removal of the Verson Press System at Scranton Army Ammunition Plant.  The press system is comprised of a 1500 ton hydraulic preform press, a 1500 ton hydraulic extrusion press, and a 1250 ton hydraulic draw press.  The system has been in layaway status for twenty five years.  The press system has deteriorated and is no longer economically feasible to repair and retain.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","0-751a71690c1cf7d82fca390849214a9a086c7ab03ed6403db2a3030abcbf85f6","","8-114d258b3ba7736c437f50006e25636307ee42dedf3db7ff1daa58e8bf7c0797","root.record.FacilityList.LayawayFacility"
"","0.6","","","","5158068","Layaway of 120mm Mortar Line","Layaway of 120mm Mortar Line","","600","Procurement dollars in the amount of $0.600 million support layaway of the 120mm Mortar production line at Scranton Army Ammunition Plant.  This project will ensure the 120mm Mortar production line is maintained in a","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","1-f18917d385b7b96bbcd9b93f56329bbbbb352483a311c45098b971a5a8c5dfbb","","8-114d258b3ba7736c437f50006e25636307ee42dedf3db7ff1daa58e8bf7c0797","root.record.FacilityList.LayawayFacility"
"","","0.623","0.623","","5168072","Removal of the John Deer Furnace","","","623","FY 2016 Base procurement dollars in the amount $0.623 million support removal of the John Deere Furnace at Scranton Army Ammunition Plant.  The furnace has been inactive for over twenty years and is no longer required for plant operations.  This project will remove and scrap the John Deer Furnace to create additional capacity for future production modernization enhancements.","2016-BASE_PROCUREMENT-2016-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","b8c74bded3f7e8d5becd320d034e0321c86f39aa744ca436c07c8d4430a61422","2-6166a2d2d2e1afc3bb53e675fc866c8b1ae4df6dafe847c08dc5725180e44798","","8-114d258b3ba7736c437f50006e25636307ee42dedf3db7ff1daa58e8bf7c0797","root.record.FacilityList.LayawayFacility"
