Name_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","3.86","44.282","21.937","21.937","40.538","12","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","add333791f7496de303f7df089bdb4fa3297b7f51cbea6ba4b232ca9278648f2","0-8d925811c17f72fc036a81ecefbc1fdfb038a0ef3b5621a5c786fa6c2d7d7a82","0-3a928f648540a5c4ff34dfb6c34eb3628e0aaa2c0ac7464ebefd818151b83ffd","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","14.643","50.943","25.915","20.451","21.389","20.55","36.3","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","add333791f7496de303f7df089bdb4fa3297b7f51cbea6ba4b232ca9278648f2","0-597e164bc4368c05fa1d28d0eaa4077b7d085802e9682112060a0b4e8d28fb24","1-9a1ed4b0757cc4ba7371efb83de763deb964a76b5d85a005f38c9fe541b58841","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","0.306","0.306","7.7","5.38","6.06","0.7","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","add333791f7496de303f7df089bdb4fa3297b7f51cbea6ba4b232ca9278648f2","1-6acca07a4b848dd58de69a02ce45ef1bbc6193f7ee3b73821d72d8fde9bb764c","1-9a1ed4b0757cc4ba7371efb83de763deb964a76b5d85a005f38c9fe541b58841","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","","0.27","0.27","5.5","4","3.69","0.42","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","add333791f7496de303f7df089bdb4fa3297b7f51cbea6ba4b232ca9278648f2","2-1d7107a564894e26527471e0ad187434be544cc4fb66e30f9793702f0560de21","1-9a1ed4b0757cc4ba7371efb83de763deb964a76b5d85a005f38c9fe541b58841","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","","3","","","","","3","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","add333791f7496de303f7df089bdb4fa3297b7f51cbea6ba4b232ca9278648f2","0-c3eb4ca70fd5c4c4e31674f970f298651b1c76f3f195b964a075510f89bcd233","2-236bdd14e1a741fce30989fb441085ba80e08b98c3e06f4f9e8e466febfad9e3","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","","0","0","","","","","0","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","add333791f7496de303f7df089bdb4fa3297b7f51cbea6ba4b232ca9278648f2","1-138cf55d571537273a034cb17079c1999250632403592f3b3af49b3e4d70ecb1","2-236bdd14e1a741fce30989fb441085ba80e08b98c3e06f4f9e8e466febfad9e3","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","2.246","2.246","1.325","1.233","1.239","1.26","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","941f9466d0337a0d4c7254202e2a24512cd2e73a083e46170a5bf5d66c91895d","0-3dcfe8979fde846e0b24fa4b9b4d056534919d591f69eab6fd67843c70f37063","0-d87aba92ff3dd503f97300b9e32eaef0f5b09dc37780cb7a75587138be014177","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","0","110","110","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","941f9466d0337a0d4c7254202e2a24512cd2e73a083e46170a5bf5d66c91895d","0-bb039f74fbd9d19567012752b8a284dfa7a2bcf107658f12089e8298ca1bacf8","1-47b334a6456078a59b4417ec78191fed9d37a640610d02ed681dc91ace2b084b","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","189.995","240.947","255.042","255.042","152.137","181.742","226.577","329.318","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","8aa2987077cba21d7a690aabe741fcb71ed8cc6805c799f3e69b8d4f997c6d78","0-9a38fcad7fa65b4251b545afd86610d3f6d0ad21fcbc036ed0e09b3ee50d8534","0-93ec58a451d3382ff1608361c4c53c701408daf60bf54f2aaae2436a9675bbb6","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","4","4","55.223","47.633","47.07","56.855","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","8aa2987077cba21d7a690aabe741fcb71ed8cc6805c799f3e69b8d4f997c6d78","0-3efd7bcbcfe4f84e8f7419e82086c8e153bef51ce1020f14d614b7ac7d706024","1-bec0b95102c6f17471c7ad0044105acf1ae3532d9ba82ea21c9195459b890345","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","6","6","31.413","37.099","55.765","81.244","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","8aa2987077cba21d7a690aabe741fcb71ed8cc6805c799f3e69b8d4f997c6d78","0-7a75bd78430a9de0f217e7ca1bcecdb0e8442dd9a5ff45d5bdc1769f44cea4dd","2-5c95431242f206538a53ad479fdbfb305d3837e2fbc90e6500bc9578c0a5e2d3","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","","","5.696","28.68","34.837","49.086","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","8aa2987077cba21d7a690aabe741fcb71ed8cc6805c799f3e69b8d4f997c6d78","1-6a7d53ccec242e63bffbec2468f78f0457e7e20478372aa4302190bb81f072e2","2-5c95431242f206538a53ad479fdbfb305d3837e2fbc90e6500bc9578c0a5e2d3","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","75.189","0.2","20.881","20.881","69.101","77.253","43.51","14","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","8aa2987077cba21d7a690aabe741fcb71ed8cc6805c799f3e69b8d4f997c6d78","0-4cf689386a17988b2a9bd5fcf61a2f62808758217763ae7b1344292765281bda","3-5eb7241a5bc8111c57bc9dc9184e26e9822989a9871bc5f1192a23abc303c7e5","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","35.102","232.26","161.219","161.219","18.514","9.628","40.425","27.971","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","8aa2987077cba21d7a690aabe741fcb71ed8cc6805c799f3e69b8d4f997c6d78","1-3de5e7c98e80f5d2009593bd8a1867eb612363d127c28ba14730d3bb127cb7d1","3-5eb7241a5bc8111c57bc9dc9184e26e9822989a9871bc5f1192a23abc303c7e5","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","6.387","6.387","12.226","48.6","48.6","49.6","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","8aa2987077cba21d7a690aabe741fcb71ed8cc6805c799f3e69b8d4f997c6d78","0-65215ff042f4c07b3beeb943e33c6414b79574653520c3d5a571d39bbfd66da6","4-cc25381b4ecd5bbd05f0b74d3e43a196e79403976e5da2111fbcc8eb73ad22f4","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","6.409","6.409","11.91","47.5","47.208","48.408","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","8aa2987077cba21d7a690aabe741fcb71ed8cc6805c799f3e69b8d4f997c6d78","0-faa314a4635035c0732c6731572aaa946db803ff0abbe8afbc299c6524b70d64","5-cad9cbe455f011106ec91319df0b0b79333ab253ee96300a9bda465b45ff38ba","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","7","7","14.2","46.308","48.8","50.8","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","6c77a605c36c48ffaa7224e3b54ae260f63319c4ce71f3c1219fb9644896a0e4","0-b8c58bc7d9238027eb1ae28e5bffcf54ceada003c37d66bc4e91d4a5ea783f2d","0-c071c1cc3306d1fea71d648ee1132faf3a2d2f2bc2f46726366566d7f1894a80","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","2.851","2.851","5.563","5.269","5.883","7.357","0","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","6c77a605c36c48ffaa7224e3b54ae260f63319c4ce71f3c1219fb9644896a0e4","0-7e9e7810ba872bec60af127f32dfe04b98bacf3eaeee82d67168e669454832be","1-188434f041320c704a2012b66602dedca57656a2a091da7181c31752abf0fd7c","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","0.349","0.349","0.941","0.897","0.927","1.078","0","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","6c77a605c36c48ffaa7224e3b54ae260f63319c4ce71f3c1219fb9644896a0e4","1-9242e9d01806161199094cec68d60662f6b3b322db419bbb0663f822ddfd17d2","1-188434f041320c704a2012b66602dedca57656a2a091da7181c31752abf0fd7c","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","108.952","108.4","65.637","65.637","114.125","104.955","84.047","67.886","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","ed6b4b9da6afdea815e34b682c26377a6a9a7ae4e519cff1877520e43f4bcd82","0-cc92088ede8142b10c23fd1c0722853cdf39b6eacd2f674fec15144439168f16","0-784116a28f5074cb90beacb9f3ffdb0be41b5b35624d32eb7f4753c2d34cf3b6","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","17.171","10.812","11.3","11.3","17.194","16.178","14.568","15.035","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","ed6b4b9da6afdea815e34b682c26377a6a9a7ae4e519cff1877520e43f4bcd82","1-b30ddad832bb5cdb0af4aec8b49951598bc5f8c23e0628d64df43d11e79e499b","0-784116a28f5074cb90beacb9f3ffdb0be41b5b35624d32eb7f4753c2d34cf3b6","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","24.246","15.849","14.22","14.22","23.591","20.95","16.119","10.971","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","ed6b4b9da6afdea815e34b682c26377a6a9a7ae4e519cff1877520e43f4bcd82","0-cd9495ba954283d52786cedc5cee07d071763a0c816707d37b1ff07a5469be9c","1-7152bdfd8e76f9cca100500d776b276a09bcdfc940c0fcc98ae9541dd15715de","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","3.136","0.905","2.393","2.393","6.788","5.47","1.765","1.353","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","ed6b4b9da6afdea815e34b682c26377a6a9a7ae4e519cff1877520e43f4bcd82","1-6e3174a7ae78e1d24e85bc3f18253ee37ec03c889551938e873d1bf6931a2997","1-7152bdfd8e76f9cca100500d776b276a09bcdfc940c0fcc98ae9541dd15715de","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","25.011","29.347","21.249","21.249","36.009","13.617","0.889","3.358","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","ed6b4b9da6afdea815e34b682c26377a6a9a7ae4e519cff1877520e43f4bcd82","0-10e122b48cb3f6aa11c6cdb7dafabf18a96118a4a8a00dcfe9582d7e331b125c","2-0477c29fae79f8003dea80d2665bd390525bd554ab7fde19842e7a9aeba5b60e","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","5.727","","","","5.228","8.254","1.683","6.412","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","ed6b4b9da6afdea815e34b682c26377a6a9a7ae4e519cff1877520e43f4bcd82","1-b8cb310a2069c674b44da905114f9e4d47a13edddf782af31473749d2c8c4d16","2-0477c29fae79f8003dea80d2665bd390525bd554ab7fde19842e7a9aeba5b60e","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","28.5","69.325","69.325","79.091","110.171","13.187","15.228","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","6d560f3957f62e8a08c70b48337c56b6d9b63933a81682331d1824c1d2432f76","0-d33c5bba8c8edc96e2b903afd03f9200f842aacffb6f5fea48db802925db3f65","0-77f74bb8c75ec1861d75962127eadb63c8a449732805765a1fb4655ed94009e0","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","","","","34.66","","5.301","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","6d560f3957f62e8a08c70b48337c56b6d9b63933a81682331d1824c1d2432f76","1-08a359a07d9c797574b5f64f120ba8a16fcbb4babe1cbba4c4e9ddeb5849f6c4","0-77f74bb8c75ec1861d75962127eadb63c8a449732805765a1fb4655ed94009e0","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","1.35","1.35","1.217","3.184","3.326","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","19358a592eaa207e572f01c09c2d66245773de73a2fa9e66ec5dbedcedd44720","0-fa1956ce5134e1236724aaae06b5b6661ed8379d7aac9466c1f6be6f8527bfc6","0-37efa86c77b239b3eb614ea9d5f9c557a28ea0faaabb6c20fe7368f39a76fc34","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","0.65","0.65","2.434","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","19358a592eaa207e572f01c09c2d66245773de73a2fa9e66ec5dbedcedd44720","1-b0877f68f59b4910db660c41387cd74209a035b1be229d00d87f81fc27e43069","0-37efa86c77b239b3eb614ea9d5f9c557a28ea0faaabb6c20fe7368f39a76fc34","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","7","7","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","19358a592eaa207e572f01c09c2d66245773de73a2fa9e66ec5dbedcedd44720","0-9f572f27df61fc581af67a4c33e95b857adc0cf0a002bec9a52e73f8929052c3","1-bf0fcb309f10682b4a9a6b70b8ed4929b89a9829929d8e1f961043c30ec48a70","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","3.1","3.1","","0.8","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","bea1e14d2c0ee180ab94a484b3c330900518eb13e52524af4f75af5841286918","0-51b9a8089e879e136e3f0ff3237972c3ed95b308e9547ac5f05e4ca1fa1a4a5f","0-c615a46d438041828ced261874f5b54a2c65902c21c7c3af181a0d89991feba0","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","49","49","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","bea1e14d2c0ee180ab94a484b3c330900518eb13e52524af4f75af5841286918","0-78ff09fb13279a8997cd6dc3fb0cf860b568d66929ab20700a25e2d07e9bcc4d","1-a2459043adfabece8235f8eaca07cb48f547248e77af94ee08ec3bf578b243ee","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","16.22","25.252","9.258","9.258","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","bea1e14d2c0ee180ab94a484b3c330900518eb13e52524af4f75af5841286918","0-7e498fd3b81a2e9e5befa4d4e5ef6b752edfce8ac65940232b01499d33ae480c","2-1117afa5721a175a2fd9aceeb41e06c70dd2856deda95c2efa755ed31849fe76","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","1.35","1.35","1.217","3.184","3.326","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","79ab6fb3962b711f9df93ff446b3df9f6a781a47d63a557e28321073aa5d06d6","0-6da3e42e1b0dd4e09c9f346933fdf5aff18362d91749164b1c1e44432ec1a5ae","0-7bf866162b40fcaabd248d5d09d5ac66e146c0caa53ceb9ee84f1c027e2a3f15","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","0.65","0.65","2.434","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","79ab6fb3962b711f9df93ff446b3df9f6a781a47d63a557e28321073aa5d06d6","1-4a1e55bf08c113d9f300adf88b239ea881be5f12d01b85694ad975449fa35cde","0-7bf866162b40fcaabd248d5d09d5ac66e146c0caa53ceb9ee84f1c027e2a3f15","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","7","7","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","79ab6fb3962b711f9df93ff446b3df9f6a781a47d63a557e28321073aa5d06d6","0-6c330a550a2281314c76161b34d411b994a79e95394288174aa2c20292bbca4a","1-96bda7f0bf58e8d0e41951fe5ad7e36e273b5abe48a065c02c9e34dbebb864aa","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","3.1","3.1","","0.8","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","d8fdf8a9b6cf61e2faa49f9ee0c3aad12fc0640664524c9eb6ab230701988f0d","0-a234e0680cc94b6db5f8c3c5659c7cb87a81fd3f32bbf8f4ec8acc204bf8e4d4","0-8aaac4b4c4477dc86a1fa3a80bb8e3ced5bf833bbb4f68e648bb1d9e669d4284","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","49","49","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","d8fdf8a9b6cf61e2faa49f9ee0c3aad12fc0640664524c9eb6ab230701988f0d","0-80806200f420e11c3a44f82f37d93edb3716907d5b2dd0b3841b904ee61b14e7","1-c2d889426b1fafac89a9766f64add8dbbda7242ed88fbb75da0cd00958b44569","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","16.22","25.252","9.258","9.258","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","d8fdf8a9b6cf61e2faa49f9ee0c3aad12fc0640664524c9eb6ab230701988f0d","0-89cf7b057876760c5b2aa37b35697883d113f79353d3a870d1b23c8d844977b0","2-14a90ba34d77ea2e8172c0c08a8252f056c0e8d2a66e85cf2a1f0a80d67097be","root.record.ItemExhibitList.P3AModificationItemGroup"
"Army Active","441.021","560.622","766.111","766.111","735.775","307.254","233.343","242.331","","16","22","27","27","27","4","6","10","","2016-BASE_PROCUREMENT-2016-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","10d699f2ac7085cae590cf4b5474fbb6b8513376435568c699b86a2aa51b46f5","0-24bf899bb852d258ea6dc88afde8e07bfef42b96f9730bf8d9219e2da3ca03db","0-972d99417d227d849817da70d57c3693a84f1d9d155b9d8f5b7eb4b2b51d39ca","root.record.ItemExhibitList.P3AModificationItemGroup"
"Army National Guard","198","","","","","","","","","6","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","10d699f2ac7085cae590cf4b5474fbb6b8513376435568c699b86a2aa51b46f5","1-57dc0242d7393432e94bc6eed28bf7abed90ca9f6f9d37439efb9d614f09c124","0-972d99417d227d849817da70d57c3693a84f1d9d155b9d8f5b7eb4b2b51d39ca","root.record.ItemExhibitList.P3AModificationItemGroup"
"Army Reserve","","198","","","","","","","","","6","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","10d699f2ac7085cae590cf4b5474fbb6b8513376435568c699b86a2aa51b46f5","2-2287e1f4378400928b9f3c8b91429cd86556b98eca9d70757bba5c7f6e8923e9","0-972d99417d227d849817da70d57c3693a84f1d9d155b9d8f5b7eb4b2b51d39ca","root.record.ItemExhibitList.P3AModificationItemGroup"
"Army Active","10.262","14.182","","","","","","","","","","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","68020d02bcd84babbc73d4431e9273c9ec5fc99dd91068d4c2549811f5dbe7a3","0-9dd6aeafe96569d75be10b452a717e19f2d2971083d49dc9a7192a652399d469","0-e0724474e2ebe2fd4dc534f7ef95d3dedc3583f7dd40c0953586e76153ed126f","root.record.ItemExhibitList.P3AModificationItemGroup"
