FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,ContractMethod_val,ContractType_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencySuffix_val,@SOURCE_FILENAME,@RECORDID,@ROWID,RFPIssueDate_val,FundingVehicle_val,MonthlyDeliveryScheduleTotal_ProcQuantity_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery,OCO_val,@PARENTROWID,@PARENT
"2012","","CECOM, APG","2013-03","2013-12","301","166.000","false","SS","FFP","Army","301","0","","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7424cd444ec3bd9cc778e3e016fb369e95039e3b37d88e0c13f5bf04624acc83","0-0ce3ae8d5cba83e1c8fe811f5de8385f2334b9fc6af60409304b232a20194072","","","","","","0-823d9ec82ca1aba6001f0acdcf4cd3623737dadb4546b35c532df49663e2304a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2013","","AMCOM Contracting Command, RSA","2013-10","2014-07","301","139.000","false","SS","FFP","Army","301","0","BASE","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7424cd444ec3bd9cc778e3e016fb369e95039e3b37d88e0c13f5bf04624acc83","1-1d08a85d482d886be7fe88682a5ddfe1618e099fb65ee7edb6ed6faba2d8649d","","","","","","0-823d9ec82ca1aba6001f0acdcf4cd3623737dadb4546b35c532df49663e2304a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","AMCOM Contracting Command, RSA","2014-06","2015-03","162","183.000","","SS","FFP","Army","162","0","BASE","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7424cd444ec3bd9cc778e3e016fb369e95039e3b37d88e0c13f5bf04624acc83","2-58d69d986855883825811536876af254a9341cd672134f23edb337efb5623145","","","","","","0-823d9ec82ca1aba6001f0acdcf4cd3623737dadb4546b35c532df49663e2304a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","AFMC/ESC","2016-02","2016-03","5","0.930","true","C","FFP","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","61c0a556a6347ba180c63d4c610a0bad4bb2844558560f20ab1410ae031f2f79","1-6ebdfce769dccb42db5d70350007fc19ab49dcbd80b4399008c3f81504b271c5","","","","","","0-8bb67eed8cc37e76dd6c5fef62e88652d4390496d04a53c35348bf6868d6b394","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","AFMC/ESC","2015-05","2016-02","113","0.041","true","C","FFP","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","d3ec86aa5696af172515eaa02c00c1e05d801894caa2e7a07894d028dc6bb332","0-f0ac9ee06adbdef92b9c1e22445351d33a70de189b4d7b3b752896eb425d13f9","","","","","","0-477f00f4218dcd694c374361b4cfdc9b2434b74635bdc4ed6b2dfc7365dbd171","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","AFMC/ESC","2016-06","2017-04","32","0.273","true","C","FFP","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","d3ec86aa5696af172515eaa02c00c1e05d801894caa2e7a07894d028dc6bb332","1-4674715502c27caa191e69ea3151f7952e36bc326f2a6d1dd97b124281e48634","","","","","","0-477f00f4218dcd694c374361b4cfdc9b2434b74635bdc4ed6b2dfc7365dbd171","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","AFMC/ESC","2015-02","2015-12","4","0.150","true","C","FFP","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","d3ec86aa5696af172515eaa02c00c1e05d801894caa2e7a07894d028dc6bb332","0-a0c438d26e37af63de0bb45b985e56db6770594c736cf3343161f9d0d3c681ee","","","","","","0-3b599c81ad34f9619bc10a9c2c202269d56b45cdf07a31deeb620894457057f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","AFMC/ESC","2016-02","2016-03","5","0.930","true","C","FFP","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","d3ec86aa5696af172515eaa02c00c1e05d801894caa2e7a07894d028dc6bb332","1-ef21386d1b72c8cd79138c2c0eb6eb7d2d473f481094392680733e9c8a7a12a6","","","","","","0-3b599c81ad34f9619bc10a9c2c202269d56b45cdf07a31deeb620894457057f5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","AFMC/ESC","2016-09","2018-01","326","0.052","true","C","FFP","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_SPACE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","0deb4c45fa1ef1984477f24b5eea0df8544031e378c5263baf42899e35992f3e","0-77dfa0739f6dc2a001be6004807b54a11131c92d38aee124cfa62c26fe954ece","","","","","","0-112a51f15fd61777a8d9d259d08154a7e53146bde020e1b6e16e366650c047e0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","AFMC/ESC","2016-09","2017-07","2","0.765","true","C","FFP","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_SPACE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","0deb4c45fa1ef1984477f24b5eea0df8544031e378c5263baf42899e35992f3e","0-815af62d6cd5e88f2f5661bae83476e74c9c0511fab259ce04a19128da1728be","","","","","","0-c401d2624aadbbd276074fa1b5520b8ecf70335a5b58f7746accbf6890b26a8a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","AFMC/ESC","2016-09","2018-01","326","0.052","true","C","FFP","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_SPACE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","2a2199d67cacfc237cc5f4fb1cb2d87461c797a5ad442b57ed3498ab7c04c59c","0-cf913c156602f3f442036bbb3c32d26461fc18e14de934d0423e5aa58b59bf99","","","","","","0-c0170a8619ea85ba35d0f8a827d450893f6c3cac1c95d2ff82e3b201c18e7796","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","AFMC/ESC","2016-09","2017-07","2","0.765","true","C","FFP","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_SPACE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","2a2199d67cacfc237cc5f4fb1cb2d87461c797a5ad442b57ed3498ab7c04c59c","0-7780f453403ec66ad6bec3e17fd0a25fa0740985aba4c8bf00a955cc73a8e272","","","","","","0-872fa54757b69dc9470b12752929c21612d7eb022c417bc31be967d025e8ac8c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","AFLCMC Wright Patterson AFB","2013-10","2014-03","1","1.852","true","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","59494116396e69660e75d77397a4826440aeb0f74e218dea5d849876aa3e9ff7","0-d5f408f98964af07ce7b5eafc8008ceeeb8a14a6778538ef48aa5ce3bd273318","","Various","","","","0-f2bbcc2f605cd87c5e68763eb078703e6d39d2a3e0ec19ac2f1a8155bfd9d702","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","AFLCMC Wright Patterson AFB","2014-10","2015-03","1","0.207","true","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","59494116396e69660e75d77397a4826440aeb0f74e218dea5d849876aa3e9ff7","1-4f8ade6368e212a501f1a31f6cb86f9477767bcad97e38d80387021a01f7160b","","Various","","","","0-f2bbcc2f605cd87c5e68763eb078703e6d39d2a3e0ec19ac2f1a8155bfd9d702","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","AFLCMC Wright Patterson AFB","2015-10","2016-03","1","0.141","true","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","59494116396e69660e75d77397a4826440aeb0f74e218dea5d849876aa3e9ff7","2-22fa7daef645354028c6de2db24550b27d4146dee7325b3c435ef84449ff9b7d","","Various","","","","0-f2bbcc2f605cd87c5e68763eb078703e6d39d2a3e0ec19ac2f1a8155bfd9d702","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","AFLCMC Wright Patterson AFB","2013-10","2014-03","1","1.852","true","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","2b682caee02270a3f69e0b57abb623f02c776949655dc1b401fb2790291e9b29","0-34292282d578748970d8a39fd60fe015b981132248c53fb6414085671efd1142","","Various","","","","0-733668acb07e5871d07317da681dde44ce37281e9628806e16d8533a8a48ade0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","AFLCMC Wright Patterson AFB","2014-10","2015-03","1","0.207","true","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","2b682caee02270a3f69e0b57abb623f02c776949655dc1b401fb2790291e9b29","1-3efa8e3884fa9fe60db94c12d6c5fbbd82ab53392e840d1c3449924c263c5cb6","","Various","","","","0-733668acb07e5871d07317da681dde44ce37281e9628806e16d8533a8a48ade0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","AFLCMC Wright Patterson AFB","2015-10","2016-03","1","0.141","true","","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","2b682caee02270a3f69e0b57abb623f02c776949655dc1b401fb2790291e9b29","2-2001875e0dea6ef355449c34ed6c319c6e0b02eaebe453a0e01d2111c45e3e5a","","Various","","","","0-733668acb07e5871d07317da681dde44ce37281e9628806e16d8533a8a48ade0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","AMCOM Contracting Command, RSA","2014-05","2015-02","216","158.796","","SS","FFP","Army","216","","BASE","2016-BASE_PROCUREMENT-2016-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","d0faa6bb647f25deaeff34e03fb27743c073d7601384b99f8fa7a3c57893f097","0-b49fc91ab98578ebfd6cd024ba2d3aaebab74865b7a54c98db32127beaff866e","","","","","","0-1608b2ba85c7ad82ffb0276fca8462e3f5a8ea81abe605349c2373af95aaa74f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","PEO EIS, Ft. Belvoir, VA","2014-10","2015-09","1","1361.000","false","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","0daeb3840995e315e0845fec38ebc9e30d4d58064f2184f55430dcb7cef2d891","0-263be64d2d7bf61b02679669b8fa641f186a1f354337a29c53c6a805e605cd33","","RO","","","","0-ee95fbe1f738a47b35a87228ff237e5557cfea798721037df834a41b796853fc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","PEO EIS, Ft. Belvoir, VA","2015-10","2016-09","1","1388.000","false","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","0daeb3840995e315e0845fec38ebc9e30d4d58064f2184f55430dcb7cef2d891","1-38a70f9ee36965783fd09c56466dbbce99ef90fa8276a32199eb1fbcac6f4832","","RO","","","","0-ee95fbe1f738a47b35a87228ff237e5557cfea798721037df834a41b796853fc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","PEO EIS,  Ft. Belvoir, VA","2016-03","2016-05","1","1306.000","false","","","","","","","","2016-BASE_PROCUREMENT-2016-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2016.xml","0daeb3840995e315e0845fec38ebc9e30d4d58064f2184f55430dcb7cef2d891","0-fca25200b8c3bce79dfba0fdb4dbf8a5b4a8e8a5c1b9410ae09e8b4f1b436257","","RO","","","","0-d8d77f1e7bfad14b45699e0829efebd8d7f751866c6488cb82a1314da51bf9ee","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","DITCO SCOTT AFB, IL","2015-04","2015-08","16.000","0.350","true","C","FFP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","0-78ca0061f28c2f12e320ff781d6c9d2c375a7b9496b2fb053a695471a8d4a116","2014-03","","","","","0-8310799d0956ca44a4482a24c637943d76d6a5dac58f43ece262dd0c14b00e5b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","Hill AFB, UT","2017-01","2017-10","6.000","0.021","false","SS","FP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","0-77ffefd97e73a81cfb8b2f1b78999d19886381d1e2a34f4920ca045a9bfe9f6e","2016-10","","","","","0-414a282f15cfc4f1cc967d638ba56ed526a8ef1c9e901956d0354906fc773b62","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","Hill AFB, UT","2015-11","2016-08","8.000","0.016","false","SS","FP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","1-9333e7098681f3d6726e40945d7259d5cca596f2acc71ab019607b65101d4be5","2015-10","","","","","0-414a282f15cfc4f1cc967d638ba56ed526a8ef1c9e901956d0354906fc773b62","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2018","","Hill AFB, UT","2018-01","2018-09","8.000","0.025","false","SS","FP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","2-6e9baa2679c24b2487fc90a6558ba0283c022defdef20e3a8fc851030c07633a","2017-10","","","","","0-414a282f15cfc4f1cc967d638ba56ed526a8ef1c9e901956d0354906fc773b62","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","Hill AFB, UT","2014-03","2014-09","21.000","0.016","true","SS","FP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","3-f0c0a868a05d360898898847c12efca322035eb06472ce5f7773fbe3ca18096a","2013-10","","","","","0-414a282f15cfc4f1cc967d638ba56ed526a8ef1c9e901956d0354906fc773b62","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","Hill AFB, UT","2015-03","2015-11","6.000","0.022","true","SS","FP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","4-ce703b848b36eadcde23be39a181fac59c6b765d717f37b22147074dd6e4f62d","2014-11","","","","","0-414a282f15cfc4f1cc967d638ba56ed526a8ef1c9e901956d0354906fc773b62","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2014","","Hill AFB, UT","2014-03","2014-03","10.000","0.410","true","SS","FP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","0-9c1db0ffbb26988651a565e9fd54c090dc520790ecfdca6c978eb87894dec267","2014-01","","","","","0-ea0450b183218237357037fd94bfd9112cdde12a08d0833b1a5a7edf4b654298","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","HiLL AFB, UT","2017-03","2017-03","1.000","0.697","false","SS","FP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","1-801fdd401a0b3be07eb17bcd555c892581d74424e56ba4144117ea90e0236296","2017-01","","","","","0-ea0450b183218237357037fd94bfd9112cdde12a08d0833b1a5a7edf4b654298","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2015","","Hill AFB, UT","2015-03","2015-03","11.000","0.410","true","SS","FP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","2-4ff637497bf1630bfb3d38574cd36e0a6634c6b69cb6f4af2b28270d7666ecf4","2015-01","","","","","0-ea0450b183218237357037fd94bfd9112cdde12a08d0833b1a5a7edf4b654298","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","Hill AFB, UT","2016-03","2016-03","2.000","0.403","false","SS","FP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","3-cda96bfab358920f414bfd301b54d2b17964b7d176e9d7aa13ba72903475a581","2016-01","","","","","0-ea0450b183218237357037fd94bfd9112cdde12a08d0833b1a5a7edf4b654298","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2018","","Hill AFB, UT","2018-03","2018-06","4.000","0.040","false","SS","FP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","0-dd5c1fa2bd3467ccd9114ef1c611ae62b51c5d69f08bfbcc10bd190aa8c88e56","2018-01","","","","","0-f0a826b8fd7df2faeee37b6329c30a75bdd9f69e170623d25e1509b5ad58c792","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2016","","Hill AFB, UT","2016-03","2016-06","2.000","0.041","false","SS","FP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","1-ffbb34d5451540d9d21fc726f9e14fcf24d0e5f92ab3b8b6165d45c3aa72a26c","2016-01","","","","","0-f0a826b8fd7df2faeee37b6329c30a75bdd9f69e170623d25e1509b5ad58c792","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2019","","Hill AFB, UT","2019-03","2019-06","4.000","0.040","false","SS","FP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","2-e14485cb0e031eed6220e413ac401b480b54aada10a1fb3c0ed7c1bd64bdc175","2019-01","","","","","0-f0a826b8fd7df2faeee37b6329c30a75bdd9f69e170623d25e1509b5ad58c792","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","Hill AFB, UT","2017-03","2017-06","7.000","0.035","false","SS","FP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","3-1805bd7f74f8cef8395db93fdddaffd2e8fa8fecf9ea69cbe06097f9616fd45b","2017-01","","","","","0-f0a826b8fd7df2faeee37b6329c30a75bdd9f69e170623d25e1509b5ad58c792","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2020","","Hill AFB, UT","2020-03","2020-06","4.000","0.040","false","SS","FP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","4-7a1c5f830226cca89a003cdc7541900e3e75b5ba75f8dc38bb32a924e1a850f2","2019-01","","","","","0-f0a826b8fd7df2faeee37b6329c30a75bdd9f69e170623d25e1509b5ad58c792","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
"2017","","Hill AFB, UT","2017-03","2017-06","3.000","0.030","false","SS","FP","","","","","","2016-BASE_PROCUREMENT-2016-DEFENSE_DISA-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Defense_Information_Systems_Agency_PB_2016.xml","dae3a3a4e1c3c917c599d350ec43c3a226320faf050977de21e224ac91e9b5cf","0-da42c8ba6811e3763e81fb3f2bba523e1d22746316a1972063447f2c4cc790d3","2017-01","","","","","0-feeb60fd4c3c9c42c5650f5b7b329620632bfe6cb9cb32a96b2780eab901e0a2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer"
