Name_val,Name_@footnote,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_Continuing_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_Total_val,Cost_Quantity_ToComplete_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_Total_val,Cost_UnitCost_ToComplete_val,Cost_UnitCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,ManufacturerList_Manufacturer,@PARENTROWID,@PARENT
"Non-Recurring Engineering - Block II","The Non-Recurring Engineering reflects incorporating form-fit-function replacement materials into the missile, and includes obsolescence and loss of manufacturing sources for custom circuit cards related to the Inertial Measurement Unit, Control Actuator System, the missile Guidence Unit.","B","20.63","","","16.89","","","0.98","","","3.93","","","","3.93","","","11.319","","","0.000","","","1.924","","","5.873","","","27.776","","","89.322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","4f4737b327e599c50bd8b5e43131c73100785cb29979237a4bc48b2a91a01b39","5-3767cc99d55bd67ebb2076b4de762fb9afec462f8cfe4509f6e0de7e19c5361c","","","0-01780b06a7c33a0b0540d0884a79699e033bc3fce946d10712e55c3457743594","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"1.  Containers and Cables","","A","0.000","0.000","0","0.872","","","0.906","","","0.918","","","","0.918","","","0.92","","","0.895","","","0.885","","","0.885","","","5.655","","","11.936","0.000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","923645d9a4c9fc3514a609c36bc7928cfec8dd1b1c3bae338fe1f90cad4b6bf5","0-ca171b7302e8b8cdf63e44458e220eab0b6ab10462238893ace0edd3fc8f2286","","","1-bf958a2c74a10842cd6e9f2224fa2e432ac8681c6ced9ba29caa32bfdf7cee2f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"WGS SV 4-5 RF Bypass Mod","","A","4.062","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","4.062","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","857f76317de3d25c3a255ca950be3c392ca814f92ecf378112cc41701d842fbc","0-8c39b4b9da221cb33f741879d7e66e6a8473e02b772e13fe78d9aaad747fb965","","","0-b6e80b70b32ae87de6135a787aabe36942506a1871aa44eab64efa988faa68b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Factory restart","","A","67.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","67.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","857f76317de3d25c3a255ca950be3c392ca814f92ecf378112cc41701d842fbc","0-e58a99741c1d5d503ab11f9e96fe5a9c66e3f0b5c4ec1bb64c6058f488003796","","","0-f2c375bc7fa670e89d68f6eef478989ccd8dfe5209cfc41a00e981499a0d24a7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"WGS SV 7 RF Bypass Mod","","A","0.511","","","0.266","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.777","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","857f76317de3d25c3a255ca950be3c392ca814f92ecf378112cc41701d842fbc","1-f859e34ef8a8e2992f9d49d8cf12837b4af71e489121a3fe4a34eb9d9065df95","","","0-f2c375bc7fa670e89d68f6eef478989ccd8dfe5209cfc41a00e981499a0d24a7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"WGS SV 7 Redundant Ports","","A","4.407","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","4.407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","857f76317de3d25c3a255ca950be3c392ca814f92ecf378112cc41701d842fbc","2-4314c7ab979352f303bff18000e132c30d2c69dafefed288b878e6fae1725735","","","0-f2c375bc7fa670e89d68f6eef478989ccd8dfe5209cfc41a00e981499a0d24a7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"WGS SV 10 Test Battery Refurbishment","","A","","","","3.5","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","857f76317de3d25c3a255ca950be3c392ca814f92ecf378112cc41701d842fbc","3-392566c4f68fe45586a69eff8321fbdf18ab22658ad4c6c536b57694c4e88bf5","","","0-f2c375bc7fa670e89d68f6eef478989ccd8dfe5209cfc41a00e981499a0d24a7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"WGS B2FO Enhanced Digital Channelizer Implementation","","A","","","","71.891","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","71.891","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","857f76317de3d25c3a255ca950be3c392ca814f92ecf378112cc41701d842fbc","4-73206d345c653da03d94dde94c40f85da4c90708492a62758a327e1e4b8e00cb","","","0-f2c375bc7fa670e89d68f6eef478989ccd8dfe5209cfc41a00e981499a0d24a7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Special Test/Special Tooling Equipment - Block I","","A","10.606","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","10.606","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","a753a19215d75ef90c3a194a6a572c3178c5490c79934920f930a86cad1726b1","0-62993df8aac4bf2907eaac9cb9311630268b4e0de3b2622dd15ba54d23032ba1","","","0-ac1d7527551246d39a77e74a1834df0ee6bebcbfbbf89c7c160e203050dca9aa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Missile Containers - Block I","","A","5.666","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","5.666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","a753a19215d75ef90c3a194a6a572c3178c5490c79934920f930a86cad1726b1","1-a20f93da81c7aec4bf0cb21475a46d4daab1450918bcf4c66d5c8f203dd3c940","","","0-ac1d7527551246d39a77e74a1834df0ee6bebcbfbbf89c7c160e203050dca9aa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Non-Recurring Eng - Block I","","A","21.771","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","21.771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","a753a19215d75ef90c3a194a6a572c3178c5490c79934920f930a86cad1726b1","2-c5a2f2d72090c40d7612c3776457bef32b3918bdd419acc244cba95c94e5fbb0","","","0-ac1d7527551246d39a77e74a1834df0ee6bebcbfbbf89c7c160e203050dca9aa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Special Test/Special Tooling Equipment - Block II","","B","3.096","","","3.046","","","0.405","","","0.302","","","","0.302","","","0.304","","","0.306","","","0.308","","","0.31","","","4.296","","","12.373","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","a753a19215d75ef90c3a194a6a572c3178c5490c79934920f930a86cad1726b1","3-037e55291c752bc5d73074e1a4a274925b811ecd2d97746659ce4ad4a619b0ed","","","0-ac1d7527551246d39a77e74a1834df0ee6bebcbfbbf89c7c160e203050dca9aa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Missile Containers - Block II","","B","0.506","","","0.59","0.016","36","0.678","0.015","46","1.053","0.017","62","","1.053","0.017","62","1.159","0.017","67","1.197","0.018","68","1.237","0.018","69","1.04","0.018","57","10.048","0.000","0","17.508","0.043","405","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","a753a19215d75ef90c3a194a6a572c3178c5490c79934920f930a86cad1726b1","4-c7c1841f268702ba5329da00b1f4b6634e9a444e5fd9914e7a79f3adada9c55f","","0-ac1d7527551246d39a77e74a1834df0ee6bebcbfbbf89c7c160e203050dca9aa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Non-Recurring Engineering - Block II","The Non-Recurring Engineering reflects incorporating form-fit-function replacement materials into the missile, and includes obsolescence and loss of manufacturing sources for custom circuit cards related to the Inertial Measurement Unit, Control Actuator System, the missile Guidence Unit.","B","20.63","","","16.89","","","0.98","","","3.93","","","","3.93","","","11.319","","","0.000","","","1.924","","","5.873","","","27.776","","","89.322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","a753a19215d75ef90c3a194a6a572c3178c5490c79934920f930a86cad1726b1","5-e477203c9680586bad9a4139b70bfcd0f4d7ea5ec4fe64dd02011d49c0cc97d1","","","0-ac1d7527551246d39a77e74a1834df0ee6bebcbfbbf89c7c160e203050dca9aa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"1.  Containers and Cables","","A","0.000","0.000","0","0.872","","","0.906","","","0.918","","","","0.918","","","0.92","","","0.895","","","0.885","","","0.885","","","5.655","","","11.936","0.000","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","9e28a14fea53f73b9a85f3833e13d3348f22063705fc2e1c2369bbf1f9b2ccbc","0-233fa57842b629bc4ce32329db011c76885f0b0d1315163cf6ffdc40310742c6","","","1-47677b45bb8bba74e6f02fc4178f31ab8640b7dd5729c15b887196c1f9e4a369","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Non-recurring Production","","","","","","0.5","","","0.000","","","0.000","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","7424cd444ec3bd9cc778e3e016fb369e95039e3b37d88e0c13f5bf04624acc83","0-0b718284d27cc5872dbd792bfb9057c10f5116ba25fee1b13706539a7e8b6a7c","","","0-4909513f16c3491ba0a4f88df9f2b93e175b3eff38f96cc34b4e42e3bd54bf23","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"PRODUCTION FACILITIZATION","","","","","","0.000","","","23.729","","","23.894","","","","23.894","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_WTCV-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","8659ac5ab6a632783561a74a81e3f417217fff83cfae3d6b00452bf77686e997","0-10d053d4642f11ef49208e24ad3f9669f7e6e4f5fb37c84058ff10717058d690","","","0-c464cf2b553ab48e26ca4827466005e40b0511ed20fbe67e605b750f07671b72","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Hardware NRE","","","","","","0.000","","","2.718","","","2.064","","","","2.064","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","df1174508e31db49beb81909a5fa56b00bc8afeaf03b853d4fdb48fd86725c49","0-effd8672b8e735612bfe8c668b838ceb21d001e3d32334c5cee4d7ce34be2b84","","","0-ff07595f0796749f20c64fa39c3c20ae783a617743837cd827ea935426f1b2d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Recurring Manufacturing - Manpack","","","","","","0.000","","","287.314","62.609","4589","180.087","68.008","2648","","180.087","68.008","2648","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","df1174508e31db49beb81909a5fa56b00bc8afeaf03b853d4fdb48fd86725c49","1-5c62744a0395f1bcfd8e4f9dab164c11b728bbb83bbdbe111d828142e2719c32","","0-ff07595f0796749f20c64fa39c3c20ae783a617743837cd827ea935426f1b2d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Recurring Manufacturing - SFF-B","","","","","","0.000","","","14.164","29.819","475","12.434","26.177","475","","12.434","26.177","475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","df1174508e31db49beb81909a5fa56b00bc8afeaf03b853d4fdb48fd86725c49","2-2185d0ee9577d2dfba934539ca9e209456e8a94be299e2d0032f151f681027ad","","0-ff07595f0796749f20c64fa39c3c20ae783a617743837cd827ea935426f1b2d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Support Equipment","","","","","","0.000","","","0.000","","","4.052","","","","4.052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","df1174508e31db49beb81909a5fa56b00bc8afeaf03b853d4fdb48fd86725c49","3-e20b484a68b7b57ef75814dc1ea20775d1adc21fb3e6528d58e873e6a48d70b2","","","0-ff07595f0796749f20c64fa39c3c20ae783a617743837cd827ea935426f1b2d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Engineering Changes","","","","","","0.000","","","30.421","","","20.812","","","","20.812","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","df1174508e31db49beb81909a5fa56b00bc8afeaf03b853d4fdb48fd86725c49","4-2a920338bef344ec51f04b92fa40786fccc82d9fd8a3ddc1da3b16068c9a6413","","","0-ff07595f0796749f20c64fa39c3c20ae783a617743837cd827ea935426f1b2d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Fielding","","","","","","0.000","","","33.765","","","40.015","","","","40.015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","df1174508e31db49beb81909a5fa56b00bc8afeaf03b853d4fdb48fd86725c49","5-b0049873773e7d8cd18903a75185302e89c6f7cb2f845290892cad5341da0bad","","","0-ff07595f0796749f20c64fa39c3c20ae783a617743837cd827ea935426f1b2d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Systems Engineering/ Management","","","","","","0.000","","","6.999","","","1.406","","","","1.406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","df1174508e31db49beb81909a5fa56b00bc8afeaf03b853d4fdb48fd86725c49","6-c0dfd74ec73f7e6eae86883b0ff2a11d0fcbcea6e44ef342ed7b5c885d160bff","","","0-ff07595f0796749f20c64fa39c3c20ae783a617743837cd827ea935426f1b2d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Data","","","","","","0.000","","","1.718","","","0.000","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","df1174508e31db49beb81909a5fa56b00bc8afeaf03b853d4fdb48fd86725c49","7-249a35aeae2b9538fefb94a17c630e29c3f73b71b1adde7c6a76de30e2cf46f8","","","0-ff07595f0796749f20c64fa39c3c20ae783a617743837cd827ea935426f1b2d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Tech Refresh","","","","","","0.000","","","4.195","","","0.000","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","df1174508e31db49beb81909a5fa56b00bc8afeaf03b853d4fdb48fd86725c49","8-5e67652efe6d8376f77175cba8d8e077c616e79346eadcf3522fc9fb5b74aea8","","","0-ff07595f0796749f20c64fa39c3c20ae783a617743837cd827ea935426f1b2d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Warranty","","","","","","0.000","","","29.395","","","0.000","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","df1174508e31db49beb81909a5fa56b00bc8afeaf03b853d4fdb48fd86725c49","9-7107a22096659cc93376ede58ee15c1e5311351bdb5a5ff4a1590bc2431d4a43","","","0-ff07595f0796749f20c64fa39c3c20ae783a617743837cd827ea935426f1b2d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Software Support","","","","","","0.000","","","0.000","","","4.328","","","","4.328","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","df1174508e31db49beb81909a5fa56b00bc8afeaf03b853d4fdb48fd86725c49","10-d7737e30572b8067e87daa69122931a49ddb66d7d2dddd7b715eb6675139bea3","","","0-ff07595f0796749f20c64fa39c3c20ae783a617743837cd827ea935426f1b2d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Other","","","","","","0.000","","","0.000","","","39.732","","","","39.732","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","df1174508e31db49beb81909a5fa56b00bc8afeaf03b853d4fdb48fd86725c49","11-c975a99c22b801fec40c557ee8b973ccaa989ec85a6a961860f0b3674ce2e5e1","","","0-ff07595f0796749f20c64fa39c3c20ae783a617743837cd827ea935426f1b2d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"SRW Applique","","","","","","0.000","","","30.8","","","18.8","","","","18.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","df1174508e31db49beb81909a5fa56b00bc8afeaf03b853d4fdb48fd86725c49","12-a8a13775e5d0e929048566ab26ace48cb073f59e445eb22e9fbe244a535bf30d","","","0-ff07595f0796749f20c64fa39c3c20ae783a617743837cd827ea935426f1b2d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Non-Recurring Eng (ABCT)","","","","","","0.000","","","0.000","","","27.757","","","","27.757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","a1bf5c1c0fcdeda2d8b9d6f48da333363c92365b9ef2cc7bad58a689e55d263f","0-adecfb0797e75967ffbf6e9843286b24ca8e5d3579a180472e2c4f8d61873dcd","","","0-6994ff17d96195b46e29b14113d69b63becf066a6247805da5b64b5e2ff3c665","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Long Lead Materials","","","","","","0.000","","","0.000","","","13.029","","","","13.029","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","875a63d239030dd4f8caacdd3a81db74a76e6f3209229619d9756da8fefbbcdc","0-c4956d565a028605df31e8613f656f2e5fab0ba254f9ff8f14b0836388d0234f","","","0-c184473dac272a4bc8974e93e91bf74c0f609512774870adb405c4be5dc9e762","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
"Initial Production Facilities","","","","","","0.000","","","0.000","","","8.171","","","","8.171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-ARMY_OTHER_2-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","875a63d239030dd4f8caacdd3a81db74a76e6f3209229619d9756da8fefbbcdc","1-c655ea696edb134d41eee0e4121fa2e5a39600366553ffa7292985ae239b1cdf","","","0-c184473dac272a4bc8974e93e91bf74c0f609512774870adb405c4be5dc9e762","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway"
