Name_val,IdCode_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_Total_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_Total_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_ToComplete_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_MinimumSustainingRate_val,ManufacturerList_Manufacturer_MaximumProductionRate_val,ManufacturerList_Manufacturer_Rate185_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"AEHF Follow-On","A","","","0.000","0.000","","","0.000","","","0.000","","","","0.000","","","0.000","","","0.000","","","0.000","","","1221.6","610.8","2","0.000","0","3028.8","2125.2","2","4250.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","aefde42a3d513aab1b1cd929edf34b95812479f26277e14f726ca0405232b99a","0-31d268d5eba8ef89923c7546fad6db77127a9b203b50e6549fd306ad2294e703","","2-5af9522cf3839331dc4ee7b80a5d483b48b7d0a9d90076932e65a642757e1b95","root.record.ItemExhibitList.P5Item"
"WGS SV 1-3","A","177.891","3","533.673","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","177.891","3","533.673","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","857f76317de3d25c3a255ca950be3c392ca814f92ecf378112cc41701d842fbc","0-00926a2110c27bf7d9b3e5032f63a1c000f2b635c71122f1a67ac33a0928eb9a","","0-9fb78c3e2db821cc98ead1536e389f4436a42f84cc2950da67237bdea1753e41","root.record.ItemExhibitList.P5Item"
"WGS SV 4","A","376.463","1","376.463","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","376.463","1","376.463","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","857f76317de3d25c3a255ca950be3c392ca814f92ecf378112cc41701d842fbc","1-14aa181679ac01546302d27fee8332dd6b62017c450af15c260cc9803cf76e7a","0","0-9fb78c3e2db821cc98ead1536e389f4436a42f84cc2950da67237bdea1753e41","root.record.ItemExhibitList.P5Item"
"WGS SV 5","A","338.319","1","338.319","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","338.319","1","338.319","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","857f76317de3d25c3a255ca950be3c392ca814f92ecf378112cc41701d842fbc","2-3689fca6e2f33743fb0cb764e7665715e138c1abe8082772deda2b81e3c73d50","0","0-9fb78c3e2db821cc98ead1536e389f4436a42f84cc2950da67237bdea1753e41","root.record.ItemExhibitList.P5Item"
"WGS SV 7","A","443.532","1","443.532","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","443.532","1","443.532","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","857f76317de3d25c3a255ca950be3c392ca814f92ecf378112cc41701d842fbc","0-777684580e68ae4b2027cf0b46efe24fa0e1d110e5f241d25b05148f734eddbd","0","1-47a584a0a51f3d839ed756faa9e1cfd4ddc5b0c5b8ee0a3ef0676e94c9b2c080","root.record.ItemExhibitList.P5Item"
"WGS SV 8","A","","","","353.925","353.925","1","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","353.925","1","353.925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","857f76317de3d25c3a255ca950be3c392ca814f92ecf378112cc41701d842fbc","1-143044404048a06eb391c6d1dbd190c9d75c8ae7e7d4f9a90f0f337271953d0e","","1-47a584a0a51f3d839ed756faa9e1cfd4ddc5b0c5b8ee0a3ef0676e94c9b2c080","root.record.ItemExhibitList.P5Item"
"WGS SV 10 (Congressional add)","A","","","","338.7","338.7","1","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","338.7","1","338.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","857f76317de3d25c3a255ca950be3c392ca814f92ecf378112cc41701d842fbc","2-069c21a873aebf907ca02b9fb1b41649cab69564c088f70f5a2503d990137185","","1-47a584a0a51f3d839ed756faa9e1cfd4ddc5b0c5b8ee0a3ef0676e94c9b2c080","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-08","A","","","0.000","492.164","246.082","2","463.143","231.572","2","447.648","223.824","2","","447.648","223.824","2","","","","","","","","","","","","","0.000","0","0.000","233.826","6","1402.955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Newtown, PA","0.00","0.00","0.00","3","3","49","52","3","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","3f74a8ce992b58bff0203aa59054245697d5f293f300ca891ef9fafd9620a03e","0-b7ed6bdd5bccdac8e8a509fbee7a109858cf044cd04ee71f379888f2d1ae427f","","0-93f1f1602254c99f6ff8d1a1d20f8495e3c50d75c4c625031ecbf7babe1d917b","root.record.ItemExhibitList.P5Item"
"GPS III SV 09+","A","","","0.000","","","","","","","","","","","","","","446.775","223.388","2","562.196","281.098","2","783.078","261.026","3","816.322","272.107","3","257.683","14","3607.563","258.997","24","6215.934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Newtown, PA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","3f74a8ce992b58bff0203aa59054245697d5f293f300ca891ef9fafd9620a03e","0-61498c475c979c54614cd436a1a530d2998c99ddc6a2411344368ba461b88fc9","","1-4426540206eae77bd76452cf0b58b40ac125f2feb22cbf95e259cb6e569198dc","root.record.ItemExhibitList.P5Item"
"GPS Block IIA Space Vehicle","A","31.063","28","869.768","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","31.063","28","869.768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","2257278295f52175f538b2bc4746257e6f135115e0ed699139ef4db30654c9d2","0-bceadf4b29013daf8f068091bb0028b16b3c332a13a21d2489476249b7fe906e","","0-a1d1a303fdda208d4be41815a0233df4900dd581c2a6316d845ac26ab07d55d8","root.record.ItemExhibitList.P5Item"
"GPS Block IIR Space Vehicle","A","51.826","21","1088.345","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","51.826","21","1088.345","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","2257278295f52175f538b2bc4746257e6f135115e0ed699139ef4db30654c9d2","1-f6e7d155b37bda4b151d12ace658f1a70bfbfeb677e4a8565b1df873a1c33e58","","0-a1d1a303fdda208d4be41815a0233df4900dd581c2a6316d845ac26ab07d55d8","root.record.ItemExhibitList.P5Item"
"GPS Block IIF Space Vehicle","A","82.061","12","984.726","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","82.061","12","984.726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Boeing","El Segundo, CA","0.00","0.00","0.00","1","1","89","90","1","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","2257278295f52175f538b2bc4746257e6f135115e0ed699139ef4db30654c9d2","2-1b1aabf9cb952ec3795897527395dc4237bf6466a8b1845f8e513c00d21399e7","0","0-a1d1a303fdda208d4be41815a0233df4900dd581c2a6316d845ac26ab07d55d8","root.record.ItemExhibitList.P5Item"
"Spacecraft Integration and Test--CLIN 1","A","109.022","9","981.2","38.413","","","41.987","","","43.836","","","","43.836","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","b31c92596f6ccbf91720f89270c2aa573e143aa1b9e9ea949815f37a122e9486","0-7c70b48ac3ff84240b53cc1922984a4b84f0a7e437d9f701b5110001c38c6eed","","0-9a2314be7c2532e060ff887068aaada8109a0a2de808d783a3a29cd2f0d144be","root.record.ItemExhibitList.P5Item"
"LM Spacecraft Integ & Test--Total Awd Fee","A","","","111.054","7.815","","","3.844","","","3.918","","","","3.918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","b31c92596f6ccbf91720f89270c2aa573e143aa1b9e9ea949815f37a122e9486","1-e61b877fe5779d0df45a0464c1d6bdf97313f563abc9f8530084d8c1bad6cb04","","0-9a2314be7c2532e060ff887068aaada8109a0a2de808d783a3a29cd2f0d144be","root.record.ItemExhibitList.P5Item"
"Independent Verif & Validation Tech Spt","A","","","29.81","1.394","","","0.000","","","0.000","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","b31c92596f6ccbf91720f89270c2aa573e143aa1b9e9ea949815f37a122e9486","2-ed15346520f0218c4c2ef8900b341ac925f2161a70928568d4f4e30d9a5ea994","","0-9a2314be7c2532e060ff887068aaada8109a0a2de808d783a3a29cd2f0d144be","root.record.ItemExhibitList.P5Item"
"Consolidated Sensor Support and Services--CLIN 1","A","","","382.21","27.973","","","16.577","","","17.857","","","","17.857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","b31c92596f6ccbf91720f89270c2aa573e143aa1b9e9ea949815f37a122e9486","3-0d3230101a24bc9297c0c27f7f7f0d0c9b00c3ed46c1f5c0744dfc11ffd9f393","","0-9a2314be7c2532e060ff887068aaada8109a0a2de808d783a3a29cd2f0d144be","root.record.ItemExhibitList.P5Item"
"NGC Hardware Sensor Spt--CLIN 2","A","","","120.325","1.32","","","0.33","","","0.046","","","","0.046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","b31c92596f6ccbf91720f89270c2aa573e143aa1b9e9ea949815f37a122e9486","4-2226e5fbb82411690a356d61d06fcd4265ec3c2598b04d04c3b819f266216be1","","0-9a2314be7c2532e060ff887068aaada8109a0a2de808d783a3a29cd2f0d144be","root.record.ItemExhibitList.P5Item"
"NGC Total Award Fee","A","","","41.624","1.169","","","0.378","","","0.89","","","","0.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","b31c92596f6ccbf91720f89270c2aa573e143aa1b9e9ea949815f37a122e9486","5-d47ecc001cdb57262b83c8b4f1edc49b3f37792c6e441c43942a5016623c577c","","0-9a2314be7c2532e060ff887068aaada8109a0a2de808d783a3a29cd2f0d144be","root.record.ItemExhibitList.P5Item"
"Sensor Lab Support","A","","","81.025","2.505","","","4.962","","","2.974","","","","2.974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","b31c92596f6ccbf91720f89270c2aa573e143aa1b9e9ea949815f37a122e9486","6-aeac7484bc4e231075d682ef2f65e665ca976056c4bd1747cdc3bdad5a8e7ca6","","0-9a2314be7c2532e060ff887068aaada8109a0a2de808d783a3a29cd2f0d144be","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Hardware","A","433.399","2","866.797","17.88","","","6.198","","","32.126","","","","32.126","","","35.368","","","15.458","","","","","","","","","0.000","0","0.000","486.914","2","973.827","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin Space Systems","Sunnyvale, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c09d619ce532c1c86db360d274ec3de490ff840c9a7e13567ca5beab706dfd39","0-a5879991d4febf64a1cf773bcbc3f73bc648a4ecd63d6b622f78bfeaab064f1f","0","0-b281ad6dccf67823bb4bba8f0c4140bfd225e7608bd6e694ff5f1911e2dbb984","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Integration and Assembly","A","","","1055.093","24.518","","","8.498","","","44.047","","","","44.047","","","48.49","","","15.541","","","","","","","","","","","0.000","","","1196.187","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c09d619ce532c1c86db360d274ec3de490ff840c9a7e13567ca5beab706dfd39","1-6569ddc2424d3037f37d714dbb359a43d865d029876986bdb0485cdbba0cb6c9","","0-b281ad6dccf67823bb4bba8f0c4140bfd225e7608bd6e694ff5f1911e2dbb984","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Systems Engineering & Integration (SE&I)","A","","","25.248","","","","","","","5.901","","","","5.901","","","5.592","","","9.569","","","","","","","","","","","0.000","","","46.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c09d619ce532c1c86db360d274ec3de490ff840c9a7e13567ca5beab706dfd39","2-1ecf537f658e3698dad281fb33c47656cb1afab37dc6b7187fc031633c43789b","","0-b281ad6dccf67823bb4bba8f0c4140bfd225e7608bd6e694ff5f1911e2dbb984","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Hardware","A","0.000","0","0.000","0.000","","","1484.964","742.482","2","341.371","","","","341.371","","","313.06","","","245.294","","","77.889","","","42.355","","","0.000","0","0.000","1252.467","2","2504.933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin Space Systems","Sunnyvale, CA","0.00","0.00","0.00","4","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c09d619ce532c1c86db360d274ec3de490ff840c9a7e13567ca5beab706dfd39","0-ce4bba84912b5d6d4cda9393ebecec5bc4f85109a81154927aac030ee0c6b129","0","1-f241b3ca212cc1c75bf6a60a89140fe49abf91b13f60cb43a4b1af69686bde51","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Integration and Assembly","A","0.000","0","0.000","","","","1358.188","","","37.93","","","","37.93","","","55.246","","","105.133","","","312.807","","","804.74","","","","","0.000","0.000","0","2674.044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c09d619ce532c1c86db360d274ec3de490ff840c9a7e13567ca5beab706dfd39","1-3ccea616322c848d8282972e96e037b380cdb2a5e95457abdbef165df20653f6","","1-f241b3ca212cc1c75bf6a60a89140fe49abf91b13f60cb43a4b1af69686bde51","root.record.ItemExhibitList.P5Item"
"FY14 Incremental Funding","A","0.000","0","0.000","","","","-379.301","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0","-379.301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c09d619ce532c1c86db360d274ec3de490ff840c9a7e13567ca5beab706dfd39","2-0838ab1634a9d26a0368e9f587643bcd6a29e6add82f61cd4aefda8d7d33d685","","1-f241b3ca212cc1c75bf6a60a89140fe49abf91b13f60cb43a4b1af69686bde51","root.record.ItemExhibitList.P5Item"
"FY15 Incremental Funding","A","0.000","0","0.000","","","","-368.306","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0","-368.306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c09d619ce532c1c86db360d274ec3de490ff840c9a7e13567ca5beab706dfd39","3-0201c916af60caf8d47d192970d6348cce3799679963dd2e3019aef8bacaf36d","","1-f241b3ca212cc1c75bf6a60a89140fe49abf91b13f60cb43a4b1af69686bde51","root.record.ItemExhibitList.P5Item"
"FY16 Incremental Funding","A","","","","","","","-350.427","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","-350.427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c09d619ce532c1c86db360d274ec3de490ff840c9a7e13567ca5beab706dfd39","4-cdb64e3859deff03937f57b8f00334954beafb5ea6f8464ccc19f56594e849c0","","1-f241b3ca212cc1c75bf6a60a89140fe49abf91b13f60cb43a4b1af69686bde51","root.record.ItemExhibitList.P5Item"
"FY17 Incremental Funding","A","","","","","","","-390.696","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","-390.696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c09d619ce532c1c86db360d274ec3de490ff840c9a7e13567ca5beab706dfd39","5-a05db960dbe2c0dfefc40c50e09276a86eb0724ba55c3b72490d1632738df5c8","","1-f241b3ca212cc1c75bf6a60a89140fe49abf91b13f60cb43a4b1af69686bde51","root.record.ItemExhibitList.P5Item"
"FY18 Incremental Funding","A","","","","","","","-847.094","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","-847.094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c09d619ce532c1c86db360d274ec3de490ff840c9a7e13567ca5beab706dfd39","6-9e4c9351f415937aa07895c07fb81bde5138fbeddffa35545651f89d2b4808dc","","1-f241b3ca212cc1c75bf6a60a89140fe49abf91b13f60cb43a4b1af69686bde51","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Systems Engineering & Integration (SE&I)","A","","","","","","","","","","","","","","","","","","","","","","","9.488","","","10.535","","","","","24.822","","","44.845","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","c09d619ce532c1c86db360d274ec3de490ff840c9a7e13567ca5beab706dfd39","7-2a7470709cabe5321dda0a7015347da4034afc241c2e15a8b9460bd90866d25e","","1-f241b3ca212cc1c75bf6a60a89140fe49abf91b13f60cb43a4b1af69686bde51","root.record.ItemExhibitList.P5Item"
