Name_val,Name_@footnote,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_Quantity_Total_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_Total_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_ToComplete_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2.1.8) Radar ON-451/USM Interconnecting Group SRA OTPSS (ECP1133-11) - Organic","","","5","","","","","","","","","","","","0.674","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-dfa49107792c6a71a7df7fa367610ccb7ead2aaec3c5d3975c0cb783498a587b","11-22a3edf7dc193505afe05d96b0e06541c98a229b40274fc6aeeed63a54141591","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.9) APG-79 obsolescence - Organic","Costs for obsolescence kits vary because obsolescence issues are not an ongoing effort for a single item and are not subject to inflation driven increases.  The requirement for obsolescence kits was determined by evaluating historic life of type buy costs for analogous systems. These costs were projected to support future obsolescence issues in the affected components. Obsolescence efforts have been underfunded for the past few years, causing the program to reallocate current-year budget to cover emergent obsolescence mitigation efforts per Resource Sponsor direction.  The increases from year to year are necessary to recover from several years of shortfalls.","","","","","","","","","","","","","4.399","","18.981","1.429","1.429","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-2ceb5c2600e3e2a30ac0d3d6feb9509ef87968300566afc71d194f58c0c517e8","12-5f40f035cbf1c2dcc367bf5d82352ca3add67379659abf8b948cc11fa6cf104b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.10) H12 (SCS) - Organic","","","","","","","","","","","","","","2.318","","0.235","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-d6fef6e159dc8bfb9bda8cfdb01463833b7cf07f25b7028463019cdfc6da137f","13-543d88cc1a1e6eb0169ff25d270ef48cc2272d5f3df2badd51a5f109e2aab2e4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.11) B-Kits Archive - Organic","","115","","","","","","","","","","","","58.416","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-563930a7ba444fd6dcc199f39bbbfa864b3a351a103290f9fe4242bba58140b0","14-9250a75582a40dd2d3821fc8f4ca3d5971e7bfe5ef89728c4dde534916915da0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","221.153","8.444","27.877","17.296","17.296","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-a37d92261dc5e66aaf9d93d11ab820ed40deb009890fad1f3d19112ccbe38b47","15-6d257f77f7424a207f06b572ddf070e6b169d221b60384a990e8e0e12c93aab0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.1) USSR A-Kit - NonOrganic","","175","","","","","","","","","","","","7.474","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-fdf8fdac6ab95e26c42ce71cd0d47bd2eb306f3567e48b04b18aa8007ee02b7c","0-67b66c04561b613eac46e392339e630e7f40ed0fda109b7cfb7f5395f6fa47e7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.2) DTS A1 KITS (LOTS 26-29) - NonOrganic","DTS Kit installs were delayed due to non-availability of fleet aircraft.","120","49","","","","","","","","","","","4.313","1.852","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-0c64609353f3be403a7f56854b171cd87554833e9c9961953cc9c51f22321b8d","1-16fd87dbbd9777d1b7b3223ec45519d569895c7942a4a28d4395c5a23cc2300e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.3) DMD A Kit (LOTS 26-29) - NonOrganic","","75","","","","","","","","","","","","5.242","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-7d9e4a735853628966e429865298bb8629307b60a1e4a907d0a155ebcc8a3826","2-f0468d6257d970e461b909853ee89340448339d10bccee6be83fc4e223a40301","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.4) DMD Replacement Kits - NonOrganic","","38","53","","","","","","","","","","","0.29","0.639","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-e734850d509fbe72bf8d76967bbc35377164271bdcbc5610a79e1f18d494c43c","3-42b7a628fea6ff7cc59321464dfc5e15845b750e4ad228ce7acdb8f38b6fd2f3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.5) DTU A-kits - Organic","","","28","","90","90","","","","","","","","","0","","0.001","0.001","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-6911c08dfe7edc9b05867fdf22fa50906f9832e5f188aa233bd21ea16cf8c257","4-a300802d62a64114b0a5ca0046a01ea9a22f7fa1576000e7e9d740b4c1bfbdcf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.6) A-Kits Archive - Organic","","532","","","","","","","","","","","","0.8","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-3672a7dc78024439c07dd8850ee6f914d751551a4bc37ed8d8942d822c301db5","5-c2a441860b7910f107a4a0ce86ab5a9f944624cabd2d1fcae0fd3a8fc312303b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","13.174","0.015","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-0ddebc08e8d30768c7f66fa3de611fed95327bc31ad7294a6fe8d97808692336","6-cdcb9db2edb28a915f5794c888fd7ce8c4923c942b1ff938c75f80073cf8ff80","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.1) ANAV kit with WRA - NonOrganic","","154","12","","","","","","","","","","","14.868","1.209","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-45c780bb7250deeca7ef84f80388b18c2203c70c58abed160074a5f959f0b580","7-4228274690486ffe155fa9f9e85855a279e0f19a062efa2fe941313b6d685fab","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.2) DTS B kits (lots 26 and above) - Organic","","283","31","44","51","51","","","","","","","","67.698","7.522","10.648","11.81","11.81","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-73c027928c92eb7da0f77568d660e9ee4304a4d5d43cb9946a92ffc710ef291b","8-55c04c64780c9d0642957d07814112ba7c25c795a13b4fb06f345c36ff099401","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.4) DTU Kits - Organic","","19","28","","90","90","","","","","","","","1.08","1.61","","5.4","5.4","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-df05747d15d8b02df1a5413dde0ccfea90a7921862d08d8998dd1857e6675ae8","9-8efe32b081e551c8055b90baf4a3267432dd90220f42fedf2b24f0d143aa5b20","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.5) DTU Ground Encryptor - Organic","","10","15","","94","94","","","","","","","","0.463","0.707","","4.606","4.606","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-e767ca8ed5fe5b622a740a0b04e638e4a553e7e7342aa0b76d01d59868126ae4","10-a63ff4f197abb8af06b01534bf4639ba448cf3de011e20cd8367bcc4c47aebdb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.6) DTU Memory Modules - Organic","DTU Memory Modules are procured with a quantity of 5 per aircraft.","106","146","","558","558","","","","","","","","0.192","0.27","","1.06","1.06","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-11ef983e90edb4e80546680a31d968fb264fd0cdf69fd27e45af5328d8382999","11-9e2a8305d766cce5464b17a8d174656fb5ff41f05476a48006e3a82067485cb3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.7) DTU AME Cables - Organic","","22","41","","88","88","","","","","","","","0.028","0.053","","0.114","0.114","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-5d3e7b20a203faabfa71b452869709aaefa6f75fc90077039cae62391e61ff46","12-d1525dc4d98b3d5c19ba27ee18ba040c132941a9a91b8f0ae3c7dc9e30633230","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.8) B-Kits Archive - Organic","","739","","","","","","","","","","","","29.605","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-cf7ab2815214761f46a1a17c065964077989239d1ed7c23c3820d0e18f5cb93c","13-f9087c77962b2800cac5d3278bb096a4a56d1f34f1ec3aa5d2accdf87654cf6f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.2.1) Installation Equipment N/R - Organic","Increase in FY18 is due to NRE efforts for Distributed Targeting Processor-Network (DTP-N).","","","","","","","","","","","","","6.443","","","1.769","1.769","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-9ca07e38154cbcca2ec8ae768bf7a79dfaa8d897585af98c36569de9aac9ffd3","14-25888bc2f7c7eb42a141da62ebcbf6e2ce2153a908bfac8ed2e77513e7d2ce25","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.1) IBS Receiver Replacement (JTTR) - NonOrganic","","54","","","","","","","","","","","","3.792","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-98abf5f9303533c0500daf7616c6037747132a866f688e7eb1ede124a1692c78","0-49b0cafa6055e43e050965d05414b1d046187b85b3120fb930c340a37e2b660a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.2) ECP 6312 EA-18G AESA Blanking Wire Group A and CCS Mid-board Group A - NonOrganic","","3","","","","","","","","","","","","0.43","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-436a1a86b7be315eaedd7b89c232371232dfdda6cef3214ff95d0eb20363f5f7","1-0d020adb53ded9ca900e33eee16d5aab2bdd9490edcf232f9681e750b3b24f12","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.3) ECP 6482 - ASE (ALQ-218 Modifications) - NonOrganic","Quantity of 160 ALQ-218 wiring kits covers retrofit for EA-18G program of record.","","","12","15","15","","","","","","","","","","0.012","0.015","0.015","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-84128de6368a675951ed9789123fd1cef16b740a7214858e4bfae5d926fc7de7","2-2949b4b0c298c983c710c28243360d339781a3551478832ad549281b46506a87","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.4) ECP 6479 1PPS - NonOrganic","","155","","","","","","","","","","","","0.025","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-46a3e58f2f03465657b3a613e065b63db3d82d6d8ec6789b7b768c5ada3c597c","3-c09c3b01f1d1026217f2046c4103f97e88e1ff38394ae81dbe53d7669444eff1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","1.451","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-8ac4293f9ac4b8a63b8b22b4ac53a9a150586bfaa34945f17210b9b463857063","4-bc6e5794fb5cb5aa515727eb2452175c365a7d6b82bbfcaf6cfeafb6f2b7762c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.1) IBS Receiver Replacement (JTTR) - Organic","Total quantity of 163 IBS Receiver Replacement (JTTR) kits includes PoR additions.","163","","","","","","","","","","","","11.333","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-77ef535b17a33ef0a665c92b059bb7cf2449189befba680e8f85a583d5e4bdce","5-e6c042719f97512bc995d22805f5c2e640d8e2c1d5312710eed03b9fae254048","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.2) H10 SCS - Organic","","","","","","","","","","","","","","11.838","0.043","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-89e6bcb301b950e13e344eeab9a1960c7039abcf733dfea1d09202b03842204b","6-00e90d8fac750a7ba398356e6318230b5eacb41b5221291d16ed21e1e767efc1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.3) EA-18G Hardback (ALQ-99) - Organic","","65","18","14","","","","","","","","","","12.259","3.918","2.999","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-73ce1a23cd440d5138ea6cbe5ea46d5daf329655695ad164080e0a0e0c435adc","7-1e34844bbe3b3f03694f17754160890f4257fc101920901c581f7691ce49cde2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.4) ECP 6482 ASE - (ALQ-218 Modifications (WRAs)) - Organic","Quantity of 160 ALQ-218 kits includes additional EA-18G aircraft that will be delivered in FY15 - FY18. This kit line  speaks to Weapons Replaceable Assembly (WRA) ALQ-218 kits in particular.   EA-18G Low Band Dedicated Receiver (LBDR) funding added for FY20 - FY22; included as a part of ECP 6482 Airborne Electronic Attack (AEA) Systems Enhancements (ASE) WRA kits (LBDR is in WRA-8).","","","12","15","15","","","","","","","","","","5.054","6.316","6.316","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-2cbd1172443b8cbfc03958619b4370730f8703c52d643330b5e75a5eed6123fa","8-39d419c08b0403af00827b68047fbaaed509e153dc463cca06f015e73300c4d8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.5) ECP 6482 ASE - (ALQ-218 Modifications (AEA/GBP)) - Organic","Quantity of 160 ALQ-218 kits includes additional EA-18G aircraft that will be delivered in FY15 - FY18. This kit line item speaks to Airborne Electronic Attack (AEA) Gun Bay Pallet (GBP) kits.","","","17","15","15","","","","","","","","","","1.699","1.5","1.5","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-79dc19d0c1945f249560fdd3474aa79a1764929d2bec70d936e5b9c27619384f","9-b72cd60753fbf3eaa784b104740780fdab18d960b09098b79ca1a1418f84f145","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.6) ECP 6441 - Removal/Replacement of EA-18G ALR-67v3 - Organic","","36","","28","28","28","","","","","","","","1.251","","1","1","1","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-fa1987373fb8673da0b468589fdab718a0f8ac6a6f0681fb695d1c248682a189","10-09918cf4da614b208ee341272d60660a658cb40c1cf1d8af0ffb8d2704092ed8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.7) ECP 6444 - EA-18G Weight Reduction Initiative - Organic","","","","20","39","39","","","","","","","","","","1","2","2","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-fe134199139d3d27ff84c3aea863127f5b374e7fbb5bad13d927b11da86c3bab","11-0e31b41fa0e83144d913984120a76fd51818689f040d5c720aaa5d5350b54e3e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.8) EA-18G SCS - Organic","","","","","","","","","","","","","","2.067","0.765","2.05","3.69","3.69","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-d88857f0cf841dab263da392a8dbef548eb8755a45646663524e173e786f764f","12-93e4a8b72ad72b0dfeaf3390bdaa1fe7271631dd5651dbfab575399b51808b5c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.9) B-Kits Archive - Organic","","46","","","","","","","","","","","","29.719","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-1f83ab92bb40be6ede4791e5ba99eeed9e0088d4744ce73c0de58677a3b4cef9","13-05d6a4cfbe34db72a3e8cd3cebee0aef58f712f6121669b5eeff879e6fb6e92e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","6.357","0.331","1.935","2.095","2.095","","","","","","","","2018-BASE_PROCUREMENT-2018-NAVY_AIRCRAFT_BA5-U_PROCUREMENT_JustificationBook_Navy_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Navy_PB_2018.xml","16ad94e4600c1f9a5042975e9e5175d4dc340576a5e0831a09f31e3c83a09a4d","0-1a9e28b1fe1f271521fe425470d13baf78cd8ec346e4f442f94d0dfc2f2fa963","14-7032f5301b721d7b028541b3c769a6d9fa3fe9f5df249f7a1a1fbd99d40cca5e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
