Name_val,LineItemNumber_val,Cost_AllPriorYears_val,Cost_PriorYear_val,Cost_CurrentYear_val,Cost_BudgetYearOneBase_val,Cost_BudgetYearOneOCO_val,Cost_BudgetYearOne_val,Cost_BudgetYearTwo_val,Cost_BudgetYearThree_val,Cost_BudgetYearFour_val,Cost_BudgetYearFive_val,Cost_ToComplete_val,Cost_Total_val,@SOURCE_FILENAME,@RECORDID,@ROWID,MDAPCode_val,@PARENTROWID,@PARENT
"Arms Control Implementation","0305145F","0.000","0.000","0.703","0.695","0.000","0.695","0.697","0.697","0.000","0.000","0.000","2.792","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a55daf9ca8f93eeb4cc4385931880ac099c7ed6339ea7a8c4c5a57679670d46c","5-a16b02b3dfab6bdddf74a738277bd3589af4f8281c0b33e2b7b49f8c3a0b958f","","0-238d914e0828a59e0a4e8e632d43c5f181a1c6a7bebc4900ecbbcc80f417bed3","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"LGM-30 MINUTEMAN  (MM III)","M30MLG","0.000","36.908","40.261","40.538","0.000","40.538","34.771","43.446","44.961","51.404","0.000","292.289","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a55daf9ca8f93eeb4cc4385931880ac099c7ed6339ea7a8c4c5a57679670d46c","6-d3f30fed6fff94c911afedbfc3db13ca2d41a13bcd6eb44d56e0136bfb59b2b3","","0-238d914e0828a59e0a4e8e632d43c5f181a1c6a7bebc4900ecbbcc80f417bed3","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Predator Hellfire Missile","PRDTA2","0.000","0.3","0.299","0.296","0.000","0.296","0.296","0.297","0.302","0.307","0.000","2.097","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a55daf9ca8f93eeb4cc4385931880ac099c7ed6339ea7a8c4c5a57679670d46c","7-197a82639c2726cf8ee30a0e14a2a6a4acf6ac79497ebe4b0a1191911b552785","","0-238d914e0828a59e0a4e8e632d43c5f181a1c6a7bebc4900ecbbcc80f417bed3","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Small Diameter Bomb","SDB000","0.000","14.755","8","7.913","0.000","7.913","7.927","7.936","8.082","8.231","0.000","62.844","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","a55daf9ca8f93eeb4cc4385931880ac099c7ed6339ea7a8c4c5a57679670d46c","8-cc0156b5650749101495870dff5adbe261e79c465d4dd6968559ab6344abb690","439","0-238d914e0828a59e0a4e8e632d43c5f181a1c6a7bebc4900ecbbcc80f417bed3","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AGM-65D Maverick","M65DAG","0.000","1.401","1.497","1.481","0.000","1.481","1.503","1.532","1.56","1.588","0.000","10.562","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","adbf863e5fc0d05bb6aa686df93f86b1ca4336ca1a653ae071d1d24f57875cad","0-ba167f06e3c781e5088a6b2199d9495e5994b00dba3f430c0abeeddb1146879f","","0-6e52a593e9e04235276d64286c34b33bb9d3f227bf1a0f4de8a6268aa2d75dfa","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AGM-86 Air Launched Cruise Missile (ALCM)","MALCBG","0.000","5.206","4.561","4.767","0.000","4.767","2.216","2.258","2.299","2.342","0.000","23.649","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","adbf863e5fc0d05bb6aa686df93f86b1ca4336ca1a653ae071d1d24f57875cad","1-c2a2fe6aa7c18f3c43643af940e18cfdcc468c655fd2e974784440bdb48b64aa","","0-6e52a593e9e04235276d64286c34b33bb9d3f227bf1a0f4de8a6268aa2d75dfa","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AGM-88A Tactical AGM Missile (HARM)","M88AAG","0.000","3.245","3.488","3.44","0.000","3.44","3.509","3.576","3.642","3.709","0.000","24.609","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","adbf863e5fc0d05bb6aa686df93f86b1ca4336ca1a653ae071d1d24f57875cad","2-01897b7cd85303b0f1cd2dadfa23326290373a1c07d7d30d11215baf5bdc8c9e","","0-6e52a593e9e04235276d64286c34b33bb9d3f227bf1a0f4de8a6268aa2d75dfa","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AIM-120 Advanced Medium Range Air to Air Missile  (AMRAAM)","MAMRA0","0.000","0.805","0.809","0.799","0.000","0.799","0.816","0.831","0.846","0.862","0.000","5.768","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","adbf863e5fc0d05bb6aa686df93f86b1ca4336ca1a653ae071d1d24f57875cad","3-b117b04c5c0a5edcfcbdbdf04e69f080f2549e634f73978328fabd706a118ffa","185","0-6e52a593e9e04235276d64286c34b33bb9d3f227bf1a0f4de8a6268aa2d75dfa","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AIM-9 Tactical Air Intercept Missile","M09HA1","0.000","8.854","10.728","10.72","0.000","10.72","10.933","11.143","11.347","11.556","0.000","75.281","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","adbf863e5fc0d05bb6aa686df93f86b1ca4336ca1a653ae071d1d24f57875cad","4-ca0c443f5861d0d989c8e4a6691d4868bc0c01b0b6d19fb2830e77f103e59113","581","0-6e52a593e9e04235276d64286c34b33bb9d3f227bf1a0f4de8a6268aa2d75dfa","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Arms Control Implementation","0305145F","0.000","0.000","0.703","0.695","0.000","0.695","0.697","0.697","0.000","0.000","0.000","2.792","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","adbf863e5fc0d05bb6aa686df93f86b1ca4336ca1a653ae071d1d24f57875cad","5-709f4378476a39c2cce28cafac23ef1dca64f76d15bc3279071b4ce2feb14ad9","","0-6e52a593e9e04235276d64286c34b33bb9d3f227bf1a0f4de8a6268aa2d75dfa","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"LGM-30 MINUTEMAN  (MM III)","M30MLG","0.000","36.908","40.261","40.538","0.000","40.538","34.771","43.446","44.961","51.404","0.000","292.289","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","adbf863e5fc0d05bb6aa686df93f86b1ca4336ca1a653ae071d1d24f57875cad","6-ccc55ee1ff9b41e8086dc7dd2d517df5609292c8538f3775747d54ea6f3af54a","","0-6e52a593e9e04235276d64286c34b33bb9d3f227bf1a0f4de8a6268aa2d75dfa","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Predator Hellfire Missile","PRDTA2","0.000","0.3","0.299","0.296","0.000","0.296","0.296","0.297","0.302","0.307","0.000","2.097","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","adbf863e5fc0d05bb6aa686df93f86b1ca4336ca1a653ae071d1d24f57875cad","7-74b7b13640e5943c3b749ba8b91c6e005480d6658f1d272fcb957538c01095c3","","0-6e52a593e9e04235276d64286c34b33bb9d3f227bf1a0f4de8a6268aa2d75dfa","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Small Diameter Bomb","SDB000","0.000","14.755","8","7.913","0.000","7.913","7.927","7.936","8.082","8.231","0.000","62.844","2015-BASE_PROCUREMENT-2015-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","adbf863e5fc0d05bb6aa686df93f86b1ca4336ca1a653ae071d1d24f57875cad","8-ca59030669c2cc444e785a5f0b65630bb2716d296d4542518d8662bb872f6e02","439","0-6e52a593e9e04235276d64286c34b33bb9d3f227bf1a0f4de8a6268aa2d75dfa","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AGM-65D Maverick","M65DAG","0","1.497","1.481","1.492","0","1.492","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","80ddc099aabb9d0169754ee8f45951a3c11ba5a7087e66f01fff83b72dd4e924","0-12023ba052a81781d9b1d75323280b65f7c6e63f99cd04fde946aced153ec20e","","0-41a54fe9fa8fafe4da7fca62542ed594d4b9426135a4f2da739587fd9dfe3356","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AGM-86 Air Launched Cruise Missile (ALCM)","MALCBG","0","4.561","4.767","0.496","0","0.496","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","80ddc099aabb9d0169754ee8f45951a3c11ba5a7087e66f01fff83b72dd4e924","1-bbf98cdb1e27865aed847de1369031ac02a9c4212ab5c83cfdb6a0403751fa62","","0-41a54fe9fa8fafe4da7fca62542ed594d4b9426135a4f2da739587fd9dfe3356","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AGM-88A Tactical AGM Missile (HARM)","M88AAG","0","3.488","3.44","3.484","0","3.484","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","80ddc099aabb9d0169754ee8f45951a3c11ba5a7087e66f01fff83b72dd4e924","2-c48ab62d5bc70fb250f017baeb90fe24a5ed8a6ee3eeaddc21b3cc5d80454c1a","","0-41a54fe9fa8fafe4da7fca62542ed594d4b9426135a4f2da739587fd9dfe3356","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AIM-120 Advanced Medium Range Air to Air Missile  (AMRAAM)","MAMRA0","0","0.809","0.799","0.81","0","0.81","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","80ddc099aabb9d0169754ee8f45951a3c11ba5a7087e66f01fff83b72dd4e924","3-8cf660066993f2f53fdf610bc2900deed3b885bb5477c13174f52a40faa4a29a","185","0-41a54fe9fa8fafe4da7fca62542ed594d4b9426135a4f2da739587fd9dfe3356","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AIM-9 Sidewinder","M091","0","5.435","5.275","5.242","0","5.242","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","80ddc099aabb9d0169754ee8f45951a3c11ba5a7087e66f01fff83b72dd4e924","4-e47368a2805dd75b724e3a1d42d3854042dee965dc17c8d594c282d1c6fb63f6","","0-41a54fe9fa8fafe4da7fca62542ed594d4b9426135a4f2da739587fd9dfe3356","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AIM-9 Tactical Air Intercept Missile","M09HA1/MO9BAI","0","5.403","5.445","5.513","0","5.513","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","80ddc099aabb9d0169754ee8f45951a3c11ba5a7087e66f01fff83b72dd4e924","5-6213f849b45ae956acf1817ddc4e3abb4c90bcaddc82708eab0a70117f2507a8","","0-41a54fe9fa8fafe4da7fca62542ed594d4b9426135a4f2da739587fd9dfe3356","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Arms Control Implementation","M30MLG","0","0.593","0.695","0.692","0","0.692","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","80ddc099aabb9d0169754ee8f45951a3c11ba5a7087e66f01fff83b72dd4e924","6-e5e451a00abd21353174f86193a4da6a46ac8680a6f3acd3edc6b588543c5fe8","","0-41a54fe9fa8fafe4da7fca62542ed594d4b9426135a4f2da739587fd9dfe3356","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"LGM-30 MINUTEMAN  (MM III)","M30MLG","0","40.261","40.538","23.857","0","23.857","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","80ddc099aabb9d0169754ee8f45951a3c11ba5a7087e66f01fff83b72dd4e924","7-30967f29721f28a383d92f10007f0b710c4e98eeca073125829e9b71ac435481","","0-41a54fe9fa8fafe4da7fca62542ed594d4b9426135a4f2da739587fd9dfe3356","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Predator Hellfire Missile","PRDTA2","0","0.299","0.296","0.294","0","0.294","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","80ddc099aabb9d0169754ee8f45951a3c11ba5a7087e66f01fff83b72dd4e924","8-d20a6892677147b6b4496d2d3d36a316523b9daf733caad2658f52d29a7c5b3d","","0-41a54fe9fa8fafe4da7fca62542ed594d4b9426135a4f2da739587fd9dfe3356","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Small Diameter Bomb","SDB000","0","8","7.913","3.237","0","3.237","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2016.xml","80ddc099aabb9d0169754ee8f45951a3c11ba5a7087e66f01fff83b72dd4e924","9-802cffcfaf1fdc370c2f71dcb2f332191fb0a8fa185b677bde56bf6d2b7ea2d4","439","0-41a54fe9fa8fafe4da7fca62542ed594d4b9426135a4f2da739587fd9dfe3356","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AGM-65D Maverick","M65DAG","0","1.497","1.481","1.492","0","1.492","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","117ed04debf19a617ed07c6e78c2d4576483f9e327a8782474db489b7ca8875b","0-049c5ffb687f2512d890613e447c99da0e7d4a9070d442f5bc9225be4bed65b1","","0-eb8d1542a42cdc31e59213712b71b957170409699ad5694966e6dcef6d0691f0","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AGM-86 Air Launched Cruise Missile (ALCM)","MALCBG","0","4.561","4.767","0.496","0","0.496","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","117ed04debf19a617ed07c6e78c2d4576483f9e327a8782474db489b7ca8875b","1-4444aad22d16caf876d7eea53097b1ad720c0d40003ef3d4b8b475c0867f4da7","","0-eb8d1542a42cdc31e59213712b71b957170409699ad5694966e6dcef6d0691f0","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AGM-88A Tactical AGM Missile (HARM)","M88AAG","0","3.488","3.44","3.484","0","3.484","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","117ed04debf19a617ed07c6e78c2d4576483f9e327a8782474db489b7ca8875b","2-28c91ace1f4c80ca0135cb20f238f73d97dee2c38be04f78fb19b7c8286a56ad","","0-eb8d1542a42cdc31e59213712b71b957170409699ad5694966e6dcef6d0691f0","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AIM-120 Advanced Medium Range Air to Air Missile  (AMRAAM)","MAMRA0","0","0.809","0.799","0.81","0","0.81","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","117ed04debf19a617ed07c6e78c2d4576483f9e327a8782474db489b7ca8875b","3-33cf0b82eb6cfd7fe4062ff27915851d8a4897b7c3afcaf3beb450e5edccacbe","185","0-eb8d1542a42cdc31e59213712b71b957170409699ad5694966e6dcef6d0691f0","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AIM-9 Sidewinder","M091","0","5.435","5.275","5.242","0","5.242","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","117ed04debf19a617ed07c6e78c2d4576483f9e327a8782474db489b7ca8875b","4-6339eb4dc56cf5a6871cfa02c9a9c10eb925bd1ca6498c1708cbf55af03f5e6e","","0-eb8d1542a42cdc31e59213712b71b957170409699ad5694966e6dcef6d0691f0","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"AIM-9 Tactical Air Intercept Missile","M09HA1/MO9BAI","0","5.403","5.445","5.513","0","5.513","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","117ed04debf19a617ed07c6e78c2d4576483f9e327a8782474db489b7ca8875b","5-cd8f875a48bbaf75b89d8c5492be19c98ac8ab5fddfd730fbe4bfed8d0f20e93","","0-eb8d1542a42cdc31e59213712b71b957170409699ad5694966e6dcef6d0691f0","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Arms Control Implementation","M30MLG","0","0.593","0.695","0.692","0","0.692","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","117ed04debf19a617ed07c6e78c2d4576483f9e327a8782474db489b7ca8875b","6-b5d6a1088ffbb1cd643c2bbc4625be58a39164d297f205c284811a7685cbded2","","0-eb8d1542a42cdc31e59213712b71b957170409699ad5694966e6dcef6d0691f0","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"LGM-30 MINUTEMAN  (MM III)","M30MLG","0","40.261","40.538","23.857","0","23.857","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","117ed04debf19a617ed07c6e78c2d4576483f9e327a8782474db489b7ca8875b","7-0ebb2b689505fad3e8975f0c3526bad7391437d7073b095a5b6f9ebc324ab64e","","0-eb8d1542a42cdc31e59213712b71b957170409699ad5694966e6dcef6d0691f0","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Predator Hellfire Missile","PRDTA2","0","0.299","0.296","0.294","0","0.294","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","117ed04debf19a617ed07c6e78c2d4576483f9e327a8782474db489b7ca8875b","8-a516436206eeee95cd7a224525e6913a010a82be14c29980db7deff2761c7b34","","0-eb8d1542a42cdc31e59213712b71b957170409699ad5694966e6dcef6d0691f0","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Small Diameter Bomb","SDB000","0","8","7.913","3.237","0","3.237","","","","","","","2016-BASE_PROCUREMENT-2016-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2016.xml","117ed04debf19a617ed07c6e78c2d4576483f9e327a8782474db489b7ca8875b","9-e32a67b7a0770e2e27d04934fde0d61aba5c86e5de343ee348cc3a2c0891f967","439","0-eb8d1542a42cdc31e59213712b71b957170409699ad5694966e6dcef6d0691f0","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Spares for 6K Cog","9710","","13.798","4.56","6.522","","6.522","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA6-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","b40eae23784ed2b5692424a205eb181888bd3545eaa6eb463572005a97d5c4ea","0-df11d238e9e355faee8af88c0178b1c3cb7c616d8ac9f986eabc4809df82638a","","0-b18b780ab7601ce148d6364eba8dae34af0a75a2312d9327e12841f01de00164","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Spares for Adversary","9711","","0.863","1.266","1.336","","1.336","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA6-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","b40eae23784ed2b5692424a205eb181888bd3545eaa6eb463572005a97d5c4ea","1-e0167dcc2b5032f8d78145ae0b45a4f177ca9093fb8b7aaffb0ead5b2f78b158","","0-b18b780ab7601ce148d6364eba8dae34af0a75a2312d9327e12841f01de00164","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Spares for HQ Replenishment","9712","","34.601","52.259","46.875","","46.875","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA6-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","b40eae23784ed2b5692424a205eb181888bd3545eaa6eb463572005a97d5c4ea","2-cd42d8c93980a11c5b246bf95d42b70091a3e0758d361047a4cd5d4583637833","","0-b18b780ab7601ce148d6364eba8dae34af0a75a2312d9327e12841f01de00164","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Spares for AOA Repairables","9713","","628.548","841.198","937.699","","937.699","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA6-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","b40eae23784ed2b5692424a205eb181888bd3545eaa6eb463572005a97d5c4ea","3-211bf83e605803694a839e9b089bcb20c44a6914a1b3f95a027344faba51640c","","0-b18b780ab7601ce148d6364eba8dae34af0a75a2312d9327e12841f01de00164","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Spares for AOA Consumables","9714","","58.85","56.71","60.385","","60.385","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA6-PROCUREMENT_JustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_JustificationBook_Navy_PB_2016.xml","b40eae23784ed2b5692424a205eb181888bd3545eaa6eb463572005a97d5c4ea","4-b3cd91b8c634473d9aabb96e6915cce67419ffe1a8ddd0060865f218c60ef473","","0-b18b780ab7601ce148d6364eba8dae34af0a75a2312d9327e12841f01de00164","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Spares for 6K Cog","9710","","13.798","4.56","6.522","","6.522","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","841fbf40f595d8021dbc0a659b6cecf93db33119978e563d683d6ca0c564b97c","0-7abf8b22667db9db3b456ea9f88c6d1aa7e0093afc4b8b9fee45c5bb615ebcab","","0-edf4983fa808bd9c4aa0f8772e3d67526b086b56676b661b6b017c77f8b6b727","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
"Spares for Adversary","9711","","0.863","1.266","1.336","","1.336","","","","","","","2016-BASE_PROCUREMENT-2016-NAVY_AIRCRAFT_BA5-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Navy_PB_2016.xml","841fbf40f595d8021dbc0a659b6cecf93db33119978e563d683d6ca0c564b97c","1-01c9b492954e2001c470d504ff2894b4721d7ecb69b4d4e37bc756ad7b26764d","","0-edf4983fa808bd9c4aa0f8772e3d67526b086b56676b661b6b017c77f8b6b727","root.record.ItemExhibitList.P18Item.ReplenishmentSpares.EndItemBudgetActivity"
