Name_val,Name_@footnote,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_Total_val,Cost_Quantity_PriorYear_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_ToComplete_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_Continuing_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"EQUIP NONREC Group B (Active)","","0","0.337","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.337","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","76b795ef4cb9524709ce3c480852d2b20a6a5a6921e2decc63527a4debf9e7b1","0-72c58fd68b44c609b97586122675482c180769ca2abb926b3493c8d6e45fbcf3","0-d3afd8cd0baa90d00aac47a28073b383a8a74d642b06847495d4ad502df034f6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","b4a49294aaaf4468958b5e32dd047912ab331e6d642f8ca8804239303084a4af","0-7fced7884924402956b0181b38be9d5e9281129ab461a59c09698b3bfbe29f90","0-6b2c991e41ea18ffbcab9674a816d77e6f23f45dd17478fa1d91f1de2979452d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","2","29.17","2","17.427","2","16.603","","","2","16.603","2","17.419","2","22.931","2","21.175","2","22.54","0","0.000","14","147.265","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e4514f33c3955093dc8dcfcf215074965bd9f65e2e3e830bd92a95b52466e991","0-a6992513ce2d2471897b4103e00b46e1b24df0abc8552852c472cf64f2edc934","0-dc88429c23a006b578f7e969b5f3e23ca8a234e9868ce47813cc3590f55ab520","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","d8dcc20b9d18e1fb017e603238931f476c71a7aac5891431efa1bdc499661c8c","0-30f46badaa68a0ce7c30d325637c5a3d2fce81f08922a543cf693ed8c5862e8c","0-7b72b30755c784d6b6b1678462190d7f0f09de2edc933865e2d8cf66116f7b68","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","d8dcc20b9d18e1fb017e603238931f476c71a7aac5891431efa1bdc499661c8c","0-6d222b5890050e8cfadbcdd41ec5da661a526d178350fff964f12d88787b63a1","0-4ff8a9d32230434ea6558d730d89f3d27f5410095ac7ef41b7fe692632228bfe","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","29.93","0","0.000","0","40.871","0","16.578","","","0","16.578","0","5.182","0","38.528","0","25.938","0","46.038","0","2.124","0","205.189","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","d0b6b65a6ada031a30989ecd5c004fd2f6df15d61d65bc5456aac773689572ae","0-856906c54feeacf84bfa84ad21694ea27461e75319c48f9636397d3ea0b40775","0-e676c11352f61132e8e00c6781a09affaccb7c8b20202ad5b5a565d04fd16a9b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","7.065","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","7.065","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","d0b6b65a6ada031a30989ecd5c004fd2f6df15d61d65bc5456aac773689572ae","0-8b226fd2ca50a9025e21cc1c1a014ca30cef17c5518c0a77f0b6e24efa825435","0-0674f5324877e155861e70e1c623ba85e1534127ce8223a87bd9751e786f6ed7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","10c87f3b6b9fead0ed275d994efca3bfae243543c7c311783c753a6fc38882e6","0-bb637b6ea01282c3538fd8cf00b7848ff5e7e71655fafd2ae81a2d5a1d7e17c0","0-cbda3cc7b8e2750923f708bd5d6362de76e6412241bd8de960417e568c1ee8c8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Guard)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","10c87f3b6b9fead0ed275d994efca3bfae243543c7c311783c753a6fc38882e6","1-69c76649d733653e9b7ac3c9a34beb7aa0a2a970ee360c214740d04d8aec3de1","0-cbda3cc7b8e2750923f708bd5d6362de76e6412241bd8de960417e568c1ee8c8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","2","0.368","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2","0.368","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","8787dc436614bafe6c30fd27558ff5993845741e78c2a80dcb66504b0f704127","0-b9107fc1f0a1b18d3258d7a79a83c751c2101d9d9a80799088a699285f3d36eb","0-00a084c0257f975c3fa3794b0e3b9329cc8097700c427bf406dd19987d1b8a78","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","36.876","0","10.2","0","13.36","0","6.744","","","0","6.744","0","0.000","0","7.868","0","0.000","0","0.000","0","18.996","0","94.044","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","cada34b277da5875878e15954fb9515b3a8f6bbdf68d9ddafe9d847ba0229073","0-c58579f6a9bbfb00370cad3480aec4d49fa325807cbf929549d5fe7e0328079b","0-2d0e9eeb160adab30b4fa65749ae4579fb042f8800a455daf1345a82e7e740ec","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","66.739","0","7.972","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","74.711","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","cada34b277da5875878e15954fb9515b3a8f6bbdf68d9ddafe9d847ba0229073","0-7ac9d719dd3f062f9fd83941ce3b8972783d19d9641c729885fb2140b917202b","0-b1503959480bc947996174487718735cfa5ba9fda05d9bb9772b3f7d9ec522a1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Guard)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","cada34b277da5875878e15954fb9515b3a8f6bbdf68d9ddafe9d847ba0229073","1-a532d7f5ea7d815f9afc4118b33845fdb5146196c51049a25fcc3b2482fb5a25","0-b1503959480bc947996174487718735cfa5ba9fda05d9bb9772b3f7d9ec522a1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","cada34b277da5875878e15954fb9515b3a8f6bbdf68d9ddafe9d847ba0229073","0-1e55ca8139fe904f89ef716c0f5f35c5a173bc1fd1aa59b0f8c3384207972595","0-a51b1c398575b0f847f578f25e68e6fe66673aa70f82c4ee58be7617386f21cb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Guard)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","cada34b277da5875878e15954fb9515b3a8f6bbdf68d9ddafe9d847ba0229073","1-dc29a45badb9f37da8a4d63494b3d96cfcfbbef1ee685214bd1ce36a2f81de17","0-a51b1c398575b0f847f578f25e68e6fe66673aa70f82c4ee58be7617386f21cb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","5.778","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","5.778","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e4c9e6ae72afb01de0f40987a03667cb84bdb9d1ffe0ec1213853fb2f1f72aa2","0-deca8c2d070bdb2aa543bea5d480d4504850f9d7c98818855cc58cbe22d82605","0-6b3aa5328b1a7c7090e78c39df6d3853f74cfee4996dd65dc5d4fbbd1fbba523","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Guard)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e4c9e6ae72afb01de0f40987a03667cb84bdb9d1ffe0ec1213853fb2f1f72aa2","1-3c46202876c4e0414aef26c6de731a7995ec9ab48ce7d0f22c872ea9947288cc","0-6b3aa5328b1a7c7090e78c39df6d3853f74cfee4996dd65dc5d4fbbd1fbba523","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e4c9e6ae72afb01de0f40987a03667cb84bdb9d1ffe0ec1213853fb2f1f72aa2","0-98b8bcd98a8fef3096c367cbf79033f2c44816ee3336271eb74aef8c6b165055","0-3c7e14e97c7ef1099f7dc02fc24588ae420749aca9b0b58295e651f3a586a9a0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Guard)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e4c9e6ae72afb01de0f40987a03667cb84bdb9d1ffe0ec1213853fb2f1f72aa2","1-7437075f4087dd28ef0401013d618cfd3a41ecbb7e28b9b2151744a8cb7576e1","0-3c7e14e97c7ef1099f7dc02fc24588ae420749aca9b0b58295e651f3a586a9a0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Guard)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e4c9e6ae72afb01de0f40987a03667cb84bdb9d1ffe0ec1213853fb2f1f72aa2","0-65a207303f8136fb1cf5de59397523661e47cefdf79b6a64619770b82bf6db8b","0-6686e2abb7445a9f0e84180c8cf16024e4fa66ee63907e4114444495665e93fc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e4c9e6ae72afb01de0f40987a03667cb84bdb9d1ffe0ec1213853fb2f1f72aa2","0-2ab0911f7e774b4527834f839961e61da36d625d5286b08445472460a155eae8","0-264879e61e297216195e2a06e3e93954cac1e6835faf2594755caf8215cc61a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Guard)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e4c9e6ae72afb01de0f40987a03667cb84bdb9d1ffe0ec1213853fb2f1f72aa2","1-3d700b438bfedc7300dec659e6906e31b59e92617fa8e03f0e2fcdae35c097ef","0-264879e61e297216195e2a06e3e93954cac1e6835faf2594755caf8215cc61a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e9a56aa3e6bf0aa0279aeef01105eabf7d9e7b407852ced55c66fd3a0f85e0f8","0-c6ef7c5f56ae9284eb48da27be681ac2d1625223261eecce623c437c2709dbc8","0-65f7328351b8c02169c93242c1602cde0bdea01ebcf4f0061200b261dee26b23","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","35.957","0","11.975","0","7.918","0","7.914","","","0","7.914","0","6.036","0","6.19","0","5.482","0","4.237","0","0.000","0","85.709","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","91de0084c24a611e541ba33983024aa36e2f415cef277f4f22ba3588f9b09d6a","0-0789a8b0e65da026ac5e353fe0eb06ff8877e22fcb524efccd120e2ba6cdc184","0-49e2c4981d65430da9974b27cebd832dfbd26fa9d685b8f1a03c1b6252eb7341","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","14.351","0","5.087","0","4.272","0","3.344","","","0","3.344","0","2.933","0","2.808","0","2.294","0","2.186","0","0.000","0","37.275","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","91de0084c24a611e541ba33983024aa36e2f415cef277f4f22ba3588f9b09d6a","0-6f74615bb2d10bec3eae9bd4234ffe40b7da4ed16ec7587c403cc553bcdf0a86","0-1e01f4c2fddc6d3ba7bf9ca8552d2a3e9a8a4598b6b84f352e9fbc138a3e93d5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","2.002","0","15.688","0","5.481","0","0.124","","","0","0.124","0","0.075","0","0.000","0","0.000","0","0.000","0","0.000","0","23.37","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","91de0084c24a611e541ba33983024aa36e2f415cef277f4f22ba3588f9b09d6a","0-dff3aa8eefc42f797c9daf0e91aedd462e2cede733d199761a291953b068f877","0-4a01d08e88940c9d59261212c07ddd514405b7328f426b876bc80a65b07a6a0b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","19.543","0","7.279","0","5.101","0","5.369","","","0","5.369","0","3.594","0","3.475","0","2.768","0","2.619","0","0.000","0","49.748","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","91de0084c24a611e541ba33983024aa36e2f415cef277f4f22ba3588f9b09d6a","0-f5fc73b2cac101db7ee35e3059e09c756cba85a24afe6d3f516892014399ff19","0-197dbd457d523804fdd1518b2b64c89a890f81f637b916117256d97fba8d847a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","1","4.75","","","1","4.75","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1","4.75","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","2150443ec16193285ee0fc22dfc09299d08db08f6cd46a36544d915378ed476f","0-89bb005ff371e8361a91f1fe0b74f684991b2ba354e1716a9500c278182771f5","0-70592bccbaf8ede60a4517d271a88bdc86c3d6eb9b87620237936eda28a62367","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","13.182","0","0.000","0","7.242","","","0","7.242","0","4.224","0","0.000","0","0.000","0","0.000","0","0.000","0","24.648","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e15bc29c01e7fdb9531cf9bdbd90395260d4d3b3e7f7e0cc3752a7396de8fdfb","0-07d9492484a424dd3af6d70d5127d52ee0ca9061d02f7ecdb44ef0f6537f0a0a","0-d2412f563de5ae9becdb9c664f11ea1cc19c4149fa24320ddcbd2dd82cbadd62","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Reserve)","","0","0.000","0","4.653","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","4.653","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e15bc29c01e7fdb9531cf9bdbd90395260d4d3b3e7f7e0cc3752a7396de8fdfb","1-9dab8d5c9029006b3baf92ea4555e791ff4f17a1263530b11256bd78325e178c","0-d2412f563de5ae9becdb9c664f11ea1cc19c4149fa24320ddcbd2dd82cbadd62","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Active)","","0","0.000","0","0.000","0","0.000","0","0.261","","","0","0.261","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.261","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e15bc29c01e7fdb9531cf9bdbd90395260d4d3b3e7f7e0cc3752a7396de8fdfb","0-c0d97d2c16904342b4acaafaaa9ce4b5e2a928b8e379ab88190b9e8669d25096","0-aebdae827191c980953ab087505bf7af5845d62b3e347a40ad5fc264be14a0dd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
"EQUIP NONREC Group B (Reserve)","","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e15bc29c01e7fdb9531cf9bdbd90395260d4d3b3e7f7e0cc3752a7396de8fdfb","1-906e2999d8e8ba14abb40bb0520b5f15528506d8fd76365ed95f3a499662e76c","0-aebdae827191c980953ab087505bf7af5845d62b3e347a40ad5fc264be14a0dd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem"
